Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;LindeStede, Wolvega;Lycklama Stins, Wolvega;Lenna, Wolvega;Sickenga-Oord, Wolvega;Clubgebouw Het Wolvennest, Wolvega;gymlokaal De Heidepolle, Wolvega;'t Polderhuus, Munnekeburen;Dorpshuis 't Griffioentje, Oldelamer;Dorpshuis De Bult, Ter Idzard;Kerkelijk centrum Ter Holten, Oldeholtpade;MFC de Ni'je Stienze, Nijeholtpade;Dorpshuis De Tille, Boijl;Openbare Bibliotheek, Noordwolde;Clubgebouw voetbalvereniging Zandhuizen;Sporthal De Duker, Noordwolde;Dorpscentrum Sonnega-Oldetrijne, Sonnega;Krommestede, Noordwolde;Dorpshuis ’t Hokkien, De Hoeve;Gebouw Het Anker, Steggerda;Dorpshuis 't Centrum, De Blesse;Dorpshuis, Oosterstreek;Gemeentehuis, Wolvega;Sportcentrum De Steense I, Wolvega;Sportcentrum De Steense II, Wolvega;Zalencentrum de Rank, Wolvega;’t Buurthuus, Noordwolde;'t Buurthuus, Noordwolde (14 maart);'t Buurthuus, Noordwolde (15 maart);Gemeentehuis, Wolvega (14 maart);Gemeentehuis, Wolvega (15 maart)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Postcode;;;;;8471 KZ;8472 AB;8471 LC;8471 BS;8471 HH;8471 VM;8485 JE;8486 GD;8476 EN;8474 CL;8475 EB;8392 MA;8391 BG;8389 TH;8391 MH;8479 HH;8391 LH;8394 VP;8395 PJ;8397 GC;8388 NE;8471 KR;8472 AA;8472 AA;8471 CE;8391 AW;8391 AW;8391 AW;8471 KR;8471 KR
;;10;de Vries-Knol, A.U.;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Bakker, R.;15;0;0;3;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;0;0;0;1
;;12;Koehoorn-Krechting, I.;10;0;0;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;1
;;13;Bosscha, A.A.;17;0;0;0;0;1;4;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;1;1;2;1;0;0;0;2;1
;;14;van Eijk, A.W.L.;27;0;0;1;0;0;0;0;0;0;0;0;1;8;1;5;0;0;1;0;0;0;0;0;0;0;5;2;3;0;0
;;15;Hoenderdos, H.M.;11;0;0;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1
;;16;van Eijk, M.J.;7;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
;;17;Stins, P.;5;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;18;Rutgers, W.K.M.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;19;Woudstra, H.B.;9;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0
;;20;Postma, M.;5;0;0;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Swart, A.J.;11;0;0;7;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;22;Rosenbaum, H.A.;18;0;0;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;7;0;0;0;0;0;2;0;0;0;0;2;2
;;23;Mulder, W.P.M.;15;0;0;0;0;2;0;0;0;0;0;0;2;3;0;1;0;0;0;0;0;2;0;1;0;0;0;0;4;0;0
;;24;Schnoor, F.A.;22;0;0;4;0;0;0;0;1;0;11;0;0;0;0;0;0;0;0;0;1;0;2;2;0;1;0;0;0;0;0
2;VVD;;;1959;4;0;111;9;104;69;97;66;101;127;52;61;73;24;77;63;0;42;87;91;58;155;84;108;67;52;19;38;51;69
;;1;Hoen, R.T.;997;2;0;69;9;51;33;54;17;36;32;24;34;51;16;59;30;0;21;35;51;43;82;44;48;32;37;14;26;21;26
;;2;Kroondijk, A.;388;2;0;15;0;20;9;23;17;24;54;21;21;10;6;11;13;0;4;25;13;6;28;7;10;12;4;0;7;10;16
;;3;Bos, R.;57;0;0;5;0;3;1;0;0;2;13;2;0;2;0;1;2;0;0;9;2;0;2;4;3;0;2;0;0;2;2
;;4;de Vries, E.;43;0;0;0;0;2;2;1;1;3;11;1;0;0;0;0;2;0;0;0;3;0;2;2;8;2;0;0;0;1;2
;;5;Bathoorn, E.;65;0;0;3;0;3;6;0;0;1;0;0;0;1;0;0;4;0;0;4;0;0;15;9;4;5;0;0;0;3;7
;;6;Heida, S.;178;0;0;17;0;16;8;3;4;2;10;1;0;1;0;2;4;0;5;5;11;2;14;13;28;9;1;1;2;9;10
;;7;Brandsma, J.B.G.;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0
;;8;Hermsen, G.G.J.;11;0;0;0;0;0;0;4;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;9;Hogeling, E.;16;0;0;0;0;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;2;0;0;0;2;0
;;10;Meijerhof, J.G.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;2;0
;;11;Benders, T.J.;11;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;3;0;1;0;0
;;12;Ophof, R.J.;22;0;0;0;0;0;0;0;0;0;1;1;3;3;0;2;0;0;0;0;2;2;0;0;0;1;2;3;2;0;0
;;13;Brandsma, C.;12;0;0;1;0;1;3;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;2;0;0;0;0;0
;;14;Nijenhuis, J.;34;0;0;0;0;0;0;0;1;25;0;0;2;0;1;0;2;0;0;0;0;1;1;0;0;0;1;0;0;0;0
;;15;Mol-Hielkema, A.M.;6;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0
;;16;van Dijk, H.A.;70;0;0;0;0;2;4;9;24;6;2;0;0;0;0;0;5;0;0;4;1;0;2;2;1;2;0;0;0;1;5
;;17;van Mastrigt, M.C.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
;;18;Mojet, A.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0
;;19;Bonnema, C.;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
