Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Martinikerk;Sportcomplex De Trije;Sjaerdemastate;Gemeentehuis Waadhoeke;CSG Anna Maria van Schurman;De Driesprong;Sportcomplex De Trije;Dorpshuis De Rede;Dorpshuis Ús Doarpshûs;Dorpshuis De Singel;Doarpshûs De Moeting;Dorpshuis It Waed;De Klang;Gemeenschapscentrum It Mienskar;Scouting Andromeda Franeker;Buurthuis De Terp;Gemeentehuis Waadhoeke 2;Lambertus Kerk;MFA d 'Ald Skoalle;Parochiehuis;Doarpshus 't Heechhout;Hervormd Centrum;Martinus Tsjerke;De Molewjuk;Dorpshuis Nij Franjum;It Holt;Dorpshuis Op Healwei;d' Ald Skoalle;Dorpshuis Skerne Wibe;Dorpshuis It String;Lambertuskerk;Yn'e Stâl;MFC Ons Huis;R.K. Kerk, de Skúl;Dorpshuis De Utwyk;MFC 't Beerdhuus;Verenigingsgebouw de Spitsroeden;MFC Froubuurt;Aerden Plaats Julianakerk;MFA de Doarpsfinne;De Bining;van Harenskerk, St.-Annaparochie;Dorpshuis Yn'e Mande;MFC De Helling;Gemeentehuis Waadhoeke;Hervormd Centrum;Yn'e Stâl;MFC Ons Huis;Gemeentehuis Waadhoeke;MFA de Doarpsfinne;Dorpshuis It Waed;MFC Ons Huis;Mobiel stembureau 1;Mobiel stembureau 2
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;41;42;43;44;45;46;47;48;49;50;56;57;80;81;82;83;84;85;86;87;88;89
Postcode;;;;;8801 LZ;8801 ET;8801 HS;8801 PA;8802 RX;8801 AZ;8801 ET;8811 HD;8812 JJ;8806 KL;8804 RG;8855 HL;8851 EL;8854 AG;8801 JT;8802 XZ;8801 PA;9036 MH;9035 AZ;9035 AJ;9041 EC;9041 AA;9044 ME;9045 PE;9034 GZ;9033 WH;8816 HT;9043 VP;9038 TG;9031 XW;9036 MH;9035 AD;9076 DA;9076 EA;9072 AL;9079 KG;9079 NG;9077 SN;9078 WD;9047 JR;9076 BT;9076 BS;8842 LE;8831 XS;8801 PA;9041 AA;9035 AD;9076 DA;8801 PA;9047 JR;8855 HL;9076 DA;;
;;9;Bosma-Gelderman, H.E.;43;1;2;0;0;2;0;0;0;0;2;0;16;1;2;0;4;0;1;0;0;0;0;1;0;2;0;0;0;0;0;1;1;0;1;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;10;van der Ploeg-Zwier, D.G.;124;0;0;0;0;2;0;1;0;2;0;0;0;2;0;0;0;2;35;4;1;4;1;4;3;4;2;0;0;4;1;40;3;0;2;0;0;0;0;1;0;2;0;0;1;0;0;2;1;0;0;0;0;0;0
;;11;Douma, M.;104;3;2;5;1;1;3;1;0;0;0;0;2;3;0;1;0;1;1;0;1;5;1;0;3;2;2;0;2;0;0;3;0;7;9;0;2;5;0;6;5;14;3;2;2;1;0;1;2;1;1;0;0;0;0
;;12;Hofman, S.;15;1;0;0;0;2;3;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;13;van der Werf, H.J.;19;0;2;1;0;1;3;4;0;1;0;0;0;2;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;14;van der Hauw, F.;20;2;0;4;1;2;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;1;0;0;0
;;15;van der Lubbe, J.C.L.M.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;16;Iepema, K.R.;29;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;2;8;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Tadema-Postma, A.;72;1;0;1;1;0;0;0;0;1;1;1;0;4;0;0;2;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;8;2;0;2;0;17;4;0;2;9;1;0;0;0;1;5;0;0;0;3;0;1
;;18;Helder, A.;22;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;8;0;0;0;0;0;0;0;4;0;2;0;0;0;0
;;19;Boersma-Wijmenga, B.;37;4;1;5;0;2;0;2;0;0;0;2;0;0;0;1;4;1;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;5;0;0;0;0;0
;;20;Verf, G.;93;1;0;1;3;0;2;0;1;0;0;0;0;0;0;0;1;1;2;3;0;0;0;0;0;65;3;0;3;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;21;van der Meer, M.;55;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;2;2;1;1;1;4;13;0;0;0;1;21;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Haarsma, T.;58;6;0;4;8;2;1;2;3;2;0;0;0;1;0;1;7;5;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;1;5;0;0;2;2;0;0;0;0;0
;;23;Nauta, D.J.;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;4;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0
;;24;Tol, B.;25;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;2;0;0;5;0;3;1;0;1;3;1;0;0;0;0;0;0;0;1;1;0;0;0;0
;;25;Kuipers, Sj. S.;51;0;0;2;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;3;0;27;1;0;0;0;1;3;0;0;0;0;0;3;0;0;0;3;0;0
;;26;Geldof, G.D.;38;2;1;0;1;0;0;0;0;0;4;15;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;4;1;0;0;0;2;0;0;0;0;0
3;Gemeentebelangen;;;4329;116;95;101;118;133;100;109;50;35;30;47;39;71;11;52;135;91;198;305;98;146;110;80;74;118;95;21;22;43;26;156;109;92;86;45;122;24;66;96;145;71;54;35;100;80;34;62;54;116;34;13;39;22;5
;;1;Kamstra, D.;1197;45;36;45;45;55;50;46;15;11;11;14;17;33;8;19;40;38;25;26;18;23;20;51;38;47;34;5;6;11;8;16;18;15;28;6;14;2;25;19;14;15;22;13;23;34;4;2;12;42;3;8;8;11;3
;;2;Mast, A.M.;518;10;13;5;8;11;6;5;1;6;5;13;6;7;1;4;10;7;96;30;12;9;5;10;8;13;14;7;2;6;4;79;8;3;4;4;5;5;4;3;3;1;4;9;19;12;1;5;2;11;0;1;1;0;0
;;3;Arendz, K.;413;4;0;1;4;0;4;3;5;3;0;3;1;1;1;1;4;0;11;164;41;5;4;1;2;6;1;5;1;3;0;6;52;3;1;0;0;0;0;3;0;0;0;4;7;6;1;41;0;2;0;1;4;3;0
;;4;Weiland, A.;223;6;6;1;3;3;0;2;2;0;2;2;0;6;1;1;2;0;2;2;1;5;0;0;0;1;4;0;4;2;0;3;0;3;2;2;7;0;1;10;91;2;3;2;4;6;2;0;0;1;23;0;2;0;1
;;5;Hof, H.;191;13;11;13;12;14;19;7;5;2;0;0;3;3;0;6;36;8;1;1;0;0;0;1;0;2;0;1;1;0;0;0;1;0;1;0;1;0;0;1;2;0;0;2;0;4;0;0;0;18;0;0;0;2;0
;;6;Ferwerda, L.;222;2;0;0;2;2;0;0;1;0;2;1;0;3;0;0;1;1;0;0;0;0;0;0;4;3;0;0;1;1;0;0;0;26;30;14;17;5;7;39;1;22;12;0;0;0;0;0;15;0;0;0;9;1;0
;;7;Hoekstra, H.;88;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;2;0;26;19;0;0;2;0;0;3;1;0;1;0;1;3;0;3;0;1;0;2;2;0;0;0;2;12;0;2;1;0;0;0;0;0
;;8;Kalma, M.J.;144;0;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;2;0;57;45;2;0;0;0;0;3;0;0;0;0;0;1;0;1;0;2;1;3;3;1;1;0;0;7;0;6;3;0;0;0;0;1
;;9;Douma, S.T.;38;2;4;2;5;4;2;0;0;0;0;0;0;2;0;4;3;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;1;0;0;0;0
;;10;Seerden, L.M.;128;13;4;8;17;8;3;7;0;6;6;1;6;0;0;1;5;6;4;3;1;1;1;1;1;1;0;0;1;1;0;2;1;4;0;1;1;0;1;0;0;0;0;0;0;2;0;1;0;8;0;1;0;0;0
;;11;Zuidema, E.;177;2;0;1;3;1;0;1;0;0;0;2;0;4;0;1;2;2;1;2;0;2;4;1;6;3;2;0;0;0;0;5;0;23;5;6;8;5;22;16;3;13;8;2;4;0;0;0;6;1;1;1;8;0;0
;;12;van der Veer, B.;49;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;39;0;0;0;0;0;0;1;1;0;0
;;13;van der Vaart, M.A.;94;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;3;1;6;1;59;3;1;0;1;4;0;0;2;0;0;0;0;3;0;0;1;0;0
;;14;Kingma, P.W.;76;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;6;34;11;0;0;0;0;0;0;1;0;0;0;1;9;0;0;1;0;0;0;0;0;0;0;0;1;0;0;9;0;0;0;0;0;0;0
;;15;Rodenburg, K.J.;54;5;1;6;7;4;1;7;0;0;1;0;1;1;0;2;4;2;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;3;0
;;16;Cats, T.G.;68;1;2;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;27;3;0;0;0;1;0;1;0;0;0;1;0;20;1;5;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;17;Sinnema, G.;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;13;2;0;0;0;0;0;0;0;0;5;0;0;0;0
;;18;Terpstra, E.;64;2;5;5;1;4;0;4;1;0;3;0;0;1;0;6;10;6;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;1;4;0;0;0;1;0
;;19;Pen, L.;42;0;0;0;1;0;1;2;2;0;0;1;0;0;0;0;0;0;2;7;6;2;1;0;1;3;3;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0
;;20;Roersma, W.;33;1;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;3;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Bekkema, J.R.;21;2;0;0;1;0;1;3;0;2;0;0;1;0;0;0;1;2;2;1;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;22;IJnema, L.K.;36;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;1;1;0;0;0;0;3;2;1;5;1;2;0;13;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Jansen, J.E.;23;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
;;24;Drost, P.;23;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;5;2;0;0;0;0;0;3;1;0;0;3;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Kuiper-Cats, S.J.;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0
;;26;Terpstra, H.;17;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;6;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Metselaar-Hoekstra, W.C.H.;25;0;2;0;1;8;1;6;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0
;;28;de Waard, J.;9;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Baarda, T.;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;17;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;de Boer, T.;26;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;1;0;7;0;0;0;0;0;0;2;2;0;0;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;31;Schaap, E.;26;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;3;1;0;0;0;2;0;0;2;1;0;0;1;0;0;6;1;0;0;2;0;0
;;32;van Twillert, L.M.;39;0;2;3;0;6;4;0;0;1;0;4;0;0;0;3;3;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0
;;33;Buwalda, S.;15;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
;;34;van der Meulen, T.;21;0;1;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0
;;35;Kuperus, F.;16;2;2;0;1;1;0;1;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0
;;36;Ten Hoorn, I.;15;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;37;de Vries, R.;16;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;5;2;0;0;0;0;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
;;38;Kuipers, W.;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Faber, R.;14;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;40;Kuilman, K.;25;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;14;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0
;;41;Veenstra, W.;68;5;4;8;4;7;6;4;1;0;0;3;1;0;0;0;9;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;1;2;0;0;0;2;0;0;0;1;0
4;FNP;;;3646;101;53;91;76;62;79;47;40;56;136;164;139;156;119;69;70;70;59;65;35;141;93;92;127;61;137;11;23;27;87;77;54;69;73;61;43;36;31;47;75;57;57;58;125;58;23;15;16;86;12;41;28;12;6
;;1;Vollema, L.J.;891;22;9;21;13;15;16;7;14;33;17;109;29;28;6;13;15;10;24;25;18;21;12;6;15;18;23;4;3;5;15;26;21;12;10;17;8;7;14;15;30;9;10;18;54;13;1;10;2;21;3;9;3;7;5
;;2;van der Pol, D. M.;657;40;11;21;24;12;19;15;3;8;50;16;24;28;5;28;28;24;9;15;8;11;5;8;4;20;12;5;1;0;8;16;11;4;5;6;6;3;2;7;11;4;6;22;26;15;3;2;0;27;2;13;1;3;0
;;3;Nieuwhof, K.H.;174;0;0;2;0;0;0;0;0;0;0;1;1;2;0;0;0;0;3;1;0;58;47;1;2;2;1;1;9;0;2;4;2;0;1;4;2;1;1;4;2;2;0;1;1;0;13;0;0;0;1;0;1;1;0
;;4;de Cock, P.R.M.;228;2;2;0;0;0;1;3;2;0;0;0;61;30;80;0;0;3;0;2;1;0;1;1;1;0;0;0;2;0;0;0;0;0;0;1;1;1;0;0;8;1;1;1;6;3;0;0;0;0;2;11;0;0;0
;;5;de Jong, D.J.;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;4;1;1;0;1;0;0;0;1;2;0;36;28;22;11;8;10;10;4;32;22;1;1;0;0;0;8;0;1;0;15;0;0
;;6;de Jong, D.;184;0;0;1;0;0;3;0;0;0;3;0;0;0;0;2;0;1;2;0;0;0;0;46;79;3;1;0;2;13;0;1;0;4;7;1;0;0;0;2;0;2;4;0;0;1;1;0;3;1;0;0;1;0;0
;;7;Dijkstra, J.;246;8;6;14;9;3;9;3;5;0;42;10;5;12;2;9;9;4;5;5;4;4;1;2;0;1;7;1;3;0;3;5;5;3;6;3;0;1;0;0;1;1;3;8;7;5;0;0;1;8;0;3;0;0;0
;;8;Nauta, H.J.;254;11;15;22;20;21;9;11;4;4;18;24;0;7;0;13;8;18;0;0;1;4;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;1;0;0;1;5;14;1;0;0;14;0;2;0;0;0
;;9;van Groning, J.E.;51;2;0;3;0;2;7;0;3;0;0;0;1;0;0;1;2;3;1;0;0;3;1;0;1;0;3;0;0;0;0;2;1;0;3;0;1;0;0;1;3;0;1;1;1;2;0;0;0;0;0;1;0;1;0
;;10;Politiek, D.J.;38;4;1;0;0;3;0;0;1;0;1;0;1;7;5;1;0;1;0;0;0;1;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;2;0;1;0;0;0
;;11;van der Mei, G.H.;40;2;0;0;3;0;0;0;1;0;0;0;1;20;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;2;1;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0
;;12;Wolbers, J.;59;2;3;1;1;0;2;0;0;0;3;0;11;10;20;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;13;van der Mei, A.M.;60;1;0;1;1;1;0;1;0;0;1;3;0;4;0;1;0;0;8;4;0;2;0;0;3;1;4;0;0;2;1;1;1;1;3;0;1;1;1;0;0;0;0;0;8;0;1;1;0;1;0;0;1;0;0
;;14;Kamstra, M.S.J.;33;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;3;1;10;2;1;0;0;0;0;0;0;0;6;2;1;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1
;;15;van der Schaaf, T.;43;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;1;12;8;1;0;0;0;1;2;7;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;16;Tilma, S.K.;119;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;2;0;4;0;1;3;7;35;0;0;0;53;1;3;0;2;1;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0
;;17;Bonnema, A.;29;2;1;3;1;2;2;3;0;0;0;0;1;2;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;2;0;0;0;2;2;0;0;0;0;0
;;18;de Haan, S.L.;17;0;1;0;2;0;4;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0
;;19;Knol, S.;77;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;2;0;23;16;2;0;2;1;0;3;0;0;3;0;0;1;1;1;1;0;1;1;2;5;0;0;0;3;0;0;0;1;0;5;0;0
;;20;van Althuis, P.S.;132;4;2;2;1;2;5;2;3;8;1;1;1;1;1;0;3;2;0;6;1;4;0;1;3;3;35;0;0;6;1;6;3;1;3;0;1;0;0;0;4;1;2;2;7;0;0;0;0;3;0;0;0;0;0
;;21;Heeringa, D.G.;90;1;2;0;1;1;1;0;1;2;0;0;3;5;0;1;3;0;0;0;1;0;0;0;3;2;14;0;0;0;0;2;0;1;0;4;9;9;1;6;5;0;3;1;2;4;0;1;0;0;0;0;1;0;0
5;VVD;;;1644;55;29;18;58;36;35;42;39;18;22;27;71;54;29;22;41;39;35;70;23;26;16;35;30;28;32;13;14;8;10;48;33;22;42;32;48;36;18;28;50;27;30;16;81;32;7;11;17;37;4;17;27;5;1
;;1;Osinga-Bonnema, D.;619;39;17;13;35;27;23;23;22;10;10;11;7;12;4;13;25;25;9;26;8;4;4;11;13;17;18;3;5;1;5;8;10;6;8;4;10;7;2;3;13;5;9;9;18;25;3;4;9;15;2;2;3;4;0
;;2;Magré, A.J.T.;161;4;1;3;3;0;3;6;4;1;1;0;3;2;0;1;1;2;14;8;4;2;3;10;6;4;3;0;1;4;1;23;8;1;1;1;6;2;0;2;7;1;1;0;2;1;0;2;0;5;0;1;2;0;0
;;3;de Jong, T.S.;384;3;1;1;5;1;1;0;10;5;5;3;14;30;8;1;5;3;2;9;5;8;2;4;6;2;3;3;7;0;0;9;4;8;28;24;25;18;10;18;19;18;17;1;3;2;0;1;3;4;2;7;16;0;0
;;4;Nammensma-Offinga, K.J.;184;2;4;1;8;6;1;4;1;0;5;4;42;5;14;2;4;0;5;3;3;2;0;5;2;2;5;1;0;1;2;2;4;0;2;0;1;6;2;1;7;3;1;0;3;2;0;2;2;2;0;5;4;1;0
;;5;de Vries, J.;35;0;0;0;1;0;2;0;0;1;0;1;0;0;0;0;1;1;1;0;1;8;6;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;1;0;1
;;6;Bijlsma, D.;35;1;4;0;1;0;0;3;0;0;0;1;2;1;2;2;0;4;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;6;0;1;0;0;0
;;7;van Abbema, J.P.;26;2;0;0;0;2;1;1;1;0;0;4;1;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;0;0;0;0
;;8;de Groot, P.J.;18;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;3;1;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;9;Postma, W.K.;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Lodewijks, M.;18;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;3;0;1;0;0;3;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;11;Wijbenga, J.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;12;Smink, F.;63;2;0;0;2;0;0;1;0;0;1;2;0;0;0;0;2;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;44;0;0;0;0;0;0;0;0;0;0
;;13;Braam, Y.R.;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Anema, K.;6;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Zondervan, J.;16;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;2;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;16;Heslinga, P.;13;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;1;0;0;0
;;17;Hilarides-Noordenbos, E.G.;12;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;5;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;18;van der Leij, D.J.;36;0;0;0;0;0;0;0;1;1;0;0;0;3;0;0;0;0;0;17;2;1;0;0;2;1;1;0;0;1;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
6;ChristenUnie;;;1017;41;18;20;19;47;17;25;4;5;15;39;37;13;10;16;32;34;28;32;10;36;11;17;18;16;26;0;0;13;20;29;22;22;14;17;18;18;10;10;29;28;9;29;28;32;9;6;13;23;5;8;12;5;2
;;1;Hakvoort, B.B.;469;14;7;6;6;22;9;7;1;5;8;16;17;6;7;4;16;8;9;16;7;23;6;8;11;11;20;0;0;7;16;14;9;8;5;9;7;8;6;3;16;13;5;12;16;11;0;5;3;15;0;4;5;2;0
