Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Burgum, Gemeentehuis 16 maart;Burgum, De Stryp 16 maart;Burgum, Glinstra State 16 maart;Burgum, Het Martinushuis 16 maart;Burgum, Observeum 16 maart;Noardburgum, Toutenburg (It Talint) 16 maart;Noardburgum, De Balstien 16 maart;Jistrum, Kantine Sportvereniging 16 maart;Eastermar, Gymnastieklokaal 16 maart;Sumar, De Kamp 16 maart;Garyp, It Geahûs 16 maart;Earnewâld, Hotel Princenhof 16 maart;Suwâld, Suderfinne 16 maart;Hurdegaryp, It Maskelyn 16 maart;Hurdegaryp, Nieuw Perspectief 16 maart;Hurdegaryp, Bennemastate 16 maart;Tytsjerk, Yn 'e Mande 16 maart;Ryptsjerk, De Einekoer 16 maart;Gytsjerk, Gymnastieklokaal 16 maart;Oentsjerk, Heemstra State 16 maart;Mûnein, De Mounestien 16 maart;Aldtsjerk, Oerein 16 maart;Wyns, De Skûle 16 maart;Burgum, Gemeentehuis 14 maart;Hurdegaryp, It Maskelyn 14 maart;Burgum, Gemeentehuis 15 maart;Hurdegaryp, It Maskelyn 15 maart;Mobiel Stembureau Stemtruck
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
Postcode;;;;;9251 GH;9251 BS;9251 CT;9251 KA;9251 LV;9257 ME;9257 VW;9258 CL;9261 VV;9262 NG;9263 PK;9264 TJ;9265 LS;9254 GM;9254 CV;9254 DE;9255 KC;9256 HR;9061 BM;9062 GX;9063 JL;9064 KE;9091 BC;9251 GH;9254 GM;9251 GH;9254 GM;9254 HA
;;13;Westra-van Gorkum, T.A.;60;1;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;1;4;9;14;6;19;0;0;0;0;1;0
;;14;van der Meulen-van der Wal, S.;43;3;1;0;0;2;0;0;0;0;0;0;0;6;9;8;0;0;2;0;0;0;0;0;1;0;3;8;0
;;15;Wagenaar-Duursma, R.A.;25;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;19;0;0;1;0;0;0;0;0;0;1;0
;;16;Herrema, P.J.;18;0;0;4;1;0;0;0;0;2;3;1;0;2;1;0;0;0;0;0;0;0;0;0;2;0;1;1;0
;;17;van der Kooi, J.;41;1;0;3;0;1;0;1;0;0;0;0;0;2;4;4;0;7;10;1;0;0;0;0;1;4;0;2;0
;;18;Liemburg, T.;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;19;van der Veen, M.;23;0;0;0;0;0;0;0;1;0;15;4;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;20;Dijk, R.;21;1;1;3;1;2;0;0;0;0;0;0;0;1;4;1;0;2;0;1;0;1;0;0;0;0;2;0;1
;;21;Schippers, G.H.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Wilstra, E.;15;5;0;0;0;2;2;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0
3;GROENLINKS;;;1411;49;32;62;35;33;6;63;18;56;22;40;8;44;141;96;8;118;51;146;97;38;38;18;29;60;25;74;4
;;1;van Zandbergen, B.;891;42;22;45;22;28;2;40;11;47;18;32;8;36;79;61;5;38;31;69;46;29;29;14;22;44;19;48;4
;;2;Klont, M.R.;81;1;2;2;0;1;0;5;1;1;2;1;0;1;6;2;0;2;4;32;6;2;1;1;2;1;3;2;0
;;3;Dijkstra, B. H.;91;1;1;2;1;1;0;3;0;0;0;3;0;1;7;1;0;60;1;1;3;0;0;0;0;1;1;3;0
;;4;van der Linden, C. Y.;90;2;2;3;7;1;1;3;0;4;1;1;0;4;3;8;0;9;0;13;20;0;4;0;1;1;0;2;0
;;5;Stavenga, J. G.;70;1;2;3;1;1;1;5;4;2;0;1;0;1;1;3;0;4;6;7;14;3;1;0;1;3;1;4;0
;;6;de Vries, L.;41;0;1;1;0;0;2;2;2;0;0;0;0;0;12;9;3;0;1;0;1;0;0;0;0;2;0;5;0
;;7;Vos, P.;46;0;0;1;1;0;0;3;0;0;1;0;0;0;19;8;0;0;0;1;0;0;0;0;0;5;0;7;0
;;8;Kloosterman, A. E.;37;2;0;1;2;1;0;2;0;2;0;0;0;0;1;0;0;1;4;11;3;3;3;0;1;0;0;0;0
;;9;Laning, D. G.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;0;1;0;0;0;0;0;2;0;3;0
;;10;Dagelet, M. A.;33;0;0;3;1;0;0;0;0;0;0;2;0;1;4;2;0;0;4;9;2;1;0;3;1;0;0;0;0
;;11;Sikkema, P. J.;8;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;1;0;0;0;0;1;0;0;0
;;12;van der Linden, K. L.;7;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;1;0;1;0;0
4;VVD;;;1572;76;89;79;84;36;20;86;42;61;28;97;43;31;118;56;13;90;30;136;105;26;38;12;52;22;59;40;3
;;1;Wagenaar, D.;968;46;62;39;35;24;16;64;41;38;18;49;34;23;69;37;10;68;22;65;65;14;16;5;29;19;33;25;2
;;2;Hoekstra, S.;197;16;20;29;26;7;3;13;0;6;5;3;1;1;12;5;1;4;1;4;8;1;0;1;13;0;11;6;0
;;3;Jongsma, T.;83;3;1;0;2;0;0;5;0;8;3;39;2;1;8;3;0;0;0;0;0;0;2;0;1;0;3;2;0
;;4;van der Werf, P.F.W.;54;2;1;1;1;0;0;0;0;0;0;0;0;0;4;0;1;5;1;10;18;5;3;0;0;0;0;2;0
;;5;Kamminga, J.T.;48;3;1;1;13;1;0;0;0;1;1;1;1;0;6;2;0;1;2;3;1;0;1;0;3;0;5;1;0
;;6;Wijbenga, T.;93;1;0;2;2;1;0;1;0;2;0;1;0;0;6;3;1;3;1;42;9;3;6;1;1;2;2;2;1
;;7;Efdé - Kleefstra, L.;26;2;1;0;0;0;0;0;0;1;0;1;1;0;0;3;0;3;2;4;1;2;0;4;0;0;0;1;0
;;8;Rutte - Schipper, I.M.;29;2;2;2;3;2;0;0;0;0;1;0;0;2;5;1;0;1;0;2;0;0;1;0;3;0;1;1;0
;;9;Castelein, S.;34;0;0;1;0;0;1;1;0;2;0;0;0;1;4;2;0;3;1;5;2;1;9;1;0;0;0;0;0
;;10;van Woerden, H.R.;16;1;0;3;0;0;0;0;0;1;0;2;0;3;0;0;0;2;0;0;1;0;0;0;1;0;2;0;0
