Verkiezing;;Gemeenteraad Noardeast-Fryslân 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Noardeast-Fryslân;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Dokkum;Rehoboth Gemeente;Chr. Geref. Kerk de Oase;Gymzaal de Ljurk;De Fontein;Sporthal de Doelstien;Groen van Prinsterer;Sportzaal Kapellaan;De Doelstien 2;MFA de Dobbe;Dorpshuis De Nije Pôle;Dorpshuis De Terpring;Dorpshuis De Jister;Dorpshuis It Dykshûs;Dorpshuis d' Ald Skoalle;'t Sintrum;Lokaal De Gearkomst;De Schakel;Lokaal De Wynroas;De Stikel;Dorpshuis De Nespel;Nij Sion;Dorpshuis De Terp;Dorpshuis Tunawerth;Dorpshuis De Pipenâle;Gemeentehuis Kollum;De Colle;Pro Rege Kollum;Dorpshuis 't Trefpunt Kollumerpomp;M.F.C. Hústerwâld Oudwoude;M.F.C. De Tredder Westergeest;Dorpshuis De Trije Doarpen;Baptistengemeente 'De Thuishaven' Kollumerzwaag;Dorpshuis De Bosk Zwagerbosch;Dorpshuis Toutenburg Burum;Dorpshuis De Schans Munnekezijl;Gemeentehuis Ferwert;Doarpshûs De Nije Tille;MFC It Trefpunt;Offingaburg;MFC Het Spectrum;MFC Fjildsicht;Doarpshûs De Fjouwer;Dorpshuis De Tarin;Gemeentehuis Dokkum 14 maart;Gemeentehuis Dokkum 15 maart;Gemeentehuis Kollum 14 maart;Gemeentehuis Kollum 15 maart;Gemeentehuis Ferwert 14 maart;Gemeentehuis Ferwert 15 maart;MFA de Dobbe 14 maart;MFA de Dobbe 15 maart;Mobiel Stembureau 14 maart;Mobiel Stembureau 15 maart;Mobiel stembureau 3
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55
Postcode;;;;;9101 LP;9101 AB;9101 HX;9101 GX;9101 DG;9101 VP;9101 CL;9101 WB;9101 VP;9133 MA;9155 AM;9153 BR;9131 KM;9132 LL;9147 BM;9151 KN;9134 NM;9123 JV;9142 VT;9135 PN;9143 WG;9138 TB;9137 RW;9145 SE;9141 VH;9291 KB;9291 BS;9291 EM;9293 LL;9294 KP;9295 KC;9298 JP;9298 PT;9299 HT;9851 AR;9853 PH;9172 PJ;9073 HG;9074 CZ;9074 DV;9111 HH;9171 LM;9175 GG;9125 EG;9101 LP;9101 LP;9291 KB;9291 KB;9172 PJ;9172 PJ;9133 MA;9133 MA;9296 MB;9176 GE;9101 HX
;opgeroepenen;;;36337;1492;1343;1276;1053;1225;920;1311;1123;655;887;266;288;664;465;568;1230;279;739;364;192;311;357;704;1032;260;1612;1594;1490;369;743;754;1118;1156;539;629;400;1484;1106;1038;1044;1136;661;312;148;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;17686;599;664;553;468;751;234;543;651;387;371;174;151;306;197;251;506;159;336;163;99;129;241;377;461;129;575;535;618;184;273;310;495;476;212;246;143;496;509;546;363;530;315;176;102;255;316;176;255;107;158;55;115;116;69;60
;geldig volmachtbewijs;;;2111;0;56;65;50;82;28;40;77;43;44;19;18;41;30;29;66;30;34;25;18;7;22;43;66;17;73;66;83;26;44;45;71;69;25;34;9;80;52;85;44;60;40;25;15;20;51;22;33;12;22;8;20;14;5;8
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;19797;599;720;618;518;833;262;583;728;430;415;193;169;347;227;280;572;189;370;188;117;136;263;420;527;146;648;601;701;210;317;355;566;545;237;280;152;576;561;631;407;590;355;201;117;275;367;198;288;119;180;63;135;130;74;68
;geldige stembiljetten;;;19740;595;719;618;516;831;262;578;728;430;413;193;167;347;226;278;569;189;368;188;117;135;261;420;527;146;645;601;700;210;316;353;564;540;237;279;152;574;559;632;405;584;355;201;118;275;365;198;286;119;180;64;135;130;74;68
;blanco stembiljetten;;;24;1;0;0;0;0;0;4;0;0;1;0;2;0;0;1;1;0;1;0;0;0;0;0;0;0;2;0;1;0;0;1;2;0;0;1;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;ongeldige stembiljetten;;;33;3;1;0;2;2;0;1;0;0;1;0;0;0;1;1;2;0;1;0;0;0;2;0;0;0;2;0;0;0;1;0;0;4;0;0;0;0;2;0;2;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0
