Verkiezing;;Gemeenteraad De Fryske Marren 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente De Fryske Marren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Vrije Evangelische Gemeente De Brug;Party- en Zalencentrum 't Haske;Sporthal De Stuit;De Oerdracht;De Brede School;Woon- zorgcomplex De Werf;Doarpshûs;De Rank;MFS It Heechein;Dorpshuis Trefpunt;Kulturhûs;Dorpshuis De Sethage;Doarpshûs De Stjelp;De Hoekstien;Zorgcentrum Doniahiem, Wijkcentrum;Zalencentrum Sint Nyk;Doarpshûs 't Spantsje;Dorpshuis De Hichte;Verenigingsgebouw TV De Skarslach;De Klokkenstoel;Dorpshuis De Buorkerij;Wijkgebouw Us Haven;Verenigingsgebouw De Zandbanken;Buurthuis Sterrehuis;SCC De Hege Fonnen;Dienstencentrum Senioren;MFA De Steiger;Kerkgebouw Baptistengemeente;Café De Jister;SCC De Pomp;Dorpshuis De Brêge;Gaasterlânhûs;Zorgcentrum Talma Hiem, De Cirkel;Zalencentrum De Treemter;Dorpshuis Irene;Doarpshûs De Bining;Doarpshûs Nijemardum;MFC It Klif;MFC De Gearte;MFC De Skeakel;It Lokaal;Ons Gebouw;SCC De Poarte;Party- en Zalencentrum 't Haske (maandag);Zalencentrum Sint Nyk (maandag);SCC De Hege Fonnen (maandag);Gaasterlânhûs (maandag);Party- en Zalencentrum 't Haske (dinsdag);Zalencentrum Sint Nyk (dinsdag);SCC De Hege Fonnen (dinsdag);Gaasterlânhûs (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;101;102;103;104;105;106;107;108
Postcode;;;;;8501 AA;8501 EV;8501 BA;8501 NC;8501 NE;8501 HL;8501 BZ;8461 LD;8464 NH;8542 AB;8506 BH;8465 RC;8467 SK;8523 NW;8525 EL;8521 JT;8521 KA;8522 ME;8513 CM;8517 HZ;8511 AE;8493 LC;8531 JM;8531 LX;8531 MV;8531 MV;8531 GM;8531 BW;8531 NZ;8536 TS;8538 RB;8539 SH;8561 BC;8561 DD;8561 BK;8563 AJ;8565 GD;8566 JH;8567 JN;8574 SZ;8582 KX;8581 KB;8571 RH;8556 AA;8501 BA;8521 KA;8531 MV;8561 BC;8501 BA;8521 KA;8531 MV;8561 BC
;opgeroepenen;;;41602;1857;1506;1367;1440;1616;1597;1523;891;1369;288;523;1499;304;429;963;1395;1352;290;516;629;215;642;1075;1085;1134;1111;1126;1332;1600;900;508;1183;1064;1123;1037;524;315;452;1107;1077;254;288;500;596;0;0;0;0;0;0;0;0
;geldige stempas;;;21656;715;482;626;963;824;784;429;448;656;169;268;827;198;220;476;477;557;171;304;302;149;345;348;476;645;451;396;478;485;349;265;651;527;358;374;287;187;268;616;496;147;171;310;322;451;134;329;211;542;220;463;309
;geldig volmachtbewijs;;;2368;51;31;59;98;84;79;36;54;83;15;28;87;33;25;60;73;62;22;28;27;12;37;42;74;82;56;40;61;61;62;34;0;63;48;38;31;26;27;99;62;25;20;49;25;45;11;36;12;41;23;56;35
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;24024;766;513;685;1061;908;863;465;502;739;184;296;914;231;245;536;550;619;193;332;329;161;382;390;550;727;507;436;539;546;411;299;651;590;406;412;318;213;295;715;558;172;191;359;347;496;145;365;223;583;243;519;344
;geldige stembiljetten;;;23942;761;512;682;1058;907;862;463;498;738;183;296;908;228;245;536;549;617;193;332;327;161;382;388;548;725;507;435;539;545;409;297;649;582;406;408;317;211;292;714;551;171;191;358;346;496;144;365;223;581;243;519;344
;blanco stembiljetten;;;52;1;0;1;2;0;1;1;3;1;1;0;0;3;0;0;0;2;0;0;1;0;0;1;2;0;2;0;0;0;2;2;0;7;0;3;1;2;2;1;6;1;0;0;1;0;0;0;0;2;0;0;0
;ongeldige stembiljetten;;;27;2;1;1;1;1;0;1;1;0;0;0;5;0;0;0;1;0;0;0;1;0;0;1;0;2;0;1;0;1;0;0;2;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0
