Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Het gemeentehuis;Wijkcentrum De Utwyk;Wijkcentrum De Kouwe;Chr.Ger. Kerk;Sportcentrum Drachten;Buurthuis De Skûle;MOS - Brede School De Drait (A);Tienersoos Place 2 B (Dr.vaart);Wijkcentrum De Skammel;Basisschool 't Tweespan;Dorpshuis 't Bynt Boornbergum;Lokaliteit De Nije Kompe Dr.comp.;Dorpshuis De Huchte Houtigehage;Dorpshuis Op 'e Jister Nijega;Dorpshuis De Wringe Opeinde;MFC Oudega;Dorpshuis It Werflân;De Naturij;Dorpshuis De Tike;It Polderhûs;De Kakelhof;Sporthal De Drait;Sporthal De Waring;Trefpunt de Holdert;Watersportvereniging Drachten/De Veenhoop;Tennisvereniging Drachten;Dansschool Studio to B;Brede school de Wiken;Kerk de Oase;Adverium;Fonteinkerk;Het gemeentehuis;Het gemeentehuis;Dansschool Studio to B;Dansschool Studio to B;MOS - Brede School De Drait;MOS - Brede School De Drait;Sportcentrum Drachten;Sportcentrum Drachten;Brede school de Wiken;Brede school de Wiken
Gebiednummer;;;;;1;2;6;7;10;14;15;17;18;19;20;21;22;23;24;25;26;28;29;30;31;32;34;39;40;41;42;43;44;45;46;50;51;52;53;54;55;56;57;58;59
Postcode;;;;;9203 RM;9201 XE;9201 TE;9203 AN;9202 LC;9203 ND;9204 JT;9204 LM;9205 DE;9205 BN;9212 PK;9222 NA;9223 LB;9217 RL;9218 PP;9216 WE;9221 TD;9204 WS;9219 VM;9215 VZ;9218 PA;9204 CM;9207 DD;9203 DH;9213 VP;9207 AB;9203 HH;9202 GV;9201 GT;9202 PD;9201 BW;9203 RM;9203 RM;9203 HH;9203 HH;9204 JT;9204 JT;9202 LC;9202 LC;9202 GV;9202 GV
;;6;Veldkamp, J.J.;38;3;2;1;3;3;1;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;1;0;2;0;1;2;0;1;0;0;0;2;0;0;0;1;0;1;2;6
;;7;Jellema, W.;23;1;0;0;2;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;1;1;0;1;0;0;1;3;0;0;2;0
;;8;de Wit, D.L.A.;57;1;0;1;0;0;2;3;0;2;1;0;3;8;1;24;2;1;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1
;;9;Balgobind, H.K.;64;4;3;1;2;7;0;2;1;2;2;3;0;1;0;2;1;2;1;2;1;0;4;5;1;0;3;0;1;5;3;0;1;1;0;0;0;2;1;0;0;0
;;10;van der Meulen, L.;9;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;11;Landheer, Y.;34;1;0;1;1;1;2;2;0;2;3;0;2;1;0;0;0;1;0;0;1;1;0;1;0;0;2;3;1;3;0;2;0;1;1;0;0;1;0;0;0;0
;;12;van der Schaaf, J.;18;2;1;0;2;0;0;0;0;1;0;0;0;5;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;13;Flapper, T.;33;0;2;1;3;1;1;5;2;1;0;1;0;0;0;1;0;0;0;1;0;0;0;2;1;0;0;0;4;0;1;0;0;2;0;1;1;1;0;1;0;0
;;14;Schoppers, T.E.A.;9;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0
;;15;Munniksma, J.M.;34;3;2;0;0;0;2;7;0;0;0;0;0;0;0;0;2;1;0;0;1;0;2;2;0;1;1;2;0;0;0;0;0;1;0;0;2;3;0;0;0;2
;;16;Akkerman, S.;48;1;1;3;1;1;4;4;1;1;1;2;2;0;0;3;0;0;0;0;0;0;1;1;0;0;1;1;2;1;1;2;1;1;3;2;4;2;0;0;0;0
;;17;van Boekel-Bergsma, G.W.;42;0;1;1;0;1;0;1;0;0;1;3;4;1;0;13;4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;3;0;0;0;4;0;0;0;1
;;18;Lindeboom-Jager, A.;16;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1
;;19;van der Veen, G.A.;12;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;1;2;1;0;0;0;0
;;20;van Rees - Ultzen, H.A.;23;0;0;0;0;1;0;1;0;2;1;0;1;0;0;0;0;1;0;0;0;2;0;1;0;0;1;0;2;1;1;2;0;2;0;0;0;1;0;0;1;2
;;21;van der Grijn, A.;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;22;van der Schaaf, G.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;23;Kuipers, C.;25;2;0;2;2;0;1;1;1;0;0;0;2;0;0;1;2;1;1;0;0;0;0;2;0;2;0;0;2;0;0;0;0;1;0;0;1;0;0;0;1;0
5;Smallingerlands Belang;;;2141;61;92;82;67;102;59;110;55;78;54;70;67;45;24;84;104;28;39;8;18;38;47;101;30;24;39;49;101;65;44;49;31;57;4;28;39;50;17;22;20;39
;;1;Hofman, M.;888;21;38;22;31;32;27;38;20;38;25;39;36;19;11;34;74;11;12;4;14;13;12;43;9;7;17;22;40;25;20;23;12;25;1;11;11;22;6;8;7;8
;;2;Mast-Nikkels, J.;485;14;18;13;16;38;16;27;11;23;17;21;8;11;3;13;14;11;12;0;2;7;13;17;7;8;8;8;16;16;12;8;7;18;2;7;6;10;4;8;5;10
;;3;Bekius, D.J.C.;189;5;7;13;8;6;2;12;6;2;6;2;1;2;1;4;4;0;1;0;0;1;14;12;2;3;3;2;15;3;4;6;2;3;0;2;15;7;0;2;4;7
;;4;de Vries, S.;149;5;10;14;6;7;6;13;5;4;3;0;0;3;2;1;2;1;3;0;0;4;3;7;8;1;3;3;9;6;3;3;2;1;1;0;3;1;0;2;2;2
;;5;Kramer, A.E.;89;0;5;1;2;6;1;2;4;2;0;1;5;6;3;19;4;0;3;2;0;0;0;4;0;1;1;1;0;3;0;2;3;2;0;1;0;0;0;0;0;5
;;6;Boonstra, R.D.;62;3;1;0;2;5;2;5;3;1;1;1;5;0;0;2;0;0;2;0;0;1;3;3;2;2;0;3;5;2;0;1;0;0;0;3;1;1;1;0;0;1
;;7;de Groot, F.;49;2;0;3;0;0;2;2;0;0;1;1;1;0;3;10;0;3;0;1;0;2;1;0;0;0;1;0;2;4;0;2;0;2;0;2;1;0;2;0;1;0
;;8;Scholte, J.;31;0;2;2;0;0;1;3;0;4;0;0;2;3;0;0;0;0;2;0;1;2;0;2;0;0;0;0;1;1;0;0;0;0;0;0;2;1;0;0;0;2
;;9;Drost, A.;36;1;1;8;1;2;0;0;0;2;0;1;2;1;0;1;1;1;0;0;0;0;1;3;0;1;0;0;2;2;1;0;1;0;0;0;0;2;0;0;0;1
;;10;Mast, F.;48;3;2;3;0;2;2;3;3;0;0;1;1;0;0;0;3;1;1;1;1;3;0;4;0;0;1;2;5;1;1;1;0;0;0;0;0;2;0;0;0;1
;;11;Kloosterman, J.G.;29;1;4;3;1;0;0;1;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;3;3;0;0;0;0;2;5;0;0;0;0;0;0;0;0
;;12;de Groot, A.J.B.;11;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;2;0;0;0;0
;;13;Feenstra, A.Y.;55;4;2;0;0;3;0;4;3;0;0;3;2;0;1;0;0;0;2;0;0;1;0;4;0;0;1;5;5;2;1;2;1;1;0;0;0;2;4;1;0;1
;;14;Does, A.M.;20;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;1;1;0;1;0;1;1;1;0;0;0;0;0;0;1;1;1
6;VVD;;;1956;118;41;17;53;57;86;104;130;42;63;81;43;20;17;74;69;56;62;23;14;46;36;76;17;72;77;44;23;40;10;17;59;76;8;11;41;70;12;16;17;18
;;1;Molhoek, M.C.;988;55;19;7;25;28;49;50;74;14;36;39;25;15;7;41;29;20;28;7;11;22;16;38;13;40;46;12;14;18;5;4;41;41;1;5;20;40;6;9;8;10
;;2;Elzer-Rombouts, D.M.W.;435;19;9;3;11;10;16;33;34;17;15;19;8;2;5;14;6;8;14;2;2;6;12;19;2;16;17;11;7;11;2;5;13;22;1;2;11;17;2;2;6;4
;;3;Kooistra, R.W.A.;132;16;6;4;5;6;5;8;9;3;1;4;0;0;0;3;1;1;1;4;1;6;1;6;0;3;4;5;1;4;0;2;1;7;1;0;2;3;2;2;3;1
;;4;Bleeker, G.;48;1;2;0;1;2;0;0;0;0;1;0;0;0;0;7;26;0;0;0;0;1;1;1;0;1;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;5;Hoekstra, S.;68;4;0;0;3;2;0;1;0;0;1;2;6;2;0;3;4;20;3;0;0;4;0;0;1;3;1;1;0;2;0;1;0;1;0;0;1;0;1;1;0;0
;;6;Posthuma, R.M.;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Visser, B.H.;8;0;0;0;1;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Molhoek, D.M.;23;2;0;0;1;1;0;3;1;0;1;3;0;0;2;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;1;0;0;0;2;1;1;0;0;0
;;9;Dijksman, J.A.;30;1;0;0;3;0;1;0;4;2;1;0;0;0;0;2;1;0;7;0;0;0;2;1;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;10;van der Kuur, M.E.;33;6;0;0;0;0;5;0;1;0;1;1;1;0;0;0;0;1;1;1;0;0;0;3;0;0;2;5;0;0;0;2;0;0;0;0;2;1;0;0;0;0
;;11;Oosterbaan, W.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;8;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Deelstra, S.;18;0;1;0;1;0;0;0;1;0;0;3;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;2;3;0;1;0;0
;;13;Tromp-Brouwer, S.;46;5;1;0;1;3;2;1;0;3;0;9;1;0;0;2;0;1;0;0;0;2;1;1;1;1;2;2;1;2;0;0;0;2;0;0;0;2;0;0;0;0
;;14;van der Sluis, M.M.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Jonkers, L.C.B.;39;4;0;2;0;1;4;1;1;0;0;0;2;0;3;0;0;0;0;0;0;3;0;2;0;1;2;0;0;1;0;0;2;2;1;2;1;1;0;1;0;2
;;16;Hietkamp, A.S.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Drogen, D.;32;2;1;1;0;3;0;1;2;2;5;0;0;0;0;0;0;0;2;0;0;0;0;2;0;3;2;0;0;0;0;1;0;1;2;2;0;0;0;0;0;0
;;18;Potjer, B.J.;30;3;1;0;1;1;4;4;2;0;1;0;0;1;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;2;2;1;0;0;0;0;1;0;0;0;0
7;SP (Socialistische Partij);;;2253;103;124;87;85;68;73;95;36;101;53;75;53;46;13;48;54;50;54;6;12;22;51;117;33;11;42;49;129;50;29;84;42;71;25;18;45;66;18;35;26;54
;;1;van der Molen, R.J.;1261;48;67;51;56;42;51;54;12;59;31;40;32;38;7;33;30;29;25;3;7;12;30;64;23;3;17;28;65;34;15;38;29;40;15;9;25;30;8;16;17;28
;;2;Al Sari, J.M.A.;173;15;10;3;12;6;0;8;7;11;2;5;4;0;0;2;2;3;6;0;0;4;1;6;0;2;4;5;16;2;4;11;0;4;5;0;2;6;3;1;0;1
;;3;van Leeuwen, A.;80;2;5;1;2;0;1;8;1;6;1;1;1;0;0;2;1;2;1;0;0;2;3;1;0;0;2;2;2;1;1;6;3;2;1;1;7;5;1;0;0;5
;;4;Vos, R.H.;37;3;0;2;0;0;1;2;1;0;0;0;0;0;0;0;5;0;1;0;0;0;1;3;1;0;0;1;1;1;0;2;0;3;1;0;3;2;0;0;1;2
;;5;Ruchti, J.J.I;378;16;21;13;8;9;11;12;11;18;10;17;8;4;4;7;11;8;12;1;4;2;12;24;3;2;14;7;22;6;4;13;4;9;1;3;6;12;5;13;4;7
;;6;Koppers, A.P.A.;15;3;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;2;0;0;0;1;0;0;0;1;0;0;1;0;0
;;7;Wijnja, S.J.;30;1;2;3;1;2;0;0;0;0;0;2;0;0;0;0;0;1;2;1;0;0;1;0;0;2;0;0;4;0;1;0;1;2;0;0;0;1;0;1;2;0
;;8;Boonstra, J.;16;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;2;0;0;0;0;3;0;1;0;0;0;0;0;2
;;9;Tuinstra, A.;18;1;0;2;1;0;0;0;2;0;1;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;2;0;0;0;0;0;0;0;1
;;10;Hazenberg, C.T.;19;1;1;2;2;0;1;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1
;;11;Hoogeveen, H.;11;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;1
;;12;Zeilstra, S.J.;10;1;0;1;0;0;2;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0
;;13;Hendriks, D.J.;46;2;7;1;0;0;0;4;1;2;2;2;2;1;0;0;1;0;4;0;0;0;1;5;2;0;0;1;1;1;1;1;0;0;1;2;0;0;0;0;1;0
;;14;Vos, P.C.;7;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;15;Timmerman, J.R.;61;2;7;0;0;2;1;4;1;2;1;1;1;1;1;1;0;1;0;0;0;1;0;7;0;0;1;0;4;0;0;6;2;4;1;0;0;4;0;1;1;3
;;16;Nijboer, G.;91;4;4;5;3;6;3;1;0;0;2;3;3;1;1;2;2;4;3;0;1;1;1;4;0;2;1;2;6;2;2;5;2;2;0;2;1;5;0;2;0;3
8;D66;;;1645;93;44;17;26;47;75;116;82;53;80;50;21;9;4;29;30;31;60;6;13;23;67;84;12;47;67;29;30;35;13;18;49;54;14;17;50;79;13;12;16;30
;;1;Postma-Drent, R.F.;787;36;21;8;11;19;33;46;33;33;44;26;13;1;1;17;19;14;30;3;5;12;29;38;5;28;30;15;15;19;6;11;27;25;4;11;22;38;7;8;9;15
;;2;Meijer, E.G.;189;12;8;7;4;9;10;22;13;3;9;4;2;0;0;1;2;3;10;0;3;0;15;2;0;1;3;1;4;2;0;2;7;4;5;0;4;11;1;1;1;3
;;3;Bruinsma, S.E.;56;4;2;0;0;2;4;2;5;2;6;0;0;1;0;0;0;0;2;0;0;0;2;3;1;2;4;1;0;0;0;1;1;1;0;1;2;2;1;0;1;3
;;4;Klasema-Meister, J.E.;435;28;9;1;6;12;20;32;23;12;11;14;5;2;2;8;6;13;9;3;3;5;17;33;5;12;27;10;7;11;5;4;8;17;2;5;16;21;2;2;3;4
;;5;Oppedijk, J.J.;19;0;1;0;2;0;0;1;1;0;0;2;0;0;0;2;3;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;1;0;0;0;0;0
;;6;Beerda-Hoogeveen, J.;60;6;1;1;1;1;2;4;2;3;3;3;0;0;0;0;0;0;3;0;2;1;4;2;1;2;0;1;0;1;1;0;1;2;2;0;0;5;2;1;1;1
;;7;Pronk, R.A.F.;17;0;0;0;0;1;0;0;2;0;0;0;1;4;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;2;0;0;4;0;0;0;0;0
;;8;Gomis, H.F.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Mahabier, Y.R.;15;1;0;0;0;0;0;4;0;0;2;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;10;Boomstra, H.;22;2;0;0;1;1;2;0;1;0;4;0;0;0;1;1;0;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1
;;11;Keun, E.;9;3;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Torsius, S.;14;0;1;0;1;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;1;0;0;1;0;0;0;0
;;13;Peters, I.M.;11;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;14;van der Leck, R.R.;10;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1
9;GROENLINKS;;;1693;88;65;22;56;50;65;111;40;69;73;58;22;16;8;48;40;40;74;10;10;17;55;86;23;36;50;32;46;27;19;24;36;65;19;19;45;59;14;12;13;31
;;1;Meinsma, L.;1284;70;47;19;48;35;54;78;28;52;56;46;18;15;5;29;29;28;48;9;7;10;40;64;18;30;40;25;33;21;14;17;28;53;17;16;37;46;11;9;11;23
;;2;Lesterhuis, P.R.;97;1;5;0;3;3;4;9;2;1;7;4;1;0;1;3;4;4;10;0;0;3;3;4;1;1;3;3;2;1;0;1;2;2;0;0;1;6;1;1;0;0
;;3;Booi, J.P.;56;4;3;0;1;2;0;3;5;3;2;3;0;0;0;1;3;1;2;0;1;0;1;2;1;1;2;0;1;3;1;0;2;2;0;0;2;3;0;0;0;1
;;4;de Ruiter, P.;34;1;3;0;0;1;0;5;0;1;0;0;1;0;1;10;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;1;2
;;5;ter Doest, N.;188;10;4;2;4;7;6;14;5;11;7;4;2;1;1;2;3;4;12;1;2;4;10;14;1;2;5;3;8;2;4;5;4;7;0;2;4;2;1;2;1;5
;;6;Hagen, J.;9;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;7;Keuning, H.D.;25;2;3;1;0;2;1;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;1;1;2;0;1;1;0;0;1;0;1;0;1;1;0;0;0;0;0
10;FNP;;;1237;53;39;27;25;18;41;36;20;22;22;85;61;44;27;46;45;128;16;17;19;17;11;37;13;24;41;36;45;26;14;20;31;27;14;13;19;19;6;10;11;12
;;1;Oosterhof, D.;696;25;23;15;14;11;23;24;11;12;13;59;22;23;13;27;21;28;12;12;10;14;4;24;10;18;23;26;22;19;12;17;23;21;11;8;11;9;5;6;7;8
;;2;Tsai, K.E.;154;12;5;3;7;3;11;4;1;4;1;7;6;5;2;8;1;19;1;2;4;1;4;4;2;2;8;0;7;2;0;1;0;5;2;1;2;3;0;1;1;2
;;3;Sijtsma, S.;20;3;0;1;0;2;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;2;1;0;0;1;1;0;0;0;0
;;4;Pietersma, B.J.;15;2;1;0;2;0;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Gorter, F.;54;0;2;2;0;1;0;1;1;0;2;1;14;3;1;1;0;2;0;0;0;1;1;0;0;1;3;0;6;1;2;0;0;0;0;2;2;3;0;0;0;1
;;6;Bosma, A.W.;73;3;0;0;0;0;0;0;0;0;0;0;1;1;1;3;1;51;0;0;0;0;0;3;0;1;0;1;2;0;0;0;0;0;0;0;1;0;1;3;0;0
;;7;Lap, W.;23;1;1;0;0;0;0;2;1;0;0;0;2;3;0;0;0;5;0;0;0;0;0;1;0;0;1;2;0;0;0;1;0;0;0;0;1;0;0;0;1;1
;;8;Bekkema, A.;33;2;4;2;1;1;0;0;1;2;0;2;0;0;0;0;0;0;0;2;0;0;1;1;0;0;1;2;1;3;0;1;3;0;0;2;0;0;0;0;1;0
;;9;van der Heide, G.;38;1;1;1;0;0;0;0;0;0;1;0;0;2;6;5;18;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;10;Hoekstra-Klaren, S.H.;48;2;0;1;1;0;0;3;0;1;0;0;7;5;0;0;1;19;0;0;0;0;0;0;0;0;2;1;3;0;0;0;0;0;0;0;0;2;0;0;0;0
;;11;Mous, H.J.;12;0;0;0;0;0;1;0;0;0;0;0;7;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;van Houten, M.;5;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Jonkman, R.;7;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;14;de Vries-van der Vlugt, J.T.;23;0;0;0;0;0;0;0;2;0;0;11;0;0;1;1;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0
;;15;Hiemstra, S.T.;11;0;2;0;0;0;1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0
;;16;Krol-Benedictus, G.;25;1;0;2;0;0;0;0;2;1;2;4;0;1;1;0;2;1;1;0;0;0;0;2;1;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0
11;JEZUS LEEFT;;;419;20;11;19;9;19;11;13;5;33;10;36;18;6;3;18;10;13;9;2;3;9;9;12;1;1;3;17;24;14;11;10;0;9;1;4;1;6;0;3;9;7
;;1;Teeninga, G.;419;20;11;19;9;19;11;13;5;33;10;36;18;6;3;18;10;13;9;2;3;9;9;12;1;1;3;17;24;14;11;10;0;9;1;4;1;6;0;3;9;7
