Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Het gemeentehuis;Wijkcentrum De Utwyk;Wijkcentrum De Kouwe;Chr.Ger. Kerk;Sportcentrum Drachten;Buurthuis De Skûle;MOS - Brede School De Drait (A);Tienersoos Place 2 B (Dr.vaart);Wijkcentrum De Skammel;Basisschool 't Tweespan;Dorpshuis 't Bynt Boornbergum;Lokaliteit De Nije Kompe Dr.comp.;Dorpshuis De Huchte Houtigehage;Dorpshuis Op 'e Jister Nijega;Dorpshuis De Wringe Opeinde;MFC Oudega;Dorpshuis It Werflân;De Naturij;Dorpshuis De Tike;It Polderhûs;De Kakelhof;Sporthal De Drait;Sporthal De Waring;Trefpunt de Holdert;Watersportvereniging Drachten/De Veenhoop;Tennisvereniging Drachten;Dansschool Studio to B;Brede school de Wiken;Kerk de Oase;Adverium;Fonteinkerk;Het gemeentehuis;Het gemeentehuis;Dansschool Studio to B;Dansschool Studio to B;MOS - Brede School De Drait;MOS - Brede School De Drait;Sportcentrum Drachten;Sportcentrum Drachten;Brede school de Wiken;Brede school de Wiken
Gebiednummer;;;;;1;2;6;7;10;14;15;17;18;19;20;21;22;23;24;25;26;28;29;30;31;32;34;39;40;41;42;43;44;45;46;50;51;52;53;54;55;56;57;58;59
Postcode;;;;;9203 RM;9201 XE;9201 TE;9203 AN;9202 LC;9203 ND;9204 JT;9204 LM;9205 DE;9205 BN;9212 PK;9222 NA;9223 LB;9217 RL;9218 PP;9216 WE;9221 TD;9204 WS;9219 VM;9215 VZ;9218 PA;9204 CM;9207 DD;9203 DH;9213 VP;9207 AB;9203 HH;9202 GV;9201 GT;9202 PD;9201 BW;9203 RM;9203 RM;9203 HH;9203 HH;9204 JT;9204 JT;9202 LC;9202 LC;9202 GV;9202 GV
;aangetroffen stembiljetten;;;23098;1019;866;510;639;724;927;1232;636;695;698;894;534;296;230;755;758;657;607;148;172;371;566;1005;299;407;656;550;763;576;275;474;563;783;193;260;527;818;158;228;234;395
;meer stembiljetten dan toegelaten kiezers;;;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Eérste Lokale Partij (ELP);;;2172;106;90;53;42;64;97;173;68;66;78;68;23;19;8;50;33;28;50;7;29;35;67;91;35;68;63;45;68;38;33;38;69;75;26;20;65;100;13;13;16;42
;;1;de Vries, I.;1254;65;37;33;21;31;50;123;46;41;49;39;10;8;3;35;14;14;34;4;15;21;41;45;30;41;27;25;35;26;15;22;46;49;13;10;44;53;3;7;7;22
;;2;de Jong- Snip, S.M.;300;12;10;6;6;8;17;19;6;8;12;6;9;6;3;6;5;1;8;0;5;7;11;11;2;6;11;8;14;5;9;5;6;8;3;1;13;13;1;3;4;6
;;3;Bolt, J.M.;136;7;8;2;0;3;6;10;6;5;5;4;0;1;1;4;2;0;1;0;4;2;5;9;1;15;3;3;1;1;3;1;3;2;4;4;0;7;0;1;0;2
;;4;Postma- Velsen, V.;49;0;0;1;3;5;2;1;0;5;1;1;0;0;0;0;1;1;0;0;0;1;2;2;1;0;4;0;4;1;2;1;1;0;1;0;0;1;5;0;1;1
;;5;de Boer, W.;23;2;0;0;0;2;5;1;0;1;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;2;0;0;0;0;0;0;1;0;0;1;0;0;1;0
;;6;Hofstee, H.;49;3;4;1;6;2;5;0;0;0;1;1;0;0;0;2;0;0;0;0;1;0;1;3;0;0;4;1;3;2;0;0;1;1;0;0;0;3;0;2;1;1
;;7;Lamsma, G.;28;1;0;2;3;0;1;0;0;2;0;2;0;1;0;0;0;0;0;2;0;0;1;6;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3
;;8;Sikkema, S.J.;38;5;15;0;1;2;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;1;1;1;1;0;0;0;0;1;0;0;1
;;9;Hogeveen, A.;55;1;12;2;1;3;2;2;0;1;3;1;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;2;1;0;1;3;2;3;2;1;2;4;2;0;0;0
;;10;Deutekom, T.H.J.;38;1;1;0;0;0;1;3;4;0;0;4;0;0;0;0;1;0;0;0;2;0;0;3;0;5;2;0;0;0;0;0;4;0;0;2;0;5;0;0;0;0
;;11;van der Wal, T.;31;0;1;1;0;0;1;4;3;0;0;3;0;0;0;0;2;1;0;0;0;0;3;5;0;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2
;;12;Bosma, M.D.;34;1;1;1;0;6;3;1;0;0;1;1;0;0;0;0;0;3;2;0;0;0;0;1;0;1;1;0;1;0;0;1;0;1;1;0;1;5;1;0;0;0
;;13;Kuperus, S.W.;12;3;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0
;;14;Lamsma, S.D.;8;0;0;0;0;0;2;0;1;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;15;Kuindersma, N.C.;21;1;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;2;4;0;0;1;0;2;1;0;0;2;0;0;0;0
;;16;Postma, G.M.J.;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;17;van Riezen, M.M.C.;4;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Delfsma, T.J.;21;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;5;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;2;0;0;2;2
;;19;Dijkstra- Veenstra, M.A.;6;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Adema, J.;15;1;0;2;0;0;0;1;0;0;0;0;0;0;0;2;6;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;21;Borg, A.P.A.J.;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0
;;22;Nieuwenhuis, C.;8;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0
;;23;Groeneveld, E.;9;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0
;;24;Bakker, W.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1
