Verkiezing;;Gemeenteraad Terschelling 2022;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;
Gebied;;Gemeente Terschelling;;;;;;;;;
Nummer;;0093;;;;;;;;;
;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Dorpshuis De Stoek;Stembureau ET10;Stembureau Katholieke kerk Midsland;Stembureau Westerkerk;Stembureau Sportzaal West-Terschelling;Stembureau Dorpshuis de Stoek 15-3;Stembureau Sportzaal West-Terschelling 14-3
Gebiednummer;;;;;1;2;3;4;5;6;7
Postcode;;;;;8896 JG;8891 HT;8891 GJ;8881 AD;8881 CJ;8896 JG;8881 CJ
;;3;Lugt, C.T.;26;0;0;6;10;9;1;0
;;4;Jongsma, J.;36;5;1;2;3;16;6;3
;;5;Smit, J.W.;92;11;10;38;3;13;7;10
;;6;van Zwol, M.K.;55;9;4;14;8;9;6;5
;;7;Lok, H.F.;38;3;4;11;2;9;7;2
;;8;Medemblik, R.;11;0;0;0;4;7;0;0
;;9;Tjittes, R.P.J.L.;7;3;2;0;2;0;0;0
;;10;Lagerweij, F.;14;0;4;3;0;3;3;1
;;11;Luidenga, P.G.;4;0;0;2;0;2;0;0
;;12;Kuiper, A.;1;1;0;0;0;0;0;0
;;13;Terpstra, R.;2;1;0;1;0;0;0;0
;;14;Terpstra, N.;1;0;0;0;0;1;0;0
;;15;Moes, G.W.;6;0;0;1;2;1;1;1
;;16;Wiegman-Faas, A.G.;1;0;0;1;0;0;0;0
;;17;Hoekstra-Sikkema, J.;6;0;1;1;3;1;0;0
3;Plaatselijk Belang Terschelling;;;729;116;50;156;131;141;73;62
;;1;Muijskens, C.;171;36;8;36;18;27;26;20
;;2;Bultena, R.E.;87;13;6;18;17;21;6;6
;;3;Smit, J.C.;60;11;10;14;5;2;14;4
;;4;van de Linde, P.D.;34;3;0;4;10;11;2;4
;;5;Groeneveld, W.J.;37;9;2;6;5;6;4;5
;;6;Wortel, G.M.;49;11;1;9;9;13;4;2
;;7;Buren, R.;17;3;3;9;0;0;2;0
;;8;van Dieren, G.J.;49;7;5;11;10;11;2;3
;;9;van Zwol, I.J.;2;1;1;0;0;0;0;0
;;10;Smit, J.F.;15;1;0;5;4;4;0;1
;;11;Westenenk, W.J.M.;24;1;2;10;3;7;0;1
;;12;Doeksen, M.N.;67;11;9;15;15;7;4;6
;;13;Hensen, P.;53;1;1;6;20;15;6;4
;;14;de Boer, D.O.;32;3;0;2;12;10;1;4
;;15;van Witzenburg, P.;24;1;2;10;2;6;1;2
;;16;Smit, S.C.;8;4;0;1;1;1;1;0
4;CDA;;;352;60;26;79;61;68;19;39
;;1;van der Wielen, H.K.;159;28;13;33;31;29;7;18
;;2;van 't Leven - Lodder, M.;74;14;6;16;8;14;7;9
