Verkiezing;;Gemeenteraad Montfoort 2022;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;
Gebied;;Gemeente Montfoort;;;;;;;;;;;;;
Nummer;;0335;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Zalencentrum St. Joseph;Sporthal Hofland;Sporthal Hofland;School met de Bijbel;Zwembad het Knopenbad;Sporthal De Vaart;Sporthal De Vaart;Zalencentrum St. Joseph maandag 14 maart;Zalencentrum St. Joseph dinsdag 15 maart;Sporthal De Vaart maandag 14 maart;Sporthal De Vaart dinsdag 15 maart
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11
Postcode;;;;;3417 HL;3417 TA;3417 TA;3417 EN;3417 AM;3461 GA;3461 GA;3417 HL;3417 HL;3461 GA;3461 GA
;opgeroepenen;;;10910;1795;2006;1213;1612;1250;1194;1840;0;0;0;0
;geldige stempas;;;6328;700;721;700;873;585;543;760;317;529;240;360
;geldig volmachtbewijs;;;820;84;108;78;138;86;60;103;43;61;21;38
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;7148;784;829;778;1011;671;603;863;360;590;261;398
;geldige stembiljetten;;;7114;779;829;777;1007;666;598;863;358;581;260;396
;blanco stembiljetten;;;19;1;0;0;3;4;4;0;0;7;0;0
;ongeldige stembiljetten;;;13;3;0;0;1;1;1;0;2;2;1;2
;aangetroffen stembiljetten;;;7146;783;829;777;1011;671;603;863;360;590;261;398
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;1;0;1;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;1;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;1;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;819;111;134;112;152;83;26;53;45;68;10;25
;;1;Andriessen, M.;425;62;83;63;76;37;5;21;23;37;4;14
;;2;van Rooijen, F.;74;8;6;11;20;8;0;0;8;11;0;2
;;3;Sieben, A.J.;164;32;34;15;29;27;1;4;8;10;1;3
;;4;Breedveld, C.A.J.;34;3;3;11;7;1;0;0;4;5;0;0
;;5;Huisman, S.A.M.;32;0;1;0;2;0;13;12;1;0;1;2
;;6;Ywema, D. J.;6;0;2;3;0;0;0;0;0;1;0;0
;;7;Francis, S.J.;17;0;1;1;0;1;4;7;0;1;0;2
;;8;Kromwijk, R.G.M.;20;2;1;3;7;1;0;4;1;0;1;0
;;9;Gerritsen, N.;25;2;3;4;8;6;0;0;0;1;1;0
;;10;de Wit, J.E.;22;2;0;1;3;2;3;5;0;2;2;2
2;Progressief Akkoord;;;1006;106;128;109;127;110;68;106;56;95;42;59
;;1;van der Horst, E.M.;539;59;86;74;79;69;25;22;32;67;12;14
;;2;Pennarts, P.M.;152;25;25;16;32;21;0;3;16;14;0;0
;;3;van Eijk-Eling, A.E.;171;3;3;3;5;3;34;72;0;3;20;25
;;4;Vink, E.J.B.;16;0;1;0;0;0;1;3;0;0;3;8
;;5;Hammendorp, L.;28;10;2;1;1;5;0;0;2;7;0;0
;;6;Snoek, L.A.W.;16;2;2;5;1;1;0;1;1;1;0;2
;;7;van Dijk, J.H.J.M.;12;0;2;2;0;0;2;1;0;0;1;4
;;8;Bovens, J.L.T.J.M.;8;1;3;0;1;2;0;0;0;1;0;0
;;9;Goedvolk, P.A.M.;8;0;0;0;0;2;2;0;2;0;1;1
;;10;Hochschild, K.G.;4;0;0;0;2;2;0;0;0;0;0;0
;;11;Pennarts, C.M.;10;4;1;0;2;1;0;0;0;2;0;0
;;12;Hummel, A.;10;0;1;2;1;3;0;0;3;0;0;0
;;13;Smit, A.T.E.;7;1;2;3;0;0;0;0;0;0;0;1
;;14;van Elzakker, J.A.P.M.;12;0;0;0;0;0;3;3;0;0;5;1
;;15;klein Gunnewiek, W.J.F.;4;0;0;2;1;0;0;0;0;0;0;1
;;16;van Seeters, W.R.H.;5;1;0;1;2;0;0;0;0;0;0;1
;;17;Nooren, J.E.A.M.;4;0;0;0;0;1;1;1;0;0;0;1
3;CDA;;;952;104;130;118;124;77;63;112;51;106;28;39
;;1;van Kooten, N.M.;515;68;71;61;83;45;15;35;34;80;8;15
;;2;Verweij, E.P.;89;7;15;11;5;5;16;11;1;7;6;5
;;3;Severs, G.N.H.;95;8;20;16;8;5;25;1;5;7;0;0
;;4;van den Berg, A.M.;78;2;6;2;4;5;0;36;1;1;9;12
;;5;Veldman, D.;8;0;0;0;0;1;0;5;0;0;1;1
;;6;van Eijk, B.;12;0;0;0;0;1;2;5;0;0;2;2
;;7;de Goeij w/v de Wit, A.W.M.;32;8;1;3;7;5;0;0;3;4;1;0
;;8;Nagel, E.;16;3;2;2;2;1;0;0;4;2;0;0
;;9;van Kortenhof, P.M.E.;4;0;1;0;1;0;0;0;0;2;0;0
;;10;Birkhoff, C.J.;14;1;4;4;4;1;0;0;0;0;0;0
;;11;van Kooten, E.G.;9;1;0;4;2;1;0;0;0;1;0;0
;;12;Schimmel, A.D.;32;3;3;6;2;1;3;12;0;1;1;0
;;13;Veltman, R.K.;7;0;1;4;1;1;0;0;0;0;0;0
;;14;Tiggeloven, A.B.M.;6;1;3;0;1;0;0;0;1;0;0;0
;;15;Vendrig e/v Vlooswijk, C.M.;6;0;1;2;0;1;0;0;1;1;0;0
;;16;Vinkenburg, J.H.W.M.;4;0;0;0;0;0;1;1;0;0;0;2
;;17;Heuver, H.A.;2;0;0;2;0;0;0;0;0;0;0;0
;;18;Vlooswijk, J.A.;9;1;0;0;1;0;1;4;0;0;0;2
;;19;Treur, H.;1;0;0;0;0;1;0;0;0;0;0;0
;;20;Scheper, R.;0;0;0;0;0;0;0;0;0;0;0;0
;;21;De Koning, A.M.J.;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Vlaar, J.L.M.;4;1;1;0;0;0;0;2;0;0;0;0
;;23;van der Stok, W.;9;0;1;1;3;3;0;0;1;0;0;0
4;Lokaal Montfoort;;;2047;274;262;210;250;217;162;212;124;163;78;95
;;1;Jonkers, C.L.;663;106;113;81;106;77;15;21;57;67;9;11
;;2;Herben, M.;429;19;11;11;15;11;87;133;11;15;53;63
;;3;Verschuur, S.G.M.;200;31;36;33;27;23;7;10;18;13;0;2
;;4;van Lieshout, D.Q.;241;53;29;33;44;39;0;0;19;23;0;1
;;5;Hoogstraten, L.G.M.;25;6;6;1;4;2;0;0;3;3;0;0
;;6;van der Veen, A.;18;4;0;7;1;0;0;1;1;4;0;0
;;7;Vlaanderen, H.;27;0;1;6;4;13;2;0;0;1;0;0
;;8;Menting, E.P.M.T.;123;4;1;1;3;1;47;35;1;2;14;14
;;9;Adrichem, S.;84;21;13;11;10;12;0;0;5;12;0;0
;;10;Benschop, T.M.L.;45;2;17;8;8;2;0;0;3;5;0;0
;;11;van der Does, M.;37;7;10;3;3;9;0;0;2;2;0;1
;;12;Bruin, A.D.;8;0;3;0;1;2;0;0;1;1;0;0
;;13;Herben, J.W.A.J.;22;0;0;0;3;0;4;10;0;0;2;3
;;14;de Kamper, H.J.;13;4;2;0;2;1;0;0;1;3;0;0
;;15;Doesburg, C.S.;69;10;8;8;13;20;0;2;1;7;0;0
;;16;Jonkers, A.E.;2;0;1;0;0;1;0;0;0;0;0;0
;;17;van de Kamp, H.;20;2;2;6;3;2;0;0;0;5;0;0
;;18;Huisman, M.J.;21;5;9;1;3;2;0;0;1;0;0;0
5;Inwonersbelangen Montfoort Linschoten;;;641;69;76;81;82;74;41;65;39;60;20;34
;;1;Verkaik, E.;287;38;44;40;40;33;7;14;20;38;7;6
;;2;Burgers, G.B.W.;37;8;6;9;2;5;2;0;2;1;0;2
;;3;Borst-Kruithof, K.;101;5;5;8;7;6;20;26;4;2;9;9
;;4;Boer, W.J.;38;0;1;0;2;0;6;17;0;0;2;10
;;5;Lammerse, C.F.;21;2;2;2;3;7;0;0;0;5;0;0
;;6;Benschop, S.F.;49;3;4;13;13;10;0;0;0;4;0;2
;;7;Scholten, R.M.;2;0;2;0;0;0;0;0;0;0;0;0
;;8;Verheij, S.;9;2;1;2;1;2;0;1;0;0;0;0
;;9;Meerkerk, G.;13;0;4;0;2;6;0;0;0;1;0;0
;;10;van Schajik, A.;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Lekkerkerker-Baelde, M.M.;8;1;1;1;4;0;0;0;0;1;0;0
;;12;Borst, W.J.;7;0;0;0;0;1;3;2;0;0;0;1
;;13;Olaya Camacho, Z.S.;2;1;0;0;0;1;0;0;0;0;0;0
