Verkiezing;;Gemeenteraad De Bilt 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente De Bilt;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0310;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Jagtlust;Stembureau VvSo WVT;Stembureau Oosterlichtkerk;Stembureau De Woudkapel;Stembureau Centrumkerk;Stembureau OLV kerk;Stembureau NOVA kantine;Stembureau Kees Boekehal;Stembureau HF Witte Centrum;Stembureau Gebouw van het Rode Kruis;Stembureau MENS Servicecentrum De Bilt;Stembureau RK Michaelkerk;Stembureau Ontmoetingskerk;Stembureau SOJOS (Jongerencentrum);Stembureau De Groene Daan;Stembureau Dorpshuis Hollandsche Rading;Stembureau Dorpshuis Westbroek;Stembureau Jagtlust (14-3-22);Stembureau HF Wittecentrum (14-3-22);Stembureau Centrumkerk (14-3-22);Stembureau SOJOS (14-3-22);Stembureau Jagtlust (15-3-22);Stembureau HF Witte Centrum(15-3-22);Stembureau Centrumkerk (15-3-22);Stembureau SOJOS (15-3-22)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;30;31;32;33;34;35;36;37
Postcode;;;;;3721 AB;3721 EA;3721 MJ;3723 JG;3722 GR;3723 KR;3721 WZ;3723 BA;3731 CL;3732 BA;3732 EV;3731 EE;3738 VC;3738 CB;3737 RK;3739 KM;3615 AG;3721 AB;3731 CL;3722 GR;3738 EB;3721 AB;3731 CL;3722 GR;3738 CB
;;17;le Poole, S.M.;13;1;1;0;1;2;0;0;0;1;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;18;Hoven, K.I.;41;7;1;0;3;4;2;0;2;3;5;2;1;1;1;1;1;0;1;0;0;0;3;1;2;0
2;VVD;;;2698;236;77;66;446;213;199;18;97;176;60;46;83;73;34;136;151;29;91;49;70;11;117;78;117;25
;;1;Jacobs, R.P.;1325;108;47;33;244;110;104;12;57;87;31;23;28;30;10;51;33;18;39;21;50;5;69;40;69;6
;;2;Klyan, K.;450;51;15;15;53;35;33;4;16;42;11;7;18;10;3;23;13;5;20;7;12;1;15;18;21;2
;;3;Lelivelt, C.J.H.M.;51;6;5;5;4;4;2;0;2;0;2;1;0;1;0;1;0;2;5;3;1;0;0;2;5;0
;;4;Dalmeijer, E.;112;0;1;0;0;1;0;0;1;0;1;0;0;3;2;1;95;0;0;0;1;0;0;1;0;5
;;5;Ruigrok, K.A.;130;6;0;5;4;4;2;0;0;32;6;5;31;2;0;3;1;0;4;9;3;0;3;9;1;0
;;6;Kloos, H.H.;21;3;2;0;6;5;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;7;Valk, A.J.M.;86;5;0;1;40;4;8;0;3;3;0;0;0;1;1;0;3;0;2;1;0;0;6;0;8;0
;;8;Klein Lankhorst, H.;142;12;3;4;30;29;13;2;6;4;4;3;2;1;3;3;1;1;5;2;2;0;9;2;1;0
;;9;Dimitroff, C.L.H.;29;3;0;1;6;3;2;0;2;2;0;0;1;0;0;0;4;0;0;1;0;0;1;0;3;0
;;10;Verveld, M.A.;69;3;0;0;37;3;18;0;3;0;1;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0
;;11;Nas - Kersten, H.D.E.H.;108;29;3;0;16;7;11;0;3;2;0;2;1;0;2;9;1;0;9;2;0;0;7;1;3;0
;;12;Nijland, G.A.;59;5;1;0;2;5;0;0;0;0;2;5;0;17;7;0;0;1;0;0;0;4;2;0;1;7
;;13;Steenwinkel, F.F.;12;0;0;1;2;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;1;1
;;14;Weierink, G.H.J.;24;1;0;0;1;0;2;0;0;1;1;0;1;6;5;2;0;1;0;0;0;1;0;0;0;2
;;15;de Jong Schouwenburg, J.L.H;80;4;0;1;1;2;1;0;3;3;0;0;0;2;1;43;0;1;7;1;1;0;0;3;4;2
3;GROENLINKS;;;4733;428;259;327;117;313;138;63;344;550;231;232;277;120;75;190;102;40;130;129;82;25;235;177;107;42
;;1;'t Hart, A.M.;2814;249;173;178;72;182;87;30;191;327;139;135;193;77;49;85;68;17;75;68;52;18;148;106;74;21
;;2;Baart, J.C.;467;54;17;46;15;40;17;9;44;44;27;17;15;13;6;12;10;1;16;7;6;1;22;15;10;3
;;3;Kok-Palma, Y.S.;249;20;10;26;10;12;2;4;20;41;11;11;8;2;1;4;5;0;9;23;6;0;7;15;2;0
;;4;Ummels-Çavuşoğlu, L.S.;465;46;31;35;6;35;13;8;44;46;19;22;23;7;3;14;8;0;16;14;7;1;33;23;8;3
;;5;Kruiniger, A.;223;13;4;15;2;6;2;6;19;45;15;20;19;3;1;13;1;4;2;10;3;1;11;5;3;0
;;6;van der Lee, A.P.M.;22;4;1;6;0;0;0;0;5;2;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0
;;7;Scheele, M.P.;28;3;2;3;0;0;0;1;1;3;2;4;2;0;0;1;0;0;1;0;0;0;3;1;1;0
;;8;van Leeuwen, W.M.T.;85;6;7;5;0;5;2;2;1;12;8;8;9;0;0;0;4;0;4;2;0;0;2;5;1;2
;;9;van der Aa, E.M.;92;12;4;3;3;16;5;1;11;8;1;4;1;5;2;0;0;0;2;0;3;0;4;1;5;1
