Verkiezing;;Gemeenteraad Lopik 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Lopik;;;;;;;;;;;;;;;;;;
Nummer;;0331;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Gemeentewerf Lopik;Dorpshuis De Schouw;Schep Partyservice;Ver. gebouw Jaarsveld;In 't Witte Paard;Buurthuis 't Wilgegat;Dorpshuis Benschop;Buurthuis de Triangel;Dorpshuis  Polsbroek;Dorpshuis De Schouw (maandag);Dorpshuis De Schouw (dinsdag);Dorpshuis Benschop (maandag);Dorpshuis Benschop (dinsdag);Gemeentewerf Lopik (maandag);Gemeentewerf Lopik (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Postcode;;;;;3411 CH;3411 MB;3411 DJ;3412 KZ;3413 MP;3411 EC;3411 NC;3405 XJ;3405 CE;3415 PE;3411 DJ;3411 DJ;3405 XJ;3405 XJ;3411 MB;3411 MB
;;25;van den Broek, D.;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van Os, F.;13;0;0;0;2;0;0;0;3;3;1;0;0;2;2;0;0
;;27;de Korte-de With, K.A.C.;10;0;0;0;1;0;0;2;2;1;0;1;2;1;0;0;0
;;28;Benschop, J.W.;16;2;1;3;0;3;2;0;0;0;4;0;0;0;1;0;0
3;CDA;;;1205;79;23;166;79;52;138;43;204;82;90;43;55;42;87;11;11
;;1;Strien, A.A.;460;26;5;59;28;9;94;12;64;24;37;18;32;20;25;4;3
;;2;Hogendoorn-van Wijngaarden, C.P.;160;11;5;29;22;35;13;14;5;2;4;7;3;2;3;2;3
;;3;van der Stok, M.W.E.;178;4;2;9;6;1;2;0;63;22;9;8;4;14;33;0;1
;;4;van Amerongen, M.;17;7;1;4;0;0;0;0;3;1;0;0;0;0;0;1;0
;;5;Buitelaar, M.J.;47;2;2;1;0;0;0;0;18;13;2;0;1;0;8;0;0
;;6;Luiks, J.H.M.;10;0;0;0;6;1;0;0;1;0;0;0;2;0;0;0;0
;;7;Benschop, A.;26;4;0;1;1;0;18;0;1;1;0;0;0;0;0;0;0
;;8;de Jong-Bultsma, M.;36;0;0;0;1;0;0;2;1;2;28;0;0;0;1;0;1
;;9;Frericks, J.C.;47;4;2;26;0;1;1;0;1;0;1;0;6;1;0;2;2
;;10;Chaigneau-Snoeck, M.C.E.M.;25;3;3;15;1;1;1;0;0;0;0;1;0;0;0;0;0
;;11;van Os, E.;26;0;0;0;0;0;0;0;6;5;4;3;0;3;5;0;0
