Verkiezing;;Gemeenteraad Nieuwegein 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Nieuwegein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadshuis;"Stembureau Gemeenschapsruimte ""boerderij Bos""";Stembureau Buurtplein Doorslag;Stembureau t Veerhuis;Stembureau Petanquecentrum Nieuwegein;Stembureau Stadshuis;"Stembureau Gemeenschapsruimte ""boerderij Bos""";Stembureau Buurtplein Doorslag;Stembureau 't Veerhuis;Stembureau Petanquecentrum Nieuwegein;Stembureau Stadshuis I;Stembureau Stadshuis I I;Stembureau Buurtplein Batau;Stembureau Buurtplein Doorslag;Stembureau Enik Recovery College (Voorheen La CaZa);Stembureau 't Veerhuis;Stembureau Kerkelijk Centrum De Rank;Stembureau Dorpshuis Fort Vreeswijk;"Stembureau Gemeenschapsruimte ""boerderij Bos""";Stembureau Petanquecentrum Nieuwegein I;Stembureau Petanquecentrum Nieuwegein II;Stembureau Bouwspeeltuin Batau l;Stembureau Bouwspeeltuin Batau l l;Stembureau Examenadviesburo;Stembureau MeetingDistrict;Stembureau Sporthal Galecop l;Stembureau Sporthal Galecop l l;Stembureau Sporthal Galecop l l l;Stembureau Sporthal Merwestein l;Stembureau Sporthal Merwestein l l;Stembureau Sportzaal Wijkersloot l;Stembureau Sportzaal Wijkersloot l l;Stembureau Sportzaal De Sluis l;Stembureau Sportzaal De Sluis l l;Stembureau De Partner I;Stembureau De Partner II;Stembureau Gymnastieklokaal De Driemaster l;Stembureau Gymnastieklokaal De Driemaster l l;Stembureau Gymnastieklokaal De Triangel l;Stembureau Gymnastieklokaal De Triangel l l;Stembureau Gymnastieklokaal De Driehoek l;Stembureau Gymnastieklokaal De Driehoek l l;Stembureau Emmauskerk
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43
Postcode;;;;;3431 LZ;3437 KN;3435 EP;3434 AZ;3437 PJ;3431 LZ;3437 KN;3435 EP;3434 AZ;3437 PJ;3431 LZ;3431 LZ;3437 AA;3435 EP;3432 TK;3434 AZ;3434 HA;3433 ZZ;3437 KN;3437 PJ;3437 PJ;3437 DH;3437 DH;3439 ND;3438 LC;3437 KB;3437 KB;3437 KB;3432 GN;3432 GN;3431 RD;3431 RD;3434 CA;3434 CA;3437 PL;3437 PL;3432 XV;3432 XV;3438 RA;3438 RA;3436 GB;3436 GB;3435 CC
;opgeroepenen;;;51843;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1233;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205;1205
;geldige stempas;;;19783;535;379;280;386;337;617;423;368;495;376;520;485;1422;817;761;529;714;1042;632;362;410;186;336;305;589;294;251;263;216;195;463;394;357;318;292;288;185;193;649;616;602;492;409
;geldig volmachtbewijs;;;2248;52;34;22;36;36;64;54;32;43;35;44;44;155;125;86;52;86;130;66;58;46;15;33;26;84;40;31;29;24;20;58;42;40;34;32;33;24;20;86;89;80;63;45
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;22031;587;413;302;422;373;681;477;400;538;411;564;529;1577;942;847;581;800;1172;698;420;456;201;369;331;673;334;282;292;240;215;521;436;397;352;324;321;209;213;735;705;682;555;454
;geldige stembiljetten;;;21884;582;412;302;419;373;678;476;399;537;411;553;521;1560;936;837;580;790;1165;696;415;454;200;369;326;670;332;279;291;239;213;522;435;394;350;323;320;208;211;730;695;676;553;452
;blanco stembiljetten;;;94;2;0;0;1;0;2;1;1;0;0;5;3;14;5;8;0;9;2;2;2;1;1;0;3;3;2;1;0;1;1;0;1;3;1;0;0;0;1;5;5;6;2;0
;ongeldige stembiljetten;;;49;3;0;0;0;0;1;0;0;1;0;6;5;2;0;2;1;1;6;0;0;1;0;0;2;0;0;2;1;0;2;0;0;0;1;1;1;2;1;0;5;0;0;2
