Verkiezing;;Gemeenteraad Baarn 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Baarn;;;;;;;;;;;;;;;;;;;;
Nummer;;0308;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Baarn;Maria Koningin Kerk;Gebouw De Pool;Gebouw Elan;NS station;Dorpshuis de Furs;Berg en Dal (Apostolisch Genootschap);Theater De Speeldoos;SV Baarn;Drive through (Gemeentewerf);Wintertuin;De Blinkert;Amerpoort (bijzonder stemlokaal);Santvoorde (bijzonder stemlokaal);Gemeentehuis Baarn (maandag);NS station (maandag);Gemeentehuis Baarn (dinsdag);NS station (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;3743 BA;3742 XM;3742 RL;3742 SJ;3743 KM;3749 AA;3743 AR;3741 TA;3741 RS;3741 MR;3742 AK;3741 BE;3744 PA;3741 VJ;3743 BA;3743 KM;3743 BA;3743 KM
;;3;Koenders-van de Vrugt, M.J.;431;49;35;26;17;63;0;14;45;9;0;30;36;0;13;16;21;31;26
;;4;Veldhuizen, M.R.;113;17;5;3;15;14;4;3;4;1;1;6;8;0;3;8;9;9;3
;;5;Deurloo, M.L.;168;31;11;8;16;17;3;3;11;2;1;13;3;1;5;8;11;18;6
;;6;Korkmaz, M.R.;281;25;15;29;10;15;1;4;24;0;0;3;43;0;13;47;6;33;13
;;7;Kolt, D.D.;42;5;3;1;1;2;3;3;6;0;0;3;3;0;5;2;2;3;0
;;8;Tuinstra, T.R.;12;2;1;1;1;0;0;0;2;0;0;1;1;0;1;0;2;0;0
;;9;van Ommen, B.;27;3;5;2;1;1;0;0;2;0;0;3;7;0;1;1;0;1;0
;;10;Sluis-Hoogerwerf, E.C.;50;9;1;4;0;5;1;3;6;0;0;2;7;0;2;1;2;4;3
;;11;Nijhof, G.J.;42;4;1;2;2;2;0;3;6;0;0;4;4;0;2;3;0;4;5
;;12;Hut, R.E.;34;5;3;2;3;3;0;0;4;1;0;0;7;0;2;2;2;0;0
;;13;van der Vuurst, A.T.;77;7;9;6;4;4;0;2;14;3;0;5;9;0;3;4;2;5;0
;;14;Visser-Eschauzier, E.G.L.;24;1;2;2;0;2;0;4;2;0;1;0;5;1;2;1;0;1;0
;;15;Blokker, P.A.H.;71;9;12;6;2;3;0;1;10;0;2;4;6;0;7;1;0;7;1
4;CDA;;;1164;108;99;53;47;107;20;69;124;9;7;73;77;3;64;80;56;90;78
;;1;van Hardeveld, H.J.;820;77;64;40;29;68;12;51;89;3;5;51;56;3;48;64;47;61;52
;;2;van Wijk, R.;47;6;3;3;5;5;0;0;5;0;0;2;3;0;3;2;3;4;3
;;3;van der Donk, M.J.P.M.;11;1;0;0;0;2;1;2;0;0;0;0;0;0;0;0;1;1;3
;;4;Peet, J.W.;22;2;4;0;1;1;1;5;0;0;1;1;0;0;1;1;1;1;2
;;5;den Hertog, G.;14;1;2;0;0;1;0;0;2;1;0;0;3;0;1;1;1;0;1
;;6;van Velzen, R.T.A.;78;9;8;7;1;15;5;0;6;1;1;4;6;0;3;3;2;4;3
;;7;van Weede, E.C.L.L.M.;16;0;0;0;1;2;0;0;3;3;0;2;1;0;1;1;0;2;0
;;8;Krimp, C.;5;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0
;;9;Overweel, G.D.;16;2;0;1;0;1;0;0;3;0;0;0;0;0;0;3;1;2;3
;;10;van der Herberg, F.J.;31;1;8;1;2;3;0;0;4;0;0;5;1;0;0;1;0;2;3
;;11;de Vlieger, J.;6;0;0;0;0;1;0;0;0;0;0;2;1;0;1;0;0;1;0
;;12;Bremmer, S.D.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Dijkstra, J.K.;3;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0
;;14;van den Boom, B.;14;1;1;0;2;0;0;2;0;0;0;0;1;0;2;2;0;3;0
;;15;Bergman-van der Horst, E.M.;80;8;8;1;4;5;1;9;11;1;0;6;4;0;4;2;0;8;8
5;GROENLINKS;;;1812;229;156;117;106;220;38;74;195;12;9;123;121;5;55;83;57;112;100
;;1;Bosman, J.J.G.;625;81;61;39;36;73;11;30;49;4;3;47;30;2;18;30;22;38;51
;;2;Genuit, W.J.L.;88;5;10;0;7;12;1;3;8;0;0;8;8;0;2;6;5;5;8
;;3;de Leeuw, J.F.;25;2;1;4;1;5;0;1;4;1;0;0;1;0;1;1;0;2;1
