Verkiezing;;Gemeenteraad Rhenen 2022;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Rhenen;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0340;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis van de Gemeente;Koningskamer;Sport- en Recreatiecentrum ' t Gastland;Ontmoetingskerk (centrale hal);Ontmoetingskerk (zaal 1);Gedachteniskerk;Steakhouse Cunera (ingang Kastanjelaan);Rhenendael;Het Dorpshuis (grote zaal);Het Dorpshuis (gymzaal);Het Bestegoed (gymzaal 1);Het Bestegoed (gymzaal 2);Sportschool Trisport Rhenen;Huis van de Gemeente (maandag);Huis van de Gemeente (dinsdag);Het Bestegoed (maandag);Het Bestegoed (dinsdag);Het Dorpshuis (maandag);Het Dorpshuis (dinsdag);De Tollekamp (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;101;102;111;112;121;122;132
Postcode;;;;;3911 MG;3911 LB;3911 PG;3911 EA;3911 EA;3911 JG;3911 AS;3911 RM;3911 CX;3911 CX;3921 CM;3921 CM;3911 BE;3911 MG;3911 MG;3921 CM;3921 CM;3911 CX;3911 CX;3911 ND
;;17;van Laar, G.;8;0;0;0;0;0;0;0;0;2;4;0;1;0;0;0;0;0;0;1;0
;;18;Bor, R.;12;0;0;2;0;0;0;3;2;0;1;0;3;0;0;1;0;0;0;0;0
;;19;van Laar, R.;11;2;0;0;0;0;0;0;0;0;1;3;4;0;0;1;0;0;0;0;0
;;20;Vlastuin, D.H.;23;1;1;0;4;2;0;0;1;5;3;1;0;0;2;0;0;0;0;3;0
;;21;Trouwborst, D.;10;0;3;0;0;0;0;0;0;3;2;0;0;0;0;2;0;0;0;0;0
;;22;Karens, J.;57;6;3;1;3;6;0;0;2;8;2;7;5;0;0;5;3;3;0;3;0
2;VVD;;;1454;183;69;63;66;52;70;181;128;48;43;92;108;34;72;102;22;80;16;22;3
;;1;Schenk, L.;673;74;41;32;42;32;31;86;79;28;28;28;18;17;34;53;6;20;9;13;2
;;2;Kiewiet, I.S.A.;163;28;9;6;8;2;7;23;15;6;6;3;7;4;8;11;3;13;2;2;0
;;3;Salari, R.;171;3;2;2;4;1;11;1;0;1;0;43;54;1;0;2;9;37;0;0;0
;;4;van Erven, A.J.;58;9;3;0;2;3;1;9;3;3;0;1;5;5;4;4;1;2;0;2;1
;;5;Keijman, J.T.;14;2;0;0;0;3;2;1;3;0;0;1;0;0;1;0;0;1;0;0;0
;;6;Alofs, E. L.;110;21;2;8;1;4;7;32;6;1;3;3;1;1;5;10;1;3;1;0;0
;;7;van Miltenburg-van der Boon, J.M.;55;12;2;4;1;0;1;9;10;5;0;2;3;2;0;3;1;0;0;0;0
;;8;Kelderman, R.;10;0;0;0;0;0;0;0;1;0;0;3;5;0;0;1;0;0;0;0;0
;;9;van Dijkhuizen, M.R.;35;7;0;0;1;0;0;4;0;3;1;1;3;0;3;5;0;2;1;4;0
;;10;van de Glind, J.H.;33;7;2;0;1;1;3;4;4;0;1;1;3;2;2;1;0;0;0;1;0
;;11;Storm, E.W.;64;7;5;4;1;4;2;9;4;0;4;4;4;2;7;6;0;1;0;0;0
;;12;van Straalen, J.J.M.;16;5;3;3;0;0;0;0;0;0;0;0;3;0;0;1;0;1;0;0;0
;;13;Tap-Vink, M.W.;9;2;0;1;0;0;2;1;0;1;0;0;0;0;2;0;0;0;0;0;0
;;14;Tap, D.N.;4;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0
;;15;van der Stroom-van Ewijk, T.;12;2;0;2;2;0;1;0;1;0;0;0;0;0;1;1;0;0;2;0;0
;;16;Bonnema, A.A.;27;4;0;1;3;2;1;1;2;0;0;2;2;0;3;4;1;0;1;0;0
3;Progressief Rhenen/GROENLINKS;;;1137;182;84;63;70;53;42;143;30;22;8;57;42;32;90;131;36;30;11;10;1
;;1;Geerts, G.R.;650;95;43;35;35;31;23;98;23;20;6;27;26;16;49;67;25;16;7;7;1
;;2;Agricola, J.H.;41;10;2;2;1;2;2;7;1;1;0;1;0;0;4;7;0;0;1;0;0
