Verkiezing;;Gemeenteraad Utrechtse Heuvelrug 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Utrechtse Heuvelrug;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Nieuw Salem, 14-03-2022;Nieuw Salem, 15-03-2022;Nieuw Salem, 16-03-2022;CBS Instituut Coolsma;Basisschool de Kring;Cultuurhoek;Beukenhorst;Immanuëlkerk;CBS De Uilenburcht;Gereformeerde Kerk de Bron;'t Hoge Licht;De Twee Marken, 14-03-2022;De Twee Marken, 15-03-2022;De Twee Marken, 16-03-2022;Ontmoetingskapel;Dorpskerk;Kerk De Ark;Allemanswaard, 14-03-2022;Allemanswaard, 15-03-2022;Allemanswaard, 16-03-2022;Muziekcentrum Ons Genoegen;Kerkgebouw De Ark;De Ridderhof;De Buurthucht;De Binder, 14-03-2022;De Binder, 15-03-2022;De Binder, 16-03-2022;Michaëlhuis;Muziekgebouw EMM;Zenner DSF;Cultuurhuis Pléiade, 14-03-2022;Cultuurhuis Pléiade, 15-03-2022;Cultuurhuis Pléiade, 16-03-2022;Ludenkapel;Sporthal Steinheim;Tenniscenter Heuvelrug;Park Boswijk;Bartiméus;Gemeentelijk stembureau
;;10;te Velde, R.S.;20;0;1;0;0;0;0;0;0;0;0;0;2;3;4;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0
;;11;Eldering, M.M.H.;144;8;10;19;32;10;1;8;5;23;8;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;4;0;0
;;12;van Geenhuizen, M.A.;41;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;4;1;16;1;0;0;0;0;0;0;0;4;5;4;0;0;0;0
;;13;den Besten, M.;14;0;0;0;1;1;2;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;2;0;0;0;1;0
;;14;zur Lage, A.S.;78;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;8;8;23;22;9;0;5;0;0
;;15;Wijnbergen, N.J.;10;1;1;1;2;2;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;op ten Noort, J.A.;56;0;0;0;1;3;0;0;0;1;0;0;3;6;0;1;22;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;4;2;5;0;0;0;0;0
;;17;van Gurp, S.G.M.;9;2;2;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Swaghoven, M.H.W.M.;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;13;0;17;9;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0
;;19;Dehban, S.;14;2;0;3;1;2;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0
;;20;van Dam, A.P.G.;6;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;21;van den Bosch, E.;28;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;11;0;7;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;;22;Kremer, P.G.T.M.;12;1;0;0;3;2;0;2;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Linders, J.;20;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;5;7;2;0;0;0;0
;;24;van der Laan, R.;25;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;8;2;2;2;1;1;2;0;0;1;0;0;0;0
;;25;Kerstens, F.D.M.;10;0;1;0;1;2;0;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;26;de Brey, B.M.H.;32;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;15;11;2;0;1;0;0
;;27;van Lierop, B.;25;0;5;2;3;0;0;0;0;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;1;0;0
;;28;van der Zee, P.C.;12;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;2;0;0;2;0;0
;;29;van Valkenburg-Lely, H.E.;32;1;3;5;5;1;1;0;1;2;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;1;3;1;0;0;0;0;0
2;OPEN - GROENLINKS - P.v.d.A.;;;4031;205;247;344;145;158;154;125;114;191;153;248;54;61;97;92;75;22;47;60;98;7;96;38;20;67;88;128;90;24;13;87;109;217;152;92;20;76;17;0
;;1;Waaldijk, J.E.;1179;73;75;104;26;49;44;38;29;61;53;62;17;24;26;24;14;7;9;22;16;1;13;14;7;19;43;42;31;9;4;23;30;56;38;26;5;39;6;0
;;2;Bouwmeester, M.F.;556;47;45;69;38;27;25;19;19;32;24;46;1;9;17;11;6;4;0;1;4;1;4;0;0;6;4;11;10;3;3;5;12;21;14;7;2;7;2;0
;;3;de Wit, K.;119;1;2;5;2;1;1;3;0;1;0;4;9;5;6;7;31;1;0;4;1;0;1;3;2;3;2;1;1;0;0;6;0;4;7;5;0;0;0;0
;;4;Vink, S.I.;737;35;55;82;42;47;33;23;24;47;41;57;7;6;16;20;8;1;3;1;9;0;11;4;0;13;5;23;10;0;1;15;13;34;20;12;3;11;5;0
;;5;de Bruijn, J.P.;180;4;8;10;0;4;5;1;10;3;7;12;0;0;0;2;1;0;0;0;1;0;1;0;9;0;0;0;0;0;0;9;20;25;25;16;3;4;0;0
;;6;Festen, C.M.A.W.;77;14;10;8;7;2;6;6;2;7;2;1;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;3;2;2;0;0;0;1;0;0
;;7;Veenvliet-van Krieken, S.;244;2;3;5;9;5;8;7;4;1;0;6;2;0;3;3;4;3;25;20;41;4;39;11;1;4;4;4;1;5;2;3;1;4;2;4;0;4;0;0
;;8;Scheltinga, J.G.W.;106;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;16;20;30;23;4;2;0;1;0;0;3;0;0;0;0
;;9;Jansen, R.G.C.;50;1;4;4;1;3;1;7;2;2;2;12;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;3;0;0;0;1;1;0
;;10;Groen, N.M.;166;0;5;7;3;2;4;0;1;2;2;7;0;0;2;2;2;1;3;0;0;0;1;0;1;3;1;0;1;0;1;7;15;41;32;14;4;2;0;0
;;11;Lindijer, G.;45;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;7;7;16;8;0;0;1;0;0
;;12;Verhoef, T.J.;26;1;1;4;2;1;0;3;2;0;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;0;0;0;0;0
;;13;Schravesande-van der Zee, N.;100;4;18;18;7;1;5;6;3;10;5;5;0;0;1;0;0;0;0;0;1;1;2;0;0;0;1;0;2;1;0;2;1;1;1;0;2;1;1;0
;;14;Hart, E.;34;2;0;0;0;0;2;2;0;0;1;2;0;0;0;1;0;0;3;2;4;0;10;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
;;15;Maas, L.;60;4;6;6;1;3;3;1;12;12;1;7;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
;;16;Hielema, W.L.;21;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;6;0;3;0;0;0;2;1;0;0;0;0;0;1;1;1;0;1;0;0
;;17;Groenendijk, G.A.M.;12;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Verseput, D.;27;5;2;5;1;7;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0
;;19;Kraan, H.A.;56;0;0;0;0;0;0;0;0;0;0;0;11;8;15;16;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;20;Alkema, E.G.;16;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;3;0;1;0;0;0;0;1;1;0;0;1;1;0;3;0;0;0;0;0
;;21;Rinsma, S.B.M.;14;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;3;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;22;Borsje, P.;6;0;1;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Boukema, V.S.;19;2;1;1;1;2;2;1;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;24;Bergschneider, H.R.;10;0;0;0;0;0;0;0;0;0;0;0;3;1;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Broekgaarden, G.J.;5;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Roetemeijer, W.D.;32;2;1;2;0;0;10;4;1;1;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0
;;27;Hoogstad, J.;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0
;;28;Hoogerhuis, E.;17;1;2;4;1;1;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;29;Aulich, K.M.;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;30;Marthaler, C.F.;5;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Haaksma, A.J.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;5;5;1;0;0;0;0;0;0;0;0;0;0
;;32;Schravesande, J.;6;1;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;33;van Pelt, J.M.G.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;34;van Gene, G.W.;14;0;0;1;0;0;0;0;0;1;0;0;4;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Slooten, F.W.;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;36;Gerritsen, J.M.P.;13;1;0;0;1;1;2;0;1;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;37;Monster, T.J.;15;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;2;2;5;1;0;0;0;0;0;0;0;1;0;0;0
;;38;Okhuijsen, I.M.W.;12;3;2;1;0;0;1;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;39;Swarte, H.C.J.;5;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;40;Halma, A.H.J.;19;0;3;3;0;0;0;3;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0
3;D66;;;3337;132;152;194;197;125;63;102;83;127;82;130;46;61;223;100;65;50;24;33;60;5;84;47;18;35;72;136;72;33;23;76;93;172;211;90;36;75;10;0
;;1;Oyevaar, K.S.;1577;62;66;72;77;49;22;47;28;40;41;50;21;21;56;19;24;21;13;10;30;3;36;22;12;26;33;52;31;10;11;59;76;134;160;52;30;56;5;0
;;2;van Buiten, E.L.;238;3;2;6;3;2;1;0;0;3;0;4;17;22;86;36;19;13;0;2;1;1;4;0;0;0;1;0;1;0;1;0;1;1;5;1;0;1;1;0
;;3;Lolkema, N.;592;38;52;74;79;52;24;39;37;46;29;45;0;1;7;4;1;2;2;0;2;0;4;0;1;0;2;2;2;2;1;4;7;7;12;10;1;3;0;0
;;4;van der Burg, L.N.;106;2;3;3;4;1;0;4;4;6;1;3;1;1;2;1;0;0;0;0;0;0;1;2;0;0;5;4;1;3;0;4;6;5;15;20;1;2;1;0
;;5;Cassee, W.G.F.;94;14;5;13;10;8;2;4;5;9;4;11;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0
;;6;Schults, T.D.J.;207;3;8;4;4;1;2;3;2;0;2;4;6;16;67;37;17;11;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;8;4;2;0;3;0;0
;;7;Geelkerken, N.G.;29;3;5;2;3;0;0;0;1;9;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0
;;8;van Zanten, H.R.;143;0;0;1;0;0;1;1;0;1;0;2;0;0;1;0;0;0;0;4;6;0;2;0;0;5;19;51;25;8;6;2;0;5;3;0;0;0;0;0
;;9;Zuidema, R.H.;10;1;0;2;1;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
;;10;Gerats, W.J.A;11;0;0;1;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;1;0;0;0;0;0
;;11;Roefs-van de Grint, M.A.G.;40;1;0;1;2;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;2;10;9;3;0;2;0;0;0;3;0;0;1;0;0
;;12;Ossendorp, B.C.;113;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;17;19;1;34;22;4;1;0;2;1;0;0;0;0;1;0;0;0;0;0;0
;;13;Verdonk, M.M.;42;1;2;5;4;4;4;0;2;5;1;6;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;0;0
;;14;Oosterhagen, E.M.P.;14;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;5;2;1;0;0;0
;;15;Blaauw, C.W.A.;21;2;2;3;2;3;2;3;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Prakke, H.B.;27;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;6;5;5;1;0;1;1;0;0;0;1;0;0
;;17;van der Starre, W.M.;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0;2;2;0;0
;;18;Rietdijk, C.D.;19;0;2;3;4;0;1;0;1;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0
;;19;van Oostrum, E.J.;17;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;7;2;0;0;0;0;1;1;0;0;0;0;0
;;20;van Driel-Zwaan, J.M.;7;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0
;;21;Otto, M.A.;12;1;1;2;1;1;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;22;Kamp, E.A.;6;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0
4;CDA;;;3105;122;125;145;110;55;14;101;38;113;107;142;38;50;96;78;99;42;51;56;98;19;69;42;138;52;94;200;152;31;18;62;105;138;117;101;19;59;9;0
;;1;Roelofsen-Uilen, M.K.;1248;82;66;92;78;42;6;71;25;76;62;86;11;18;33;19;15;5;15;19;38;4;26;18;15;10;25;44;33;8;6;29;24;43;37;29;6;25;7;0
;;2;Kranenburg, P.P.;374;5;5;6;2;0;2;2;1;3;4;1;0;3;3;3;0;2;3;3;4;0;9;2;1;0;2;9;11;1;2;23;57;63;54;60;10;18;0;0
;;3;Broekhuis, J.C.;297;18;25;19;16;8;3;17;9;21;24;37;2;1;3;4;1;5;3;3;8;1;3;2;1;2;5;9;7;1;0;4;7;8;7;2;2;8;1;0
;;4;van Katwijk, W.J.V.;287;1;0;0;0;0;0;0;1;1;0;1;0;0;3;1;0;1;1;4;2;2;2;2;2;34;46;88;68;14;6;0;1;5;0;0;0;1;0;0
;;5;van Veldhuijsen, G.;179;1;3;0;1;0;0;1;0;4;2;1;2;0;2;0;2;1;3;9;7;0;2;1;105;1;1;10;3;0;1;0;1;4;6;2;0;3;0;0
;;6;Dorhout Mees, E.J.;93;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;8;21;7;10;10;0;1;3;9;2;1;1;1;1;1;1;0;0;1;0;0
;;7;van den Beld, M.J.;146;2;0;1;0;0;0;1;1;0;2;0;13;22;30;42;11;15;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;2;0;0;0;0;0;0
;;8;van den Essenburg, J.;88;0;2;0;0;0;0;1;0;0;0;1;1;3;5;5;55;2;0;1;0;0;0;0;5;0;1;2;1;0;0;1;0;1;1;0;0;0;0;0
;;9;Niks, D.;59;2;11;11;9;0;1;4;0;3;4;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;1;1;0;0;0;0;0
;;10;Mooyaart, M.W.;12;2;0;3;2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;11;Brummel, E.W.;42;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;2;0;3;3;0;0;0;0;0;0;0;1;1;0;0;2;9;4;7;3;1;1;1;0
;;12;Sommer -de Vries, K.H.;46;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;3;3;14;4;9;5;0;0;0;2;0;1;0;0;1;1;0;0;0;0;0;0
;;13;Spijker, C.J.;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;4;8;18;10;4;2;0;0;0;0;0;0;0;0;0
;;14;Verlaan-Das, J.;33;1;1;0;0;0;0;0;0;0;0;0;8;2;10;2;1;3;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0
