Verkiezing;;Gemeenteraad IJsselstein 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente IJsselstein;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0353;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Sporthal de Oever;Sporthal IJsselhal;Ewoud;Sporthal Poortdijk;Reddingsbrigade IJsselstein;Geb. 't Kruispunt;Geb. 't Kruispunt;De Kapel Mariënstein;Sporthal het Heem;Sporthal het Heem;WOC gebouw (Wijk Onderwijs Centrum);WOC gebouw (Wijk Onderwijs Centrum);OBS De Trekvogel;Fulcotheater;IJsselsteinse Tennisclub Groenvliet;Muziekvereniging Amicitia;Stadhuis 14 maart 2022;Sporthal Poortdijk 14 maart 2022;Stadhuis 15 maart 2022;Sporthal Poortdijk 15 maart 2022
Gebiednummer;;;;;1;2;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
Postcode;;;;;3401 BK;3402 MJ;3402 CS;3401 RH;3402 BS;3402 TJ;3401 CB;3401 CB;3401 BV;3401 GX;3401 GX;3404 EX;3404 EX;3401 GX;3401 BK;3403 NJ;3401 RA;3401 BK;3402 BS;3401 BK;3402 BS
;;7;van Ewijk, J.P.;76;7;5;2;5;1;3;4;3;3;0;1;7;2;3;3;4;2;12;0;7;2
;;8;Bekker, B.;166;24;5;7;5;4;4;3;5;0;9;22;9;9;7;9;18;5;8;1;8;4
;;9;Foekema, M.;41;2;5;5;2;1;0;0;2;0;2;2;3;0;2;3;1;0;3;2;5;1
;;10;van Koehorst - van Dijk, C.J.;264;16;12;18;17;13;7;19;10;2;21;16;11;23;19;6;14;6;1;6;14;13
;;11;de Bie, H.;71;10;2;4;0;1;2;6;5;1;2;6;5;1;6;5;1;0;1;2;10;1
;;12;de Boer, S.;34;0;2;0;1;1;4;1;0;0;1;0;5;5;0;0;2;8;1;0;3;0
;;13;Rademaker, M.W.;42;0;11;7;1;2;2;4;0;0;0;1;3;2;2;0;6;1;0;0;0;0
;;14;Reindertsen, J.;65;0;10;7;2;1;4;7;3;0;3;7;2;3;4;0;2;4;2;2;2;0
;;15;Rijpkema, D.P.A.;30;0;2;2;0;2;0;6;3;1;2;1;1;5;0;0;1;3;1;0;0;0
;;16;Bekker, P.J.;109;6;18;4;6;7;5;0;2;2;7;10;4;0;3;2;9;8;6;0;8;2
2;VVD;;;2039;152;98;85;87;73;44;100;96;42;112;97;162;149;125;69;114;138;107;21;125;43
;;1;Schell, E.M.J.;1261;95;51;53;41;56;30;55;50;32;68;70;104;87;63;40;76;95;65;14;83;33
