Verkiezing;;Gemeenteraad Soest 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Soest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis Soest;Stembureau Gymzaal Paulus Potter;Stembureau Residence Souveraine;Stembureau Tennis LTC Soestdijk;Stembureau Emmakerk stemlocatie A;Stembureau Emmakerk stemlocatie B;Stembureau Zorgcentrum Molenschot;Stembureau Korfbalver. De Eemvogels;Stembureau De Rank;Stembureau RK basisschool Ludgerus;Stembureau Gymzaal De Bunt;Stembureau Gymzaal Smitsweg stemlocatie A;Stembureau Gymzaal Smitsweg stemlocatie B;Stembureau Hoog Soestdijk;Stembureau De Open Hof;Stembureau Desmond Tutu Centrum;Stembureau Fatih Moskee;Stembureau Ontmoetingscentrum De Klarinet;Stembureau Rehobothkerk;Stembureau Johanneskerk;Stembureau Basisschool De Wegwijzer;"Stembureau Postduivenvereniging ""Soest""";Stembureau De Banninghal;Stembureau Ontmoetingscentrum De Drie Eiken;Stembureau Vredekerk;Stembureau OBS De Startbaan;Stembureau 14 maart Gemeentehuis;Stembureau 14 maart De Rank;Stembureau 14 maart Emmakerk;Stembureau 14 maart Johanneskerk;Stembureau 14 maart Vredekerk;Stembureau 15 maart Gemeentehuis;Stembureau 15 maart De Rank;Stembureau 15 maart Emmakerk;Stembureau 15 maart Johanneskerk;Stembureau 15 maart Vredekerk
1;Gemeentebelangen Groen Soest;;;3618;237;126;305;99;91;87;3;44;237;164;171;53;37;61;193;98;52;157;36;127;96;125;40;18;29;38;114;84;85;70;10;212;133;84;81;21
;;1;Paauw, J.A.;1479;101;47;157;37;39;37;1;23;94;58;60;20;14;29;71;35;23;85;16;42;25;47;10;10;9;12;53;36;37;25;3;102;54;33;27;7
;;2;Treep - van Hoeckel, A.;1154;75;41;74;35;28;25;1;10;98;83;76;14;9;18;56;39;16;31;9;40;33;42;16;4;2;11;36;30;29;22;1;54;44;25;23;4
;;3;Weith - Plomp, A.;172;12;8;12;11;5;4;0;2;8;5;3;4;2;6;9;4;2;9;1;2;8;9;1;1;2;1;5;2;6;4;0;9;4;6;4;1
;;4;de Wolf, T.;102;11;6;8;1;4;5;0;2;2;1;6;5;2;0;5;2;2;5;2;3;3;5;2;0;0;0;2;2;2;0;0;2;1;7;4;0
;;5;Wegman, B.M.;130;8;9;7;4;1;3;1;3;7;4;6;3;3;4;8;3;2;3;2;7;7;3;0;0;1;0;1;1;0;1;0;13;7;2;4;2
;;6;Paul, C.A.;36;0;2;2;2;1;1;0;0;2;0;1;0;0;0;1;0;1;2;0;1;1;1;0;0;3;0;4;0;1;0;0;5;3;0;2;0
;;7;Bonouvrié, Y.P.;63;1;1;1;1;0;0;0;0;2;2;1;0;0;0;3;1;0;2;0;0;0;1;9;3;9;11;1;0;0;0;5;1;2;0;0;6
;;8;Kronenburcht, M.;23;0;0;2;0;1;1;0;1;3;0;2;0;0;0;1;0;0;1;1;0;0;2;1;0;0;0;0;2;0;2;0;0;3;0;0;0
;;9;Goudriaan, R.;101;2;0;1;2;1;0;0;1;6;0;2;0;4;0;11;6;0;3;0;16;8;5;0;0;1;0;3;0;1;7;0;7;5;1;8;0
;;10;Iseger - Broer, C.D.;49;4;1;2;2;1;5;0;0;3;1;2;3;0;0;2;0;0;1;0;1;2;2;0;0;0;0;1;4;2;3;0;1;2;2;2;0
;;11;Verhoeven, J.J.;8;0;0;0;0;1;0;0;0;0;0;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
;;12;Hoogteijling, F.C.R.;65;4;1;2;3;2;1;0;1;1;7;6;0;1;1;3;4;1;4;2;2;0;1;0;0;0;1;1;3;2;0;0;3;4;2;1;1
;;13;Goebertus, A.F.;21;4;2;2;0;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;3;2;0
;;14;Nauman, O.L.;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;15;van den Eijnden, D.;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;3;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;16;Middelman, V.;34;2;1;1;0;0;0;0;0;1;1;0;0;0;2;6;2;1;1;0;3;1;0;0;0;0;0;1;0;2;2;0;3;1;1;2;0
;;17;de Koning, J.W.N.;26;1;4;9;0;0;1;0;0;1;0;1;0;0;1;1;0;0;2;0;0;1;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0
;;18;van Halen - Thoutenhoofd, M.T.;15;0;0;3;0;0;0;0;0;0;0;1;1;0;0;3;0;1;1;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
;;19;Lieshout, F.A.M.;18;0;0;6;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;2;0;0;0;3;0;0;0;0
;;20;de Koning - Honée, J.M.;9;0;0;2;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Witte, V.E.;16;3;1;0;0;0;1;0;0;2;0;0;0;0;0;4;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0
;;22;van Reuth, A.J.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;23;Joosten, E.M.;10;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0
;;24;van den Eijnden, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Revoort, A.;12;1;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0
;;26;van Gisbergen, N.A.L.H.;10;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;27;Kwant, S.;16;0;0;5;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;2;0;0;0;1;1;0;0;0;0;0;1;2;0;0;0
;;28;Witte, H.L.;32;6;2;3;0;0;0;0;0;2;1;1;2;0;0;5;0;0;1;1;0;2;0;0;0;0;1;1;0;0;2;0;0;1;0;1;0
2;VVD;;;3180;154;184;130;120;67;84;6;29;151;297;161;37;44;63;222;47;47;96;25;130;83;129;64;40;30;54;89;89;60;35;22;138;98;81;57;17
;;1;van Aalst-Veldman, E.F.;1733;92;97;86;66;27;64;5;12;62;172;86;18;21;36;117;27;21;52;18;59;39;58;43;19;22;39;48;48;34;19;15;79;56;39;28;9
;;2;Sterenberg, M.A.;190;11;21;12;6;2;0;1;3;7;12;13;1;6;3;13;4;2;6;0;2;7;8;6;2;2;4;4;5;2;5;1;7;5;3;4;0
;;3;Corbeij, R.A.;88;3;6;1;6;2;0;0;0;8;7;4;1;1;1;6;0;2;3;1;6;5;3;1;0;1;1;4;0;3;3;0;5;2;2;0;0
;;4;van 't Net, J.R.;199;10;11;9;9;7;5;0;2;12;8;7;4;1;1;9;5;7;6;0;10;2;11;2;0;0;1;3;4;9;1;0;15;3;17;8;0
;;5;van Zutphen, R.S.F.;19;0;1;0;0;1;0;0;0;0;2;0;0;1;5;2;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;1;0;1;1;0
;;6;van der Wardt, V.H.A.;674;24;31;14;23;18;15;0;9;48;72;40;8;11;10;65;10;12;24;5;40;24;38;1;2;0;0;25;28;8;5;0;19;20;15;9;1
;;7;Lobbes, J.A.;53;1;1;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;9;12;3;8;0;0;0;0;5;1;0;0;1;5
;;8;Canjels, L.P.M.J.;23;0;3;1;2;0;0;0;2;0;3;1;0;0;0;0;0;1;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0
;;9;Egbers, G.G.;30;4;2;5;2;0;0;0;0;0;1;3;0;0;0;1;0;0;1;0;1;0;6;0;0;0;0;1;0;2;0;0;0;1;0;0;0
;;10;van Rij, S.H.N.;50;3;6;0;1;4;0;0;0;3;5;3;1;0;1;1;0;1;0;1;2;1;1;0;1;0;0;0;0;2;2;0;7;1;0;3;0
;;11;Ripperda-Starrenburg, M.C.M.;55;2;3;0;1;3;0;0;1;7;11;1;0;0;0;3;1;0;2;0;0;2;3;0;0;0;0;2;3;0;0;0;2;4;4;0;0
;;12;Maas, P.M.;12;0;0;0;1;0;0;0;0;1;0;0;0;1;6;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
;;13;van Bemmel, J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;14;Bordewijk, R.;7;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0
;;15;van der Vijgh-Dhondt, S.E.;21;3;2;0;2;1;0;0;0;0;2;0;4;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0
;;16;van Geet, M.K.;21;1;0;0;0;1;0;0;0;2;0;2;0;0;0;1;0;0;1;0;0;0;1;2;2;1;1;0;0;0;0;1;1;2;0;0;2
3;Soest 2002;;;3792;248;99;135;151;137;97;9;41;164;145;151;51;62;40;322;72;62;213;45;208;119;189;23;46;26;23;122;84;86;72;22;154;111;101;133;29
;;1;Scholten, K.L.;1867;151;50;78;67;79;63;5;19;85;75;63;26;29;25;136;37;26;108;23;107;41;77;15;15;9;9;61;52;52;36;5;62;59;52;59;11
;;2;Groothuis, B.R.;210;5;3;5;2;6;5;0;0;5;6;6;2;2;4;39;2;9;16;1;16;9;20;1;0;0;0;7;4;2;5;0;10;3;4;11;0
;;3;Weldink, E.;84;6;3;3;1;2;0;0;0;3;2;4;0;2;1;9;6;2;3;2;4;2;3;1;2;1;0;6;3;2;0;0;4;4;2;1;0
;;4;Christiaans, R.;148;10;6;3;3;4;1;2;0;9;3;6;5;5;2;29;2;1;6;4;8;5;7;0;0;0;0;6;0;2;1;0;5;6;3;4;0
;;5;Vrakking, J.J.;216;5;3;1;9;5;4;1;0;3;6;10;1;0;1;20;1;5;9;4;31;16;9;0;1;0;0;4;2;0;13;1;8;5;9;29;0
;;6;Klandermans, P.G.;61;0;0;1;1;0;2;0;0;1;1;2;0;0;0;1;0;0;1;0;0;0;0;2;14;8;9;1;0;0;0;8;2;1;0;0;6
;;7;Reekers, R.;28;1;0;0;2;1;2;0;0;1;6;0;1;1;0;2;0;0;2;0;0;1;0;0;0;0;0;3;0;1;0;0;1;2;0;1;0
;;8;Pijnenborg, J.G.S.;175;8;6;2;14;7;3;0;4;14;9;13;3;5;1;12;3;2;7;3;9;6;4;0;0;1;0;2;6;8;3;0;5;5;7;3;0
;;9;Mout, L.;185;12;5;4;8;12;2;0;6;6;10;9;2;5;2;19;7;2;19;1;3;9;10;0;1;0;0;7;2;0;4;0;5;2;8;3;0
;;10;Boks, J.;112;9;10;5;17;4;4;0;0;9;2;4;1;1;0;5;0;1;0;0;2;4;14;0;0;0;0;1;0;3;0;0;12;0;3;1;0
;;11;van Leijenhorst, M.;21;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;3;4;3;1;0;0;0;0;0;0;1;2;4
;;12;Koelewijn, T.;38;2;0;0;3;0;0;0;0;0;1;1;1;2;0;4;0;0;3;0;0;2;0;0;0;0;1;3;1;0;2;0;3;2;4;2;1
;;13;Judd, H.A.S.;29;2;3;0;0;0;0;0;0;6;0;1;0;0;0;1;0;0;1;1;1;0;4;0;0;0;0;0;0;0;0;0;0;6;2;1;0
;;14;Klarenbeek, D.W.;50;2;0;2;2;1;1;0;0;3;5;5;0;0;0;5;3;0;5;0;0;3;5;0;0;0;0;2;0;2;0;0;0;2;0;2;0
;;15;de Jong, Y.C.M.;75;1;1;1;4;1;4;0;2;6;0;2;2;4;0;4;3;3;6;0;8;2;4;0;0;0;0;0;6;2;0;0;3;1;1;4;0
;;16;Brink, H.G.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;1;2;1;0;0;1;0;0;4;0;0;0;0;4
;;17;Verhoef, J.M.;141;6;3;11;7;4;2;0;3;2;2;5;2;2;2;14;3;2;4;2;8;4;9;0;0;0;0;3;1;7;6;0;16;2;3;6;0
;;18;de Zoete, R.J.;13;0;0;3;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;1;1;0;0;0
;;19;van den Brink, P.A.;69;4;1;4;3;3;2;0;1;2;0;2;1;2;0;2;1;2;13;1;3;3;11;0;0;0;0;2;0;0;1;0;4;1;0;0;0
;;20;Uijland, A.C.B.M.;42;0;0;0;1;1;0;0;0;1;8;9;0;0;2;2;0;1;1;1;1;1;1;0;0;0;0;0;2;1;1;0;5;2;0;1;0
;;21;Blankestijn, J.W.;23;0;1;1;0;0;0;0;0;2;2;1;1;1;0;0;0;0;5;0;0;1;1;0;0;0;0;1;1;0;0;0;1;2;0;1;1
;;22;Hoffmann, G.;19;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;8;2;1;0;0;0;0;3;0;0;0;0;2
;;23;Hooijer, A.;20;2;2;0;0;0;0;0;4;3;0;0;0;0;0;3;0;1;1;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;24;van Vulpen, M.W.G.;10;1;0;0;0;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;25;den Ouden, H.J.F.;17;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;2;1;1;0
;;26;Roest, T.W.;5;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Pasop, D.B.;12;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;2;1;1;0;0
;;28;Beijer, G.A.;26;5;0;4;3;0;1;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;2;0;0;0;0;1;2;1;0;1;1;1;0;0;0
;;29;van der Wardt, C.J.M.;21;3;0;1;1;0;1;0;1;0;0;2;0;0;0;0;1;0;1;0;3;2;1;0;0;0;0;2;0;0;0;0;1;0;0;1;0
;;30;Neijens, S.A.C.M.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;van Leijenhorst, Y.A.E.;20;2;0;1;2;1;0;1;0;0;0;0;1;0;0;0;0;1;0;2;2;2;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;32;de Leede, P.J.;16;3;2;4;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;33;Alexander, J.W.R.;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Hilgeman, H.J.;10;0;0;1;0;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0
4;D66;;;1474;65;66;65;68;43;30;0;13;96;100;89;12;22;34;93;42;17;33;13;60;42;46;36;18;34;23;44;35;38;17;10;58;44;36;17;15
;;1;Flinterman, H.G.;1018;39;51;44;43;31;21;0;10;64;69;63;8;16;27;69;28;11;23;8;34;27;35;24;11;18;16;32;25;30;16;8;39;31;27;11;9
;;2;Welschen, H.C.P.;140;10;5;9;7;5;4;0;2;13;11;12;0;0;0;7;4;2;1;1;12;4;1;1;3;1;0;4;2;0;0;0;10;5;3;0;1
;;3;ter Beek - Suijkerbuijk, D.;62;3;4;4;5;1;1;0;0;5;0;3;3;0;1;3;2;2;1;0;4;2;3;0;1;0;0;3;0;3;1;1;0;1;3;2;0
;;4;Sielcken, R.J.;37;4;1;1;5;1;1;0;0;3;4;1;0;0;0;2;1;0;0;0;1;3;0;0;1;0;1;0;2;1;0;0;2;2;0;0;0
;;5;Blanken, W.;18;1;0;0;0;0;0;0;0;2;3;2;0;1;0;2;0;0;0;0;0;0;0;2;0;0;0;0;1;2;0;0;1;0;0;1;0
;;6;Castricum, E.M.I.;11;1;0;1;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;7;Keesom-Steenaart, M.;45;3;3;2;1;1;1;0;1;2;1;4;0;1;2;3;3;1;0;0;1;0;1;1;1;2;0;1;2;0;0;0;2;3;1;1;0
;;8;Pattipeilohy, S.L.A.;13;0;1;0;2;0;0;0;0;1;1;0;0;2;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
;;9;Guerain, T.;15;1;0;0;2;0;0;0;0;1;0;2;0;0;0;0;1;0;1;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0
;;10;Kouwenhoven, B.A.;9;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;11;Wasseur, S.B.;7;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;12;Paalman, B.;5;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;13;Hermsen, W.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;14;Brouwer, A.G.C.M.;11;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;3;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
;;15;van Heusden, S.H.G.;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van Reek, M.J.A.;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;10;4;0;0;0;0;0;0;0;0;0;5
;;17;Pallast, K.J.;5;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Baak, J.;6;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;19;Wijers, H.R.;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Keij, F.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;21;van Spiegel, E.B.M.;4;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Schiferli, D.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0
;;23;Kühnen, A.M.T.;7;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0
;;24;Neels, J.F.O.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Smit, A.R.L.M.;18;0;0;1;1;0;0;0;0;0;3;0;1;2;0;1;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0
5;GROENLINKS;;;2293;138;85;63;97;64;38;1;17;78;103;134;54;46;41;142;49;39;74;18;144;103;88;64;35;43;57;68;37;37;37;15;78;62;49;58;37
;;1;de Ruijter, T.;729;45;20;25;29;23;10;1;8;19;42;48;23;16;18;49;11;9;33;6;61;35;26;12;3;9;7;20;12;8;10;3;30;16;17;18;7
;;2;ter Beek-Suijkerbuijk, E.M.;882;60;39;24;34;20;15;0;6;44;28;56;14;13;18;57;21;12;21;6;48;39;25;23;13;15;28;33;13;17;17;4;29;30;20;23;17
;;3;Exalto, D.Q.J.;284;11;12;8;17;12;6;0;2;8;14;16;3;4;1;17;12;8;11;2;14;10;26;8;4;2;8;7;3;4;2;1;6;4;5;12;4
;;4;Noorlander, M.;38;1;1;0;0;1;1;0;0;1;2;1;2;0;0;4;0;1;0;1;5;6;0;0;0;1;1;2;0;1;2;0;1;0;1;1;1
;;5;Muslem Buzan, N.;127;15;5;5;2;0;2;0;0;2;5;5;5;8;1;6;4;5;3;2;7;3;3;5;4;3;3;3;4;1;1;1;6;1;6;1;0
;;6;Kruis, A.J.M.;30;0;1;0;1;1;1;0;0;0;3;1;1;1;1;4;0;0;1;1;1;1;0;1;0;0;0;1;3;0;0;0;1;3;0;1;1
;;7;Post, E.R.;58;1;1;0;1;1;0;0;0;0;3;0;0;0;0;0;0;1;0;0;1;0;0;12;9;9;7;0;0;0;0;5;1;0;0;0;6
;;8;van Dorresteijn, J.A.;68;1;3;1;8;3;2;0;1;3;0;5;3;3;1;2;0;1;3;0;2;2;4;0;1;3;1;0;2;5;3;0;2;1;0;1;1
