Verkiezing;;Gemeenteraad Bunschoten 2022;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Bunschoten;;;;;;;;;;;;;;;;;
Nummer;;0313;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Petrakerk Bunschoten-Oost;Immanuelkerk;Sporthal De Kuil;Gemeentehuis;CGK Bunschoten De Fontein;De Samenklank Muziekcentrum;Noorderkerk;GKBS Adventkerk;De Westerkerk;Vaartkerk Eemdijk;Maranathakerk Spakenburg-Zuid;Gemeentehuis (maandag);Maranathakerk Spakenburg-Zuid (maandag);Immanuelkerk (dinsdag);Gemeentehuis (dinsdag)
;;12;Koelewijn-van der Wal, M.;42;4;4;2;4;1;2;6;5;6;0;4;1;0;1;2
;;13;Vos, C.N.;31;2;2;7;0;2;0;2;0;2;1;3;9;0;0;1
;;14;Schaap, H.;19;4;0;1;4;1;2;0;2;1;0;2;0;2;0;0
;;15;Hartog-van Halteren, E.C.;63;3;6;3;5;11;0;5;9;7;0;4;1;2;1;6
;;16;van Diermen, S.W.;15;3;3;1;2;1;0;0;4;1;0;0;0;0;0;0
;;17;Laseur-Huijgen, G.H.A.;87;3;5;3;13;10;3;9;1;15;1;8;4;2;1;9
;;18;Koelewijn, M.D.K.;67;7;11;10;9;4;2;4;1;0;0;7;2;1;2;7
;;19;Kurvers-van Diermen, D.M.;25;1;3;1;1;1;0;7;4;1;0;1;1;0;0;4
;;20;Heinen, W.;4;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0
;;21;Dijkhuizen-Koelewijn, M.;43;6;3;1;4;2;1;0;1;5;0;4;8;3;1;4
;;22;Huizinga, F.R.;3;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0
;;23;van Twillert-Dop, E.S.;13;2;1;0;3;0;0;0;2;2;2;0;1;0;0;0
;;24;Heek, P.F.;32;3;0;4;8;3;2;0;3;1;0;3;1;0;0;4
;;25;Koops, G.;40;2;5;0;7;1;1;3;2;3;0;15;0;1;0;0
2;VVD;;;2250;202;108;208;262;154;82;283;141;191;116;156;100;31;41;175
;;1;Beukers, R.J.;1049;89;49;96;115;62;47;142;80;101;44;68;49;12;16;79
;;2;de Graaf, E.M.J.;616;70;27;54;77;44;14;74;34;46;18;50;28;12;14;54
;;3;de Boer, W.;59;1;1;9;9;7;4;6;1;3;3;2;4;0;2;7
;;4;Boelhout, B.K.;122;7;12;5;10;4;2;10;5;7;47;4;4;0;0;5
;;5;Koelewijn, P.A.A.;52;3;2;12;5;4;4;7;3;4;0;0;2;1;3;2
;;6;Hopman, H.R.;84;15;3;8;7;5;1;14;7;5;0;9;1;0;2;7
;;7;van der Molen, M.;32;2;1;2;5;6;4;1;1;1;0;2;4;0;1;2
;;8;Zinnemers, W.;56;6;2;7;7;9;2;10;3;2;0;2;3;0;0;3
;;9;van de Groep, J.;29;2;4;2;4;2;0;2;0;5;2;1;1;0;0;4
;;10;van de Groep, W.;22;2;0;0;5;2;0;2;0;4;0;2;0;0;0;5
;;11;Wubs, M.A.;10;1;0;0;2;0;2;2;0;2;1;0;0;0;0;0
;;12;Voorbach, P.;31;2;2;6;2;6;0;2;3;2;0;4;1;0;0;1
;;13;de Boer-van de Water, E.M.J.;20;1;1;0;4;2;0;4;0;2;0;2;1;1;1;1
;;14;De Boer, W.;34;0;2;2;5;1;2;4;3;3;0;6;0;1;1;4
;;15;Arissen, P.G.;16;1;0;2;3;0;0;0;0;0;1;4;0;4;1;0
;;16;Hoitink, J.G.W.;18;0;2;3;2;0;0;3;1;4;0;0;2;0;0;1
3;CDA;;;1856;130;139;161;188;109;62;135;176;148;112;207;70;34;42;143
;;1;van de Groep, A.;586;28;46;48;57;34;18;39;86;58;20;67;18;8;18;41
;;2;Buis, C.P.;213;34;21;16;24;10;5;11;6;12;35;14;5;1;2;17
;;3;Dijkhuizen, J.H.;128;6;10;4;14;8;4;16;15;15;2;8;5;4;1;16
;;4;Zwaan, R.E.;501;26;32;58;51;29;15;33;38;30;19;88;18;15;9;40
;;5;van de Geest, J.W.Z.;86;10;5;5;8;7;1;4;4;7;27;2;2;0;3;1
;;6;van Baal-de Waal, M.J.;82;6;5;6;10;4;2;8;9;6;2;8;6;2;1;7
;;7;van Asselt, P;100;8;9;8;14;1;1;11;6;10;1;6;6;1;8;10
;;8;Westland-Abma, A.H.;50;5;6;1;6;5;6;2;3;4;1;2;1;2;0;6
;;9;Erkelens, J.H.;10;0;1;1;2;0;0;2;0;1;0;0;2;0;0;1
;;10;Hartog, F.M.;17;1;0;1;1;4;6;0;0;0;0;3;0;0;0;1
;;11;Berendse, G.M.J.;14;1;1;3;0;0;0;0;5;1;0;1;0;0;0;2
;;12;Wieldraaijer, H.M.;19;0;0;1;1;3;1;1;1;1;5;1;4;0;0;0
;;13;Matthijssen, M.E.;28;4;0;4;0;2;0;6;2;2;0;3;3;1;0;1
;;14;van de Mheen, A.;22;1;3;5;0;2;3;2;1;1;0;4;0;0;0;0
4;Staatkundig Gereformeerde Partij (SGP);;;1481;91;83;112;115;149;56;149;140;153;83;104;63;29;34;120
;;1;Heinen, J.B.;878;67;62;54;66;90;29;87;96;99;41;53;31;15;19;69
;;2;van Goor, A.;65;1;0;9;2;9;1;7;9;2;1;8;4;1;2;9
;;3;van Barneveld, H.;103;6;4;14;7;14;4;11;9;10;1;10;2;3;3;5
;;4;van Twillert, A.;68;1;2;2;4;3;2;10;6;13;8;4;5;0;3;5
;;5;Heeringa, H.;40;0;2;1;6;2;2;3;2;7;1;2;5;0;1;6
;;6;Muijs, N.A.;55;4;2;4;5;2;0;5;6;6;1;6;8;0;3;3
;;7;Heinen, J.;35;0;3;1;6;6;7;0;0;2;1;3;4;0;0;2
;;8;Schaap, W.;62;3;2;5;6;4;1;1;3;7;12;4;2;5;1;6
;;9;de Graaf, H.;9;0;1;0;1;2;3;0;1;0;0;0;0;0;1;0
;;10;ter Beek, E.;5;0;2;1;0;0;0;0;1;0;1;0;0;0;0;0
;;11;van Scherpenzeel, H.J.;7;1;0;1;0;0;0;1;0;0;0;1;0;0;0;3
;;12;Vermeer, P.G.;8;0;0;1;0;1;1;0;1;2;0;1;0;1;0;0
;;13;de Graaf, L.J.;5;0;0;1;0;0;0;2;0;0;0;2;0;0;0;0
;;14;Hoeve, H.A.;23;3;1;4;2;3;1;1;1;0;3;1;0;0;0;3
;;15;Koelewijn, S.;5;0;0;0;1;0;0;3;0;0;0;0;0;1;0;0
;;16;van de Groep, W.;6;0;0;0;1;2;0;0;1;0;1;1;0;0;0;0
;;17;Ruizendaal, P.;19;0;2;0;1;2;1;7;2;1;2;1;0;0;0;0
;;18;Bol, V.F.;8;1;0;2;1;2;0;0;1;0;0;0;1;0;0;0
;;19;Westerbroek, D.;7;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0
;;20;Hartog, P.;8;0;0;1;0;0;0;1;1;1;0;1;0;0;0;3
;;21;van Twillert, A.;4;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1
;;22;Poort, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Hofstee, E.G.;5;0;0;0;0;0;3;0;0;1;0;0;0;0;1;0
;;24;Duijst, W.;5;2;0;0;0;1;0;1;0;0;0;1;0;0;0;0
;;25;van Diermen, H.J.;12;0;0;1;3;0;0;6;0;0;1;0;0;1;0;0
;;26;Pelleboer, W.;12;0;0;8;0;0;0;0;0;0;3;0;0;0;0;1
;;27;Verweij, H.M.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;28;de Graaf, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;van Drie, M.;26;2;0;1;3;5;1;3;0;2;0;5;0;0;0;4
5;Christelijke Arbeiders Partij (CAP);;;1035;76;79;70;112;57;25;118;86;94;38;93;39;19;31;98
;;1;de Jong, W.;317;28;21;32;34;32;6;31;17;26;13;23;10;6;9;29
;;2;van Diermen, A.;88;6;4;6;7;1;0;11;11;7;3;11;8;1;6;6
;;3;Koelewijn, D.;65;4;3;3;4;5;1;12;8;5;1;6;6;0;0;7
;;4;Bos, H.;61;3;3;0;5;2;3;7;4;7;3;3;3;2;5;11
;;5;Koelewijn, J.R.;51;1;5;3;2;1;0;9;9;9;0;3;3;2;0;4
;;6;Kelderman, G.;8;1;0;0;0;3;0;0;0;1;0;1;0;0;0;2
;;7;de Graaf, D.;12;3;1;2;0;0;0;1;3;1;0;1;0;0;0;0
;;8;Estié, J.;86;10;6;9;8;1;3;6;5;5;7;8;0;0;3;15
;;9;Huijgen, R.A.;15;1;2;0;2;0;0;1;0;0;0;4;1;0;4;0
;;10;de Graaf, A.F.;224;12;22;6;43;8;6;27;23;24;0;24;6;8;2;13
;;11;Koelewijn, H.;8;1;1;1;1;0;0;2;0;1;0;1;0;0;0;0
;;12;de Graaf, J.;21;2;0;4;0;0;1;3;2;0;0;3;0;0;1;5
;;13;van Dijk, J.;23;2;4;0;1;2;0;0;2;2;4;2;0;0;1;3
;;14;Hoolwerf, E.L.;36;2;6;2;3;1;2;3;1;5;7;2;2;0;0;0
;;15;van Twillert, W.;20;0;1;2;2;1;3;5;1;1;0;1;0;0;0;3
