Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Grand Salon Plein 7;Zorgcentrum 't Oude Landt;De Willemshoeve;Tennisvereniging VEP;Jan de Bakkerschool;Islamitisch Cultureel Centrum Woerden;Brediushonk;Thijs van der Polshal;Rehobothkerk Woerden;Kruiskerk;Sporthal Bulwijk;Johan Frisoschool;Maranathakerk;KBS de Franciscus;Gemeentehuis;Het Baken;Gymzaal Margrietschool;De Regenboogschool;Dorpshuis Harmelen;'Het Trefpunt', Centrum NH Kerk;MFC Dezibel;Recreatiecentrum H2O (zwembad);MFC Milandhof;RK Parochiecentrum De Kanis;MFC De Schulenburch;Grand Salon Plein 7 (maandag);Grand Salon Plein 7 (dinsdag);Gemeentehuis (maandag);Gemeentehuis (dinsdag);Sporthal Bulwijk (maandag);Sporthal Bulwijk (dinsdag);'Het Trefpunt', Centrum NH Kerk (maandag);'Het Trefpunt', Centrum NH Kerk (dinsdag);Het Baken (maandag);Het Baken (dinsdag);MFC De Schulenburch (maandag);MFC De Schulenburch (dinsdag);MFC Milandhof (maandag);MFC Milandhof (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
Postcode;;;;;3441 BG;3443 AH;3445 AS;3445 TH;3442 XH;3442 JE;3443 BG;3443 CT;3443 BZ;3443 CD;3448 CH;3448 DX;3448 DC;3448 TH;3447 GR;3446 GS;3446 BT;3446 JG;3481 GH;3481 XA;3481 VC;3481 WE;3474 KC;3471 GT;3471 EJ;3441 BG;3441 BG;3447 GR;3447 GR;3448 CH;3448 CH;3481 XA;3481 XA;3446 GS;3446 GS;3471 EJ;3471 EJ;3474 KC;3474 KC
;;11;de Vries, L.;14;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;1;0;0;1;3;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;12;van der Meer, F.;15;3;0;0;0;1;0;0;0;0;0;1;1;2;0;0;2;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;;13;van Tilburg, T.;10;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;14;Wammes, G.J.;18;0;0;2;0;0;0;1;3;3;1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;15;van Bork, F.J.;15;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;1;0;1;0;0;2;2;0;0;0;0
;;16;Glissenaar, P.P.M.;25;2;0;4;5;1;0;0;1;2;0;0;0;2;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1
;;17;Rijsdijk, G.S.;4;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van Geelen, W.;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;19;Pluimers, S.;10;0;1;0;2;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0
;;20;Ypma, L.;186;13;1;10;7;10;11;8;4;1;6;10;12;10;11;3;4;10;11;1;3;0;0;0;0;5;3;3;4;3;4;8;0;0;2;7;0;0;0;1
;;21;van Noort, M.H.T.;43;2;1;2;1;2;2;2;2;0;4;0;2;1;3;0;1;1;1;0;0;0;0;0;0;4;1;3;1;0;0;0;1;0;1;2;2;0;0;1
;;22;Koster-Dreese, Y.;18;0;0;3;0;0;0;0;1;0;1;1;1;0;0;1;2;0;0;0;2;1;0;0;0;1;0;0;0;0;1;0;2;1;0;0;0;0;0;0
4;LijstvanderDoes;;;3949;148;66;148;75;137;118;102;198;111;164;125;126;200;215;107;133;174;131;146;107;108;96;100;56;130;49;105;37;36;42;90;50;70;63;110;8;21;20;27
;;1;van der Horst e/v van Leeuwen, L.P.T.;1775;77;42;67;45;59;58;45;87;52;64;69;83;96;117;61;58;95;63;30;28;27;34;45;23;41;24;48;17;25;19;39;16;17;26;53;1;6;8;10
;;2;Droogh, S.F.J.M.;321;13;5;19;1;4;9;5;13;11;10;9;11;12;33;7;17;15;19;4;9;1;3;17;5;12;5;4;2;2;3;17;0;1;7;11;0;2;2;1
;;3;von Bose e/v Verheyen, M.R.;316;4;0;4;2;7;1;2;6;4;4;2;2;4;4;1;4;3;1;63;41;45;38;2;0;2;1;1;0;0;0;1;22;32;2;10;0;1;0;0
;;4;Ouwerkerk e/v Verbeij, J.H.;110;2;0;2;0;2;0;0;6;3;2;3;1;2;3;3;0;7;0;23;8;20;7;1;0;0;1;2;0;0;0;0;4;6;0;1;0;0;0;1
;;5;Noordergraaf, M.K.;173;7;1;3;1;6;2;4;3;1;8;6;1;8;4;4;5;11;2;2;0;0;0;4;16;47;1;2;1;0;2;0;0;0;3;5;7;5;0;1
;;6;van der Does, J.C.;576;17;10;25;14;27;16;24;55;24;37;12;12;31;29;9;19;16;16;5;6;5;7;12;8;11;13;21;10;5;5;21;2;5;11;19;0;7;6;4
;;7;van Iersel, C.;226;10;3;8;4;13;21;17;10;1;3;8;1;34;11;4;10;8;9;2;4;0;1;0;2;3;0;16;3;1;6;2;0;0;3;2;0;0;4;2
;;8;van Rootzelaar e/v Arentshorst, C.;72;3;0;3;0;2;1;0;5;6;11;3;1;2;2;1;1;5;2;1;1;1;0;1;1;2;1;5;0;0;3;1;0;0;3;4;0;0;0;0
;;9;Niericker, H.J.;18;1;0;0;2;0;0;0;1;0;1;3;3;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0
;;10;Metekohy, S.B.;45;6;0;1;0;5;0;0;0;2;7;0;0;3;1;4;4;2;1;1;0;0;2;1;0;0;1;1;1;0;0;0;0;0;2;0;0;0;0;0
;;11;Kingma, M.A.H.;45;0;0;1;1;1;1;1;1;1;1;1;3;4;4;0;2;6;3;1;0;3;0;0;0;2;0;1;1;1;1;0;0;1;1;2;0;0;0;0
;;12;van der Does, G.;77;3;2;3;0;5;3;0;3;2;6;1;0;0;0;5;3;2;2;7;5;3;2;2;0;2;0;1;0;2;1;1;3;5;0;2;0;0;0;1
;;13;van der Vegt, A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Hengel, B.;27;3;0;0;1;1;1;0;0;0;1;2;2;2;2;1;0;1;2;1;0;0;0;0;1;0;0;1;2;0;0;1;1;0;1;0;0;0;0;0
;;15;Verheyen, M.;20;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;5;2;1;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0
;;16;Noordergraaf, N.C.;13;0;0;1;1;0;0;0;0;0;1;0;1;2;0;1;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Hoogdalem, R.H.;38;1;0;3;0;1;0;1;0;1;0;2;0;0;0;2;0;0;3;0;0;0;1;15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7
;;18;de Jong, H.P.;8;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;19;van 't Zelfde, D.;21;0;0;4;0;0;0;0;3;0;5;1;0;0;0;0;3;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van Leeuwen, A.J.C.;13;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
;;21;Wilbrink, L.A.;12;0;0;0;0;0;0;3;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0
;;22;Visser, A.B.;5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Arentshorst, J.;11;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;2;1;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Bulk, J.C.;27;1;2;2;2;2;1;0;1;1;1;2;2;0;2;1;3;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
5;ChristenUnie-SGP;;;2423;73;53;105;95;113;59;71;62;71;77;47;44;108;68;44;84;90;44;67;59;28;35;145;110;251;22;41;16;14;24;26;23;34;42;46;25;61;9;37
;;1;van der Wind, D.;1057;34;25;42;40;41;17;40;27;28;25;20;17;44;23;18;43;33;24;23;15;13;19;49;38;138;15;22;4;5;6;13;8;11;31;26;17;33;7;23
;;2;de Jonge, H.J.;425;7;6;23;26;34;20;12;13;13;17;3;12;21;16;15;8;26;3;19;14;0;0;27;23;16;4;6;3;7;4;6;0;3;3;6;2;5;1;1
;;3;Noorthoek, J.C.;291;15;12;19;2;12;5;12;10;15;14;10;5;19;9;7;19;13;4;4;3;1;3;13;4;10;0;8;6;2;9;2;0;6;1;9;0;5;0;3
;;4;van Toor, J.W.;55;3;1;2;0;5;3;0;1;3;3;0;0;3;2;1;3;0;3;2;0;0;0;4;6;4;2;0;1;0;1;0;0;0;0;1;0;1;0;0
;;5;van der Wilt, H.J.;52;0;0;2;0;0;0;1;0;0;0;0;1;0;1;0;3;1;1;0;0;0;0;3;3;24;0;0;0;0;0;1;0;2;0;0;4;4;0;1
;;6;Bulk, H.T.;33;2;0;2;3;3;2;1;1;1;3;1;2;5;0;0;3;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;7;van Ingen, W.D.;45;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;20;12;3;0;0;0;0;0;0;0;0;0;1;1;3;0;3
;;8;Vennik, J.T.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;9;van Hell, E.;32;0;0;2;6;2;1;1;2;0;0;1;0;0;7;1;0;0;1;0;1;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Verschelling, M.;44;2;0;6;1;5;3;2;2;1;5;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;1;2;0;1;1;0;0;0;0;0
;;11;Vandermeer, J.;30;3;0;0;0;2;1;0;0;0;0;2;0;2;0;0;0;0;2;1;0;0;0;0;4;8;0;0;0;0;1;0;0;0;0;0;1;3;0;0
;;12;van Schaik, N.C.;35;0;1;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;5;5;2;0;0;3;1;0;0;0;0;0;0;7;4;0;0;0;2;0;0
;;13;de Visser, J.;39;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;8;8;7;0;0;0;0;0;1;0;0;0;4;5;0;0;0;0;0;0
;;14;de Groot, L.;12;0;2;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Spaanderman, C.;16;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;6;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;3
;;16;Kemp, T.H.;15;2;0;0;1;0;1;0;0;0;0;0;0;2;3;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;17;Adams, M.;8;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;18;van der Straten, C.M.;16;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;2;7;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Leune, M.B.;12;0;1;3;0;0;0;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van Dam, J.;27;1;2;0;1;0;3;0;1;1;2;3;1;0;1;0;2;1;0;1;0;0;0;0;0;3;0;0;0;0;0;2;0;0;1;1;0;0;0;0
;;21;Nap, A.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;9;0;0;0;0;1;0;0;0;0;0;0;1;0;0
;;22;Bremmer, P.;14;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1
;;23;Doornebal, E.J.M.;17;0;1;0;2;3;1;0;1;0;5;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Jongeneel, M.;8;0;0;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van Elk, K.;6;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
;;26;Zwaneveld, A.A.;19;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Baan, K.;28;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;3;0;0;0;13;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;28;Mackloet, H.M.J.;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;2;0;0;1;0;0;0;0;0;0;0;2;0;0;0;3;0;0
;;29;Brouwer, S.;8;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Wolsheimer, J.;46;1;2;1;7;4;1;1;0;0;0;3;2;5;2;1;1;4;2;0;0;0;0;0;0;3;0;0;0;0;0;0;4;0;2;0;0;0;0;0
6;STERK Woerden;;;730;61;18;32;15;28;20;22;44;16;48;29;29;41;36;25;20;35;23;10;7;7;9;6;13;18;12;14;12;6;10;20;1;4;7;22;3;5;0;2
;;1;den Boer, W.;304;38;10;12;11;11;10;10;19;5;15;9;11;17;8;11;6;9;9;4;6;3;6;0;7;7;5;9;5;2;2;10;0;1;4;11;1;0;0;0
;;2;Schouten, C.;122;5;2;4;0;9;6;7;7;2;19;5;6;4;4;4;2;1;4;1;0;2;0;2;0;3;1;3;3;2;5;1;0;1;0;5;0;2;0;0
;;3;Lamboo-van der Zon, W.C.M.;140;10;2;6;1;4;0;2;9;4;2;7;9;13;8;6;6;18;6;1;0;0;1;1;2;4;3;1;0;0;0;3;0;2;2;5;0;1;0;1
;;4;Sluijs, G.J.;25;0;3;4;0;3;0;1;2;1;3;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0
;;5;Huls, F.W.M.;12;0;1;0;0;0;0;0;2;1;0;1;0;2;0;0;0;1;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0
;;6;Stavenuiter-Winkelmolen, M.M.M.;24;0;0;1;0;0;1;0;1;0;3;1;0;3;3;0;1;0;0;0;0;2;0;1;0;4;0;0;0;0;1;2;0;0;0;0;0;0;0;0
;;7;Vrolijk, R.;103;8;0;5;3;1;3;2;4;3;6;5;2;2;12;3;5;6;4;4;1;0;2;2;3;0;0;0;2;2;2;3;1;0;1;1;2;2;0;1
7;D66;;;2197;138;30;114;64;75;47;60;83;50;68;68;79;72;94;84;124;145;161;52;46;38;35;21;13;50;44;62;21;20;31;40;21;11;31;60;12;17;7;9
;;1;van Hoesel, B.J.C.J.;1349;85;22;84;40;36;19;33;49;32;41;40;45;37;61;45;87;90;87;27;26;20;19;11;9;38;33;41;10;14;22;28;12;8;25;39;6;14;5;9
;;2;Boersma, T.J.;138;9;1;4;8;3;7;3;5;0;3;4;4;3;8;5;6;11;22;2;0;1;1;1;1;3;3;3;4;2;3;3;0;1;1;3;0;0;0;0
;;3;van Altena, S.A.J.;244;14;1;16;7;9;7;11;10;0;7;5;10;5;9;17;14;14;28;0;3;2;1;4;2;6;6;9;2;0;3;2;3;0;3;9;3;1;1;0
;;4;Issarti, I.;171;9;2;1;1;17;9;4;8;11;9;9;7;7;8;12;3;15;11;2;3;1;0;2;0;1;1;3;2;3;3;4;1;0;0;0;0;2;0;0
;;5;Berendsen, G.J.D.;33;4;0;0;3;1;0;1;1;0;0;5;3;2;1;0;0;1;4;1;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;1;0;0;1;0
;;6;Grasmeijer, V.J.;75;7;1;5;1;2;1;3;4;2;2;0;4;7;1;1;8;5;6;2;2;2;1;0;0;2;1;1;1;0;0;0;0;0;1;2;0;0;0;0
;;7;van den End, T.;37;5;1;0;1;0;1;0;1;3;1;1;1;7;1;0;0;1;1;1;0;0;1;1;0;0;0;3;0;0;0;1;0;0;0;2;3;0;0;0
;;8;van der Meer, F.;8;0;0;0;2;0;0;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Flierjans, J.;16;1;1;0;0;2;1;0;1;0;0;2;0;0;0;2;0;3;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;;10;van den Berg, M.D.;84;2;0;0;0;2;1;1;2;0;2;2;1;1;3;2;2;2;0;17;12;12;12;1;1;0;0;0;0;0;0;0;2;2;1;1;0;0;0;0
;;11;Becht, G.F.;42;2;1;4;1;3;1;3;2;2;3;0;1;2;2;0;4;3;1;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;3;0;0;0;0
8;Inwonersbelangen;;;2526;98;36;73;35;94;98;61;60;37;118;79;61;127;103;31;57;90;76;198;122;114;164;21;17;48;34;57;22;30;29;52;71;118;24;46;4;12;1;8
;;1;van Assem, H.A.;1642;55;28;57;26;66;68;41;46;24;82;57;43;83;75;23;35;57;49;112;58;53;106;13;14;36;31;39;13;21;20;39;37;70;17;34;4;5;1;4
;;2;van Rensen, J.L.M.;125;4;0;1;0;4;3;3;0;2;2;3;0;4;0;1;2;2;2;11;19;17;19;0;0;0;0;2;1;3;1;2;5;10;1;0;0;1;0;0
;;3;de Mari - Bosken, A.A.;268;10;5;4;6;5;6;10;4;7;13;6;5;8;9;2;9;10;11;35;11;15;18;4;1;6;0;3;2;0;0;2;17;15;2;4;0;1;0;2
;;4;van Helden, F.C.W.;19;0;0;0;0;2;0;0;0;0;0;0;1;2;0;0;0;1;0;4;2;0;1;0;0;0;0;0;0;0;4;0;1;1;0;0;0;0;0;0
;;5;van Leeuwen, J.A.;50;2;1;0;0;2;0;0;0;0;0;2;0;0;1;0;0;2;0;5;9;2;8;1;0;2;0;1;0;0;0;2;6;4;0;0;0;0;0;0
;;6;Sistermans, J.J.T.;33;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;9;9;3;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
;;7;de Kruif, W.J.;18;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;1;1;3;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;4;0;0
;;8;Coltof, M.L.;124;2;0;4;2;5;8;3;0;0;16;2;5;9;11;4;5;11;9;4;2;2;0;0;0;2;1;3;4;2;0;3;0;1;1;3;0;0;0;0
;;9;van Assem, F.M.;49;0;0;1;1;1;0;0;2;0;0;0;1;1;0;0;3;0;1;14;7;5;5;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0
;;10;van Pelt, G.J.;24;1;0;2;0;0;3;1;0;0;0;1;0;10;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0
;;11;Stäb, R.P.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;van Drunen - Vink, L.G.;61;13;1;1;0;4;2;2;2;0;3;4;0;6;1;1;2;4;2;1;0;1;0;0;1;0;0;6;0;0;0;1;0;0;2;1;0;0;0;0
;;13;Nieuwendijk, T.W.;31;3;0;1;0;4;1;1;2;2;1;0;2;1;1;0;0;0;1;0;1;0;0;3;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;2
;;14;Pels, C.J.;23;4;1;1;0;0;1;0;1;0;0;3;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;2;1;0;0;0;0;0;1;2;0;0;0;0
;;15;Koopmans, M.J.G.J.M.;29;3;0;0;0;1;6;0;0;1;0;1;3;3;3;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;0;0;1;0;0;0;0
;;16;van der Wal, A.H.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;17;Griffioen, J.;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;2;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0
;;18;Heijna, R.C.G.;15;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;2;2;0;1;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0
9;Woerden & Democratie;;;1526;93;22;47;27;37;88;43;63;37;74;47;39;56;82;42;37;61;62;72;61;53;70;21;21;43;28;39;4;19;13;17;21;37;10;29;0;6;2;3
;;1;Bakker, R.C.L.;568;30;12;22;6;14;23;18;19;11;20;17;18;16;27;14;20;26;24;31;26;22;23;7;9;23;14;14;0;5;4;6;9;10;6;17;0;2;1;2
;;2;Pennewaard, A.;202;21;1;5;1;2;11;6;7;6;5;4;7;12;20;5;4;12;16;0;4;2;3;2;2;12;4;10;1;3;2;6;1;1;2;2;0;0;0;0
;;3;de Mooij, C.W.;87;2;0;3;0;3;1;0;5;0;2;3;1;2;3;0;3;0;5;10;8;7;8;0;3;0;4;6;0;0;0;0;3;5;0;0;0;0;0;0
;;4;Lausegger, M.M.;83;0;0;1;1;0;1;0;4;2;3;4;1;14;14;0;1;5;3;0;1;0;3;2;4;0;1;3;0;5;5;1;0;3;0;1;0;0;0;0
;;5;Arbaj, M.;298;21;2;12;15;8;44;13;25;14;33;16;5;10;7;17;6;11;7;5;0;2;0;4;0;3;1;4;0;2;1;2;0;0;2;5;0;0;1;0
;;6;Kwakkenbos, P.L.M.;144;1;1;0;0;1;0;0;0;0;0;0;0;0;2;1;2;0;3;26;22;20;32;0;2;2;0;1;0;0;0;0;8;18;0;1;0;1;0;0
;;7;de Kruijf, G.H.;45;10;0;0;1;6;2;1;0;2;4;1;1;0;2;1;0;1;3;0;0;0;0;0;0;0;2;0;2;3;0;2;0;0;0;1;0;0;0;0
;;8;Bakker, M.;45;6;3;1;0;0;1;0;3;1;5;0;3;2;4;0;1;4;1;0;0;0;1;0;0;3;2;0;0;0;1;0;0;0;0;1;0;2;0;0
;;9;van der Hoeven, R.;5;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Mathlouthi, A.;8;1;0;0;2;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;11;Doornebal, E.A.;17;0;3;0;0;3;1;3;0;0;2;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Lock, A.A.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Pennewaard, J.;5;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;14;Bakker, M.A.E.;10;1;0;1;1;0;2;1;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Doorn, G.C.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;de Boer, R.R.;8;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
10;Splinter;;;1098;72;25;42;31;35;34;42;57;19;29;44;40;69;47;39;54;74;69;12;15;12;7;16;10;17;23;21;16;17;12;38;3;0;20;25;1;3;3;5
;;1;van Kooten-Arissen, F.M.;882;59;21;30;25;26;27;32;48;17;27;31;35;51;40;24;41;62;48;12;15;9;7;15;9;12;23;17;12;14;11;29;3;0;18;24;1;3;2;2
;;2;de Groot, D.S.;77;5;2;4;1;4;2;8;3;0;0;0;0;10;1;3;3;7;12;0;0;1;0;0;0;1;0;2;2;0;1;1;0;0;0;1;0;0;0;3
;;3;van den Heuvel-Łuczycki, M.;22;0;1;4;0;2;1;0;1;0;1;0;0;0;0;2;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0
;;4;Al Hagoug, D.A.G.;63;3;1;2;5;2;3;2;2;2;0;10;4;3;3;5;1;2;6;0;0;0;0;0;1;1;0;0;2;2;0;0;0;0;0;0;0;0;1;0
;;5;Breedveld, J.;24;0;0;2;0;0;0;0;2;0;1;1;1;2;2;3;4;0;3;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0
;;6;Bergshoeff, M.J.;23;4;0;0;0;1;1;0;0;0;0;2;0;3;1;0;2;2;0;0;0;0;0;0;0;2;0;1;0;0;0;4;0;0;0;0;0;0;0;0
;;7;Ezendam, N.;7;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Belang van Nederland (BVNL);;;324;15;3;10;7;12;6;6;4;11;9;9;10;15;18;16;14;17;6;16;19;9;17;9;5;12;1;8;2;4;2;2;4;4;14;4;1;1;0;2
;;1;Voorbij, M.M.;259;13;2;7;5;10;5;5;4;9;8;6;8;11;14;15;11;10;4;13;15;7;14;8;4;9;0;8;2;4;1;1;4;3;12;4;1;1;0;1
;;2;van den Boomen, V.;65;2;1;3;2;2;1;1;0;2;1;3;2;4;4;1;3;7;2;3;4;2;3;1;1;3;1;0;0;0;1;1;0;1;2;0;0;0;0;1
