Verkiezing;;Gemeenteraad Bunnik 2022;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;
Gebied;;Gemeente Bunnik;;;;;;;;;;;;;;
Nummer;;0312;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Prikkebeen;De Stevenshoek;De Stevenshoek (maandag);De Stevenshoek (dinsdag);Barbarakerk;Dagkerk Odijk;Sporthal, Dorpshuis Odijk;Sporthal, Dorpshuis Odijk (maandag);Sporthal, Dorpshuis Odijk (dinsdag);Rijnzaal;Rijnzaal (maandag);Rijnzaal (dinsdag)
Gebiednummer;;;;;3;9;10;11;13;14;16;17;18;20;21;22
Postcode;;;;;3981 WC;3985 SB;3985 SB;3985 SB;3981 AD;3984 JA;3984 MA;3984 MA;3984 MA;3981 GD;3981 GD;3981 GD
;;6;van Petersen, H.G.J.;39;0;1;0;1;0;15;9;2;4;4;2;1
;;7;Visser, H.J.;268;1;82;50;54;9;14;7;5;15;6;14;11
;;8;van der Maat, H.A.P.;98;11;10;6;3;13;10;15;3;3;17;2;5
;;9;van der Mark, J.C.;9;2;0;0;0;1;0;1;0;0;1;4;0
;;10;van Wiggen, C.I.M.;38;2;0;0;0;9;5;6;1;1;7;1;6
;;11;de Wild-Geerlings, L.;19;1;2;0;0;2;5;3;5;1;0;0;0
;;12;van Eck, J.A.;123;0;69;14;21;0;9;8;0;0;1;0;1
;;13;van Geest, J.M.;13;0;0;0;0;2;3;3;0;4;1;0;0
;;14;Vernie, L.N.;21;3;0;0;0;4;0;0;0;0;5;5;4
;;15;Schermers, J.P.;34;6;3;0;1;7;0;1;1;1;4;5;5
;;16;de Wild, R.J.W.;10;1;0;0;0;0;2;2;0;4;0;1;0
3;D66;;;1497;99;125;13;32;194;206;166;60;95;288;110;109
;;1;Dekker, A.J.;656;47;55;6;16;68;113;87;27;45;97;53;42
;;2;James, O.A.;119;11;13;0;4;25;10;10;3;4;22;9;8
;;3;Toersen, W.;269;24;10;3;1;47;15;19;3;14;87;24;22
;;4;Hallo, R.E.;89;1;5;0;3;12;6;16;11;16;7;6;6
