Verkiezing;;Gemeenteraad Houten 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Houten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;RKBS Van Harte School;Zalencentrum Rest. De Engel;App. complex Op Houten;OBS De Bijenkorf;RKBS De Zevensprong;Stichting Het Lokaal;Gymzaal De Velduil;OBS De Velduil;Sociaal Cultureel Centrum De Ploeg;Sociaal Cultureel Centrum De Wiese;Sociaal Cultureel Centrum 't Gebouw;RKBS De Vlinder;Het Kruispunt;Wijkcentrum de Vuurtoren;RKBS Aventurijn;Wijkcentrum Schoneveld;OBS De Plantage;Sporthal de Wetering;The Dome;Bibliotheek Houten-Centrum;Gemeentehuis;App.complex Op Houten;Wijkcentrum de Vuurtoren;Wijkcentrum Schoneveld;Sporthal de Wetering;The Dome;Gemeentehuis;App.complex Op Houten;Wijkcentrum de Vuurtoren;Wijkcentrum Schoneveld;Sporthal de Wetering;The Dome
Gebiednummer;;;;;1;2;3;4;5;7;8;9;11;12;13;14;15;16;18;19;21;22;24;25;26;31;32;33;34;35;36;41;42;43;44;45;46
Postcode;;;;;3995 DZ;3991 AA;3991 DM;3991 DT;3992 BK;3992 RD;3993 BG;3993 GE;3994 EK;3997 MH;3998 MD;3999 NK;3994 PB;3994 AC;3994 KE;3994 MB;3991 MX;3991 ZE;3991 LB;3994 AE;3995 DX;3995 DZ;3991 DT;3994 KE;3991 MX;3991 LB;3994 AE;3995 DZ;3991 DT;3994 KE;3991 MX;3991 LB;3994 AE
;opgeroepenen;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;20580;1249;727;432;492;791;1216;609;778;801;293;793;350;1001;687;684;399;1383;805;323;365;271;1003;420;395;493;192;264;1216;442;474;655;246;331
;geldig volmachtbewijs;;;2734;162;103;78;68;115;153;53;114;81;40;132;62;165;91;98;53;202;129;52;45;44;110;30;50;45;38;36;131;52;43;85;37;37
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;23314;1411;830;510;560;906;1369;662;892;882;333;925;412;1166;778;782;452;1585;934;375;410;315;1113;450;445;538;230;300;1347;494;517;740;283;368
;geldige stembiljetten;;;23235;1397;828;508;559;904;1369;661;886;882;333;924;412;1160;776;775;452;1583;928;371;409;314;1111;448;444;537;229;300;1338;493;514;739;283;368
;blanco stembiljetten;;;37;5;1;0;0;2;0;0;3;0;0;0;0;3;2;6;0;0;5;3;0;0;1;1;0;0;0;0;5;0;0;0;0;0
;ongeldige stembiljetten;;;40;9;1;2;1;0;1;1;3;0;0;1;0;2;0;1;0;1;1;1;1;1;1;1;0;1;1;0;4;1;3;1;0;0
