Verkiezing;;Gemeenteraad Veenendaal 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Veenendaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijkcentrum Duivenwal;Wijkcentrum Panorama;Gebouw Rode Kruis;Voetbalvereniging De Merino's;Zaalruimte Het Trefpunt;Vredeskerk;Salvatorkerk;Voetbalvereniging VRC;Sionskerk;Gymzaal 't Kofschip;Voetbalvereniging G.V.V.V.;Bethelkerk;Gymzaal Sporthal West (1);Gymzaal Langelaar;Gymzaal Trommelaar;Buurthuis 't Turfke;Gymzaal Gouverneurslaan (1);Gymzaal Gouverneurslaan (2);Gymzaal Zoete Inval;Wijkkerk De Open Hof (1);Wijkkerk De Open Hof (2);Wijkcentrum Kleine Beer;Gymzaal Zuiderkruis;Westerkerk;Gymzaal Langelaar (2);Gymzaal Goudmos (1);Gymzaal Goudmos (2);Pnielkerk;Spectrum;Sporthal Oost (Ontmoetingshuis) (1);Sporthal Oost (Ontmoetingshuis) (2);Sporthal Oost (Ontmoetingshuis) (3);Gymzaal Sporthal West (2);Drive-through (gemeentewerf);Mobiel Stembureau;Zaalruimte Trefpunt;Wijkkerk De Open Hof;Westerkerk;Spectrum;Zaalruimte Trefpunt;Wijkkerk De Open Hof;Westerkerk;Spectrum
;;8;de Baat, D.A.;38;0;1;2;0;0;8;0;0;2;0;2;0;0;1;0;0;1;1;3;2;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;2;2;1;3;1;0;1;1
;;9;de Jager, M.C.;50;1;2;2;0;0;4;1;0;0;1;1;0;1;0;0;4;2;4;2;3;0;0;1;2;3;0;2;0;2;0;2;2;2;0;0;0;1;1;1;0;0;1;2
;;10;Kok, A.;69;3;0;2;0;2;5;1;0;7;1;0;0;2;3;2;2;3;0;0;8;4;0;0;3;0;1;1;2;1;2;4;0;0;1;0;0;1;1;2;0;2;2;1
;;11;Teeuw, J.P.;53;3;0;2;0;2;6;0;1;2;3;0;1;0;0;0;0;1;3;4;1;4;2;0;0;0;3;2;1;0;0;0;0;0;0;0;2;1;1;3;2;3;0;0
;;12;Dankers, J.W.;25;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;2;1;0;3;0;0;0;0;0;0;0;2;0;1;0;1;0;2;0;0;0;0;0;0;6;1;1
;;13;van den Brink, C.J.;10;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Verkuijl, J.;12;0;0;0;0;1;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0
;;15;van Klinken, J.;21;1;0;0;0;0;0;0;1;1;2;0;0;0;1;0;0;1;2;0;3;1;0;1;0;1;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2
;;16;Rebel, T.W.C.;51;0;1;1;1;4;3;0;2;2;0;0;0;0;0;1;0;1;2;0;0;1;0;0;7;0;2;0;0;1;4;1;3;0;0;0;0;2;0;0;1;5;3;3
;;17;Breas, J.A.C.;18;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;5;2;0;2;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1;0
;;18;Kesteloo, H.W.;43;0;0;0;0;0;4;0;1;3;2;0;0;1;3;0;0;2;4;1;2;3;0;0;1;0;0;2;0;1;0;1;3;1;1;0;0;0;3;2;0;0;0;2
;;19;de Vries, W.;17;0;0;0;1;0;2;0;0;1;1;1;0;0;0;0;2;0;1;0;0;1;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0
;;20;Mouthaan, J.N.;17;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;3;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;4;0;0;0;0;0;1;1;0;0
;;21;Kleiberg, T.M.N.;47;0;0;0;0;1;1;0;0;1;2;0;0;0;0;1;1;6;4;0;3;3;3;0;8;1;0;1;1;2;0;0;3;0;0;0;0;2;0;0;2;0;1;0
;;22;Don, J.A.;11;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
;;23;Geurtsen, A.;10;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;24;van Wijngaarden, D.;26;1;0;1;0;1;1;0;0;1;0;1;0;0;1;0;0;5;4;1;0;0;1;0;0;1;1;0;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;1
;;25;Bogert, A.;21;0;3;0;0;0;0;0;0;1;0;0;0;1;0;0;3;2;0;2;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;2;1;2;0;1;0;0
;;26;Schalk, P.;53;1;2;4;0;1;3;0;1;4;0;0;0;1;0;1;2;3;1;1;6;4;0;1;6;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;1;1;1;0
;;27;van de Merwe, J.;19;0;1;0;0;0;2;2;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;4;0;1
;;28;Smits, E.;25;0;0;0;1;0;1;0;0;3;0;0;0;3;0;0;0;3;0;0;0;6;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
;;29;Bisschop, R.;74;0;0;3;1;4;4;1;0;3;0;0;3;2;3;3;5;2;6;0;3;0;0;0;2;3;1;1;2;2;2;2;3;1;1;1;1;0;2;0;1;1;4;1
;;30;Scheele, D.;34;1;0;1;0;3;0;0;0;0;0;1;0;1;2;0;4;3;0;0;1;2;0;0;2;0;1;0;0;0;2;0;0;0;2;0;0;1;0;2;2;0;1;2
4;ProVeenendaal;;;6053;149;43;110;75;231;89;147;95;161;304;99;53;193;196;113;162;109;76;30;196;156;71;106;260;157;276;296;84;199;163;184;182;188;73;9;84;84;128;59;127;145;230;161
;;1;Beek, M.R.;2406;68;14;54;38;88;35;40;30;69;129;44;20;75;95;36;58;36;24;13;70;56;43;42;106;71;110;125;28;82;56;74;55;84;21;5;30;39;60;26;50;58;95;54
;;2;Roelofsen, N.;1791;37;13;22;9;76;17;47;25;53;95;35;13;66;57;28;45;25;22;4;60;52;13;31;72;36;83;93;37;44;47;57;65;57;24;1;26;21;40;16;43;49;78;57
;;3;van der Weerd, R.A.;59;1;0;0;0;3;1;3;3;1;2;0;0;4;5;1;2;0;1;0;2;1;0;1;2;4;1;2;0;1;3;1;1;1;0;0;0;2;0;1;1;2;5;1
;;4;Visser, B.;276;9;7;8;4;6;6;5;1;9;6;2;5;9;5;4;14;11;2;3;10;8;3;6;10;9;9;10;3;9;7;11;5;9;6;0;3;5;2;5;5;5;8;12
;;5;Castiglione, D.S.A.;84;2;0;1;3;1;0;2;1;4;4;0;1;0;2;1;4;5;2;2;3;1;0;1;2;3;8;5;1;7;4;3;4;1;1;0;1;0;0;0;0;0;2;2
;;6;Kruger, J.;137;4;1;4;0;5;3;8;0;3;15;0;7;7;7;0;3;1;0;0;5;1;2;2;3;8;9;5;0;3;2;1;1;2;3;0;5;3;1;0;6;2;5;0
;;7;van Manen, S.;158;1;1;5;1;7;1;4;4;5;5;3;0;5;3;13;11;5;4;0;3;4;1;3;8;2;4;3;1;5;3;3;4;2;2;0;2;3;1;1;6;3;5;11
;;8;van de Laar, I.;212;4;0;3;2;7;2;6;7;3;9;2;4;5;7;0;3;4;6;2;6;6;2;5;9;8;17;12;3;8;2;4;14;8;3;0;4;1;8;3;4;2;2;5
;;9;Scherpenzeel, G.J.;34;1;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;3;2;0;1;0;5;0;0;0;1;0;0;4;0;0;3;0;1;1;2
;;10;van Oorschot, A.A.W.;30;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;5;2;1;3;1;0;1;2;0;0;0;0;2;0;1;0;1;1;0;0;0;0;0;0;2;1;1
;;11;Janssen, A.H.;20;1;0;0;1;0;1;0;0;0;2;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;3;0;0;1;0;0;1;1;0;2;0;1;0;2;0;0;0
;;12;Boekee, A.;17;3;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;3;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;13;Heijkamp, G.H.;69;0;2;0;3;1;4;3;0;0;3;0;0;1;0;1;5;2;3;0;0;1;1;3;1;0;2;2;1;3;7;5;9;1;0;0;0;1;1;0;1;0;2;0
;;14;Schriemer, E.C.J.;19;0;0;0;0;1;0;0;0;0;1;0;0;2;1;0;0;0;0;0;3;0;0;0;2;2;0;0;0;3;1;0;0;1;2;0;0;0;0;0;0;0;0;0
;;15;Heijting, H.A.;110;5;1;3;0;4;7;2;1;2;4;0;0;3;1;1;5;2;4;0;7;6;1;0;14;0;3;7;0;3;0;2;3;5;1;0;1;1;3;0;1;2;2;3
;;16;Rijnsburger, C.;48;0;0;3;0;0;1;6;4;1;2;3;0;0;1;2;0;2;0;0;1;0;0;1;2;0;1;3;1;1;2;2;2;1;2;0;0;1;0;0;1;0;1;1
;;17;Klabbers, L.;18;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;5;1;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0
;;18;Dusault, F.;20;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;1;1;0;0;2;1;0;1;1;0;2;1;2;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0
;;19;Nieboer, T.;263;4;1;1;4;18;5;12;12;1;10;2;2;3;3;6;6;7;4;4;10;10;1;5;14;5;13;8;2;12;10;7;3;7;2;2;5;6;4;0;2;14;7;9
;;20;van den Dikkenberg, J.;14;0;0;1;1;0;0;0;1;1;0;1;0;1;0;1;1;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;21;Threels, J.J.;55;2;1;1;1;1;3;0;0;1;1;3;0;0;0;4;0;0;0;0;3;1;1;0;0;2;1;2;2;2;7;3;6;0;0;0;0;1;1;0;1;4;0;0
;;22;Kruger, P.M.;20;0;0;0;0;2;0;0;0;1;3;0;0;2;2;0;0;1;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;1;1;0;2;0;1;0;0;0
;;23;van der Weerd, D.;18;0;0;1;1;2;0;0;2;0;0;0;0;0;0;1;0;0;0;0;2;1;0;1;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0
;;24;van Hunnik, A.J.;46;0;0;0;0;0;0;0;1;0;1;1;0;1;1;3;1;1;0;0;2;0;0;1;2;1;1;2;1;0;5;5;2;2;2;0;0;0;3;2;2;0;3;0
;;25;Scherpenzeel, M.M.;20;2;0;0;1;1;0;0;1;0;0;0;0;0;0;4;0;0;2;0;0;0;0;1;0;0;2;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;1
;;26;Castiglione, M.D.S.A.;21;0;0;0;1;0;0;1;1;0;2;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;3;0;2;0;0;0;0;0;0;0;0;0;0;3;1
;;27;Niekerk, J.;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Versteeg, H.;57;3;2;1;3;1;2;5;0;2;4;0;0;3;2;1;0;0;0;1;0;3;3;1;1;0;1;0;2;2;4;2;2;1;1;0;0;0;0;0;0;1;2;1
;;29;van der Zalm, J.G.;4;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Kalkhoven, G.C.W.;21;1;0;1;0;2;1;1;0;1;2;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0
5;CDA;;;2601;63;19;45;26;95;56;55;29;88;90;14;46;75;56;33;62;58;48;12;85;84;38;39;139;36;73;91;38;71;104;80;104;49;29;16;46;74;75;26;78;75;136;45
;;1;Schonewille, H;1404;50;13;33;16;48;35;28;11;45;56;9;20;47;30;18;43;27;27;7;37;44;23;22;80;20;40;45;19;32;29;25;36;28;17;7;35;42;50;15;49;43;78;25
;;2;Katerberg, A.J.E.;457;4;3;4;2;15;4;9;6;18;15;4;12;18;14;14;7;17;5;0;19;18;5;8;28;10;15;18;7;15;15;15;12;10;2;2;3;10;13;5;16;11;22;7
;;3;Ruitenbeek, M.W.T.;182;5;2;1;2;3;6;0;3;5;3;0;7;2;1;0;2;2;2;0;2;4;1;3;9;1;3;5;2;7;27;15;20;2;1;1;2;2;2;2;5;4;11;5
;;4;Dorst, M.H.T.;84;0;0;0;1;3;1;1;3;0;3;0;1;0;2;0;0;0;3;2;0;0;1;1;2;1;3;0;3;3;12;12;20;1;1;0;0;1;0;0;0;0;1;2
;;5;Bochane, M.;142;0;0;2;1;6;4;1;3;7;4;0;0;3;1;0;3;2;7;1;9;8;3;3;5;0;2;7;6;4;12;4;6;1;1;2;0;6;2;1;0;5;8;2
;;6;Postma, R.;12;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;3;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
;;7;van der Borg, D.R.;16;0;0;0;0;1;0;6;0;3;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;8;Stegenga, A.M.;106;2;0;2;0;7;0;3;0;3;1;0;2;1;4;0;2;2;0;2;6;5;3;1;7;2;3;7;0;5;3;1;1;1;0;0;4;5;2;2;6;3;8;0
;;9;van Bentum, E.;14;0;0;0;0;1;0;2;1;3;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0
;;10;Buijs, T.S.F.;14;2;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;1;1
;;11;Ruitenbeek-Pees, J.;21;0;0;0;1;1;2;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;2;0;1;0;1;1;2;3;0;0;0;0;1;0;0;0;1;0;0
;;12;Breas, J.A.;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0
;;13;Dorst-Lindner, R.C.M.;9;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0
;;14;van Dijk, C.J.;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Fikkert, A.C.;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;4;0;0
;;16;Vink, M.G.;13;0;0;0;0;1;0;2;0;1;0;0;0;0;2;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
;;17;Enzlin, E.;9;0;0;0;2;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0
;;18;van 't Noordende, W.J.C.;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;19;de Boer - Bijl, J.C.M.;32;0;0;0;1;0;1;0;0;2;0;0;0;1;1;0;2;3;0;0;1;0;0;0;1;0;1;0;0;1;2;0;4;2;2;0;0;2;0;1;0;0;3;1
;;20;Hoitink, H.W.;12;0;1;0;0;1;0;0;0;0;1;0;3;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
;;21;Dijkhuizen, B.;21;0;0;0;0;3;0;1;1;0;1;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;4;0;1;1;1;1
;;22;Segers, J.;22;0;0;3;0;0;2;1;0;0;2;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;2;0;1;2;2;1;0;0;1;0;0;0;1;0
6;Lokaal Veenendaal;;;2549;83;54;55;34;81;33;54;41;94;83;35;23;58;37;75;73;42;37;27;78;65;83;130;94;47;105;82;40;87;51;60;48;60;44;2;33;45;45;52;49;71;73;86
;;1;Pottjewijd, H.J.;753;25;6;11;7;29;8;19;9;43;23;11;12;15;19;14;25;15;12;13;23;27;25;18;30;11;28;31;17;27;10;18;15;20;15;1;12;12;10;13;10;19;24;21
;;2;van Ravenswaaij, B.;590;16;5;18;9;20;9;13;2;21;25;3;2;16;11;13;19;12;12;6;19;12;16;7;25;12;37;21;9;19;13;21;12;15;10;0;11;7;11;9;19;9;26;18
;;3;Lochtenberg, C.J.;218;14;6;5;2;4;6;3;10;8;3;2;0;4;0;5;3;4;1;2;9;4;7;3;12;0;6;10;3;11;4;7;2;4;4;1;1;7;6;5;6;11;6;7
;;4;van Oort-Hooijer, A.J.C.;135;6;1;0;1;4;2;4;5;0;5;4;1;4;0;6;5;4;6;0;2;2;2;3;6;3;9;1;3;5;6;1;6;1;1;0;0;1;5;3;2;5;3;7
;;5;Makineli, M.Y.;437;8;28;15;5;4;3;9;12;2;3;6;0;7;0;26;10;3;0;2;14;4;24;92;4;18;7;2;1;6;12;11;12;3;6;0;0;12;7;19;0;18;3;19
;;6;van de Pol, G.;77;0;3;2;3;2;1;3;1;4;4;1;3;0;2;3;3;2;1;0;1;0;4;4;2;0;0;1;0;3;1;0;0;1;1;0;1;0;0;2;5;3;4;6
;;7;Schenk, J.P.;19;0;1;0;1;0;0;0;0;0;2;3;0;0;0;0;0;0;1;1;0;0;0;0;6;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;8;Draaisma, E.;38;0;0;1;0;4;0;0;0;2;4;0;0;0;2;1;2;0;0;0;0;1;2;1;0;0;4;2;0;5;1;1;0;2;2;0;0;0;0;0;0;0;0;1
;;9;Otten, J.T.;19;0;0;0;0;1;1;1;0;0;6;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;1;0
;;10;Sterkenburg, R.R.I.;49;5;2;0;1;1;0;1;0;3;1;1;1;1;0;1;2;0;0;0;3;2;0;1;1;0;1;0;1;3;0;0;0;2;2;0;1;2;6;0;3;1;0;0
;;11;van Doodeweerd, C.;15;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;1;0;1;3
;;12;Landzaat, A.A.;8;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Rijkhoff, J.L.;20;0;0;0;0;2;0;0;0;2;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;2;0;0;0;2;0;0;2
;;14;Haasbroek, T.T.;12;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;3;0;0;1;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0
;;15;Prins, A.M.;9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0
;;16;Meun, M.;23;1;0;0;0;0;0;0;0;0;1;0;0;3;1;0;0;0;1;0;3;4;0;0;0;1;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
;;17;van Dijk, A.C.;39;0;1;1;3;1;2;0;0;7;0;2;0;3;1;0;0;0;1;0;1;2;2;0;0;1;3;3;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0
;;18;Rugebregt, P.R.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;19;van den Berg, J.A.;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;20;Govers, G.A.M.;16;2;0;0;0;1;0;1;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;1;0;0;1;0;0;0;0;0;0;0;1;1
;;21;Henzen, H.;23;3;0;1;2;4;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;1;1;0;0;0;1;0;0;0;2;0;0;0;0;2;1
;;22;van Dam, R.;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Heuvelman, A.H.;40;0;0;1;0;1;0;0;0;1;2;0;2;1;1;0;1;1;1;3;0;2;1;0;4;1;1;4;1;2;1;0;1;0;0;0;1;2;0;0;1;2;1;0
7;D66;;;1223;22;13;19;11;54;32;27;13;33;83;16;22;43;22;21;23;19;11;9;21;37;9;16;51;30;76;39;21;44;24;37;29;29;20;1;17;25;42;21;32;28;55;26
;;1;Boutachekourt, Y.;439;7;8;5;3;14;11;10;8;10;42;13;5;14;6;6;11;7;5;5;9;10;4;3;12;11;24;13;9;11;8;19;8;9;6;1;7;9;11;7;13;12;21;12
;;2;Diepeveen - Veraar, M.A.;459;13;4;9;4;23;12;7;4;11;20;2;13;16;10;11;6;7;1;2;9;22;4;6;20;10;38;17;7;16;10;12;7;11;10;0;5;11;23;10;8;11;7;10
;;3;Hordijk, J.W.H.;41;0;0;0;0;6;0;3;0;2;1;1;1;0;0;1;1;1;0;0;0;0;0;0;3;0;1;0;1;3;1;1;2;0;1;0;1;0;0;1;5;0;3;1
;;4;Palma, R.;36;0;1;1;0;0;0;0;0;2;1;0;1;1;1;0;1;0;2;0;2;1;0;0;2;0;2;1;0;1;1;1;0;1;3;0;0;2;0;0;0;0;8;0
;;5;Vinke, P.B.;11;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;6;Weijers, D.J.K.;39;0;0;1;3;3;1;1;0;0;2;0;0;4;0;0;1;1;0;0;0;0;0;1;2;3;3;2;0;1;0;0;1;0;0;0;0;0;2;2;1;2;1;1
;;7;Özgül, P.;48;1;0;1;0;2;2;0;0;4;5;0;1;3;0;0;0;1;2;0;0;0;1;2;1;0;0;2;0;5;1;0;7;2;0;0;0;1;0;1;0;2;0;1
;;8;de Vries, C.;10;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
;;9;Zuidema, J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;10;Kroon, D.;42;0;0;0;1;1;0;1;0;2;3;0;1;1;4;0;0;0;0;0;0;0;0;0;4;3;4;0;1;2;0;1;1;2;0;0;0;2;1;0;1;0;6;0
;;11;Teunissen, J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Lochtenberg, W.G.;11;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;13;Niessen, J.L.;15;0;0;0;0;1;3;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;14;Coïni, L.L.;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Kundić, N.;39;1;0;2;0;2;1;0;0;0;1;0;0;3;1;1;0;0;0;2;0;1;0;1;2;1;1;1;1;1;1;2;2;1;0;0;0;0;3;0;1;0;5;1
;;16;van den Heuvel, J.M.;14;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;1;0;1;0;1;0;1;0
;;17;Aalbers, D.W.;5;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;18;Dielemans, R.C.;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
8;DENK;;;597;14;22;18;11;21;4;53;10;45;38;6;7;14;13;22;38;5;5;2;14;10;7;44;15;6;10;10;1;38;11;9;6;6;15;4;2;1;0;4;15;4;5;12
;;1;Heikamp, M.;82;4;2;0;1;2;0;2;0;6;5;1;2;2;1;4;9;1;2;0;1;0;0;5;5;0;0;1;0;9;2;2;0;3;2;3;2;0;0;0;1;0;0;2
;;2;Akka, M.;200;6;7;7;4;9;2;22;4;7;10;0;4;4;5;8;6;0;0;2;4;6;3;15;4;3;6;8;0;11;7;3;2;0;6;0;0;0;0;1;7;3;2;2
;;3;Kuzey, Ş.;63;2;4;3;1;1;0;0;0;0;15;0;0;0;0;2;7;0;0;0;4;0;1;7;5;0;1;0;0;2;0;0;0;0;1;0;0;0;0;2;0;0;3;2
;;4;Voskuijl, E.A.;4;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Issaoui, M.;63;0;3;2;0;3;1;5;0;10;0;0;0;0;4;0;4;4;3;0;2;1;0;8;0;0;0;0;0;6;0;1;0;0;3;0;0;0;0;1;1;0;0;1
;;6;Kadri, N.;91;0;2;2;1;5;1;14;2;7;4;0;0;4;3;3;6;0;0;0;0;0;3;6;0;2;3;1;0;4;1;2;3;3;1;0;0;0;0;0;2;1;0;5
