Verkiezing;;Gemeenteraad Amersfoort 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Amersfoort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Brink;Sporthal De Dissel;Sporthal De Dissel;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Gemeentehuis;De Observant;Sporthal Icoon;Sporthal Icoon;ABC-school De Bron;Adventkerk;Apostolisch Genootschap;Boogkerk;Burgemeester Molendijkflat;Café De Plank;De Faam;De Schaapskooi;Feefa;Fluor poppodium;Gymzaal Ariaweg;Gymzaal Dopheide;Gymzaal Dopheide;Gymzaal Lyceum De Amersfoortse Berg;Gymzaal Lyceum De Amersfoortse Berg;IKEA Drive-In;Kerkgebouw Het Brandpunt;Kindcentrum Vlinderslag;Martuskerk;Nieuw-Apostolische Kerk;Orthodoxe Parochie;Overseldert;Parkschool;Mobiel Stembureau Het Pluspunt;Prins Willem III-flat;Schoolgebouw de Baander;Schoolgebouw De Dubbelster;Schoolgebouw De Gondelier;Kindcentrum de Kei;Schoolgebouw De Zonnewijzer;Schoolgebouw GSG Guido vmbo;Schoolgebouw GSG Guido vmbo;Seniorenflat Otto Scheltus;Sociëteitsruimte Seniorenflat;Sporthal Rustenburg;Sporthal Rustenburg;Sporthal Zielhorst;Sporthal Zielhorst;Sint Ansfriduskerk;Undineflat;Verenigingsgebouw Juliana en Bernhard;A.K.V. Trefpunt Bokkeduinen;Westerkerk;Wijkcentrum Het Klokhuis;Zon en Schild;Woon- en zorgcentrum De Koperhorst;Houtrust;Restaurant de Hebberd;Schoolgebouw De Malelande;De Eemgaarde;Meander Medisch Centrum;Emmauskerk;Emmauskerk;Theater De Flint (Cultuurhuis);Station NS Hoofdingang;Da Vinci Eemland;bijgebouw Mevlana moskee;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Mobiel stembureau 1;Mobiel stembureau 2;Mobiel stembureau 3
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321;322;323;901;902;903
Postcode;;;;;3818 JC;3815 GV;3817 JM;3812 BH;3812 BH;3813 PZ;3813 PZ;3823 EG;3823 EG;3811 CJ;3811 CJ;3811 CJ;3815 XT;3828 VL;3828 VL;3828 VL;3825 DJ;3825 DJ;3829 MD;3829 MD;3829 MD;3818 DN;3818 DN;3824 EJ;3824 EJ;3824 EJ;3824 EJ;3822 BV;3822 BV;3811 LM;3825 LX;3825 LX;3811 LM;3811 LM;3825 MP;3825 MP;3825 WC;3814 TE;3813 AT;3824 EM;3815 ZH;3828 PA;3828 AA;3814 XP;3821 CB;3812 PB;3816 HJ;3823 HL;3823 HL;3818 TA;3818 TA;3825 HB;3823 EG;3814 SG;3817 VJ;3818 EB;3812 ST;3822 DL;3813 LW;3823 WB;3816 DM;3815 DR;3823 BV;3826 EG;3813 HC;3822 CH;3817 CB;3817 CB;3811 LW;3813 BL;3815 KZ;3815 KZ;3822 CK;3822 CK;3818 WK;3816 GB;3813 AB;3819 BD;3812 GB;3816 VC;3818 EW;3813 KA;3829 BC;3825 AG;3824 BE;3817 GB;3813 TZ;3812 DD;3812 DD;3811 WK;3818 LE;3812 EV;3814 RB;3818 JC;3815 GV;3817 JM;3812 BH;3813 PZ;3813 PZ;3823 EG;3823 EG;3811 CJ;3811 CJ;3815 XT;3828 VL;3828 VL;3825 DJ;3829 MD;3818 DN;3824 EJ;3824 EJ;3822 BV;3822 BV;3811 LM;3825 LX;3825 LX;3818 JC;3815 GV;3817 JM;3812 BH;3813 PZ;3813 PZ;3823 EG;3823 EG;3811 CJ;3811 CJ;3815 XT;3828 VL;3828 VL;3825 DJ;3829 MD;3818 DN;3824 EJ;3824 EJ;3822 BV;3822 BV;3811 LM;3825 LX;3825 LX;;;
;opgeroepenen;;;122933;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;865;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866
;geldige stempas;;;61939;1055;1061;1004;359;155;657;660;472;324;775;519;432;731;641;506;610;726;801;374;331;476;491;392;566;495;512;408;343;160;488;591;477;431;248;410;401;837;367;530;889;537;362;1362;352;141;324;362;765;581;317;343;151;994;638;645;437;529;351;588;583;756;316;929;807;148;439;820;547;338;626;161;263;314;237;720;367;480;130;488;1495;175;541;271;338;523;408;152;689;539;565;775;216;230;417;340;330;190;272;193;136;302;248;198;207;256;326;224;228;257;240;351;99;87;312;119;137;521;538;457;344;363;277;305;276;280;407;359;319;461;427;354;385;472;531;128;179;454;142;245;108;93;175
;geldig volmachtbewijs;;;7365;153;136;119;43;21;76;65;38;43;60;46;42;99;90;70;98;118;135;59;40;65;51;38;90;80;78;49;24;12;43;84;67;43;14;63;56;115;52;69;115;55;52;174;33;15;31;67;87;79;50;38;23;131;80;82;54;48;50;78;59;95;44;110;97;21;44;114;74;39;73;28;37;36;31;96;29;64;15;33;180;17;52;25;46;64;39;16;71;49;59;48;32;78;50;34;35;21;15;24;7;26;29;19;26;22;27;18;32;11;30;35;5;10;30;11;12;74;51;49;28;35;24;31;29;27;45;59;31;63;62;35;33;42;63;24;13;39;12;32;5;4;25
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;69304;1208;1197;1123;402;176;733;725;510;367;835;565;474;830;731;576;708;844;936;433;371;541;542;430;656;575;590;457;367;172;531;675;544;474;262;473;457;952;419;599;1004;592;414;1536;385;156;355;429;852;660;367;381;174;1125;718;727;491;577;401;666;642;851;360;1039;904;169;483;934;621;377;699;189;300;350;268;816;396;544;145;521;1675;192;593;296;384;587;447;168;760;588;624;823;248;308;467;374;365;211;287;217;143;328;277;217;233;278;353;242;260;268;270;386;104;97;342;130;149;595;589;506;372;398;301;336;305;307;452;418;350;524;489;389;418;514;594;152;192;493;154;277;113;97;200
;geldige stembiljetten;;;69022;1204;1189;1121;401;174;729;716;508;366;828;561;473;827;730;577;704;841;936;432;370;540;537;429;653;574;588;455;365;172;527;673;541;469;261;472;454;951;417;594;1000;590;411;1534;382;156;354;424;846;659;367;380;172;1120;716;725;489;576;401;664;640;845;357;1037;900;169;482;931;620;373;692;188;297;349;267;816;395;541;145;519;1660;190;588;296;382;584;447;168;754;586;623;821;246;308;467;373;365;211;285;217;143;327;274;216;233;276;354;242;260;267;269;384;103;96;340;130;147;592;585;505;372;395;300;334;303;306;452;417;349;523;489;388;415;514;593;150;192;491;154;277;113;96;197
;blanco stembiljetten;;;172;4;7;1;1;0;2;6;0;2;4;3;1;2;1;0;1;1;0;0;2;0;6;0;3;1;2;2;2;0;3;0;4;3;0;0;0;0;2;3;2;2;3;2;1;0;1;1;4;2;0;0;2;3;2;2;1;1;0;2;0;4;3;2;4;0;0;1;0;1;3;2;2;0;1;0;0;3;0;2;8;1;3;0;1;1;0;0;3;1;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;0;1;0;2;1;0;0;1;0;1;0;0;0;1;2;0;0;2;0;2;0;0;0;0;2
;ongeldige stembiljetten;;;108;0;1;2;0;2;2;3;1;0;3;1;0;1;0;0;2;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;2;1;1;2;1;0;1;2;0;0;1;2;0;0;3;2;0;0;1;0;1;0;0;1;0;0;0;2;3;0;1;0;0;1;2;1;3;4;0;0;0;1;0;1;0;0;0;5;1;2;0;1;2;0;0;2;2;0;0;2;0;0;1;0;0;2;0;0;1;1;1;0;0;0;0;0;0;0;2;0;1;1;1;0;2;5;0;0;1;0;2;2;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0
