Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Ameide Het Spant (maandag);Ameide Het Spant (dinsdag);Ameide Het Spant (woensdag);Ameide/Tienhoven Verenigingsgebouw De Hoven;Everdingen Dorpshuis 't Knooppunt;Hagestein Dorpshuis de Biezen;Hei- en Boeicop Sporthal de Copper;Hoef en Haag De Keuken van Hoef en Haag;Kedichem Dorpshuis De Stoof;Leerbroek Dorpshuis De Schakel;Leerdam Gemeentehuis;Leerdam Maranatha Gebouw;Leerdam Gymzaal Noord;Leerdam Het Dak de Pub (maandag);Leerdam Het Dak de Pub (dinsdag);Leerdam Het Dak de Pub (woensdag);Leerdam Sport '55;Leerdam Rondas Ruimte de Matroosjes;Leerdam Glaspark;Lexmond Huis Het Bosch;Meerkerk Dorpshuis De Linde;Meerkerk Gemeentelocatie (maandag);Meerkerk Gemeentelocatie (dinsdag);Meerkerk Gemeentelocatie (woensdag);Nieuwland Dorpshuis Brandpunt;Schoonrewoerd Partycentrum Schoonrewoerd;Vianen Gemeentelocatie;Vianen Basisschool De Rank;Vianen De Prenter;Vianen De Hoeksteen;Vianen Clubgebouw V.V. Brederodes;Vianen Helsdingen Sport en Cultuur (maandag);Vianen Helsdingen Sport en Cultuur (dinsdag);Vianen Helsdingen Sport en Cultuur (woensdag);Zijderveld De Krooshof
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
Postcode;;;;;4233 HG;4233 HG;4233 HG;4233 EK;4121 EL;4124 AK;4126 RW;4125 TD;4247 EN;4245 KJ;4141 DA;4141 EL;4143 BD;4142 EG;4142 EG;4142 EG;4142 CH;4143 EN;4143 LM;4128 BN;4231 DT;4231 BP;4231 BP;4231 BP;4243 JA;4145 KM;4132 AS;4132 CC;4131 GZ;4133 NB;4133 AX;4133 NH;4133 NH;4133 NH;4122 GX
;meer stembiljetten dan toegelaten kiezers;;;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;minder stembiljetten dan toegelaten kiezers;;;11;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;3;0;0;0;0;0;0;2;0;0;2;1;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;9;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;1;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;4581;41;84;160;107;76;144;195;47;42;94;130;203;114;164;238;241;166;158;103;439;104;45;89;159;180;193;110;107;113;91;93;50;79;78;144
;;1;van der Spek - den Besten, A.M.;1900;25;52;92;54;32;74;93;29;31;75;38;52;38;20;37;36;17;64;27;139;70;36;62;94;165;110;42;42;51;42;34;18;37;27;45
;;2;Bel, C.;313;0;0;1;1;0;1;0;1;3;4;34;57;34;19;24;16;9;49;41;0;0;0;0;0;1;4;4;2;1;3;1;0;0;0;3
;;3;Verweij, M.F.M.;257;0;0;0;0;32;36;1;3;1;0;0;1;0;1;0;0;1;0;0;4;0;1;0;0;0;1;17;16;17;5;15;10;10;12;73
;;4;Elmaci, R.;588;0;0;0;0;1;3;1;0;0;0;23;35;19;93;148;143;90;10;5;0;0;0;0;1;0;1;0;0;5;0;0;0;0;1;9
;;5;van Snippenberg, C.W.J.;477;1;3;5;9;0;4;79;1;0;0;4;5;1;3;4;2;9;1;3;239;2;1;9;9;4;47;1;8;8;3;3;0;2;0;7
;;6;Visser, M.G.;162;0;0;1;0;1;0;3;0;5;3;13;21;6;13;10;12;19;15;12;1;0;0;0;1;0;14;1;2;2;0;4;1;1;0;1
;;7;den Hartog, E.;87;0;2;0;0;4;3;1;0;0;1;3;4;4;6;4;15;6;9;4;0;1;0;0;2;1;5;1;1;1;1;4;0;0;0;4
;;8;den Besten, A.;19;0;0;0;0;0;0;1;0;0;6;0;0;0;1;0;3;0;1;0;0;0;0;2;0;0;5;0;0;0;0;0;0;0;0;0
;;9;van Bruchem, H.J.;106;1;0;1;0;0;0;0;0;0;3;0;3;0;0;0;2;0;0;0;5;26;7;12;39;6;0;0;0;1;0;0;0;0;0;0
;;10;van der Linden, T.A.;30;0;1;0;0;0;0;0;0;0;0;7;6;1;2;0;4;0;3;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
;;11;Michels, R.M.;25;3;10;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Lammertink, H.G.;98;0;0;0;0;1;3;0;5;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;18;11;6;12;8;9;13;9;0
;;13;van Zessen, T.H.;69;0;2;3;0;0;0;8;0;0;0;0;1;1;0;0;0;0;0;1;32;2;0;1;10;1;3;1;0;0;0;1;1;0;1;0
;;14;Vreugdenhil, J.W.;12;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Middelkoop, M.;57;1;5;21;24;1;2;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van Putten, J.E.;47;0;0;0;0;1;7;0;1;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;3;5;0;6;8;4;2;6;0
;;17;Baars, S.T.;44;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;11;3;7;6;2;2;5;4;0
;;18;Kruizinga, I.C.A.;11;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4;0;1;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;19;van Nieuwenhuijzen, H.M.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;3;1;0;0;0;1
;;20;Hansen, H.O.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;0
;;21;van Snippenberg, J.;53;0;0;0;0;1;7;1;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;1;6;5;4;7;2;2;10;0
;;22;Lammertink - de Wit, M.H.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0
;;23;Bos - Schep, M.;4;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Klein Kranenburg, H.R.A.L.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;1;0
;;25;Verwolf, J.;34;7;2;18;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;de Blok - Klein, A.A.M.;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0
;;27;van Weverwijk, T.H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;28;Baars, G.A.J.;10;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;1;0;0;1;1;0
;;29;Meppelink, G.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;30;van Es, C.;9;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;0;0;0;1;0;0
;;31;Bassa - de Jong, J.L.E.;12;0;0;0;0;0;0;6;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;32;Kroon, B.;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
;;33;de Klerk, H.;5;0;0;0;1;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;de Blok, C.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;35;Verkerk, D.C.;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0
;;36;Scheringa, J.R.;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;37;van der Spek, G.J.;11;0;0;1;0;0;0;0;0;0;0;1;5;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Schoonhoven, A.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;3;1;1;1;2;3;1;0
;;39;Hofstede - Kok, H.;6;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;40;Golverdingen, D.A.C.;37;0;0;0;0;1;0;0;0;1;0;4;9;0;3;4;1;11;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;41;de Jong -  Middelkoop, M.G.M.;29;3;6;10;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;42;Bruggeman, A.;5;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Staatkundig Gereformeerde Partij (SGP);;;3226;22;50;116;76;91;114;122;16;30;514;77;216;98;40;65;99;51;194;53;123;72;31;63;116;141;271;58;25;41;31;28;22;10;15;135
;;1;Geluk, E.;1775;14;33;85;49;14;53;69;7;16;316;51;120;54;24;36;53;25;113;36;76;42;19;35;72;78;135;13;7;19;18;17;10;2;4;60
