Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Ameide Het Spant (maandag);Ameide Het Spant (dinsdag);Ameide Het Spant (woensdag);Ameide/Tienhoven Verenigingsgebouw De Hoven;Everdingen Dorpshuis 't Knooppunt;Hagestein Dorpshuis de Biezen;Hei- en Boeicop Sporthal de Copper;Hoef en Haag De Keuken van Hoef en Haag;Kedichem Dorpshuis De Stoof;Leerbroek Dorpshuis De Schakel;Leerdam Gemeentehuis;Leerdam Maranatha Gebouw;Leerdam Gymzaal Noord;Leerdam Het Dak de Pub (maandag);Leerdam Het Dak de Pub (dinsdag);Leerdam Het Dak de Pub (woensdag);Leerdam Sport '55;Leerdam Rondas Ruimte de Matroosjes;Leerdam Glaspark;Lexmond Huis Het Bosch;Meerkerk Dorpshuis De Linde;Meerkerk Gemeentelocatie (maandag);Meerkerk Gemeentelocatie (dinsdag);Meerkerk Gemeentelocatie (woensdag);Nieuwland Dorpshuis Brandpunt;Schoonrewoerd Partycentrum Schoonrewoerd;Vianen Gemeentelocatie;Vianen Basisschool De Rank;Vianen De Prenter;Vianen De Hoeksteen;Vianen Clubgebouw V.V. Brederodes;Vianen Helsdingen Sport en Cultuur (maandag);Vianen Helsdingen Sport en Cultuur (dinsdag);Vianen Helsdingen Sport en Cultuur (woensdag);Zijderveld De Krooshof
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
Postcode;;;;;4233 HG;4233 HG;4233 HG;4233 EK;4121 EL;4124 AK;4126 RW;4125 TD;4247 EN;4245 KJ;4141 DA;4141 EL;4143 BD;4142 EG;4142 EG;4142 EG;4142 CH;4143 EN;4143 LM;4128 BN;4231 DT;4231 BP;4231 BP;4231 BP;4243 JA;4145 KM;4132 AS;4132 CC;4131 GZ;4133 NB;4133 AX;4133 NH;4133 NH;4133 NH;4122 GX
;;6;Boer, A.G.;87;8;11;23;19;0;0;0;0;0;1;3;0;1;0;1;2;0;0;0;3;0;3;2;5;1;0;0;0;0;1;1;1;0;0;1
;;7;Mostert, H.G.K.;84;0;0;0;0;0;0;1;0;0;2;11;14;6;1;3;11;12;8;6;0;0;0;0;2;1;3;0;0;1;0;0;0;0;2;0
;;8;de Leeuw, W.E.;13;0;0;0;0;1;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;3;0;2;2;0;0;0;0;0;0;0;0;0;0;0
;;9;de Jong, J.B.;15;0;0;0;0;0;1;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;1;0
;;10;Bassa, G.C.;60;0;0;1;0;2;0;19;0;1;1;1;0;1;0;0;0;1;3;2;7;0;0;0;1;0;4;0;1;1;1;3;0;1;0;9
;;11;Grijzenhout, F.;44;0;0;0;0;0;0;0;0;0;0;1;12;4;3;5;5;2;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Hol, P.A.H.;52;0;0;0;1;17;19;0;1;0;0;0;3;0;1;2;2;0;1;1;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0
;;13;Spek, G.A.;29;1;2;9;13;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Hol, M.M.;44;0;0;0;0;1;2;0;0;0;2;2;5;3;1;4;9;5;5;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;15;Veldstra, W.F.;10;0;1;0;0;0;0;0;0;0;0;1;2;2;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van Oort, K.;17;0;1;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
;;17;Fraanje, F.C.;25;0;0;0;0;0;0;0;0;0;0;0;7;2;1;2;1;1;6;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0
;;18;Lombo-Visser, R.E.;16;0;0;0;0;0;0;3;3;0;0;1;0;1;0;0;1;0;1;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;19;de Groot, N.H.;9;2;1;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van der Hek, D.J.;9;0;0;0;0;0;0;0;0;0;0;0;2;0;1;2;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;21;Matsinger, J.K.;17;0;0;1;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;2;1;2;5;0;1;0;0;0;0;0;0;0;1;0
;;22;van Beuzekom, J.;14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;3;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;2
;;23;van der Mijden, W.;12;0;0;0;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;24;Sterrenburg, P.G.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van den Beukel, A.;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
5;VVD;;;3136;16;22;88;56;68;97;43;231;77;33;100;122;51;61;92;77;42;81;83;216;71;39;59;117;23;96;210;147;78;154;140;66;108;127;45
;;1;van der Leun - Schout, J.;1409;10;16;65;44;43;33;22;44;32;22;33;50;26;24;39;41;15;41;35;39;48;29;51;103;16;56;78;62;42;55;60;28;25;53;29
;;2;de With, T.P.;250;3;2;14;7;2;5;10;7;2;3;3;2;1;2;2;1;3;4;3;109;4;5;3;7;2;9;6;4;1;5;2;2;7;4;4
;;3;Fransen, A.D.;324;0;2;2;0;11;12;2;137;0;0;3;3;1;3;5;0;0;5;4;10;2;0;1;2;0;5;23;16;9;13;12;8;22;8;3
;;4;Rietbergen, R.R.;279;0;0;0;0;1;0;0;0;2;0;50;51;12;25;34;23;13;26;22;0;2;2;0;0;2;12;0;0;0;1;0;0;0;0;1
;;5;Wang, X.;64;0;1;0;2;1;4;0;27;0;0;3;2;1;1;1;1;2;1;0;0;0;0;0;0;0;3;4;1;1;1;1;1;4;1;0
;;6;den Braven, J.;47;0;0;0;0;0;0;1;0;33;0;0;0;0;0;1;0;0;2;4;0;2;0;0;1;0;1;0;0;1;0;0;0;1;0;0
;;7;van Tilburg, H.C.;67;0;0;0;0;4;29;1;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;6;6;2;3;4;2;1;0;1
;;8;van der Klauw, R.A.;34;0;0;0;0;0;0;0;0;0;1;4;3;4;0;6;4;0;1;5;0;0;0;0;0;0;4;1;0;0;0;1;0;0;0;0
;;9;Barelds, D.H.;136;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;28;18;14;23;17;6;16;10;0
;;10;van der Bruggen, H.A.J.M.;61;0;0;0;0;0;0;0;2;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;12;12;0;12;5;1;5;6;0
;;11;de Bruyn, F.C.;139;3;0;5;3;2;4;4;0;2;2;2;0;0;0;0;0;1;0;2;54;10;1;3;3;2;0;4;9;1;4;5;1;2;8;2
;;12;Muller, R.A.;12;0;0;0;0;0;0;1;0;0;3;0;0;2;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3
;;13;Trappenburg-Eelkman Rooda, D.C.;33;0;0;0;0;0;1;0;0;1;0;1;5;4;2;2;2;6;0;4;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1
;;14;Zevenhuizen, H.D.;281;0;1;2;0;4;8;2;12;5;0;0;5;0;4;1;2;2;1;2;1;2;2;1;1;0;2;48;18;5;37;33;17;25;37;1
6;D66;;;2348;10;25;42;14;51;74;15;135;44;15;81;62;50;57;50;75;39;37;52;49;22;18;23;62;12;65;306;155;113;150;112;74;113;95;51
;;1;Breur, J.C.;776;5;8;18;5;13;30;4;30;8;5;17;17;9;25;13;16;7;12;9;16;11;11;5;19;4;20;110;58;48;64;45;32;37;39;6
;;2;van Hemert, P.;547;3;7;15;7;26;26;6;25;23;6;12;18;5;14;7;16;9;6;12;20;1;1;7;10;4;32;41;22;14;26;22;20;18;23;43
;;3;de Zwaan, K.;151;0;1;2;1;3;2;0;1;0;0;2;1;0;0;2;3;0;0;1;2;0;2;0;0;0;3;69;12;14;6;8;4;9;3;0
;;4;Vis, C.;66;0;0;1;0;0;0;0;1;3;0;9;8;7;4;0;12;4;5;7;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0
;;5;de Lima, S.D.G.;185;0;4;2;0;1;3;0;2;7;2;29;11;19;6;17;15;15;3;7;3;2;1;2;6;0;3;4;5;5;1;1;2;3;3;1
;;6;de Groot, A.C.I.;22;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;3;4;2;2;0;2;1;0
;;7;Dewulf, S. M.R.M.;184;0;0;0;0;2;3;0;7;1;0;1;1;0;0;2;1;0;1;1;2;0;0;0;0;1;1;36;25;13;28;11;10;21;16;0
;;8;Dijkstra, J.A.;58;0;2;2;0;0;1;2;0;0;0;1;2;0;0;0;1;1;0;0;4;7;1;7;22;1;0;1;1;1;1;0;0;0;0;0
;;9;Sanglier, N.;80;0;0;0;0;3;2;0;62;0;1;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;1;2;1;1;1;1;0;0;1;0
;;10;Rutten, M.;48;0;0;0;0;1;0;0;1;0;0;3;1;3;4;5;5;1;3;7;0;1;1;0;0;2;2;2;1;1;1;1;1;0;1;0
;;11;van der Helm, G.M;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;1;0;0;0;0;0;0;0
;;12;Heestermans, W.L.J.;38;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;3;6;8;1;8;2;0
;;13;Tilstra, M.;22;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;5;1;6;1;0;0;1;0
;;14;Bilici, I;27;0;0;1;0;0;0;0;0;1;0;4;0;2;1;3;4;0;5;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1
;;15;Hansen, J.F.;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
;;16;Mossel, F.;30;0;1;0;0;1;1;2;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;2;0;0;9;1;0;1;2;0;6;1;0
;;17;Hendriksen, H.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0
;;18;de Boer, J.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;2;0;1;0;1;0;0;0
;;19;Cazemier, A.;18;0;0;0;0;0;0;0;2;0;1;2;0;4;0;0;1;1;1;3;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0
;;20;Hendriksen - van der Mijden, C;67;0;0;0;1;0;4;1;3;0;0;0;1;0;2;1;0;0;0;0;1;0;0;0;1;0;0;10;10;4;6;9;3;6;4;0
7;Partij van de Arbeid (P.v.d.A.);;;1871;27;24;62;38;41;43;11;15;23;6;101;61;59;81;117;107;89;55;31;101;22;15;19;31;7;28;114;83;118;130;50;51;61;39;11
;;1;van Montfoort, J.H.;650;4;8;15;5;15;22;3;9;5;2;25;9;10;8;12;10;7;15;4;36;11;7;8;19;1;12;59;50;70;67;27;31;32;25;7
;;2;Amghar, S.;293;2;2;4;1;7;8;2;3;6;3;18;10;12;9;21;14;24;6;6;5;2;3;6;5;0;11;24;10;23;14;11;5;11;4;1
;;3;Koyuncu, K.;307;0;0;0;0;1;0;0;1;3;0;19;9;13;51;68;66;37;9;4;0;0;2;0;0;3;1;5;0;5;4;2;0;2;1;1
;;4;Boon, B.;101;0;0;0;0;0;1;0;0;3;0;23;17;8;7;9;7;8;9;5;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0
;;5;Bouwmeerster., H.;128;19;14;42;32;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;3;2;0;1;1;1;0;1;1;4;0;0
;;6;van Montfoort, T.H.;66;1;0;1;0;0;4;5;0;0;0;2;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;6;7;3;18;1;4;3;6;0
;;7;Wittebol, M.H.;67;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;2;0;3;1;25;5;0;4;2;0;0;5;3;4;3;1;2;0;2;0
;;8;van der Ham, T.J.;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;9;den Oudsten, C.;56;0;0;0;0;1;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;6;8;10;6;5;3;0;0
;;10;den Hartog, R.E.;30;0;0;0;0;0;0;0;0;2;0;3;0;3;3;2;3;3;1;5;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0
;;11;Knol, H.K.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;1;0;0
;;12;van Tweel, E.J.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;3;0;1;1;0;0;0;0;0;0;0;0;0;0
;;13;van de Haar, M.E;12;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;3;0;2;2;0;0
;;14;van Ewijk, L.;25;0;0;0;0;16;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;15;van Montfoort, R.F.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;7;1;0;1;1;0
;;16;van 't Pad, C.S.;32;0;0;0;0;0;0;0;1;0;0;0;8;2;1;3;2;6;2;5;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;17;Hamoen, B.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;18;de Vaal, H.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;11;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;19;Sprong, G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van 't Pad, H.;8;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van der Leij, W.;3;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Gersen, C.;12;0;0;0;0;0;0;0;0;0;0;3;2;4;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Taal, C.;19;0;0;0;0;0;0;1;0;0;0;1;4;5;0;1;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;GROENLINKS;;;1182;7;12;20;11;39;36;19;40;28;20;60;51;30;24;43;40;40;33;20;53;16;12;11;32;9;52;83;35;66;81;39;19;38;48;15
;;1;van Doorn, E.;375;3;3;8;5;15;15;10;11;3;8;19;18;14;5;11;16;11;9;6;20;9;5;1;9;0;33;17;11;16;17;11;3;12;14;7
;;2;van Brakel, B.D.;413;2;4;10;3;18;9;6;17;3;7;29;19;15;8;19;18;23;18;14;17;7;5;8;13;2;10;20;6;14;23;11;6;8;16;5
;;3;Sommer, L.J.I.;13;1;0;0;0;0;0;0;0;0;0;5;0;0;2;0;0;1;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;4;Wierda, B.A.;197;1;3;2;3;0;8;1;6;0;2;0;3;0;5;3;1;0;1;0;6;0;0;0;4;0;1;35;13;25;30;8;8;15;11;2
;;5;Heikoop, P.;45;0;1;0;0;1;0;1;1;4;3;1;1;0;0;2;2;1;1;0;4;0;2;0;3;5;4;2;0;0;0;4;0;2;0;0
;;6;Goverde, M.H.J.;12;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;2;2;0;2;0;0;0;0;0;0;0;1;0
;;7;Hagen, I.;57;0;1;0;0;2;1;0;0;18;0;0;3;0;2;6;2;2;0;0;1;0;0;0;0;0;1;4;2;4;4;0;0;0;3;1
;;8;Gerrits, S.M.;23;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;3;1;6;3;1;1;0;1;0
;;9;Bos, K.;18;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;1;1;2;0
;;10;Schweitzer, B.M.H.;29;0;0;0;0;1;1;0;1;0;0;5;6;1;2;2;0;1;2;0;3;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0
