Verkiezing;;Gemeenteraad Wijk bij Duurstede 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Wijk bij Duurstede;;;;;;;;;;;;;;;;;;
Nummer;;0352;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Huis van de Gemeente;Stembureau 't Dorpshuys van Cothen;Stembureau Dorpshuis De Toekomst;Stembureau Huis van de Gemeente;Stembureau 't Dorpshuys van Cothen;Stembureau Dorpshuis De Toekomst;Stembureau Huis van de Gemeente;Stembureau Gymzaal Wijk bij Duurstede;Stembureau Basisschool de Wegwijzer - Zonnewijzer;Stembureau Revius Lyceum;Stembureau Basisschool De Horn;Stembureau Brede school Het Anker;Stembureau Basisschool Kompas;Stembureau 't Dorpshuys van Cothen;Stembureau Dorpshuis De Toekomst;Stembureau Basisschool De Wegwijzer
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;12;13;14;15;16;20
Postcode;;;;;3962 CL;3945 CB;3947 PG;3962 CL;3945 CB;3947 PG;3962 CL;3961 CA;3962 HT;3962 KT;3961 KE;3961 KC;3961 JJ;3945 CB;3947 PG;3962 AD
;opgeroepenen;;;19206;0;0;0;0;0;0;1974;1671;1801;2601;1535;1465;1592;2613;1903;2051
;geldige stempas;;;9689;743;188;109;972;296;206;1268;281;650;961;551;693;602;892;651;626
;geldig volmachtbewijs;;;1264;80;19;10;113;18;34;200;38;72;134;70;91;79;134;105;67
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;10953;823;207;119;1085;314;240;1468;319;722;1095;621;784;681;1026;756;693
;geldige stembiljetten;;;10913;820;205;119;1083;312;239;1460;317;717;1091;618;783;679;1026;752;692
;blanco stembiljetten;;;26;2;2;0;2;1;1;5;2;2;2;3;0;1;0;2;1
;ongeldige stembiljetten;;;14;1;0;0;1;1;0;2;0;3;2;0;1;1;0;2;0
;aangetroffen stembiljetten;;;10953;823;207;119;1086;314;240;1467;319;722;1095;621;784;681;1026;756;693
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;1677;136;31;18;180;49;21;223;62;101;219;96;104;81;180;73;103
;;1;van der Velden, S.;891;80;21;9;92;23;12;115;18;64;101;53;58;44;98;43;60
;;2;Verhaar, S.;111;11;2;3;13;0;3;20;2;8;10;3;6;6;13;8;3
;;3;Slijper, W.;25;5;0;0;4;0;0;2;0;1;7;1;0;0;3;1;1
;;4;Berntssen, M.;86;5;5;0;7;1;0;12;3;1;19;7;4;2;8;3;9
;;5;Soomers, C.;221;13;1;4;21;8;2;25;11;9;38;13;16;18;15;10;17
;;6;van Heusden, G.A.;20;2;0;0;1;0;0;4;2;2;3;3;0;1;0;2;0
;;7;Balk, Y.S.A.;47;1;0;0;4;2;0;8;6;1;6;1;2;2;12;1;1
;;8;Houtsma, M.C.F.;91;8;0;0;18;5;3;7;4;10;11;8;5;6;1;1;4
;;9;van Dijk, J.W.A.;39;0;1;1;1;7;1;1;0;0;2;0;3;0;21;1;0
;;10;te Lintelo-Faber, K.;51;5;0;1;11;0;0;3;2;1;9;4;6;1;1;2;5
;;11;de Heus, A.A.;25;3;0;0;4;0;0;4;9;0;1;2;1;0;0;0;1
;;12;Walda, M.;12;1;1;0;1;0;0;5;1;1;1;0;0;0;0;0;1
;;13;Heeneman, F.C.;7;0;0;0;0;3;0;0;0;0;1;0;0;0;3;0;0
;;14;Zandleven, D.A.;23;0;0;0;0;0;0;11;1;2;7;0;0;1;0;0;1
;;15;Segboer, S.;8;2;0;0;0;0;0;1;0;1;0;0;0;0;3;1;0
;;16;Speijer, E.A.;20;0;0;0;3;0;0;5;3;0;3;1;3;0;2;0;0
2;Open / GROENLINKS / P.v.d.A.;;;2575;252;32;19;300;46;27;413;72;214;229;158;207;174;162;98;172
;;1;Kosterman, W.A.J.;1576;162;12;11;190;23;16;254;38;123;135;101;141;117;93;59;101
;;2;Gnodde, M.W.J.;71;6;0;0;10;1;2;10;3;4;7;8;9;1;4;1;5
;;3;van der Mark, D.;211;18;5;1;21;3;4;23;7;20;29;12;13;12;14;11;18
;;4;Scholt-Hylkema, D.H.;62;9;1;0;9;1;0;8;2;8;3;3;2;7;3;2;4
;;5;Willems, A.J.;95;4;2;0;17;3;1;26;2;8;9;1;2;5;3;9;3
;;6;Dijkstra, N.;140;14;2;0;17;2;1;24;4;9;13;9;13;10;8;2;12
;;7;Bonte, B.;18;0;0;0;1;0;0;2;0;8;3;1;0;1;1;0;1
;;8;Brock, W.M.;12;0;2;0;0;4;0;0;0;0;0;0;0;0;6;0;0
;;9;den Daas-Budding, M.J.;25;4;0;0;1;0;0;8;3;0;3;1;1;1;1;0;2
;;10;Bergsma, L.J.R.A.;35;2;0;1;4;1;0;10;4;5;2;1;5;0;0;0;0
;;11;Janssen, W.W.J.;16;2;0;0;2;0;0;5;1;1;4;0;0;1;0;0;0
;;12;Butterman, S.E.;56;7;0;1;6;1;0;10;0;3;4;3;1;3;5;3;9
;;13;Oosterom-Roos, E.;27;0;4;0;1;4;0;0;0;0;1;0;0;0;17;0;0
;;14;Reckman, M.;12;3;0;0;2;0;0;0;0;1;0;2;2;2;0;0;0
;;15;Brouwer, R.;15;0;0;0;3;0;0;2;3;2;2;0;1;2;0;0;0
;;16;Honders, O.A.J.;12;1;0;0;3;0;0;7;1;0;0;0;0;0;0;0;0
;;17;Harmsen, E.;4;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
;;18;de Jongh, W.J.;17;1;0;0;2;0;0;4;0;0;1;4;1;2;0;0;2
;;19;Boer, A.;22;2;0;0;3;0;1;5;0;1;0;1;4;1;1;0;3
;;20;van der Meer-van de Graaff, S.H.;29;1;0;0;1;0;0;4;1;6;2;4;2;1;3;2;2
;;21;Hoving, L.F.;22;0;0;0;3;0;0;4;0;4;1;2;2;1;0;1;4
;;22;Wijnker-van den Broeck, M.P.;12;1;0;0;1;0;0;0;0;2;2;1;2;0;0;1;2
;;23;Tros, A.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;24;Bloemheuvel, J.C.;9;0;0;0;1;3;0;2;0;0;1;0;0;0;2;0;0
;;25;de Lange, A.;17;5;0;0;0;0;0;0;0;1;0;0;0;7;1;0;3
;;26;van Vianen, R.T.;18;7;3;0;0;0;0;1;1;0;4;1;1;0;0;0;0
;;27;van den Boogert, J.W.;3;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;28;Heddema, C.M.L.;14;0;0;5;0;0;2;1;0;0;0;0;0;0;0;6;0
;;29;Boelhouwer, A.C.;20;1;1;0;1;0;0;2;2;4;2;3;3;0;0;0;1
;;30;van Bergen, J.G.P.;4;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0
3;BurgerBelangen;;;1389;65;39;5;127;49;22;148;49;86;151;83;128;107;173;68;89
;;1;Plaatsman-Visser, N.;819;47;20;1;91;24;8;96;28;61;101;51;86;66;69;22;48
;;2;Scherpenzeel, F.;186;5;6;1;14;8;0;26;12;8;26;5;8;8;46;3;10
;;3;Smit, W.G.;91;3;5;0;5;15;0;3;1;4;6;2;4;3;35;1;4
;;4;Buerman, M.H.;42;2;0;0;2;0;0;3;2;2;2;6;8;9;0;1;5
;;5;Torbijn, W.A.H.;143;4;8;1;8;2;14;2;5;4;12;5;10;10;16;33;9
;;6;Beringen, J.J.;11;0;0;0;4;0;0;2;0;0;0;0;0;2;0;1;2
;;7;Reimert, S.N.;19;1;0;0;0;0;0;2;0;0;2;7;3;2;0;1;1
;;8;Hijman-van Esterik, J.D.;43;0;0;0;1;0;0;13;1;5;1;3;5;6;2;0;6
;;9;van Vulpen, R.J.;19;1;0;2;0;0;0;0;0;1;0;2;2;1;4;6;0
;;10;Loeffen, A.J.;16;2;0;0;2;0;0;1;0;1;1;2;2;0;1;0;4
4;SP (Socialistische Partij);;;1098;113;12;2;135;34;26;164;31;87;91;55;77;79;79;25;88
;;1;Brouwer, J.;821;91;9;0;98;25;17;122;20;65;60;42;57;60;59;20;76
;;2;van der Tol, F.A.M.;37;2;0;0;6;0;1;12;5;3;1;0;2;0;1;1;3
