Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Hotel theater Figi;Bibliotheek;Maria Oord;Kerkgebouw de Ark;NoorderLichtgemeente;Wijkgebouw 't Lichtpunt;Restaurant Jagershuys;Zeister vrije school locatie van Tuyllaan;Speeltuin- en belangenvereniging kindervreugd;Dijnselburg A;Dijnselburg B;Wijkservicepunt Noord;Wijkservicepunt ’t Volle Hof;Flex@Work;Centraal Bureau 't Noorderpunt;Sionskerk A;Sionskerk B;VSO Heuvelrug college;CBS Nije-Kroost;St. Kerkelijk Centrum Zeist-West A;St. Kerkelijk Centrum Zeist-West B;Wijkcentrum De Koppeling A;Wijkcentrum De Koppeling B;Oude voedselbank;Comeniusschool;Zorgcentrum Amandelhof;Kerckebosch school;Binnenbos A;Binnenbos B;Dorpshuis Hart van Austerlitz;Abrona  't Lichtpunt;Adra Share & Care;Verpleeghuis de Wijngaard;Villa Den Dolder;Dolderse Sportclub DOSC;Maria Christinakerk Den Dolder;Hotel theater Figi (maandag);Dijnselburg (maandag);Flex@Work (maandag);St. Kerkelijk Centrum Zeist-West (maandag);Binnenbos (maandag);Dolderse Sportclub DOSC (maandag);Hotel theater Figi (dinsdag);Dijnselburg (dinsdag);Flex@Work (dinsdag);St. Kerkelijk Centrum Zeist-West (dinsdag);Binnenbos (dinsdag);Dolderse Sportclub DOSC (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;41;42;43;44;45;46;51;52;53;54;55;56
Postcode;;;;;3701 HS;3701 HS;3701 JZ;3702 VG;3702 SB;3707 AE;3707 BM;3707 HW;3707 CV;3705 XD;3705 GK;3705 GK;3705 HD;3706 AA;3706 AP;3706 AH;3705 BP;3705 BP;3704 GN;3704 EG;3704 KB;3704 KB;3704 KS;3704 KS;3703 AJ;3703 CG;3708 AB;3708 GA;3708 DL;3708 DL;3711 BP;3712 XJ;3712 AD;3735 MR;3734 BL;3734 EJ;3734 BG;3701 HS;3705 GK;3706 AP;3704 KB;3708 DL;3734 EJ;3701 HS;3705 GK;3706 AP;3704 KB;3708 DL;3734 EJ
;;15;Raymakers, E.R.P.M.;154;4;1;4;1;3;2;1;1;1;0;0;2;3;5;3;5;1;3;0;1;3;2;1;0;0;2;0;1;3;2;77;1;0;0;0;0;1;5;0;0;0;1;2;2;1;4;2;3;0
;;16;Akerboom, P.H.;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;17;Bergwerff, A.J.;21;4;0;0;0;1;1;0;0;0;3;0;0;1;0;0;0;2;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0
;;18;Horjus, B.;29;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;2;1;3;1;1;2;0;0;1;0;0;0;0;0;0;0;0;1;1;0;2;0;0;1;0;0;5;0;0
;;19;Hoefnagels, M.G.A.;29;2;0;1;0;0;0;2;0;0;2;0;0;0;0;0;1;2;1;1;1;0;1;2;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;1;0;1;2;0;1;1;0;1;0;0
;;20;Berentsen, A.G.M.;7;0;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Henkelmann, J.W.;29;0;1;2;0;2;0;0;0;0;0;0;0;1;0;2;0;1;2;5;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;2;0;0;0;0;0;3;0;1;0;0
;;22;van Lochem, G.;18;1;0;0;0;0;0;0;0;0;0;1;1;3;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0
;;23;Krijgsheld, H.J.;14;0;1;0;0;0;0;0;0;1;0;0;0;1;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;2;0;0
;;24;Ennahachi, R.;290;5;5;15;16;8;3;7;6;4;4;6;5;11;11;16;5;3;3;7;11;14;10;14;5;1;2;2;1;6;6;7;11;2;0;5;6;6;4;2;7;3;1;0;5;2;6;7;2;2
3;D66;;;4560;175;123;136;98;114;80;202;127;116;80;45;42;106;39;107;82;130;143;80;138;74;48;108;97;52;86;116;58;118;147;80;87;55;56;92;75;104;102;63;33;94;81;40;147;59;65;94;116;50
;;1;Boutahar, H.;1604;69;33;51;41;42;26;71;28;45;35;14;19;39;23;38;39;42;50;32;60;37;18;49;46;11;23;40;24;39;38;31;22;18;24;25;18;31;28;26;15;46;26;10;44;15;26;35;34;8
;;2;Welting, A.;1535;53;36;36;25;37;24;64;38;38;21;12;5;27;9;28;23;53;49;26;55;22;14;26;30;17;29;44;19;51;80;34;43;14;14;32;28;26;45;15;8;29;36;10;65;20;26;30;54;15
;;3;van den Heuvel, J.A.G.M.;183;6;3;8;3;7;5;9;10;0;2;1;6;6;1;6;3;7;3;1;4;2;3;5;2;5;2;3;0;2;3;3;4;2;2;1;1;4;6;3;1;4;0;1;10;9;1;3;8;2
;;4;van Ginkel, D.H.;76;2;2;0;0;0;2;4;0;3;0;3;0;3;1;2;1;1;2;0;2;0;1;0;1;1;2;0;3;0;1;1;4;12;0;3;1;0;1;1;1;1;1;2;1;2;2;3;2;1
;;5;Kooistra, G.;315;17;11;15;7;9;10;13;8;7;7;4;5;10;1;12;5;11;7;7;6;1;4;8;4;4;7;8;5;6;5;3;4;4;3;5;3;8;4;2;0;8;7;4;12;3;4;5;9;3
;;6;Pattiasina, R.;39;3;2;2;7;1;1;2;2;0;2;0;0;0;0;0;1;2;2;0;1;0;1;0;0;0;1;2;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;2;0;0;0;1;0
;;7;André de la Porte, F.;145;0;2;0;2;3;0;1;1;1;0;4;1;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;2;1;1;1;1;3;10;18;18;26;3;4;0;1;4;8;1;4;0;0;1;18
;;8;Besseling-Hansen, F.S.;272;6;10;7;7;7;6;16;14;11;7;4;2;9;1;10;4;7;23;4;8;1;3;3;5;6;12;8;4;6;8;4;5;1;1;0;2;2;2;7;6;1;1;1;3;4;3;4;5;1
;;9;Röselaers, J.H.;43;4;1;1;0;0;1;3;0;1;0;0;0;1;0;0;1;1;2;0;0;1;0;0;0;1;4;6;1;3;2;0;0;0;0;0;0;0;2;0;0;1;2;1;1;0;0;2;0;0
;;10;Irahhoten, M;45;1;3;0;0;1;1;3;0;0;1;0;2;3;0;3;1;1;0;0;0;3;2;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
;;11;Budding, J.C.;12;0;3;0;0;1;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;12;Everts, E.M.;51;0;3;1;1;3;0;1;2;2;0;1;0;1;1;1;0;0;0;1;1;2;2;2;0;2;2;2;0;2;2;1;1;1;1;0;2;0;0;1;0;1;1;0;4;0;1;1;1;0
;;13;Hupkens, H.E.;63;2;5;3;1;0;0;5;9;3;0;1;0;2;0;2;1;2;0;5;0;2;0;3;1;2;0;0;0;1;0;1;0;0;0;2;0;1;2;2;0;2;0;0;1;0;1;1;0;0
;;14;Vliegenthart, V.F.M.;19;2;0;1;0;1;0;4;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0
;;15;Maas, J.A.S.;9;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;16;Warners, H.;10;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Keij, M.H;15;0;0;1;0;0;0;0;3;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
;;18;Driessen, J.;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;19;Groothuizen, M.C.J.;14;3;2;0;2;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0
;;20;van Tilburg, C.C.;12;0;1;2;0;0;1;2;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van der Ploeg, P.;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0;0;0;2;1;0;0;0;0;0
;;22;Meijer, R.P.J.M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;23;Renzema, S.D.;15;1;0;4;0;0;0;3;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0
;;24;te Ronde, I.S.;19;0;1;2;2;0;1;0;0;1;2;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;25;Schnabel, P.;19;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;1;0;0;2;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;0
;;26;Varkevisser, J.A.;26;1;2;1;0;1;0;0;0;0;0;0;0;1;1;2;0;0;3;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;1;1;0;2;0;0;1;0;2;1;0
4;NieuwDemocratischZeist;;;2388;100;44;102;35;66;45;94;39;53;28;25;25;76;29;66;40;46;35;40;44;53;27;43;38;10;16;31;22;48;41;146;40;89;84;48;45;56;45;48;29;45;41;20;72;59;28;53;62;17
;;1;Bredius, J.;943;41;16;53;10;28;22;37;17;9;10;12;12;28;10;24;11;18;13;19;22;19;9;19;15;6;6;6;9;23;14;34;9;11;26;24;20;26;23;24;14;25;21;9;31;20;13;34;35;6
;;2;Bakels, P.;439;25;11;20;8;4;3;17;7;10;6;3;4;12;8;20;11;14;11;5;18;16;6;8;7;2;3;4;5;9;11;8;9;8;9;6;5;9;9;7;5;9;8;5;16;15;3;7;10;3
;;3;Bouwman, B.J.;85;2;1;2;2;1;2;2;1;0;0;1;2;7;2;4;3;2;3;5;0;4;4;1;1;0;0;0;2;1;0;1;0;0;3;1;0;2;5;0;2;3;0;0;2;3;2;4;1;1
;;4;Munnig Schmidt, E.;55;8;1;5;1;0;3;1;3;8;0;0;0;3;2;1;0;2;0;0;0;2;0;0;0;0;2;2;0;0;1;0;0;2;3;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0
;;5;Koster, F.;23;1;0;0;2;0;0;0;1;0;1;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;1;3;0;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;2;1;1;0
;;6;Platt, E.B.;105;6;0;7;0;0;1;1;1;2;1;0;2;4;0;0;2;2;0;4;1;0;1;1;0;1;0;2;0;1;0;0;5;26;3;2;4;5;0;3;1;1;0;0;2;6;2;0;2;3
;;7;Fiscalini, C.A.W.M.;429;9;9;7;6;24;8;19;4;18;5;5;4;13;1;9;8;4;2;2;2;11;3;9;9;1;2;10;2;7;8;13;15;42;39;15;15;9;2;9;2;2;6;3;8;10;1;4;10;3
;;8;Poolman Simons, G.J.H.;29;2;2;1;0;2;1;0;0;0;1;0;0;1;0;0;0;2;1;1;0;0;1;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;2;0;2;0;0;1;3;0;0;1;1;0
;;9;Schrikenberg, C.;21;2;1;0;2;0;2;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;1;0;0;2;1;0;0
;;10;Beltman, J.E.;99;0;1;2;2;0;1;2;0;0;0;4;1;1;1;0;2;0;1;0;0;1;1;2;1;0;1;0;0;1;0;63;0;0;0;0;1;3;0;1;0;1;0;0;1;1;2;1;0;0
;;11;Koster, J.J.P;12;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;1;0
;;12;Tessels-Hoogenraad, R.A.;23;0;0;0;2;2;0;2;0;2;1;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;2;1;1;0;1;0;1;0;0;0;0
;;13;Verschuur, H.C.;16;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Moll van Charante, A.W.;15;1;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;1
;;15;Bout, M.N.W.;30;1;1;2;0;0;0;0;1;0;1;0;0;0;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;1;1;0;5;1;0;0;1;0
;;16;Soer, W.;34;1;0;0;0;2;0;3;0;1;0;0;0;2;0;4;0;1;1;0;1;0;1;1;3;0;1;1;0;2;2;5;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;17;van der Hout, E.J.G.;30;0;0;1;0;2;1;6;4;3;0;0;0;1;0;2;0;0;1;1;0;0;1;0;0;0;1;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
5;Seyst.Nu;;;2327;66;38;132;61;99;33;97;33;28;46;19;17;74;36;43;53;43;26;44;70;60;70;45;45;15;30;49;21;28;35;52;46;24;36;58;42;58;45;40;25;74;41;20;59;43;32;95;57;24
;;1;Luca, R.E.;1074;42;22;59;22;60;17;45;13;8;23;9;9;35;17;23;28;18;16;21;31;30;36;22;19;7;4;27;10;13;13;34;17;12;20;19;15;12;15;16;17;33;19;8;25;23;18;47;19;6
;;2;Visser, T;107;1;0;1;4;1;1;1;1;0;1;2;1;4;2;1;4;2;2;2;8;4;5;2;4;0;3;3;2;2;2;2;6;2;2;3;1;0;1;4;0;5;1;0;1;1;1;5;6;0
;;3;Roelofsen-Beentjes, J.N.C.;321;6;6;34;9;5;4;14;3;2;4;1;1;7;7;6;8;8;2;8;11;9;6;6;6;6;3;6;4;7;12;6;7;4;0;4;4;6;3;6;3;12;6;0;6;8;3;11;16;5
;;4;Kant-van Barneveld, E.M.;294;5;2;20;11;20;5;6;3;6;11;2;5;12;3;6;6;3;3;6;12;6;11;5;10;2;6;5;0;2;4;6;6;2;0;4;0;0;11;10;5;12;6;0;4;8;6;9;6;1
;;5;Poelsma, V.M.;169;3;2;8;6;6;2;19;3;4;3;1;1;7;1;1;4;4;0;1;2;5;8;5;2;0;9;2;2;2;0;2;4;1;4;0;0;0;9;1;0;5;7;0;9;1;3;6;0;4
;;6;van Mierlo, P;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0
;;7;van Keeken, D.C.;64;3;3;1;2;2;3;3;1;2;1;0;0;1;0;0;2;1;0;0;2;1;0;2;0;0;3;4;0;1;1;0;1;2;0;0;0;0;2;1;0;2;2;0;7;0;0;3;5;0
;;8;Poelsma, N;79;4;1;5;2;3;0;4;5;3;1;1;0;5;2;3;0;2;0;1;1;4;1;2;1;0;2;1;3;1;2;0;2;0;2;0;0;1;3;0;0;2;0;0;1;2;0;4;2;0
;;9;Nachit, M;20;0;0;0;0;1;0;0;3;1;0;0;0;0;4;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;10;van Aller, M.W.;50;1;0;4;5;1;1;4;0;0;1;2;0;2;0;1;0;0;0;2;2;1;3;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;2;0;0;2;0;1;7;3;0
;;11;Hol, J.;136;0;2;0;0;0;0;1;1;2;1;1;0;1;0;0;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0;1;0;0;6;27;22;39;1;2;0;0;0;12;4;0;0;0;0;8
6;CDA;;;2471;115;52;95;33;64;64;121;45;26;33;17;27;91;33;44;40;58;51;45;71;61;42;44;22;29;33;80;35;56;54;88;35;21;47;32;33;58;55;24;33;65;46;16;94;38;44;87;63;11
;;1;Fluitman, M.C.M;1185;52;22;43;22;29;30;57;12;14;6;8;12;47;11;21;19;27;22;23;25;32;25;15;10;10;10;38;20;31;20;43;12;15;32;13;11;32;37;11;18;46;30;15;42;20;15;44;28;8
;;2;van Voorden, V.H.;231;14;6;6;0;5;11;14;1;3;6;2;1;12;1;0;4;10;11;8;7;6;6;7;2;2;2;8;4;3;2;2;5;3;1;0;0;3;4;3;3;4;2;0;8;3;5;10;11;0
;;3;Pluim, M.;101;4;3;2;0;2;0;3;2;2;2;0;3;10;0;4;2;7;3;0;9;2;1;1;0;1;2;6;0;1;4;3;0;0;0;0;0;0;2;1;2;7;0;0;0;3;3;3;1;0
;;4;Oosterveen, L.L.;22;0;2;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;2;0;0;0;0;2;0;1;0;0;0;2;0;0;1;0;0;0;1;1;0;1;2;0;0;0;0
;;5;Osinga-Tamming, B.J.;290;15;3;14;1;9;5;16;4;3;7;0;3;10;3;8;4;8;3;1;8;7;2;6;4;2;5;10;1;9;7;10;11;2;8;10;8;7;4;4;5;2;2;1;9;4;8;9;7;1
;;6;Das, W.B.;136;4;6;18;4;5;4;9;0;1;3;7;0;4;3;5;6;0;2;7;7;5;3;5;0;1;1;2;0;1;0;0;2;1;0;1;0;1;1;2;0;0;1;0;4;1;6;3;0;0
;;7;Poortvliet, H.;16;1;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;1;0;4;0;0
;;8;van Arendonk, L.A.A.M.;14;2;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;9;Beusmans, H.P.G.;19;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;2;7;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;10;Emmen-Hassell, B.M.;187;7;1;7;1;8;5;6;3;0;4;0;6;2;15;5;2;2;5;2;8;5;1;3;3;5;3;6;1;8;13;6;1;0;0;0;2;0;2;1;0;2;4;0;11;1;3;6;11;0
;;11;Dresselhuijs, W.B.;11;0;0;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;12;Welschen - van der Hoek, L.M.;43;2;1;0;0;1;0;1;11;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;0;0;0;0;3;3;1;0;0;0;1;0;1;0;0;4;4;0
;;13;van Silfhout, M.M.;10;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Maasdam-Hoevers, M.W.J.;12;0;0;1;1;0;2;0;4;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van der Drift, L.H.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;16;van Hulzen-Schipper, D.M.;4;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van den Brink, M.;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Geluk-Poortvliet, L.W.D.;21;3;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;3;1;0;2;0;0;0;1;0;0;0;2;0;0;1;1;0;1;0;0;0;0;1
;;19;Wortmann, M.K.M.;10;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0
;;20;Ruijs, T.G.P.M.;16;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;3;1;0;0;0;0
;;21;Kaemingk-Jonker, A.;34;1;0;1;1;2;0;5;1;2;2;0;0;1;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;4;1;0;0;0;0
;;22;Jung, H.J.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van der Linden, J.C.W.;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;8;8;0;0;0;0;0;0;0;0;0;0;0;1
;;24;Marlet, G.A.M.;29;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;21;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0
;;25;Gadellaa, P.J.;8;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0
;;26;Wolters, J.B.;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Delft, G.B.;7;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;28;Fluitman, J.J.B.;9;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0
;;29;van Dijk, H.M.C.;17;1;0;0;0;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;3;0;0;1;0;0
7;ChristenUnie-SGP;;;1905;76;17;69;33;81;57;100;27;36;40;6;13;54;15;30;31;52;41;44;101;71;42;35;25;17;14;47;44;40;35;27;33;13;43;8;7;31;56;32;14;64;29;8;58;36;25;65;52;11
;;1;Catsburg, W.D.;1012;39;4;32;10;48;18;58;15;14;21;2;4;36;5;19;13;28;26;24;47;36;14;20;13;9;6;28;27;19;13;17;12;10;34;2;5;21;34;20;10;38;20;6;34;18;9;28;41;5
;;2;Wassink, H.J.;127;7;1;11;6;5;0;6;2;2;1;0;4;6;0;1;1;2;2;2;8;3;4;2;0;2;1;0;5;4;4;0;4;0;2;0;0;0;2;4;0;6;2;0;2;0;5;6;2;0
;;3;de Jong, M.C.;104;0;4;0;4;7;5;2;0;3;1;1;1;3;2;0;3;2;4;0;13;3;9;2;3;0;1;5;0;2;2;0;0;2;1;1;0;1;4;0;0;1;0;0;4;5;0;2;1;0
;;4;Ploeg-Bos, A.;320;20;3;13;8;5;12;19;6;10;10;1;0;4;5;3;8;13;5;5;15;15;8;4;7;3;1;6;5;7;6;8;6;1;1;2;1;2;9;4;1;8;4;1;8;2;5;20;7;3
;;5;van Doleweerd-Verolme, J.;94;3;0;3;0;5;6;8;3;4;1;2;1;0;0;2;2;4;0;6;6;2;2;2;1;0;0;1;4;3;0;1;5;0;1;0;0;2;1;0;1;4;1;0;3;3;1;0;0;0
;;6;Spijkerboer-Swager, G.A.;26;1;2;2;1;0;0;2;1;0;0;0;0;0;1;1;0;0;0;0;0;3;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;2;0;0;1;1;1;0;0;1;1;0;0;0
;;7;van Garderen, N.M.;14;0;0;3;0;1;2;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
;;8;de Jong, P.J.A.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0
;;9;van Ginkel, M.;8;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
;;10;Knauff, H.;19;0;1;0;0;0;2;0;0;0;0;0;0;2;0;1;0;0;0;0;5;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3;0;0
;;11;Naaktgeboren, J.A.;30;0;0;0;0;2;1;2;0;0;0;0;0;2;0;0;1;0;1;0;1;2;0;0;0;1;3;1;0;2;1;1;0;0;0;0;0;2;0;0;0;2;1;0;1;1;1;1;0;0
;;12;Verbiest, M.;16;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;1;0;0;0;1;0;1;1;1;0;1
;;13;Oskam, P.M.;21;0;2;1;1;0;6;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;0;0;0
