Verkiezing;;Gemeenteraad Woudenberg 2022;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;
Gebied;;Gemeente Woudenberg;;;;;;;;;;
Nummer;;0351;;;;;;;;;;
;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Cultureel Centrum De Camp;Woon- en zorgcentrum Groenewoude;Multifunctioneel Centrum De Schans;Partycentrum Schimmel;Kerkgebouw De Voorhof;Cultuurhuis (Maandag);Cultuurhuis (Dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8
Postcode;;;;;3931 KK;3931 AP;3931 SR;3931 KJ;3931 EP;3931 CC;3931 EH;3931 EH
;;35;van de Lagemaat, F.;2;0;0;1;0;0;0;1;0
;;36;de Wilde, P.A.;7;0;0;0;4;2;1;0;0
;;37;Natzijl, M.H.;3;0;0;0;0;3;0;0;0
;;38;van de Lagemaat, J.;6;2;0;0;0;2;1;0;1
;;39;van den Dool, J.C.;1;0;0;0;0;0;1;0;0
;;40;Mulder, J.A.;8;0;1;2;0;0;0;1;4
3;CDA;;;1007;165;154;102;137;140;119;70;120
;;1;Hardeman, M.;366;59;50;33;60;54;36;25;49
;;2;Bessembinders, J.H.;83;9;8;12;5;10;9;10;20
;;3;Wijnberg - van Bentum, L.;161;26;25;15;23;14;27;12;19
;;4;Beumer-Dorst, J.;37;10;7;3;4;2;8;0;3
;;5;de Smit, E.C.;36;4;7;4;2;6;7;1;5
;;6;Klein Wolterink, D.;12;6;2;0;1;1;2;0;0
;;7;van Korlaar, J.F.J.;10;0;6;0;0;1;0;1;2
;;8;van der Knaap, J.W.;45;6;9;3;1;20;0;3;3
;;9;van der Hart-van Dijk, G.H.C.;28;2;2;1;6;3;8;1;5
;;10;van Schaik, R.J.;24;3;4;5;5;2;0;2;3
;;11;van Donkelaar, A.;17;6;3;1;1;1;3;1;1
;;12;de Kruif, H.G.;9;3;1;0;2;0;2;1;0
;;13;Oosterhout, L.;8;2;1;1;2;0;0;0;2
;;14;de Kruif, D.J.;9;2;1;1;0;3;0;1;1
;;15;van der Meij, L.W.;7;0;1;1;1;2;0;2;0
;;16;van Keulen, A.C.;11;0;3;5;1;0;1;1;0
;;17;Haverkamp, M.C.;9;3;1;0;3;1;0;0;1
;;18;Overeem, M.;8;0;0;2;2;0;4;0;0
;;19;Klaare, R.C.;26;1;10;2;4;4;2;3;0
;;20;Mateman, R.;7;2;0;2;1;0;2;0;0
;;21;van de Lagemaat, A.H.;2;0;1;0;0;0;0;1;0
;;22;van Ettekoven, J.;8;2;1;1;1;1;1;0;1
;;23;Jansen, J.;0;0;0;0;0;0;0;0;0
;;24;van Buul, J.M.;2;0;1;0;1;0;0;0;0
;;25;Wijnberg, A.;10;4;0;2;0;0;2;2;0
;;26;van Ettekoven, R.F.;4;2;0;0;0;0;0;0;2
;;27;de Kruif-de Kruijff, E.A.;9;1;0;1;2;3;2;0;0
;;28;Jansen, L.;0;0;0;0;0;0;0;0;0
;;29;Schreuder, J.C.;5;0;1;0;2;2;0;0;0
;;30;Kroese-Westerhof, P.;0;0;0;0;0;0;0;0;0
;;31;Veldhuizen, D.J.;15;5;2;6;2;0;0;0;0
;;32;van der Tak, J.;13;3;0;0;2;6;2;0;0
;;33;van Oosterom, S.J.M.;7;0;3;0;1;0;0;3;0
;;34;Veerman-van der Ende, N.;1;0;0;0;1;0;0;0;0
;;35;Meerveld, J.J.;18;4;4;1;1;4;1;0;3
4;ChristenUnie;;;646;132;110;66;102;67;68;45;56
;;1;Bosman, B.;289;63;45;33;51;25;26;15;31
;;2;van der Linden, G.A.R.;94;17;17;8;22;6;16;2;6
;;3;de Witte-Breure, T.A.T.;66;12;14;5;6;7;8;9;5
;;4;Lokhorst, D.A.;17;8;1;5;0;0;2;0;1
;;5;van der Molen-Bollemaat, J.;19;2;4;0;2;1;2;3;5
;;6;Treep-Wolfswinkel, M.H.;39;11;10;3;1;1;4;4;5
;;7;Veldhuizen, H.B.;23;4;3;1;3;7;1;3;1
;;8;van Oosterom-van Wolfswinkel, C.;11;2;5;1;0;1;1;1;0
;;9;Koops, J.R.E.;10;2;2;0;3;0;2;1;0
;;10;van Vugt, M.A.;11;1;0;2;2;3;1;1;1
;;11;Apeldoorn, G.;15;1;0;0;2;12;0;0;0
;;12;Legemaat, G.W.;4;0;0;2;0;1;0;0;1
;;13;van den Bergh, A.N.;2;2;0;0;0;0;0;0;0
;;14;Blok, J.C.M.;1;0;1;0;0;0;0;0;0
;;15;Wijntjes-van de Kraats, W.;0;0;0;0;0;0;0;0;0
;;16;de Voogd-Klinkhamer, P.M.;4;0;1;0;0;0;2;1;0
;;17;de Ronde, A.W.;3;0;0;0;2;0;0;1;0
;;18;van Vliet-van Hoeven, C.G.;3;0;0;0;2;0;1;0;0
;;19;Maassen van den Brink, J.;2;0;2;0;0;0;0;0;0
;;20;Zandbergen, H.J.;3;2;0;1;0;0;0;0;0
;;21;Makonga, P.;10;0;3;5;1;1;0;0;0
;;22;van de Kleut, W.J.;2;0;0;0;0;0;0;2;0
;;23;Treep, E.M.M.;8;3;2;0;0;0;1;2;0
;;24;Kleine Deters, J.;1;0;0;0;0;0;1;0;0
;;25;Blokhuis, W.;9;2;0;0;5;2;0;0;0
5;Partij van de Arbeid (P.v.d.A.) / GROENLINKS;;;1088;208;188;110;207;66;71;99;139
;;1;van de Graaf, M.;686;144;106;67;125;44;46;61;93
;;2;Wams, J.;129;23;21;11;26;8;10;18;12
;;3;van de Wetering, K.H.J.;54;10;9;7;16;3;3;4;2
;;4;Strootman, J.M.J.;50;7;10;6;12;4;2;1;8
;;5;van Elteren, M.;11;2;3;1;1;0;0;2;2
;;6;Smit, S.;27;2;9;4;4;0;1;3;4
;;7;Elferink, B.W.;15;3;2;4;2;0;1;2;1
;;8;Bollen, S.H.;23;0;10;1;2;3;0;2;5
;;9;Mahamed, A.Y.;22;6;6;2;4;1;1;1;1
;;10;Wams, D.;11;3;0;0;5;1;1;0;1
;;11;van der Mijl, J.A.;6;3;0;0;0;0;1;1;1
;;12;Schaper, E.;6;0;2;2;1;0;1;0;0
;;13;den Boer, R.M.;7;0;1;1;0;0;1;1;3
;;14;Krober, J.W.R.;14;4;3;0;4;0;2;0;1
;;15;ten Wolde, R.;17;1;3;4;5;1;1;0;2
;;16;Marcus, J.;3;0;1;0;0;0;0;0;2
;;17;Nagtegaal, C.J.;3;0;1;0;0;0;0;1;1
;;18;Makkinga, H.C.J.;1;0;1;0;0;0;0;0;0
;;19;van Oerle, J.G.;3;0;0;0;0;1;0;2;0
6;VVD;;;607;104;103;70;86;80;51;50;63
;;1;Stalman, K.J.;280;46;46;30;37;41;20;22;38
;;2;Tekelenburg, M.M.;224;40;42;28;25;32;25;14;18
;;3;Nauta, M.W.;7;2;1;2;0;2;0;0;0
;;4;Koldewijn, M.;19;6;1;4;4;1;2;1;0
;;5;Huijben, T.C.;9;3;1;4;0;1;0;0;0
;;6;van de Beek, L.;13;1;1;0;3;0;3;3;2
;;7;Peters, A.D.;3;0;0;0;3;0;0;0;0
;;8;Voets, F.H.M.;17;2;8;0;4;0;0;1;2
;;9;Lankhorst, E.L.;8;0;0;0;1;1;0;5;1
;;10;Tekelenburg, F.L.;4;0;1;1;1;1;0;0;0
;;11;Nijhove, A.R.H.M.;0;0;0;0;0;0;0;0;0
;;12;Ossendrijver, B.;5;0;1;0;1;1;0;2;0
;;13;Geijtenbeek, P.;6;2;0;1;1;0;0;1;1
;;14;van der Meer, D.;1;0;0;0;0;0;0;1;0
;;15;Barelds, G.;3;1;0;0;2;0;0;0;0
;;16;Brouwer, B.;8;1;1;0;4;0;1;0;1
