Verkiezing;;Gemeenteraad De Ronde Venen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente De Ronde Venen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Tennisvereniging Mijdrecht (TVM);Verenigingsgebouw Ons Streven;De Springbok;OBS de Eendracht;Veenlanden College;Lokaal Brede School Present;Kids College;NH Verenigingsgebouw;EHBO Gebouw Lucas;NH Gebouw De Roeping;CNS Abcoude;De Angstelborgh;Dorpshuis de Vijf Bogen;'t Oude Parochiehuis;VIOS clubgebouw;De Boei Vinkeveen 1;De Boei Vinkeveen 2;De Willisstee;Dorpskerk Abcoude;Gemeentehuis;De Boei Vinkeveen 1;De Willisstee;Dorpskerk Abcoude;Gemeentehuis;De Boei Vinkeveen 1;De Willisstee;Dorpskerk Abcoude
;;8;Grotens, M.T.;8;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;1;0;0;1;1;0;0;1;0;0;0
;;9;van Dijkman, M.B.M.;54;3;4;1;0;4;2;2;3;1;6;0;0;0;0;2;2;1;1;7;1;0;3;0;1;4;2;4;0
;;10;Smit, L.P.W.;25;0;4;2;1;0;2;4;0;0;0;4;0;0;0;0;0;2;0;2;0;1;0;0;0;3;0;0;0
;;11;Hoogendoorn-van Dijk, L.H.;25;1;1;1;0;0;1;1;6;0;1;0;1;1;0;1;0;0;1;0;1;1;0;1;1;4;0;1;0
;;12;Dohle, E.A.;16;0;1;0;0;0;0;1;0;3;1;0;0;0;0;0;0;2;4;0;0;0;4;0;0;0;0;0;0
;;13;Reurings, P.N.;57;2;4;1;2;4;4;3;0;2;2;3;0;0;0;4;4;2;2;2;0;7;2;1;0;1;5;0;0
;;14;van Blokland, J.H.A.;198;0;0;0;0;0;0;0;0;1;0;1;47;21;25;2;0;0;0;0;52;0;0;0;19;1;0;0;29
;;15;Palm, P.C.;16;2;0;0;1;0;0;0;0;5;0;0;0;0;1;0;0;0;0;4;2;1;0;0;0;0;0;0;0
;;16;Korver, J.D.A.;31;6;3;0;3;2;2;1;0;1;1;1;0;0;0;0;3;1;1;2;0;1;0;2;0;1;0;0;0
;;17;Welter, Y.;72;0;0;0;0;2;1;1;0;0;0;0;18;7;0;0;0;0;0;0;18;0;0;0;11;0;0;0;14
;;18;Schuurs, R.A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0
;;19;Dijkman, C.;6;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0
;;20;Heinerman, M.J.;11;0;1;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;1;0;3;0;0;0;0
;;21;Godschalx, M.H.;20;0;0;0;0;0;1;0;0;0;0;0;4;0;1;0;0;0;0;0;5;0;0;0;3;0;0;0;6
;;22;Borhem, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Welter-Broere, A.J.T.;21;1;0;0;0;0;0;0;0;0;0;0;11;0;1;0;0;0;0;0;2;1;0;0;3;0;0;0;2
;;24;Busker, S.L.;26;2;0;20;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0
;;25;Buitink, J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
;;26;Kat, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Verweij, G.;27;10;1;0;1;1;3;2;0;1;0;3;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0
;;28;Schuurs-Jensema, A.G.;15;1;0;1;0;0;1;0;2;0;2;0;0;0;0;0;0;0;0;3;3;0;0;0;0;1;1;0;0
3;Ronde Venen Belang;;;6895;402;279;140;136;245;283;319;387;281;447;207;166;125;139;308;352;273;284;275;291;237;186;103;142;277;286;136;189
;;1;van der Greft, H.J.;2926;210;172;80;75;128;169;169;170;79;109;80;40;23;59;198;218;74;83;120;70;135;50;42;35;155;78;68;37
;;2;van den Heerik, Y.M.G.;763;29;15;12;10;11;14;16;16;15;20;18;69;67;38;13;15;11;8;17;128;9;4;12;71;24;5;9;87
;;3;Buitendam, M.S.;972;34;13;24;16;31;25;30;49;86;119;15;14;7;21;29;26;55;81;40;20;32;48;13;8;27;70;15;24
;;4;de Haan, E.C.;246;20;6;4;1;9;9;4;50;2;9;29;2;1;2;10;8;2;2;25;2;3;4;18;1;6;1;16;0
;;5;Luijer, G.J.;66;7;0;0;0;6;2;3;8;0;4;1;1;0;1;0;2;3;4;1;0;9;1;0;1;3;7;1;1
;;6;Koornneef, W.E.T.;112;15;1;0;10;2;5;5;5;1;9;4;0;1;3;3;3;10;9;4;1;0;5;2;1;4;9;0;0
;;7;Fernhout, R.;162;9;3;2;2;5;6;4;6;16;18;3;0;0;1;4;6;14;17;13;0;3;5;0;1;6;16;2;0
;;8;van Vliet, L.;276;5;5;3;4;2;1;7;6;20;57;6;3;0;3;2;5;36;26;4;1;1;31;3;1;5;36;3;0
;;9;de Deugd, A.;58;2;3;2;1;2;1;2;1;2;6;2;0;1;0;4;2;3;5;1;1;2;2;2;0;3;5;1;2
;;10;Kraaikamp, S.;282;17;28;8;9;16;21;51;16;4;3;5;1;0;0;14;24;2;2;3;0;17;2;2;0;23;5;7;2
;;11;Hoefs, T.R.;34;1;1;0;0;2;2;0;1;1;4;0;4;0;0;0;0;1;6;0;1;0;3;0;0;2;5;0;0
;;12;van der Maat, N.;91;4;3;0;1;4;3;0;13;3;7;4;0;0;0;3;4;9;5;14;5;3;0;0;0;3;1;1;1
;;13;Gassman, Y.;105;14;11;2;1;7;6;8;0;3;2;2;1;0;0;2;19;2;3;6;0;5;0;0;1;5;2;3;0
;;14;Asafiati, B.;65;11;3;0;0;5;1;3;4;2;8;3;0;2;0;4;1;3;2;4;2;3;0;1;0;0;3;0;0
;;15;van der Meulen, N.E.;59;3;5;0;1;5;8;6;3;0;0;0;0;0;1;4;9;2;0;0;0;6;0;0;0;3;0;1;2
;;16;van Eijk, C.M.;35;1;2;0;0;0;0;2;1;6;6;1;0;0;1;1;4;4;0;1;0;0;2;0;1;2;0;0;0
;;17;Jansen, J.;111;6;6;0;2;2;1;3;11;6;12;12;1;0;3;4;1;10;7;12;0;0;2;1;0;1;4;4;0
;;18;van Zwieten, H.A.;72;2;0;0;0;3;0;3;3;6;9;4;0;0;0;6;0;10;5;3;1;0;4;0;0;1;11;1;0
;;19;de Haan, G.J.;112;0;0;1;0;0;3;0;0;3;2;0;18;12;4;0;1;0;0;3;31;0;0;0;13;0;0;0;21
;;20;Coppens, L.J.F.M.;28;0;1;1;2;0;3;1;6;0;1;7;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;2;0
;;21;Hageman, P.C.L.J.;21;0;0;0;0;0;0;0;2;0;0;8;0;0;0;2;1;0;0;0;0;0;0;6;0;0;0;1;1
;;22;Mulders, A. W.;25;3;0;0;0;1;0;2;0;0;0;0;3;4;0;1;0;0;0;0;5;0;0;0;5;0;0;0;1
;;23;van Hoven, A.;14;0;0;0;0;1;0;0;3;1;0;0;0;0;0;0;1;2;1;0;1;0;3;0;0;0;1;0;0
;;24;Bulthuis, J.J.;23;3;0;1;0;1;1;0;0;5;2;0;1;0;0;1;0;0;0;0;0;2;3;0;0;1;2;0;0
;;25;van Breukelen, J.G.;24;0;0;0;0;0;0;0;4;0;7;0;0;0;0;0;0;0;5;2;0;0;1;0;0;1;3;0;1
;;26;van Genderen, H.;81;3;1;0;0;0;0;0;8;5;15;1;1;0;0;1;1;7;11;1;0;1;8;1;0;0;16;0;0
;;27;Goldhoorn, A.J.C.;132;3;0;0;1;2;2;0;1;15;18;2;7;7;2;0;1;13;1;0;22;6;8;0;3;2;6;1;9
4;D66;;;2576;127;59;43;42;65;93;73;75;84;113;36;221;148;84;69;75;57;58;69;378;59;32;27;139;86;50;30;184
;;1;van Uden, C.;614;49;28;10;22;29;34;32;20;21;28;9;39;23;16;28;20;12;12;19;44;19;5;6;26;26;15;4;18
;;2;Freeve, J.D.;616;36;13;20;12;15;28;18;38;20;32;15;33;17;19;28;18;16;20;36;56;20;7;18;14;24;9;16;18
;;3;Maas Geesteranus, P.G.;110;4;3;0;0;3;3;2;2;19;17;4;1;1;1;1;2;9;8;0;3;0;7;1;2;4;12;1;0
;;4;Doorn, E.;463;5;0;3;1;0;0;1;1;1;2;0;86;59;14;0;0;0;1;2;135;0;0;1;66;2;2;1;80
;;5;Klinkhamer, T.;170;19;11;3;3;10;17;11;10;0;3;4;1;0;0;5;21;2;3;3;1;12;3;0;0;22;2;4;0
;;6;Jochems, G.M.;15;1;1;2;1;1;0;0;0;1;3;0;2;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
;;7;de Groot, V.G.;118;3;0;2;1;1;6;3;2;11;21;0;4;3;4;2;3;10;7;4;8;0;8;0;2;3;5;2;3
;;8;Omar, A.M.;205;8;3;3;0;3;3;2;1;8;6;3;21;21;12;1;6;3;5;4;39;4;1;0;11;4;1;1;31
;;9;Sieger-Kintzen, W.M.;123;1;0;0;0;1;0;0;0;1;1;0;18;9;6;1;3;1;0;0;52;0;0;0;7;0;1;0;21
;;10;van Ham, W.J.;9;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;2;0;0
;;11;van Wegberg, T.M.;14;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;1;0;6;0;0;0;0;0;0;0;3
;;12;van Doorn, H.F.;63;0;0;0;1;1;1;3;1;0;0;0;8;7;8;0;2;1;0;1;18;2;0;0;1;1;1;0;6
;;13;Witteveen, P.A.M.;25;1;0;0;1;0;0;0;0;0;0;0;5;1;3;0;0;0;0;0;8;0;0;0;3;0;0;1;2
;;14;Brunia, M.H.;31;0;0;0;0;1;1;0;0;0;0;1;2;5;1;1;0;0;1;0;8;0;0;1;7;0;0;0;2
5;Seniorenpartij De Ronde Venen;;;1113;63;49;26;22;48;49;43;33;22;37;29;23;47;20;53;42;22;22;34;41;80;40;23;42;99;31;24;49
;;1;Becker, M.M.C.;761;48;38;21;20;36;31;32;20;20;29;17;13;18;9;40;29;18;17;27;14;59;35;15;17;82;21;15;20
;;2;Geijtenbeek, J.;75;6;5;2;2;2;11;2;2;1;0;4;0;0;0;4;5;0;2;2;0;8;2;3;2;2;5;1;2
;;3;Bierens, S.H.;128;1;1;0;0;0;1;1;0;1;2;1;10;25;5;1;1;0;2;1;24;1;0;1;22;2;1;0;24
;;4;Borst, M.;25;2;0;2;0;1;2;2;1;0;0;1;0;1;0;3;1;0;0;1;0;1;1;0;0;4;0;1;1
;;5;Tonge, J.;13;0;2;0;0;1;0;1;0;0;0;0;0;0;0;2;2;0;0;1;0;2;0;0;0;2;0;0;0
;;6;van Krugten, M.G.;13;2;0;0;0;1;0;0;0;0;1;0;0;1;0;1;3;0;0;1;0;2;0;0;0;0;1;0;0
;;7;Keijzer, C.E.J.;24;0;2;0;0;2;1;2;2;0;1;0;0;1;6;0;0;0;0;0;0;0;0;0;1;2;1;1;2
;;8;Tijssen, A.M.E.;18;3;0;0;0;3;3;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;4;0;0;0
;;9;Kappers, C.D.F.;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;10;Bos, C.W.;20;1;1;1;0;1;0;0;2;0;1;0;0;1;0;2;1;2;0;0;2;3;0;0;0;1;0;1;0
;;11;Luijben, A.P.M.;33;0;0;0;0;1;0;1;6;0;3;6;0;0;0;0;0;1;1;1;0;1;2;3;0;0;2;5;0
6;P.v.d.A./GROENLINKS;;;2421;92;70;63;54;66;83;64;70;51;80;49;128;119;145;69;51;61;73;47;299;75;61;34;139;88;78;43;169
;;1;Kroon, P.C.;795;22;23;23;17;21;25;17;23;13;21;10;44;50;25;30;19;12;17;21;116;32;12;9;67;39;13;11;63
;;2;Schreurs, E.;94;0;2;4;1;3;1;2;7;4;13;2;0;0;3;1;0;8;15;1;2;2;7;1;0;1;9;4;1
;;3;Prins, M.C.;448;24;17;17;10;7;12;12;18;12;27;17;22;22;15;11;5;21;14;5;31;8;23;8;22;15;21;11;21
;;4;Verbree, W.;165;1;0;0;0;1;0;0;8;3;0;0;9;9;57;1;0;1;3;1;31;0;0;0;18;1;0;1;20
;;5;van Bemmel, M.;85;3;6;2;1;5;2;3;0;0;0;10;2;2;0;4;3;0;0;5;3;6;1;7;1;6;2;10;1
;;6;de Haan, G.W.;168;22;8;2;5;12;24;11;2;2;3;5;1;2;0;12;12;2;2;1;6;13;0;3;0;11;1;4;2
;;7;Hegeman, L.F.;139;5;1;0;0;2;1;1;2;15;10;1;0;0;3;0;4;14;17;7;6;2;14;1;3;0;24;1;5
;;8;Berg, A.A.M.;165;1;0;1;0;0;0;6;1;1;0;0;25;20;1;0;1;0;0;2;65;0;0;0;13;0;1;0;27
;;9;Schaap, A.J.M.L.;28;1;1;0;18;1;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0
;;10;Passet, J.B.;27;0;3;0;0;0;1;0;0;1;2;2;0;0;2;0;0;2;3;0;1;1;3;0;0;0;6;0;0
;;11;Grondijs, E.A.;42;0;0;0;1;1;3;0;1;0;2;0;1;4;10;0;0;0;0;0;5;2;0;0;2;3;0;0;7
;;12;Rood, IJ.IJ.;14;2;1;0;0;1;1;1;1;0;0;0;0;0;0;2;1;0;0;0;0;3;0;0;0;1;0;0;0
;;13;Dalm, V.M.;15;0;0;0;0;0;0;2;0;0;0;0;5;2;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0
;;14;Molenaar, M.;9;0;0;0;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0
;;15;Duif, C.P.;6;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0
;;16;Rossing, E.A.;35;0;0;0;0;0;1;1;0;0;0;0;1;0;22;0;0;0;0;0;4;1;0;0;4;0;0;0;1
;;17;Straver, I.C.M.;14;1;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;4
;;18;Klinkenberg, B.;13;0;0;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Buul, J.M.;26;0;0;0;0;9;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
;;20;van Kessel, J.C.A.M.;15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;1;0;1;6
;;21;Klaassen, W.R.;5;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0
;;22;van Rossum, M.F.;9;0;1;1;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0
;;23;Bekker, C.C.;6;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;1
;;24;van den Oever, I.A.M.;6;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
;;25;Bakkeren, M.R.;10;0;0;0;0;1;0;0;0;0;1;2;1;0;0;1;0;0;1;2;0;0;0;1;0;0;0;0;0
;;26;Nijman, A.N.;4;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
;;27;Bruins Slot, W.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;28;Schuil, A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0
;;29;Langelaar, J.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;van Kooten, J.;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;;31;Starmans, G.J.J.M.;8;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;32;van 't Veld, J.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;1;0;0;0;2
;;33;Spil, H.M.;25;4;6;0;0;2;1;3;0;0;1;0;0;0;0;0;3;0;0;0;2;0;0;0;0;2;0;0;1
;;34;de Jonge van Ellemeet, C.E.;25;1;0;0;0;0;0;0;0;0;0;0;6;2;2;1;0;0;0;1;4;1;0;0;2;0;0;0;5
7;ChristenUnie-SGP;;;1100;42;24;22;26;43;34;38;33;113;52;159;11;12;48;38;15;35;42;44;21;36;36;21;12;41;41;49;12
;;1;Stam, W.H.P.;679;27;12;8;14;41;23;19;21;63;29;90;6;9;33;27;5;12;27;35;12;23;23;14;9;31;22;32;12
;;2;van Sligtenhorst, T.;101;1;5;2;1;2;4;2;4;10;10;25;1;0;3;1;1;5;6;2;2;1;5;0;0;4;2;2;0
;;3;Kater, N.J.F.;22;0;1;5;1;0;3;6;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
;;4;Simons, M.;23;2;0;1;6;0;0;2;0;0;1;6;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;0;0
;;5;Timmer, C.J.;29;1;3;0;0;0;0;4;0;0;0;5;0;0;0;2;7;0;0;1;0;1;0;2;0;0;3;0;0
;;6;Leeflang, C.;36;0;1;3;0;0;0;1;1;8;7;2;0;0;1;0;0;7;1;1;0;1;0;1;0;1;0;0;0
;;7;Kroese, H.J.;46;0;1;0;0;0;0;1;0;13;1;8;0;1;2;0;0;5;1;1;0;1;0;0;0;0;7;4;0
;;8;van Sligtenhorst, C.;10;0;0;0;0;0;0;0;0;2;2;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;1;0
