Verkiezing;;Gemeenteraad Oudewater 2022;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;
Gebied;;Gemeente Oudewater;;;;;;;;;;;;
Nummer;;0589;;;;;;;;;;;;
;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadskantoor (woensdag hele dag);Zalencentrum (woensdag hele dag);St. Jozefschool (woensdag hele dag);Wulverhorst (woensdag hele dag);De Boezem (woensdag hele dag);Cultuurhuis (woensdag hele dag);Stadskantoor (maandag hele dag);St. Jozefschool (maandag hele dag);Stadskantoor (dinsdag hele dag);St. Jozefschool (dinsdag hele dag)
;;2;Stapel, D.;32;6;4;3;2;3;4;2;3;3;2
;;3;van Wijngaarden, J.W.;143;12;19;15;15;67;6;4;1;2;2
;;4;van Achthoven-van Zandwijk, E.G.M.;108;15;14;21;11;1;18;9;3;7;9
;;5;van de Bunt, D.;14;2;1;2;3;0;3;0;0;2;1
;;6;Vlooswijk, J.J.T.;74;14;12;15;5;4;7;2;3;4;8
;;7;Baars, M.E.A.;78;6;5;19;7;25;10;0;0;4;2
;;8;Hoogendoorn, H.W.;16;3;0;2;2;3;2;0;0;3;1
;;9;de Bruijn, K.;40;12;3;2;2;0;9;6;0;4;2
;;10;Six, J.M.;62;5;19;5;9;2;16;3;0;2;1
;;11;de Vor-van de Bunt, J.J.;69;12;10;14;8;0;15;1;1;6;2
;;12;Baars, J.G.;15;1;5;4;1;0;1;0;0;2;1
;;13;de Vor, H.J.;9;1;0;1;2;0;2;0;0;2;1
;;14;Vreeswijk, J.H.;2;0;0;1;1;0;0;0;0;0;0
;;15;van Doorn, P.;7;0;0;5;1;0;0;1;0;0;0
;;16;Kramer, E.R.;6;0;0;0;2;0;0;0;0;3;1
;;17;van de Bunt-de Koning, L.A.;1;0;0;0;1;0;0;0;0;0;0
;;18;Hagoort, M.W.;2;0;1;0;0;1;0;0;0;0;0
;;19;Koffeman, G.;11;2;1;0;2;0;3;1;0;0;2
2;De Onafhankelijken;;;1074;134;204;148;174;68;95;51;47;85;68
;;1;van den Hoogen, R.A.;459;60;92;49;83;33;37;20;22;35;28
;;2;Huizinga, A.;155;15;34;25;15;8;16;8;5;19;10
;;3;Wildeman, A.Th.;26;3;4;4;3;0;7;2;0;1;2
;;4;van Eck, G.C.M.;32;4;6;7;1;0;4;1;4;3;2
;;5;van den Berg, M.E.;61;5;10;7;14;4;7;3;0;6;5
;;6;de Jong-van Beek, C.M.;65;11;7;14;9;4;7;2;3;6;2
;;7;Stolwijk, C.W.M.;25;2;2;3;4;9;4;0;0;1;0
;;8;Kliver-van Breukelen, J.;50;8;11;2;12;0;1;4;5;2;5
;;9;Olsthoorn, E.G.A.;13;0;1;1;0;7;1;1;2;0;0
;;10;Wijgerts, C.P.;13;0;2;2;3;0;4;0;0;0;2
;;11;Ypma, S.O.;43;4;7;7;7;0;3;4;4;4;3
;;12;Vermeij, L.W.;25;3;6;4;8;0;1;1;0;2;0
;;13;Spoorenberg, J.E.;13;1;6;3;0;0;0;2;0;0;1
;;14;Raaijmakers-Boumans, W.J.M.;11;3;4;1;0;0;0;0;1;2;0
;;15;Eigenraam, C.A.;15;1;0;6;0;1;0;0;1;0;6
;;16;van de Wiel, C.J.P.;0;0;0;0;0;0;0;0;0;0;0
;;17;Kats, G.W.;6;0;0;4;2;0;0;0;0;0;0
;;18;Stoppelenburg, P.M.;4;1;1;0;1;1;0;0;0;0;0
;;19;van den Hoogen, A.A.;8;3;1;1;2;0;0;0;0;0;1
;;20;Schreuder, M.C.H.;6;2;2;2;0;0;0;0;0;0;0
;;21;Steensma, M.P.;2;0;0;1;0;0;1;0;0;0;0
;;22;Pollemans-Spitters, M.W.E.;6;1;1;1;1;1;1;0;0;0;0
;;23;Kok, W.J.P.;36;7;7;4;9;0;1;3;0;4;1
3;ChristenUnie-SGP;;;563;90;95;76;72;47;71;29;16;56;11
;;1;Bos, J.V.;362;63;66;45;44;30;37;16;16;38;7
;;2;Broere, J.;101;13;16;24;12;7;14;0;0;12;3
;;3;Benders-Molenaar, M.;20;1;1;1;6;4;4;2;0;1;0
;;4;van der Klis, S.;25;5;6;0;6;2;1;4;0;1;0
;;5;van Halum, C.D.;1;0;0;0;0;0;1;0;0;0;0
;;6;Roskam-van Dijk, A.H.;19;0;3;1;0;3;4;5;0;3;0
;;7;Boer, J.W.;4;3;0;0;1;0;0;0;0;0;0
;;8;Dijkhuizen, W.P.A.;6;0;1;0;2;0;3;0;0;0;0
;;9;Baas, A.;12;2;1;4;1;1;2;0;0;1;0
;;10;Sonneveld, L.;1;0;0;0;0;0;0;0;0;0;1
;;11;Huisman, A.C.;3;0;1;1;0;0;1;0;0;0;0
;;12;Roskam, H.F.W.;4;1;0;0;0;0;2;1;0;0;0
;;13;Lont, B.C.;3;1;0;0;0;0;2;0;0;0;0
;;14;Lodder, L.J.;2;1;0;0;0;0;0;1;0;0;0
4;VVD;;;1330;265;246;167;110;73;191;65;39;114;60
;;1;Hoogenboom, G.W.J.;599;119;106;75;48;42;84;28;23;50;24
;;2;Achterberg, M.;216;43;51;29;23;6;31;10;1;13;9
;;3;Gabriëls, R.A.W.M.;54;21;8;3;3;1;3;1;4;9;1
;;4;Kruiswijk, M.J.;159;32;32;27;8;1;28;5;4;14;8
;;5;Griffioen, A.A.;78;13;14;12;5;10;8;3;3;7;3
;;6;Kuiper, J.M.;38;5;5;2;5;1;9;3;2;4;2
;;7;Tanis, N.;16;2;4;3;4;2;0;0;1;0;0
;;8;Zaalberg, P.P.;7;2;3;2;0;0;0;0;0;0;0
;;9;van Jaarsveld, A.L.G.;80;12;17;3;10;6;16;3;0;7;6
;;10;de Vor, B.M.;27;5;2;4;2;1;5;4;0;3;1
;;11;Doesema, R.;22;2;3;5;0;0;3;4;1;0;4
;;12;van Winden, A.J.;34;9;1;2;2;3;4;4;0;7;2
5;Progressief Oudewater;;;650;115;85;101;98;46;54;27;28;53;43
;;1;van 't Veen, A.;400;69;47;61;72;21;32;18;21;36;23
;;2;Honkoop, K.H.;25;2;1;1;1;12;5;0;1;1;1
;;3;Knol, W.K.;81;14;18;8;7;5;4;7;1;7;10
;;4;van Leeuwen, G.J.;5;0;1;3;0;0;0;0;0;1;0
;;5;Stoop, F.J.C.;46;10;5;12;2;3;8;0;0;3;3
;;6;Labbaci, M.;14;0;1;4;1;2;0;0;0;2;4
;;7;Mook, J.;16;3;1;1;4;0;0;1;3;1;2
;;8;Vermeij, A.A.H.;63;17;11;11;11;3;5;1;2;2;0
