Openingstijden;Openingstijden;UUID
03-14 07:30;03-14 07:30;9fcd987555704812a06615a1859b63b1
03-14 08:00;03-14 08:00;9fcd987555704812a06615a1859b63b1
03-14 08:30;03-14 08:30;9fcd987555704812a06615a1859b63b1
03-14 09:00;03-14 09:00;9fcd987555704812a06615a1859b63b1
03-14 09:30;03-14 09:30;9fcd987555704812a06615a1859b63b1
03-14 10:00;03-14 10:00;9fcd987555704812a06615a1859b63b1
03-14 10:30;03-14 10:30;9fcd987555704812a06615a1859b63b1
03-14 11:00;03-14 11:00;9fcd987555704812a06615a1859b63b1
03-14 11:30;03-14 11:30;9fcd987555704812a06615a1859b63b1
03-14 12:00;03-14 12:00;9fcd987555704812a06615a1859b63b1
03-14 12:30;03-14 12:30;9fcd987555704812a06615a1859b63b1
03-14 13:00;03-14 13:00;9fcd987555704812a06615a1859b63b1
03-14 13:30;03-14 13:30;9fcd987555704812a06615a1859b63b1
03-14 14:00;03-14 14:00;9fcd987555704812a06615a1859b63b1
03-14 14:30;03-14 14:30;9fcd987555704812a06615a1859b63b1
03-14 15:00;03-14 15:00;9fcd987555704812a06615a1859b63b1
03-14 15:30;03-14 15:30;9fcd987555704812a06615a1859b63b1
03-14 16:00;03-14 16:00;9fcd987555704812a06615a1859b63b1
03-14 16:30;03-14 16:30;9fcd987555704812a06615a1859b63b1
03-14 17:00;03-14 17:00;9fcd987555704812a06615a1859b63b1
03-14 17:30;03-14 17:30;9fcd987555704812a06615a1859b63b1
03-14 18:00;03-14 18:00;9fcd987555704812a06615a1859b63b1
03-14 18:30;03-14 18:30;9fcd987555704812a06615a1859b63b1
03-14 19:00;03-14 19:00;9fcd987555704812a06615a1859b63b1
03-14 19:30;03-14 19:30;9fcd987555704812a06615a1859b63b1
03-14 20:00;03-14 20:00;9fcd987555704812a06615a1859b63b1
03-14 20:30;03-14 20:30;9fcd987555704812a06615a1859b63b1
03-14 21:00;03-14 21:00;9fcd987555704812a06615a1859b63b1
03-14 07:30;03-14 07:30;03241d1ab3c34a6bbfc5e175c2462933
03-14 08:00;03-14 08:00;03241d1ab3c34a6bbfc5e175c2462933
03-14 08:30;03-14 08:30;03241d1ab3c34a6bbfc5e175c2462933
03-14 09:00;03-14 09:00;03241d1ab3c34a6bbfc5e175c2462933
03-14 09:30;03-14 09:30;03241d1ab3c34a6bbfc5e175c2462933
03-14 10:00;03-14 10:00;03241d1ab3c34a6bbfc5e175c2462933
03-14 10:30;03-14 10:30;03241d1ab3c34a6bbfc5e175c2462933
