Openingstijden;Openingstijden;UUID
03-14 07:30;03-14 07:30;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 08:00;03-14 08:00;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 08:30;03-14 08:30;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 09:00;03-14 09:00;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 09:30;03-14 09:30;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 10:00;03-14 10:00;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 10:30;03-14 10:30;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 11:00;03-14 11:00;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 11:30;03-14 11:30;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 12:00;03-14 12:00;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 12:30;03-14 12:30;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 13:00;03-14 13:00;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 13:30;03-14 13:30;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 14:00;03-14 14:00;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 14:30;03-14 14:30;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 15:00;03-14 15:00;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 15:30;03-14 15:30;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 16:00;03-14 16:00;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 16:30;03-14 16:30;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 17:00;03-14 17:00;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 17:30;03-14 17:30;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 18:00;03-14 18:00;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 18:30;03-14 18:30;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 19:00;03-14 19:00;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 19:30;03-14 19:30;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 20:00;03-14 20:00;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 20:30;03-14 20:30;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 21:00;03-14 21:00;7283ceb7c66a4f5182cb7c130fcd2f64
03-14 07:30;03-14 07:30;6320edfaf9dd4460a18a5f2e01a067d2
03-14 08:00;03-14 08:00;6320edfaf9dd4460a18a5f2e01a067d2
03-14 08:30;03-14 08:30;6320edfaf9dd4460a18a5f2e01a067d2
03-14 09:00;03-14 09:00;6320edfaf9dd4460a18a5f2e01a067d2
03-14 09:30;03-14 09:30;6320edfaf9dd4460a18a5f2e01a067d2
03-14 10:00;03-14 10:00;6320edfaf9dd4460a18a5f2e01a067d2
03-14 10:30;03-14 10:30;6320edfaf9dd4460a18a5f2e01a067d2
03-14 11:00;03-14 11:00;6320edfaf9dd4460a18a5f2e01a067d2
03-14 11:30;03-14 11:30;6320edfaf9dd4460a18a5f2e01a067d2
