Openingstijden;Openingstijden;UUID
03-14 07:30;03-14 07:30;5210c57b205c4b17a7e5f53f4f6cd596
03-14 08:00;03-14 08:00;5210c57b205c4b17a7e5f53f4f6cd596
03-14 08:30;03-14 08:30;5210c57b205c4b17a7e5f53f4f6cd596
03-14 09:00;03-14 09:00;5210c57b205c4b17a7e5f53f4f6cd596
03-14 09:30;03-14 09:30;5210c57b205c4b17a7e5f53f4f6cd596
03-14 10:00;03-14 10:00;5210c57b205c4b17a7e5f53f4f6cd596
03-14 10:30;03-14 10:30;5210c57b205c4b17a7e5f53f4f6cd596
03-14 11:00;03-14 11:00;5210c57b205c4b17a7e5f53f4f6cd596
03-14 11:30;03-14 11:30;5210c57b205c4b17a7e5f53f4f6cd596
03-14 12:00;03-14 12:00;5210c57b205c4b17a7e5f53f4f6cd596
03-14 12:30;03-14 12:30;5210c57b205c4b17a7e5f53f4f6cd596
03-14 13:00;03-14 13:00;5210c57b205c4b17a7e5f53f4f6cd596
03-14 13:30;03-14 13:30;5210c57b205c4b17a7e5f53f4f6cd596
03-14 14:00;03-14 14:00;5210c57b205c4b17a7e5f53f4f6cd596
03-14 14:30;03-14 14:30;5210c57b205c4b17a7e5f53f4f6cd596
03-14 15:00;03-14 15:00;5210c57b205c4b17a7e5f53f4f6cd596
03-14 15:30;03-14 15:30;5210c57b205c4b17a7e5f53f4f6cd596
03-14 16:00;03-14 16:00;5210c57b205c4b17a7e5f53f4f6cd596
03-14 16:30;03-14 16:30;5210c57b205c4b17a7e5f53f4f6cd596
03-14 17:00;03-14 17:00;5210c57b205c4b17a7e5f53f4f6cd596
03-14 17:30;03-14 17:30;5210c57b205c4b17a7e5f53f4f6cd596
03-14 18:00;03-14 18:00;5210c57b205c4b17a7e5f53f4f6cd596
03-14 18:30;03-14 18:30;5210c57b205c4b17a7e5f53f4f6cd596
03-14 19:00;03-14 19:00;5210c57b205c4b17a7e5f53f4f6cd596
03-14 19:30;03-14 19:30;5210c57b205c4b17a7e5f53f4f6cd596
03-14 20:00;03-14 20:00;5210c57b205c4b17a7e5f53f4f6cd596
03-14 20:30;03-14 20:30;5210c57b205c4b17a7e5f53f4f6cd596
03-14 21:00;03-14 21:00;5210c57b205c4b17a7e5f53f4f6cd596
03-14 07:30;03-14 07:30;f551c29e45e44036aab3486644e5d21b
03-14 08:00;03-14 08:00;f551c29e45e44036aab3486644e5d21b
03-14 08:30;03-14 08:30;f551c29e45e44036aab3486644e5d21b
03-14 09:00;03-14 09:00;f551c29e45e44036aab3486644e5d21b
03-14 09:30;03-14 09:30;f551c29e45e44036aab3486644e5d21b
03-14 10:00;03-14 10:00;f551c29e45e44036aab3486644e5d21b
03-14 10:30;03-14 10:30;f551c29e45e44036aab3486644e5d21b
03-14 11:00;03-14 11:00;f551c29e45e44036aab3486644e5d21b
03-14 11:30;03-14 11:30;f551c29e45e44036aab3486644e5d21b
03-14 12:00;03-14 12:00;f551c29e45e44036aab3486644e5d21b
03-14 12:30;03-14 12:30;f551c29e45e44036aab3486644e5d21b
03-14 13:00;03-14 13:00;f551c29e45e44036aab3486644e5d21b
03-14 13:30;03-14 13:30;f551c29e45e44036aab3486644e5d21b
03-14 14:00;03-14 14:00;f551c29e45e44036aab3486644e5d21b
03-14 14:30;03-14 14:30;f551c29e45e44036aab3486644e5d21b
03-14 15:00;03-14 15:00;f551c29e45e44036aab3486644e5d21b
03-14 15:30;03-14 15:30;f551c29e45e44036aab3486644e5d21b
03-14 16:00;03-14 16:00;f551c29e45e44036aab3486644e5d21b
03-14 16:30;03-14 16:30;f551c29e45e44036aab3486644e5d21b
03-14 17:00;03-14 17:00;f551c29e45e44036aab3486644e5d21b
03-14 17:30;03-14 17:30;f551c29e45e44036aab3486644e5d21b
03-14 18:00;03-14 18:00;f551c29e45e44036aab3486644e5d21b
03-14 18:30;03-14 18:30;f551c29e45e44036aab3486644e5d21b
03-14 19:00;03-14 19:00;f551c29e45e44036aab3486644e5d21b
03-14 19:30;03-14 19:30;f551c29e45e44036aab3486644e5d21b
03-14 20:00;03-14 20:00;f551c29e45e44036aab3486644e5d21b
03-14 20:30;03-14 20:30;f551c29e45e44036aab3486644e5d21b
03-14 21:00;03-14 21:00;f551c29e45e44036aab3486644e5d21b
03-14 07:30;03-14 07:30;862939b4e8c74087b7ae06435a24680b
03-14 08:00;03-14 08:00;862939b4e8c74087b7ae06435a24680b
03-14 08:30;03-14 08:30;862939b4e8c74087b7ae06435a24680b
03-14 09:00;03-14 09:00;862939b4e8c74087b7ae06435a24680b
03-14 09:30;03-14 09:30;862939b4e8c74087b7ae06435a24680b
03-14 10:00;03-14 10:00;862939b4e8c74087b7ae06435a24680b
03-14 10:30;03-14 10:30;862939b4e8c74087b7ae06435a24680b
03-14 11:00;03-14 11:00;862939b4e8c74087b7ae06435a24680b
03-14 11:30;03-14 11:30;862939b4e8c74087b7ae06435a24680b
03-14 12:00;03-14 12:00;862939b4e8c74087b7ae06435a24680b
03-14 12:30;03-14 12:30;862939b4e8c74087b7ae06435a24680b
03-14 13:00;03-14 13:00;862939b4e8c74087b7ae06435a24680b
03-14 13:30;03-14 13:30;862939b4e8c74087b7ae06435a24680b
03-14 14:00;03-14 14:00;862939b4e8c74087b7ae06435a24680b
03-14 14:30;03-14 14:30;862939b4e8c74087b7ae06435a24680b
03-14 15:00;03-14 15:00;862939b4e8c74087b7ae06435a24680b
03-14 15:30;03-14 15:30;862939b4e8c74087b7ae06435a24680b
03-14 16:00;03-14 16:00;862939b4e8c74087b7ae06435a24680b
03-14 16:30;03-14 16:30;862939b4e8c74087b7ae06435a24680b
03-14 17:00;03-14 17:00;862939b4e8c74087b7ae06435a24680b
03-14 17:30;03-14 17:30;862939b4e8c74087b7ae06435a24680b
03-14 18:00;03-14 18:00;862939b4e8c74087b7ae06435a24680b
03-14 18:30;03-14 18:30;862939b4e8c74087b7ae06435a24680b
03-14 19:00;03-14 19:00;862939b4e8c74087b7ae06435a24680b
03-14 19:30;03-14 19:30;862939b4e8c74087b7ae06435a24680b
03-14 20:00;03-14 20:00;862939b4e8c74087b7ae06435a24680b
03-14 20:30;03-14 20:30;862939b4e8c74087b7ae06435a24680b
03-14 21:00;03-14 21:00;862939b4e8c74087b7ae06435a24680b
03-14 07:30;03-14 07:30;4788e4df1505460a84bafd9be40284a9
03-14 08:00;03-14 08:00;4788e4df1505460a84bafd9be40284a9
03-14 08:30;03-14 08:30;4788e4df1505460a84bafd9be40284a9
03-14 09:00;03-14 09:00;4788e4df1505460a84bafd9be40284a9
03-14 09:30;03-14 09:30;4788e4df1505460a84bafd9be40284a9
03-14 10:00;03-14 10:00;4788e4df1505460a84bafd9be40284a9
03-14 10:30;03-14 10:30;4788e4df1505460a84bafd9be40284a9
03-14 11:00;03-14 11:00;4788e4df1505460a84bafd9be40284a9
03-14 11:30;03-14 11:30;4788e4df1505460a84bafd9be40284a9
03-14 12:00;03-14 12:00;4788e4df1505460a84bafd9be40284a9
03-14 12:30;03-14 12:30;4788e4df1505460a84bafd9be40284a9
03-14 13:00;03-14 13:00;4788e4df1505460a84bafd9be40284a9
03-14 13:30;03-14 13:30;4788e4df1505460a84bafd9be40284a9
03-14 14:00;03-14 14:00;4788e4df1505460a84bafd9be40284a9
03-14 14:30;03-14 14:30;4788e4df1505460a84bafd9be40284a9
