Openingstijden;Openingstijden;UUID
03-14 07:30;03-14 07:30;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 08:00;03-14 08:00;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 08:30;03-14 08:30;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 09:00;03-14 09:00;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 09:30;03-14 09:30;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 10:00;03-14 10:00;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 10:30;03-14 10:30;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 11:00;03-14 11:00;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 11:30;03-14 11:30;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 12:00;03-14 12:00;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 12:30;03-14 12:30;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 13:00;03-14 13:00;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 13:30;03-14 13:30;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 14:00;03-14 14:00;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 14:30;03-14 14:30;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 15:00;03-14 15:00;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 15:30;03-14 15:30;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 16:00;03-14 16:00;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 16:30;03-14 16:30;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 17:00;03-14 17:00;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 17:30;03-14 17:30;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 18:00;03-14 18:00;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 18:30;03-14 18:30;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 19:00;03-14 19:00;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
03-14 19:30;03-14 19:30;fea56ec42ebb48d2b8e6b6fa5ff7f5e5
