Verkiezing;;Gemeenteraad Landsmeer 2022;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;
Gebied;;Gemeente Landsmeer;;;;;;;;;;;;
Nummer;;0415;;;;;;;;;;;;
;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Gemeentehuis;Gemeentehuis;Dorpshuis Landsmeer;Dorpshuis Den Ilp;SC Purmerland;Speeltuinvereniging Jonge Kracht;Jeugdvereniging Vrij en Blij;ICL;Handboogschutterij Pijlsnel
2;D66;;;919;76;93;165;164;50;28;27;134;133;49
;;1;Elfferich, M.;638;54;69;109;121;38;24;15;85;93;30
;;2;de Ridder, B.;48;4;4;5;8;6;0;1;11;7;2
;;3;Zwaan - Schelling, J.P.;86;2;8;20;11;1;1;6;17;13;7
;;4;Burger, J.A.M.;11;4;0;2;0;0;0;0;0;5;0
;;5;Boerma, G.W.;58;8;6;14;10;0;2;3;6;7;2
;;6;Korf, A.M.;14;1;1;2;5;0;0;0;4;0;1
;;7;Rijpkema, N.W.;7;0;2;2;0;0;0;0;0;2;1
;;8;Harmsen, I.J.G.;7;0;0;1;0;1;0;0;2;1;2
;;9;Groen, N.A.M.M.;39;3;2;10;7;4;1;2;3;4;3
;;10;Hilderink, B.K.;11;0;1;0;2;0;0;0;6;1;1
3;Lokaal Landsmeer;;;1633;135;183;275;245;144;64;112;166;247;62
;;1;Damme, A.;1108;93;141;175;179;99;31;86;101;165;38
;;2;Breij, M.M.J.;163;16;14;31;15;7;8;11;23;28;10
;;3;Raymakers, A.E.E.M;54;7;5;17;7;0;0;0;3;13;2
;;4;van Soest, R.M.E.;13;2;0;2;3;1;0;0;2;3;0
;;5;van Leijenhorst, J.;13;1;3;6;2;0;0;0;0;1;0
;;6;Goede, S.J.;66;3;10;10;6;4;1;3;10;16;3
;;7;Kok, H.;99;2;5;13;18;29;17;3;5;5;2
;;8;van der Velpen, S.P.X.;32;4;2;6;2;1;2;3;6;2;4
;;9;Velthuis, M.I.;31;3;0;6;3;3;1;2;3;7;3
;;10;de Groot, F.C.;4;1;0;1;0;0;0;0;0;2;0
;;11;Petermann, K.;13;1;2;2;1;0;4;3;0;0;0
;;12;van Campen - Richter, M.J.;37;2;1;6;9;0;0;1;13;5;0
4;GROENLINKS;;;686;63;79;120;107;29;25;33;84;99;47
;;1;van Boeijen, J.M.;426;48;46;79;64;22;16;22;48;56;25
;;2;Greunsven, M.;100;5;12;15;16;4;7;5;15;15;6
;;3;van Brenk - Wietsma, G.E.M.;42;0;9;5;4;2;1;2;4;11;4
;;4;van Beusekom, M.;28;1;1;5;5;0;0;3;1;7;5
;;5;van der Ploeg, R.;7;0;2;2;0;0;0;0;0;1;2
;;6;van den Broek, G.P.;29;4;5;5;3;1;0;0;6;2;3
;;7;ter Brake, C.B.;14;3;2;1;3;0;0;1;2;2;0
;;8;Olie, W.;40;2;2;8;12;0;1;0;8;5;2
5;Positief Landsmeer;;;619;62;66;109;81;24;14;42;77;108;36
;;1;La Fontaine, A.S.A.;301;44;38;46;33;9;6;13;43;55;14
;;2;Mulder - Damme, G.D.;159;10;16;33;20;8;1;18;18;23;12
;;3;Brugman, P.M.;15;2;2;1;1;2;0;1;1;4;1
;;4;Huiser, P.;12;0;0;2;4;0;3;0;1;2;0
;;5;Goede, S.L.;16;0;0;4;1;1;0;3;0;7;0
;;6;van Leeuwen, I.J.;29;0;1;7;5;0;0;1;7;4;4
;;7;Lausberg, R.;1;0;0;1;0;0;0;0;0;0;0
;;8;Alberts, D.;20;4;2;6;0;0;0;0;1;5;2
;;9;Goede, M.G.H.;17;0;1;2;4;4;3;0;1;2;0
;;10;Bierdrager, J.;12;2;1;1;2;0;1;0;0;3;2
;;11;Zeedijk, R.K.;37;0;5;6;11;0;0;6;5;3;1
6;CDA;;;288;34;41;52;44;12;20;20;28;31;6
;;1;Knibbe, E.B.;191;28;29;32;21;7;15;15;20;20;4
;;2;Knibbe - van den Boom, G.;43;4;5;10;11;0;1;4;1;7;0
;;3;Grevenstuk - Kemink, J.;32;1;3;8;11;0;1;1;5;2;0
;;4;Kruizenga, H.;5;0;2;1;0;0;0;0;0;0;2
;;5;Knibbe, G.C.;10;0;0;1;0;3;3;0;1;2;0
;;6;Goede, A.D.;7;1;2;0;1;2;0;0;1;0;0
7;Partij van de Arbeid (P.v.d.A.);;;471;65;58;86;65;25;23;17;59;63;10
;;1;Prins, M.J.;234;35;28;32;40;17;10;10;22;34;6
;;2;van 't Veer, W.A.;20;4;3;5;0;0;2;0;5;0;1
;;3;Schreuder, S.;126;20;13;23;14;3;9;3;20;19;2
;;4;Legemaate, G.A.G.;11;2;2;4;1;0;0;0;1;1;0
;;5;Müller, S.;36;0;6;11;3;3;2;3;3;4;1
;;6;Wilmans, M.;44;4;6;11;7;2;0;1;8;5;0
8;Lijst Hop en Honing;;;139;7;19;31;11;10;8;13;7;26;7
;;1;Hop, M.I.;101;4;16;26;7;2;5;10;4;21;6
;;2;Honing, T. C. J.;28;3;3;3;3;7;2;3;1;3;0
;;3;de Waal, E.C.;7;0;0;1;1;1;1;0;2;1;0
;;4;van Calsteren, J.G.M.;1;0;0;0;0;0;0;0;0;1;0
;;5;Leautaud, Y K;0;0;0;0;0;0;0;0;0;0;0
;;6;Schanzleh, J.;1;0;0;0;0;0;0;0;0;0;1
;;7;Veenendaal, H.;1;0;0;1;0;0;0;0;0;0;0
