Verkiezing;;Gemeenteraad Zandvoort 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zandvoort;;;;;;;;;;;;;;;;;;;;
Nummer;;0473;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Zandvoorts Museum;Strandhotel Centerparcs;Tent Oranje Nassauschool;"Brede-School ""De Blauwe Tram"" (A)";Circuit Zandvoort;"Brede-school ""De Blauwe Tram"" (B)";Stichting Pluspunt Zandvoort;Wooncentrum Kostverloren;Nieuw-Unicum;Tent Bodaan;Nicolaasschool;Tent NS Station;Strandhotel Centerparcs;"Brede-School ""De Blauwe Tram"" (A)";Circuit Zandvoort;Strandhotel Centerparcs;"Brede-School ""De Blauwe Tram"" (A)";Circuit Zandvoort
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;102;104;105;202;204;205
Postcode;;;;;2042 KA;2041 JB;2042 CH;2042 VD;2041 KP;2042 VD;2041 VW;2042 PZ;2042 XK;2116 TR;2041 BM;2041 AB;2041 JB;2042 VD;2041 KP;2041 JB;2042 VD;2041 KP
;;7;van Marle, J.;56;2;2;9;3;1;4;5;1;0;0;1;4;0;4;9;0;4;7
;;8;Sandbergen, R.H.;10;3;0;2;0;0;0;0;3;0;0;0;1;0;1;0;0;0;0
;;9;van den Haak, L.F.;9;0;0;1;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0
;;10;van Dijk, H.J.;8;0;1;4;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0
;;11;Çakiroğlu, M.;18;1;0;0;3;1;0;4;0;1;1;0;4;0;0;0;0;3;0
4;CDA;;;1141;99;30;107;55;77;56;129;31;20;54;18;134;30;70;52;28;75;76
;;1;Bluijs, G.J.;590;44;12;71;34;26;32;53;23;18;35;4;72;15;35;26;14;40;36
;;2;Stephan, K.R.;159;16;7;10;3;19;7;18;3;2;2;5;21;2;10;4;5;9;16
;;3;Endstra, R.K.;42;4;0;3;2;4;3;4;2;0;3;1;2;1;4;1;0;2;6
;;4;Bol, K.;93;3;1;1;4;13;4;16;0;0;3;4;9;1;4;7;5;7;11
;;5;Bluijs, P.L.A.;48;15;6;1;1;1;0;2;1;0;0;0;1;3;2;5;3;3;4
;;6;Weijers, A.;64;0;2;10;3;6;3;8;0;0;3;1;15;0;5;4;0;3;1
;;7;Mettes, C.J.;65;4;1;5;1;5;4;20;0;0;2;1;6;4;3;3;0;5;1
;;8;Elsman, W.;14;2;0;0;2;0;1;0;0;0;3;0;0;1;0;0;0;5;0
;;9;Veldwisch, J.F.W.;5;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;10;Tromp, P.M.A.;9;2;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;1;0
;;11;van Gelder, C.J.;7;0;0;3;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0
;;12;Stephan, N.J.;6;1;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;1
;;13;Sandbergen, A.H.;26;4;0;1;2;0;1;2;0;0;0;1;6;2;5;2;0;0;0
;;14;Bosman-Paap, M.R.;10;1;0;2;2;0;0;0;1;0;2;0;0;0;1;0;1;0;0
;;15;van As, R.A.;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;16;Kramer, G.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Bos, D.P.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
5;PVV (Partij voor de Vrijheid);;;740;73;25;57;40;40;49;121;18;8;19;23;102;23;23;19;10;53;37
;;1;Deen, M.;589;66;16;44;32;32;36;98;15;7;15;20;83;21;16;16;5;37;30
;;2;van Tiggelen, R.;51;1;4;4;5;2;3;12;0;0;0;3;8;0;0;1;2;3;3
;;3;van der Linden, H.A.;37;2;2;6;3;3;6;2;0;0;2;0;3;1;1;0;0;6;0
;;4;van den Oever, J.A.;13;0;2;3;0;0;0;2;0;0;0;0;1;0;0;0;0;2;3
;;5;Wijkhuizen, M.;14;2;0;0;0;1;1;3;1;1;0;0;3;0;0;1;1;0;0
;;6;de Moel, D.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0
;;7;van der Leden, J.J.;33;2;1;0;0;2;3;4;2;0;2;0;4;1;6;0;2;3;1
6;GROENLINKS;;;638;58;17;81;31;35;37;67;25;30;38;11;90;4;27;9;9;46;23
;;1;el Gebaly, M.K.;257;19;9;27;12;6;19;28;13;13;14;6;38;1;18;1;5;21;7
;;2;Keuning, J.;65;4;6;4;2;9;1;7;1;2;6;0;10;0;3;1;2;1;6
;;3;van Essen-Herbrink, N.S.;141;15;2;16;9;9;8;12;4;6;9;2;21;1;4;6;1;11;5
;;4;Toorenent, B.;5;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;5;de Bruin, M.;28;3;0;5;0;4;2;2;0;0;1;1;5;0;0;0;1;3;1
;;6;Booi, E.K.;20;0;0;2;0;1;2;5;2;0;0;0;4;0;0;0;0;3;1
;;7;Koper, F.P.;14;0;0;1;0;0;2;3;0;2;1;0;2;0;2;1;0;0;0
;;8;Kenter, M.E.M.;10;1;0;0;0;0;0;1;0;6;2;0;0;0;0;0;0;0;0
;;9;Hulshof, C.T.J.;15;1;0;5;1;0;1;2;1;0;0;0;1;0;0;0;0;3;0
;;10;van der Mije, I.C.;83;13;0;20;6;6;2;6;4;1;5;2;9;2;0;0;0;4;3
7;Partij van de Arbeid (P.v.d.A.);;;556;57;21;66;31;23;36;90;16;11;19;13;51;9;32;16;12;39;14
;;1;Koper, M.A.;399;37;15;34;23;14;29;66;11;10;13;12;43;7;23;12;12;31;7
;;2;de Vries, L.M.;99;11;2;22;8;4;4;12;5;0;4;1;5;1;7;4;0;4;5
;;3;Broer, R.;11;4;0;4;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
;;4;Sjerps, M.;25;2;0;5;0;3;1;6;0;1;2;0;2;1;0;0;0;2;0
;;5;Kuijken, W.;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
;;6;Bodelier, L.P.J.;5;0;2;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
;;7;Draaijer, J.;10;2;2;1;0;1;0;2;0;0;0;0;0;0;0;0;0;2;0
;;8;Meijer, E.M.;3;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;9;de Vrind, W.M.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
8;Gemeente Belangen Zandvoort;;;307;26;5;32;16;36;12;52;4;8;13;4;40;3;11;4;6;18;17
;;1;Valies, J.;135;8;2;14;7;19;7;22;2;3;8;4;14;1;3;1;4;8;8
