Verkiezing;;Gemeenteraad Waterland 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Waterland;;;;;;;;;;;;;;;;;;;;
Nummer;;0852;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gebouw Samuel;Verzorgingstehuis Swaensborch;Sporthal 't Spil;Gemeentehuis;Sociaal Cultureel Centrum de Bolder;Karmac Bibliotheek;Gemeentewerf Katwoude;Het Trefpunt;Gymzaal De Havenrakkers;Wijksteunpunt Broek in Waterland;Dorpshuis Zuiderwoude;Dorpshuis Ilpendam;Dorpshuis De Nieuwe Boet;Opstandingskerk;Sporthal 't Spil;Gymzaal De Havenrakkers;Sporthal 't Spil;Gymzaal De Havenrakkers
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;1141 BJ;1141 VZ;1141 SE;1141 GV;1141 SB;1141 SE;1145 PM;1156 BM;1151 BA;1151 CD;1153 PD;1452 PR;1454 AM;1141 XA;1141 SE;1151 BA;1141 SE;1151 BA
;opgeroepenen;;;13871;1621;94;943;1385;1149;1250;247;1465;934;1171;353;1473;428;1358;0;0;0;0
;geldige stempas;;;7944;756;31;275;624;705;549;157;876;523;472;192;845;202;404;418;146;599;170
;geldig volmachtbewijs;;;1067;92;0;30;82;104;79;37;124;59;69;40;122;31;42;45;19;77;15
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;9011;848;31;305;706;809;628;194;1000;582;541;232;967;233;446;463;165;676;185
;geldige stembiljetten;;;8945;842;31;303;701;802;620;187;995;579;538;231;963;229;441;463;165;671;184
;blanco stembiljetten;;;44;3;0;1;4;2;8;7;2;1;1;1;2;3;5;0;0;3;1
;ongeldige stembiljetten;;;22;3;0;1;1;5;1;0;2;2;2;0;2;1;0;0;0;2;0
;aangetroffen stembiljetten;;;9011;848;31;305;706;809;629;194;999;582;541;232;967;233;446;463;165;676;185
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
