Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijksteunpunt Pluspunt;Raadhuis Amstelveen;Paaskerk;Rode Kruis gebouw;Wijkcentrum Noorddamcentrum;Dorpshuis De Nesse;Schooltuinen Bankrasflora;Wijkcentrum Alleman;Wijkcentrum de Bolder;Tent naast Serviceflat De Seine;Ontmoetingscentrum De Meent;Wijksteunpunt Middenhof;Wijksteunpunt Dignahof;Boekhandel Libris Venstra;Kruiskerk;Gymzaal Oostelijk Halfrond;Villa Randwijck;Wijkcentrum Westend;Gymzaal Montessorischool;Space ToBe;o.b.s. Piet Heinschool;Brede School Roelof Venema;Wijkcentrum Westend 2;Enjoy! Learning;Gymzaal de Meent;Gymzaal Westwijk 1;Gymzaal Westwijk 2;Nieuwe Bankrashal 1;Nieuwe Bankrashal 2;Gemeentewerf;Ben Goudsmit sporthal 1;Ben Goudsmit sporthal 2;Gymzaal bij de Westwijzer;Maandag Raadhuis;Maandag Paaskerk;Maandag Villa Randwijck;Maandag Westend;Dinsdag Raadhuis;Dinsdag Paaskerk;Dinsdag Villa Randwijck;Dinsdag Westend;Il Caffè 1;Verpleeghuis Groenelaan;Gemeentewerf Escapade;Il Caffè 2;Maandag Wijksteunpunt Middenhof;Dinsdag Wijksteunpunt Middenhof;Maandag Kruiskerk;Dinsdag Kruiskerk;Maandag Wijkcentrum de Bolder;Dinsdag Wijkcentrum de Bolder;Maandag Wijkcentrum Alleman;Dinsdag Wijkcentrum Alleman
Gebiednummer;;;;;9;10;13;14;15;17;20;21;25;26;29;30;33;35;36;38;40;41;42;44;46;48;49;50;53;55;56;57;58;60;62;63;65;66;67;68;69;70;71;72;73;78;79;80;81;82;83;84;85;86;87;88;89
Postcode;;;;;1182 GC;1182 JR;1185 CN;1185 HH;1187 CM;1189 WD;1183 BA;1183 JM;1186 EP;1186 NR;1188 AM;1188 KD;1187 LN;1181 ZM;1181 RB;1183 EZ;1181 AT;1187 LS;1181 NC;1186 ZV;1181 XW;1181 ER;1187 LS;1182 GW;1188 AM;1187 DA;1187 DA;1183 KK;1183 KK;1185 XW;1185 TB;1185 TB;1187 ZS;1182 JR;1185 CN;1181 AT;1187 LS;1182 JR;1185 CN;1181 AT;1187 LS;1183 DB;1186 AB;1183 NM;1183 DB;1188 KD;1188 KD;1181 RB;1181 RB;1186 EP;1186 EP;1183 JM;1183 JM
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;14;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;5;0;0;0
;andere verklaring;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;7107;85;263;96;139;124;69;142;191;208;82;154;193;145;327;318;96;219;343;174;137;146;185;137;137;113;140;131;43;50;25;95;43;107;92;68;69;202;130;67;79;269;27;42;45;49;89;133;174;144;128;166;136;141
;;1;Raat, H.J.W.;3535;48;115;40;59;73;27;59;86;109;49;79;90;86;155;117;39;81;179;80;89;57;85;69;68;61;78;77;21;24;14;51;20;49;56;32;42;118;72;32;32;169;9;18;13;15;52;77;77;50;85;105;73;74
;;2;Leegstra, J.M.;1091;18;46;8;20;24;3;17;31;38;12;30;24;19;48;51;15;36;57;25;15;24;23;13;26;14;21;24;10;9;3;12;10;24;11;9;6;35;26;9;13;39;6;8;10;9;16;15;20;25;11;27;21;25
;;3;Noomen, C.J.;279;0;8;6;4;3;0;6;22;6;10;3;5;4;17;19;4;14;7;4;9;5;2;8;4;4;0;5;2;2;0;3;1;4;3;4;2;4;9;0;3;11;0;3;1;0;3;2;9;2;6;7;11;8
;;4;Smit, H.R.;199;3;7;4;4;3;1;4;5;4;1;5;3;0;12;20;2;9;5;5;0;21;3;5;5;2;4;2;1;1;0;1;0;3;2;1;3;5;3;1;2;6;1;0;2;1;1;2;5;12;3;1;3;0
;;5;van Leeuwen, M.E.;209;1;4;1;2;1;1;36;6;1;0;1;1;3;1;6;13;25;15;3;2;1;4;4;10;3;4;2;0;2;1;3;0;0;2;0;3;3;0;1;10;2;2;0;5;4;1;0;3;3;0;1;2;10
;;6;Lagerveld, F.M.;178;0;22;3;9;1;2;0;4;4;0;2;3;4;11;10;1;6;4;5;0;1;9;2;2;1;8;1;1;1;2;2;0;6;5;6;0;3;3;1;0;4;1;1;1;1;1;2;7;3;3;4;1;4
;;7;Dorgelo, B.J.;56;1;1;0;1;0;0;0;1;1;0;0;0;0;6;3;0;5;6;17;0;3;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;4;0
;;8;de Marco, E.R.;142;1;5;1;3;0;0;2;0;2;0;1;2;4;5;31;1;4;7;5;0;5;1;0;1;1;4;5;0;1;0;2;0;2;0;1;3;0;1;3;0;1;0;0;1;0;0;1;15;18;0;0;1;1
;;9;Frequin, V.L.M.;142;1;2;2;3;2;0;0;4;4;0;3;1;3;5;17;1;3;4;2;1;3;2;1;6;1;0;0;0;1;1;1;4;6;1;0;3;2;1;0;2;6;0;0;0;2;0;0;18;15;0;4;2;2
;;10;Zwart, S.;172;4;21;7;15;5;0;0;1;0;0;2;4;3;9;13;0;2;3;1;2;21;3;1;2;4;6;2;0;1;0;8;1;0;4;4;1;0;2;7;0;1;0;0;2;0;0;2;3;4;1;0;0;0
;;11;Gerritsen, A.;129;0;3;1;2;2;1;0;0;2;1;10;40;0;5;0;0;2;1;0;0;1;3;4;3;4;2;3;0;0;0;1;0;0;0;0;0;4;2;2;0;2;0;0;0;0;12;15;0;1;0;0;0;0
;;12;Stokvis, I.C.;71;4;0;1;5;0;0;0;0;2;0;1;0;0;5;5;0;4;2;5;2;1;0;6;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3;0;3;0;0;0;3;0;0;4;4;2;2;3;1
;;13;Oorschot, L.F.;55;2;3;0;1;1;0;0;2;1;0;1;0;1;0;1;1;2;4;2;0;0;1;0;0;0;0;3;1;0;0;0;0;0;1;0;0;1;0;0;1;3;5;0;0;11;0;0;1;1;1;0;0;3
;;14;Koekoek, D.G.;194;0;8;2;3;4;0;8;9;3;0;2;2;2;6;12;14;8;10;2;2;0;32;1;0;1;0;0;2;2;1;1;3;2;2;1;1;2;2;1;9;0;0;0;2;0;0;0;5;1;2;4;9;11
;;15;Witteveen, S.H.R.;81;0;1;1;4;0;34;0;3;1;0;0;3;1;6;2;0;3;3;1;0;0;3;0;1;1;0;1;0;0;0;1;0;0;2;0;0;2;0;0;0;2;0;1;1;0;1;0;0;1;0;0;0;1
;;16;Lensink, B.;29;0;1;0;0;0;0;0;0;3;0;0;0;0;1;1;0;0;2;1;0;0;1;0;3;1;0;0;0;0;0;2;0;2;1;0;0;0;1;0;0;0;0;5;0;0;0;2;0;0;0;2;0;0
;;17;Soh, C.;58;0;1;1;1;0;0;1;3;3;0;2;1;0;3;1;0;4;4;1;2;0;0;2;1;0;3;1;0;0;3;0;2;3;0;0;1;2;2;0;0;2;0;0;0;2;1;2;0;2;0;0;1;0
;;18;Stal, C.E.;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;2;0;0;1;0;3;0;0;0;0;0;0;0;1;1;2;3;0;6;0;0;3;0;0;0;2;0;0;0;3;0;0;0;0;0
;;19;Coumans, T.;29;0;2;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;4;0;5;1;0;2;0;1;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0
;;20;Smalhout, D.B.;109;2;3;7;3;1;0;1;10;3;7;2;0;0;10;2;2;3;0;4;3;1;3;0;0;2;0;0;0;0;0;1;0;0;0;3;0;1;0;3;0;4;0;6;0;1;0;2;3;2;6;3;4;1
;;21;Ellermeijer, R.;99;0;2;0;0;3;0;3;1;2;1;1;5;10;2;2;0;2;10;2;2;0;2;6;0;2;5;1;1;2;0;1;0;3;0;2;0;9;2;0;0;7;0;0;2;0;1;2;0;0;2;1;0;0
;;22;Bulsing, J.G.;18;0;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;3;2;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;23;Mehra, R.R.;202;0;7;9;0;0;0;3;3;19;1;9;9;3;18;4;1;3;13;7;3;1;6;12;0;9;0;3;4;4;0;4;1;0;0;2;1;4;4;4;3;7;2;0;0;0;0;9;0;0;5;4;1;0
2;D66;;;6042;99;211;63;177;125;73;116;149;134;58;156;153;60;229;389;86;306;229;198;122;159;174;87;154;97;89;85;49;45;9;70;50;74;68;50;83;78;78;47;112;140;152;35;29;214;54;59;92;149;52;100;80;95
;;1;Gordon-de Bruijn, F.C.;3964;67;144;38;102;92;43;76;106;93;36;107;99;43;153;259;58;173;155;137;88;116;107;66;102;68;57;62;23;24;8;43;36;44;56;36;61;54;57;25;72;112;60;20;21;92;34;37;78;97;31;66;62;68
;;2;van der Steenhoven, H.;175;3;3;1;4;1;2;5;3;3;1;4;5;1;7;23;3;10;8;4;8;3;5;2;3;1;1;0;1;0;0;2;2;2;0;0;2;4;0;4;4;3;5;5;1;3;1;2;2;8;2;4;3;1
;;3;Chaara, S.;736;12;19;7;40;17;10;15;21;15;11;16;18;7;28;38;14;37;23;26;9;11;13;13;19;6;13;16;12;8;0;10;5;17;4;5;5;4;8;7;16;9;29;3;3;42;6;14;6;19;6;10;4;10
