Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijksteunpunt Pluspunt;Raadhuis Amstelveen;Paaskerk;Rode Kruis gebouw;Wijkcentrum Noorddamcentrum;Dorpshuis De Nesse;Schooltuinen Bankrasflora;Wijkcentrum Alleman;Wijkcentrum de Bolder;Tent naast Serviceflat De Seine;Ontmoetingscentrum De Meent;Wijksteunpunt Middenhof;Wijksteunpunt Dignahof;Boekhandel Libris Venstra;Kruiskerk;Gymzaal Oostelijk Halfrond;Villa Randwijck;Wijkcentrum Westend;Gymzaal Montessorischool;Space ToBe;o.b.s. Piet Heinschool;Brede School Roelof Venema;Wijkcentrum Westend 2;Enjoy! Learning;Gymzaal de Meent;Gymzaal Westwijk 1;Gymzaal Westwijk 2;Nieuwe Bankrashal 1;Nieuwe Bankrashal 2;Gemeentewerf;Ben Goudsmit sporthal 1;Ben Goudsmit sporthal 2;Gymzaal bij de Westwijzer;Maandag Raadhuis;Maandag Paaskerk;Maandag Villa Randwijck;Maandag Westend;Dinsdag Raadhuis;Dinsdag Paaskerk;Dinsdag Villa Randwijck;Dinsdag Westend;Il Caffè 1;Verpleeghuis Groenelaan;Gemeentewerf Escapade;Il Caffè 2;Maandag Wijksteunpunt Middenhof;Dinsdag Wijksteunpunt Middenhof;Maandag Kruiskerk;Dinsdag Kruiskerk;Maandag Wijkcentrum de Bolder;Dinsdag Wijkcentrum de Bolder;Maandag Wijkcentrum Alleman;Dinsdag Wijkcentrum Alleman
Gebiednummer;;;;;9;10;13;14;15;17;20;21;25;26;29;30;33;35;36;38;40;41;42;44;46;48;49;50;53;55;56;57;58;60;62;63;65;66;67;68;69;70;71;72;73;78;79;80;81;82;83;84;85;86;87;88;89
Postcode;;;;;1182 GC;1182 JR;1185 CN;1185 HH;1187 CM;1189 WD;1183 BA;1183 JM;1186 EP;1186 NR;1188 AM;1188 KD;1187 LN;1181 ZM;1181 RB;1183 EZ;1181 AT;1187 LS;1181 NC;1186 ZV;1181 XW;1181 ER;1187 LS;1182 GW;1188 AM;1187 DA;1187 DA;1183 KK;1183 KK;1185 XW;1185 TB;1185 TB;1187 ZS;1182 JR;1185 CN;1181 AT;1187 LS;1182 JR;1185 CN;1181 AT;1187 LS;1183 DB;1186 AB;1183 NM;1183 DB;1188 KD;1188 KD;1181 RB;1181 RB;1186 EP;1186 EP;1183 JM;1183 JM
;;25;Gelauf, M.;27;0;0;0;0;0;10;0;0;0;0;1;1;0;2;1;0;1;0;0;3;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0
;;26;Alink, M.J.;27;1;0;0;1;0;0;0;0;1;2;0;0;0;1;1;0;1;3;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;2;1;1;0;0;1;0;0;0;0;1;0;1;3;0;0;0
;;27;van der Vet, J.M.L.;35;0;2;1;1;0;0;0;0;0;1;1;2;0;1;3;0;5;2;0;0;0;2;3;0;0;2;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;1;2;1;0
;;28;Berkhout, F.P.;32;0;1;0;0;1;1;0;0;0;0;2;1;0;0;4;1;0;2;0;0;0;3;0;0;1;0;1;2;1;0;0;0;2;0;1;0;0;0;2;0;0;0;0;1;0;1;0;0;1;1;0;2;0
3;GROENLINKS;;;4036;77;131;84;107;69;43;98;107;104;36;93;93;34;144;143;82;167;109;104;74;77;93;59;82;81;36;29;45;31;9;40;30;68;31;40;44;51;51;47;60;76;228;25;43;325;42;49;53;87;39;59;49;58
;;1;de Looze, L.C.;1320;25;36;29;30;27;16;45;32;31;9;37;39;6;49;43;19;61;41;37;42;25;38;15;29;24;15;10;16;10;1;16;11;23;9;16;16;15;16;11;20;29;62;10;10;76;15;16;20;26;16;17;19;14
;;2;Kruijer, S.W.;986;26;41;16;18;19;12;21;27;24;13;24;18;11;35;46;28;47;23;23;15;28;19;20;30;22;6;9;7;7;4;8;10;16;11;7;8;18;19;12;13;20;22;7;16;52;7;9;20;25;9;13;10;15
;;3;Polderman, I.I.;410;9;21;3;11;6;5;7;7;8;5;4;12;5;22;15;8;18;6;15;4;7;9;6;8;7;5;3;8;3;1;10;3;9;6;3;4;5;6;1;6;5;22;0;1;26;8;7;3;6;4;10;8;9
;;4;Slump, G.J.;127;2;3;3;2;1;1;2;1;2;0;4;3;10;6;2;2;4;10;3;0;0;1;5;0;2;1;1;0;1;1;0;1;5;1;3;1;3;1;6;1;9;0;0;0;3;3;2;0;6;1;2;2;4
;;5;Mahamed Farah, F.;735;9;17;12;24;13;1;13;31;26;6;16;12;1;19;24;17;22;19;17;6;8;19;6;11;20;7;4;12;8;1;2;3;12;4;6;5;4;6;11;14;12;80;4;8;96;3;11;4;17;4;12;5;11
;;6;Lutz, S.K.;62;2;1;13;10;0;0;1;1;0;1;0;0;0;2;2;0;1;2;2;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3;0;0;0;2;1;0;2;1;0;2;1;1;1;2;1;1;1;1
;;7;Revius, D.J.;36;0;1;1;1;1;3;0;2;3;0;1;0;0;0;3;1;1;1;1;0;5;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;2;0;0;0;0;2;1;1;0
;;8;Zandee, T.;94;0;0;1;2;0;1;1;1;1;0;0;0;0;0;1;1;1;0;1;1;1;0;1;1;4;0;1;0;0;1;0;0;0;0;0;0;2;0;0;3;0;24;0;6;35;2;1;0;0;0;0;0;0
;;9;van de Merbel, L.;20;0;1;1;1;0;0;0;0;1;0;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0
;;10;van Wijnen, T.K.;180;3;4;3;5;2;2;5;3;4;0;5;6;0;6;5;5;7;4;5;2;3;3;4;3;1;2;0;1;1;0;4;2;2;0;1;3;0;3;1;2;1;14;3;2;31;2;2;1;3;1;3;3;2
;;11;Vlieger, K.H.;28;0;1;0;0;0;1;0;2;4;0;2;1;1;1;0;1;1;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0
;;12;Mager, S.E.;22;0;5;1;1;0;0;2;0;0;1;0;1;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;2
;;13;Regouin, P.J.M.;16;1;0;1;2;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
4;BURGERBELANGEN AMSTELVEEN;;;4362;96;118;85;119;86;42;71;124;141;82;132;141;62;145;147;64;94;209;106;153;73;114;79;78;82;42;51;29;14;22;52;45;75;68;67;37;101;62;55;62;163;27;35;21;40;74;90;46;73;83;130;85;70
;;1;Kootker, R.A.M.;1803;38;35;41;50;30;26;25;60;54;47;57;49;28;66;47;27;38;84;37;72;24;39;33;19;34;21;22;12;7;12;20;20;28;27;32;16;50;32;23;23;77;7;10;5;16;38;40;10;32;33;61;39;30
;;2;Monkelbaan, P.E.;265;15;7;4;14;6;1;4;4;7;1;7;7;4;13;8;8;4;14;5;10;2;7;1;7;4;4;4;3;0;2;3;6;4;2;3;1;2;2;3;2;9;0;6;3;2;5;6;4;2;5;9;3;6
;;3;Petiet, E.A.;828;5;23;20;31;27;7;22;21;25;15;24;37;6;34;37;5;28;41;25;15;19;15;13;12;13;6;10;4;1;0;11;6;24;10;15;8;15;13;10;4;24;12;9;6;8;11;16;5;15;16;14;19;16
;;4;van Groeningen, F.A.M.;130;0;2;1;1;3;0;2;6;6;0;3;6;3;2;3;1;0;13;3;4;2;5;9;0;1;2;3;2;0;1;0;1;2;2;2;1;3;1;2;2;3;1;2;0;2;0;3;2;2;6;3;3;3
;;5;Huisman, K.A.;332;9;9;6;13;6;4;8;10;6;8;8;13;6;8;9;5;3;13;12;5;4;14;4;11;6;4;4;2;2;0;4;4;5;3;2;4;9;2;5;10;10;2;5;2;5;4;7;5;3;7;9;6;7
;;6;van Vugt, C.A.;143;11;13;3;3;1;0;2;4;5;1;3;2;0;3;3;2;4;4;2;3;6;6;1;1;2;3;0;0;1;2;1;2;2;7;2;1;1;4;0;6;5;2;0;0;2;0;1;6;1;2;7;0;0
;;7;Offenbach, D.;49;1;6;1;0;1;0;1;2;1;2;2;2;0;0;9;1;1;0;0;1;0;3;1;3;0;0;2;0;0;0;0;0;0;1;0;1;0;0;2;1;1;0;0;0;0;0;0;0;1;0;0;1;1
;;8;de Die, J.A.;70;1;1;1;1;1;0;0;0;5;1;3;1;1;1;4;0;3;2;1;8;3;0;0;0;4;1;2;1;0;0;2;0;1;2;0;0;1;0;3;4;1;0;0;0;0;1;0;0;4;1;3;1;0
;;9;Bot, P.A.;198;5;6;2;1;4;0;3;5;17;2;11;7;4;3;1;0;2;11;4;14;3;0;3;3;5;0;1;0;1;0;5;3;2;5;2;1;11;1;3;1;12;0;1;2;2;7;5;2;2;3;10;0;0
;;10;Oord, R.K.;13;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0
;;11;Thate, C.H.A.;87;3;2;1;1;0;0;1;3;0;0;0;3;2;2;7;5;5;2;0;4;4;8;1;7;0;0;1;1;0;0;0;1;0;1;2;1;3;0;0;1;2;1;0;0;1;0;1;5;2;1;0;1;1
;;12;de Kluijver, D.;31;0;0;0;0;0;0;0;0;0;0;2;1;0;1;1;2;0;2;2;2;0;0;0;0;0;0;0;1;0;2;0;0;2;0;1;0;1;0;0;1;0;1;0;1;1;1;1;0;1;0;2;2;0
;;13;Mayne, P.J.;6;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Heuvingh, F.B.H.;38;1;4;0;0;0;0;0;1;2;1;1;2;0;1;0;0;0;1;0;10;0;1;0;0;3;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;3;0;0;0;0;2;0;0;0;0;1;0;0
;;15;van der Meer, P.R.J.;14;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
;;16;Pelser, M.M.;20;1;0;0;0;0;1;0;0;0;0;2;1;0;0;1;0;0;0;4;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;3;0;0;0;0;0;2;0;0;0;1;0;0
;;17;Fakkeldij, A.M.T.;13;0;0;0;0;1;0;0;0;0;0;1;1;0;2;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0
;;18;Emmerik, W.;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;19;van der Kaaij, R.;10;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0
;;20;Solleveld-Olthof, J.H.C.J.;37;0;0;0;2;0;0;0;0;0;0;2;1;0;1;4;1;0;1;2;0;0;1;5;0;0;0;1;0;0;0;1;0;1;0;1;1;2;0;0;2;0;0;0;0;0;0;2;0;2;0;1;0;3
;;21;van Herteryck, M.;17;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0;0;2;1;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0
;;22;Suer, F.J.;46;1;1;2;0;1;1;0;1;3;1;2;2;2;1;3;1;0;0;1;1;0;0;3;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;5;4;0;1
;;23;Smeenk, C.G.T.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Prent, J.;12;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;25;Pijnenborg, H.A.;29;0;0;0;0;0;1;1;1;0;0;0;2;0;1;0;1;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;2;0;0;1;0;2;0;0;2;1;1;5;0
;;26;Levie, J.E.;42;1;1;0;0;1;0;0;1;3;0;1;0;0;4;4;2;0;2;2;0;2;3;0;5;0;0;0;0;0;0;0;1;0;3;1;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0
;;27;Roos, L.;121;2;6;1;1;3;1;0;3;3;0;3;2;5;0;5;1;3;10;6;3;1;7;4;4;4;1;0;2;1;3;2;1;2;2;1;1;0;2;0;2;2;0;0;0;0;0;4;6;2;2;3;3;1
5;Partij van de Arbeid (P.v.d.A.);;;3077;56;97;43;105;50;25;95;120;98;40;86;60;41;105;99;53;70;88;85;60;56;65;26;36;57;10;18;28;26;7;40;22;19;42;43;58;48;49;43;36;95;51;23;13;78;73;60;65;75;76;99;96;68
;;1;van Ballegooijen, W.M.;1506;29;46;24;49;30;16;40;51;58;20;49;29;22;52;44;19;40;54;37;39;19;23;14;18;31;5;7;16;12;2;22;12;10;26;29;36;24;33;21;15;45;3;9;8;12;49;30;22;36;42;53;42;32
;;2;Veenboer, E.C.;746;17;24;8;25;12;6;21;27;15;10;20;17;11;22;31;11;14;18;30;13;11;17;4;13;10;0;6;2;6;0;13;6;9;12;7;7;17;12;12;13;32;4;8;2;6;18;22;24;29;22;22;13;15
;;3;van den Bosch, A.J.;76;2;1;0;3;0;0;1;5;4;3;1;2;1;8;0;0;1;1;2;2;0;3;0;0;2;2;1;4;1;0;1;0;0;0;3;0;0;0;2;0;2;0;0;0;0;1;1;2;0;1;5;7;1
;;4;Bouwman, R.;169;1;6;3;10;3;1;3;2;5;2;7;6;5;11;3;0;4;2;7;3;4;4;2;3;3;1;1;4;0;5;2;0;0;1;3;3;3;1;2;0;5;1;5;2;11;1;4;4;1;3;2;2;2
;;5;Muller, G.;151;0;1;4;4;0;0;22;19;0;0;1;0;0;2;2;19;4;2;4;0;2;9;2;0;0;0;0;0;1;0;0;2;0;0;0;2;2;0;1;2;1;1;0;0;1;1;0;2;4;0;1;21;12
;;6;Kaal, A.A.;125;3;3;3;6;2;1;2;5;4;2;3;1;0;4;4;0;4;4;2;3;3;6;1;2;2;1;1;0;1;0;0;0;0;1;0;4;1;0;3;1;2;11;0;0;10;1;3;4;3;2;4;2;0
;;7;Shehna, M.;71;3;6;1;1;1;1;1;4;4;1;1;1;0;0;4;3;0;2;2;0;0;1;2;0;4;1;0;2;1;0;1;2;0;0;0;0;1;1;2;0;1;1;0;0;1;0;0;0;1;5;5;1;2
;;8;Loos, D.P.;33;0;0;0;1;0;0;2;1;0;2;0;1;1;0;2;0;1;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;2;1;0;0;0;1;0;3;0;0;2;0;0
;;9;Gamadia, D.E.S.;50;1;4;0;5;1;0;3;2;2;0;3;1;1;3;0;0;1;3;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;3;1;0;1;3;0;0;0;0;0;2;1;2
;;10;Wagelaar, T.;64;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;23;0;0;31;0;0;1;0;0;0;0;0
;;11;Oostveen, M.J.;19;0;2;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;2;0;0;0;1;0;2;0;0;2;0;0;0;0;0;2;0;0
;;12;Dönszelmann, S.;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Brouwer - van de Wetering, A.M.;16;0;0;0;0;0;0;0;1;2;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;3;0;0;0;0;0;1;0;1;0;1;0
;;14;Huberts, L.W.J.C.;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;15;Beckers, W.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;3;0
;;16;Steenvoorden, J.L.;9;0;0;0;0;0;0;0;0;2;0;0;0;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;17;Veenboer, A.G.S.M.;6;0;2;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;18;Verkleij, A.C.L.;10;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;3;1
6;SP (Socialistische Partij);;;1656;45;52;51;70;46;13;48;63;71;19;76;55;16;58;25;27;40;58;27;28;14;37;19;18;31;9;8;12;19;4;20;18;20;16;36;18;19;28;25;19;46;22;16;3;33;29;28;13;22;44;49;36;37
;;1;Adriaans, P.M.J.;707;23;20;28;35;17;5;12;24;31;10;32;22;5;30;8;7;18;30;6;16;6;16;9;9;7;6;4;8;8;3;11;7;8;8;14;5;11;13;16;3;20;2;7;2;9;13;13;6;6;22;20;20;16
;;2;Fakirni, N.;380;14;10;5;16;11;4;17;21;18;3;9;6;4;18;6;15;10;10;6;6;4;9;4;2;3;2;3;2;6;1;6;2;1;5;9;4;2;8;5;10;11;7;3;0;8;5;1;3;7;6;15;10;7
;;3;Lima Valladares, E.M.;47;1;0;2;3;2;0;2;2;1;0;0;0;1;1;2;0;1;1;1;0;1;2;0;0;0;0;0;1;0;0;0;6;0;0;1;0;0;1;0;0;1;2;1;0;2;2;1;0;0;3;1;0;2
;;4;Roode, W.E.;221;4;6;5;6;5;4;7;7;11;3;18;14;5;6;0;1;6;5;4;1;2;1;1;4;11;0;0;0;4;0;0;0;6;2;8;5;3;5;1;0;4;1;1;0;1;7;7;2;7;8;3;2;7
;;5;Awad, S.;88;1;7;2;1;0;0;4;1;2;0;6;2;0;1;3;1;3;1;7;1;1;6;0;0;4;0;1;0;0;0;0;0;3;0;2;2;1;0;2;0;1;6;2;1;7;0;0;0;1;1;2;1;1
;;6;Meijaard, T.D.;13;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0
;;7;Steijvers, H.J.;40;0;1;5;5;2;0;1;3;1;1;1;0;1;1;1;0;1;3;0;2;0;0;2;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;1;0
;;8;Stam, B.R.;14;0;0;0;0;3;0;0;0;0;0;1;2;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1
;;9;Sakha, N.;9;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
;;10;Lucas, M.A.J.;14;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;11;Polman, G.T.M.;20;0;0;0;0;0;0;2;0;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2;1;0;1;0;0;1
;;12;de Vogel, P.H.;8;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Wolters, J.;3;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Lucas-Klok, D.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;;15;Philippens, H.M.M.G.;5;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0
;;16;Kolkman, D.H.J.;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Bikker, F.;12;0;0;0;0;4;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;18;Bakker, J.C.L.;4;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;19;Casadei, M.;39;0;2;2;3;0;0;2;0;1;0;0;2;0;0;1;1;0;5;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;1;2;0;0;1;5;1;1
;;20;Glastra van Loon, A.;25;0;3;1;1;0;0;1;0;2;0;5;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0
7;CDA;;;1335;30;37;18;33;34;26;27;51;51;16;28;56;31;36;46;18;36;58;20;18;24;23;25;21;16;16;23;8;11;4;8;12;31;17;21;10;44;20;24;20;54;14;8;10;13;17;19;25;32;20;33;26;16
;;1;Siegmann, A.H.;804;21;24;14;22;23;14;14;27;34;13;22;31;19;23;20;13;15;33;12;8;15;16;14;10;14;10;9;2;8;0;5;9;17;13;12;9;27;8;19;14;32;6;5;8;7;12;9;14;25;12;20;13;8
;;2;van Engelen, A.A.J.;274;6;7;1;1;6;2;8;9;9;2;5;11;9;7;17;2;6;12;2;6;5;4;5;4;1;3;6;4;1;1;1;3;3;4;2;1;10;10;3;4;11;2;2;0;2;3;9;8;7;6;7;11;3
;;3;Rouwenhorst, E.;26;1;0;1;1;0;1;0;1;0;0;1;3;0;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;2;1;0;3;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0
;;4;Aanen, D.;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1
;;5;van Scheijndel, J.S.A.;6;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Siegmann, J.A.;20;0;0;0;3;0;0;1;0;1;0;0;0;1;1;0;1;0;1;0;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;2;0;0;0;0;0;1;0;0
;;7;Doekhie, T.I.M.;29;0;2;1;0;1;0;4;3;0;0;0;2;0;0;2;0;4;0;0;0;1;1;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
;;8;Varenhorst - Nasserie, A.R.;14;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0
;;9;van Gelderen, N.;24;0;1;0;4;1;0;0;1;1;0;0;1;1;0;1;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;1;0;0
;;10;Aanen - Jansen, G.M.;21;0;1;0;0;1;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;1;0;0;0;0;1;0;5;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0
;;11;van Blaaderen, A.;40;0;0;0;0;0;9;0;2;1;0;0;2;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;1;0;0;0;4;0;4;0;1;1;0;0;2;0;1;1;0;1;0;0;0;0;1;1;3
;;12;Slump, K.W.;8;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;13;Jongmans, Y.A.;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Hulsman, G.H.B.;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Rienks, P.;17;0;0;1;0;0;0;0;3;0;0;0;0;0;3;3;0;0;0;1;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;16;Richardson, S.G.N.;9;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
