Verkiezing;;Gemeenteraad Drechterland 2022;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Drechterland;;;;;;;;;;;;;;;;;;;
Nummer;;0498;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;RK kerk H. Laurentius;Gymzaal Om de Noord;Bantam;Sportzaal Dorpshuis De Schalm;Cultureel Centrum Pancratius;Café De Roode Leeuw;NH kerk Venhuizen;Kantine sportpark De Valken;Dorpshuis De Wiekslag;Dorpshuis De Dregt;Sporthal De Sluis;Bantam (maandag);Bantam (dinsdag);Cultureel Centrum Pancratius (maandag);Cultureel Centrum Pancratius (dinsdag);Kantine sportpark De Valken (maandag);Kantine sportpark De Valken (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
Postcode;;;;;1616 AN;1616 PB;1616 AN;1617 KC;1696 BK;1606 CZ;1606 AP;1607 MT;1608 EC;1697 KG;1616 RT;1616 AN;1616 AN;1696 BK;1696 BK;1607 MT;1607 MT
;;6;Gerrits, H.J.C.;100;14;22;20;3;4;3;2;0;0;4;14;7;7;0;0;0;0
;;7;Laan, R.C.A.;126;6;7;4;7;3;30;17;12;5;3;6;1;3;0;0;6;16
;;8;Wagenaar, C.D.M.;75;21;12;10;3;2;1;1;0;2;6;7;5;5;0;0;0;0
;;9;Wolters, R.E.;12;2;0;0;0;0;1;0;0;0;0;7;1;1;0;0;0;0
;;10;Groot, G.D.;22;1;1;3;1;0;2;11;1;0;1;0;0;0;0;0;0;1
;;11;Faas, M.;10;0;0;1;1;0;1;0;2;1;1;0;0;1;0;0;1;1
;;12;Krieckaert, M.N.M.;74;9;18;18;1;0;2;4;2;0;1;6;3;8;0;1;0;1
;;13;Ruitenberg, G.C.A.M.;118;17;24;11;2;2;1;1;0;1;9;22;11;12;2;0;2;1
;;14;Neefjes, M.E.M.;45;6;4;11;2;2;1;5;0;0;2;6;3;1;1;0;0;1
;;15;Campfens, A.E.;20;5;5;2;0;0;1;0;0;0;0;4;2;1;0;0;0;0
;;16;Herrema, M.;7;1;0;0;2;1;0;0;0;1;1;0;0;0;0;0;1;0
