Verkiezing;;Gemeenteraad Bloemendaal 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Bloemendaal;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0377;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis woensdag 16 maart 2022;Centrum voor Jeugd en Gezin woensdag 16 maart 2022;Kerkelijk Centrum 16 maart 2022;Welzijn Bloemendaal 16 maart 2022;Hertenkamp 16 maart 2022;Gebouw Tinholt 16 maart 2022;Vondelschool 16 maart 2022;De Nieuwe Kring 16 maart 2022;Adventskerk 16 maart 2022;De Voghelsanck 16 maart 2022;Dorpshuis Vogelenzang 16 maart 2022;Sparrenbosschool 16 maart 2022;Het Trefpunt 16 maart 2022;Jagershuis 16 maart 2022;Centraal Servicepunt Bennebroek 16 maart 2022;Gemeentehuis 14 maart 2022;Centrum voor Jeugd en Gezin 14 maart 2022;Adventskerk 14 maart 2022;Dorpshuis Vogelenzang 14 maart 2022;Centraal Servicepunt Bennebroek 14 maart 2022;Gemeentehuis 15 maart 2022;Centrum voor Jeugd en Gezin 15 maart 2022;Adventskerk 15 maart 2022;Dorpshuis Vogelenzang 15 maart 2022;Centraal Servicepunt Bennebroek 15 maart 2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
;opgeroepenen;;;18279;1689;1273;1713;1786;577;1571;1183;1207;1187;939;928;1021;1154;1011;1040;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;10777;846;472;636;765;268;738;727;512;409;318;383;379;649;279;455;447;200;274;129;289;579;270;255;175;323
;geldig volmachtbewijs;;;1440;131;61;64;101;55;118;90;81;80;35;46;42;78;36;43;73;28;42;13;29;66;24;44;19;41
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;12217;977;533;700;866;323;856;817;593;489;353;429;421;727;315;498;520;228;316;142;318;645;294;299;194;364
;geldige stembiljetten;;;12164;975;531;696;861;319;851;813;588;485;353;428;420;727;314;497;519;227;316;139;317;642;293;299;192;362
;blanco stembiljetten;;;31;1;2;1;2;2;3;2;2;3;0;1;0;0;1;1;1;1;0;3;1;0;1;0;2;1
;ongeldige stembiljetten;;;19;1;0;3;3;2;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;3;0;2;0;1
;aangetroffen stembiljetten;;;12214;977;533;700;866;323;854;817;590;489;353;429;421;727;315;498;520;228;316;142;318;645;294;301;194;364
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;5;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;4;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;2712;190;120;171;197;126;127;249;243;176;58;48;85;100;52;56;105;64;111;13;49;154;55;104;11;48
;;1;van Tienhoven, E;1045;87;38;58;58;18;76;114;84;65;23;23;27;29;16;20;60;31;47;6;16;69;15;49;3;13
;;2;Harder, R.R.;177;14;12;10;33;15;10;5;13;8;5;0;1;4;2;0;8;10;2;0;1;12;9;3;0;0
;;3;Zoetmulder-Sanders, A.J.;542;42;40;58;57;51;22;37;55;32;5;5;5;10;5;2;15;12;22;0;3;25;19;17;0;3
;;4;van Rij, A.C.;142;2;4;2;4;0;0;3;1;0;2;1;24;31;14;26;0;0;0;1;11;2;1;0;2;11
;;5;Werners, A.H.;120;2;0;3;4;0;0;29;29;19;1;0;1;3;0;1;0;0;12;1;0;1;0;11;3;0
;;6;Veringa, J.T.M.;77;16;3;3;7;1;8;4;4;4;1;2;0;2;0;1;5;0;3;0;1;8;0;3;0;1
;;7;Brussaard, W.G.;71;0;1;0;2;0;0;0;2;0;0;0;19;10;10;3;0;0;1;0;9;1;0;0;0;13
;;8;Prins, C.M.;65;7;2;15;6;11;0;2;5;3;2;0;1;0;0;0;2;1;4;0;0;4;0;0;0;0
;;9;de Boer, H.P.G.;66;1;1;0;0;0;0;2;2;1;17;13;3;3;2;0;2;0;2;5;3;1;1;1;3;3
;;10;van Hoeken, P.C.;42;0;0;0;2;0;1;12;10;3;1;0;1;0;0;1;0;2;1;0;0;6;0;2;0;0
;;11;van Zalingen, R.W.;21;2;0;0;0;0;0;4;7;1;0;2;0;0;1;0;1;2;0;0;0;1;0;0;0;0
;;12;Haderer, E.M.;16;3;3;1;1;0;4;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0
;;13;Verveld, F.;44;4;0;6;3;11;1;4;2;0;0;1;1;1;0;0;0;1;1;0;0;6;2;0;0;0
;;14;Kloosterboer, M.;35;0;0;0;1;2;0;4;8;10;0;0;0;2;0;0;0;0;3;0;0;0;0;5;0;0
;;15;van Gellicum, N.E.;63;4;9;9;12;8;3;2;1;4;0;0;0;0;0;0;0;2;1;0;1;5;0;2;0;0
;;16;van Hasselt, E.W.;19;0;0;2;2;0;0;4;0;5;0;0;0;0;1;0;3;0;0;0;0;0;0;2;0;0
;;17;de Nerée tot Babberich, R.J.P.L.P.;57;2;2;2;1;5;0;6;9;7;0;1;0;0;0;0;4;1;9;0;0;1;3;3;0;1
;;18;Heijink, N.A.L.;14;0;0;0;0;1;0;1;0;2;0;0;1;1;1;0;1;0;2;0;0;3;0;0;0;1
;;19;van Praag, M.;96;4;5;2;4;3;2;16;11;12;1;0;1;3;0;1;4;2;1;0;3;9;5;5;0;2
2;GROENLINKS;;;1738;154;113;108;132;30;191;122;58;34;33;55;39;117;43;77;78;27;33;14;41;92;47;28;28;44
;;1;Faber, H.P.;520;71;34;25;37;8;73;31;22;9;5;15;9;17;8;14;33;10;10;3;7;40;16;5;10;8
;;2;van der Rest, A.;83;4;9;10;11;4;3;5;11;2;0;3;0;2;1;0;2;1;0;2;2;7;2;1;0;1
;;3;van der Veldt, A.E.C.;465;37;27;20;30;8;43;40;7;15;6;11;17;45;22;28;18;6;7;2;18;18;8;8;9;15
;;4;Sondorp, E.O.;59;4;1;2;0;0;5;14;7;3;2;0;0;0;3;0;1;1;6;0;0;3;0;6;0;1
;;5;de Vries, C.J.;59;1;1;0;1;0;2;0;1;0;1;2;1;20;3;10;0;0;1;1;7;0;0;0;0;7
;;6;Olsthoorn, J.C.M.;12;0;2;1;0;0;0;1;0;0;0;1;0;0;0;1;0;2;0;1;0;0;2;0;1;0
;;7;de Breed, E.A.;294;19;25;34;41;6;48;18;0;3;1;3;6;11;1;8;17;5;6;2;3;17;12;4;1;3
;;8;Bloembergen, E.R.;23;1;1;1;0;0;1;0;0;0;5;7;0;1;0;1;0;0;0;2;0;0;0;1;2;0
;;9;ten Kate, J.;7;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1
;;10;Melman, Th.C.P.;31;9;2;1;3;0;5;1;0;0;1;0;0;1;0;0;3;1;0;0;0;3;1;0;0;0
;;11;Fennema, M.;15;2;1;1;0;0;0;4;3;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1
;;12;van Vliet, S.;65;4;1;1;2;0;5;3;1;1;1;2;4;14;2;10;0;0;0;0;4;2;2;0;1;5
;;13;Wierda, M.J.;87;0;7;6;4;2;6;5;6;0;10;11;1;6;2;4;2;1;1;1;0;2;1;3;4;2
;;14;Kruijswijk, R.W.;18;2;2;4;3;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;2;0;0;0
3;D66;;;2212;216;90;137;210;58;215;137;109;90;33;50;66;94;44;95;100;46;53;17;35;126;65;60;19;47
;;1;Verheij, M.Q.R.V.;749;87;29;41;54;19;98;54;31;31;18;11;11;20;10;16;44;25;27;8;10;52;20;10;6;17
;;2;Kramer, J.J.;157;12;7;24;49;6;7;6;3;2;2;0;0;1;1;2;4;5;0;0;0;11;14;0;0;1
;;3;Vernooij, B.J.M.;180;3;0;0;1;0;2;0;2;2;0;6;29;37;18;39;0;0;1;3;14;0;0;5;3;15
;;4;le Poole, F.R.;184;20;16;19;18;6;24;1;6;3;1;4;1;5;2;8;8;5;3;0;4;13;8;6;2;1
;;5;Oude Weernink, A.H.;28;3;0;2;11;1;2;1;0;0;0;0;1;1;0;0;0;1;0;0;0;3;1;0;1;0
;;6;Struben, H.W.;54;14;0;3;4;2;6;0;3;2;0;1;0;0;0;0;9;0;1;0;0;4;3;2;0;0
;;7;Jeltes, A.M.;499;58;31;38;57;13;51;37;30;19;4;13;9;11;7;11;27;7;13;2;5;24;9;17;1;5
;;8;Drontmann, I.M.;158;4;1;7;1;0;8;33;32;27;0;0;0;2;1;3;2;1;7;1;0;7;1;18;1;1
;;9;Michels, H.W.M.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Lips, J.P.;27;7;0;0;1;1;6;0;0;0;0;0;1;0;0;0;1;1;1;0;0;5;1;2;0;0
;;11;Wolbers, J.G.;22;5;0;0;4;9;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0
;;12;Schep, A.M.C.;39;2;2;2;6;0;4;1;1;2;0;3;0;0;0;1;2;1;0;0;0;6;5;0;0;1
;;13;Kempenaar, H.A.;10;0;4;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;14;van Tol, M.W.;33;0;0;0;0;0;1;1;1;0;7;12;0;1;0;0;0;0;0;2;0;1;0;0;5;2
;;15;Kamps, M.A.;70;1;0;1;3;1;4;2;0;0;1;0;14;16;5;15;0;0;0;1;2;0;0;0;0;4
4;CDA;;;949;36;21;63;64;20;24;38;48;52;67;53;26;80;29;39;33;15;50;19;35;32;17;25;27;36
;;1;van der Veldt, R.T.G.;422;9;14;13;20;3;9;17;15;20;26;17;16;55;16;24;10;12;27;8;23;12;7;16;10;23
;;2;Bruggeman, A.;113;0;4;24;23;4;6;6;2;1;3;3;1;4;0;1;13;2;4;0;1;6;4;1;0;0
;;3;Beusen, G.J.H.;31;1;0;1;0;0;0;0;0;0;0;0;1;5;4;4;0;0;0;0;5;0;1;5;0;4
;;4;van Heerikhuize, T.J.;118;14;0;10;9;1;7;6;9;6;5;2;2;6;3;5;4;0;7;1;1;7;5;0;4;4
;;5;Schmitz, W.B.H.J.;9;0;2;2;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Ruys, P.H.;24;3;0;5;3;7;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;7;Swarts, P.H.;21;2;0;6;3;3;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;3;0;0;0;0
;;8;Weijers-van Vugt, G.C.J.M.;16;0;0;0;0;0;0;0;0;1;1;0;1;3;3;1;2;0;2;0;1;0;0;0;0;1
;;9;Noordhof-de Vries, A.A.;18;0;0;0;0;0;0;5;1;7;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0
;;10;Westra, J.G.;9;2;1;0;2;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Ingwersen, P.;25;2;0;0;2;0;1;3;1;7;1;1;0;1;0;0;1;0;3;0;0;1;0;1;0;0
;;12;Beliën, G.C.M.;27;1;0;0;0;0;0;0;11;0;0;0;3;2;0;4;1;0;0;0;1;0;0;0;0;4
;;13;Soeteman-Wolf, A.;17;1;0;0;0;0;0;1;3;2;1;1;2;0;3;0;0;0;3;0;0;0;0;0;0;0
;;14;Burger, A.J.G.;99;1;0;2;0;1;0;0;3;1;29;29;0;3;0;0;1;0;1;10;3;2;0;0;13;0
5;Hart voor Bloemendaal;;;1832;78;68;81;78;32;75;91;47;50;66;92;148;203;90;117;54;35;20;30;100;63;34;23;41;116
;;1;Roos-Andriesse, M.;1290;59;38;47;42;20;60;65;31;34;36;81;124;144;50;82;42;26;15;21;64;54;29;14;28;84
;;2;Metselaar, G.C.;141;7;12;23;18;8;7;4;3;0;5;0;2;9;4;1;8;9;0;2;7;4;3;0;1;4
;;3;Driessen-Yousef, M.;51;5;0;2;4;0;4;2;1;1;1;0;3;6;9;2;1;0;1;0;4;0;0;0;2;3
;;4;Barnhoorn, M.F.;75;1;0;1;0;0;0;0;2;1;5;1;7;20;12;12;0;0;0;0;4;0;0;0;0;9
;;5;Bakker, A.J.;45;0;11;0;1;0;0;0;0;0;0;0;2;5;0;13;0;0;0;0;7;0;1;0;0;5
;;6;Bilski, J.U.;22;0;1;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;0;5;1;0;0;0;5
;;7;Roos, J.W.P.;14;0;1;3;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;3;1;0;0;0;1
;;8;Wierts, J.J.;32;3;2;3;8;4;4;0;1;0;0;0;0;1;0;1;2;0;0;1;0;1;1;0;0;0
;;9;Beljaards, R.C.;67;0;2;2;1;0;0;17;9;14;0;1;1;3;1;0;0;0;4;1;2;0;0;8;0;1
;;10;Kotteman, E.K.M.;23;2;0;0;3;0;0;2;0;0;2;0;2;2;2;2;0;0;0;0;1;2;0;0;1;2
;;11;Kruiper, J.F.;47;0;0;0;0;0;0;1;0;0;17;9;3;0;1;1;0;0;0;5;1;0;0;0;9;0
;;12;Kroon, E.P.;15;1;0;0;0;0;0;0;0;0;0;0;2;1;8;0;0;0;0;0;1;0;0;0;0;2
;;13;Brasser, J.M.;10;0;1;0;0;0;0;0;0;0;0;0;1;4;1;1;0;0;0;0;1;0;0;1;0;0
6;Partij van de Arbeid (P.v.d.A.);;;1048;93;46;48;67;9;70;59;29;14;39;72;14;70;27;64;50;20;16;30;34;56;38;18;27;38
;;1;Koster, H.R.;417;28;22;18;26;3;23;27;16;3;16;43;7;26;8;20;19;11;4;13;13;16;12;7;16;20
;;2;Gamri, A.;305;49;15;18;26;4;42;18;8;8;1;5;2;6;2;10;23;4;7;1;2;28;13;5;4;4
;;3;van Os, J.W.;27;0;2;3;1;0;1;1;1;0;4;1;1;3;1;0;0;0;1;3;1;0;1;0;2;0
;;4;Kooijman, M.F.S.;113;6;2;2;10;2;2;9;1;3;11;12;0;7;1;6;2;1;3;5;4;5;8;3;5;3
;;5;Schell, H.A.L.;110;4;2;5;1;0;0;1;0;0;5;6;3;21;11;26;2;0;0;1;11;1;1;1;0;8
;;6;de Groot, A.M.;22;1;1;0;1;0;0;1;1;0;0;0;1;2;2;0;0;0;1;5;1;1;2;1;0;1
;;7;Warbout, J.;6;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;8;Blesgraaf, T.C.M.;11;2;2;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0
;;9;Holterman, E.W.H.;14;0;0;0;0;0;0;0;1;0;0;0;0;5;2;2;0;0;0;0;2;0;0;0;0;2
;;10;van der Ham, P.J.;23;3;0;2;1;0;2;1;1;0;0;3;0;0;0;0;2;4;0;0;0;2;1;1;0;0
7;Liberaal Bloemendaal;;;793;125;35;39;48;19;98;63;32;31;7;15;16;21;6;16;57;9;21;1;8;71;12;26;6;11
;;1;Heukels, L.J.L.;405;71;19;28;24;11;55;25;15;17;5;7;5;7;4;6;22;5;10;1;2;44;4;12;3;3
;;2;van de Bunt, M.;91;15;5;3;8;1;12;5;2;0;0;0;1;4;0;0;19;2;1;0;1;7;1;1;2;1
;;3;Hageman, C.L.;197;35;9;8;12;3;21;18;8;5;0;4;8;4;1;5;13;0;7;0;4;16;5;10;1;0
;;4;van Tijen, C.;12;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;5;Kraaipoel, A.J.;14;0;2;0;1;0;7;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0
;;6;Rood, H.C.A.;12;0;0;0;0;1;0;7;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;7;Zonjee, A.P.;7;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0;0;0
;;8;van der Leij, J.J.;10;1;0;0;0;0;0;1;2;0;1;0;1;0;0;2;0;0;1;0;0;0;0;1;0;0
;;9;Schröder, L.J.;7;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
