Verkiezing;;Gemeenteraad Edam-Volendam 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Edam-Volendam;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0385;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Politiebureau;Basisschool De Spinmolen;Sporthal De Kreil;Sporthal De Kreil;Clubcorner FC Volendam;Koninklijke Vereniging Sint Jozef;Stembureau-unit Parallelweg;St. Petrusbasisschool;Tennisvereniging Dijkzicht;Gymzaal Langemeerstraat;Bibliotheek Edam;De Ontmoeting;De Singel;Culicafé De Ontmoeting;Snackbar Café Seevanck;Dorpshuis de Drie Hamers;Voetbalkantine Kwadijk;Kerk Middelie;De Oude School;MFA De Groote Molen;Politiebureau (maandag);Politiebureau (dinsdag);De Ontmoeting (maandag);De Ontmoeting (dinsdag);Snackbar Café Seevanck (maandag);Snackbar Café Seevanck (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;30;31;32;33;34;35
Postcode;;;;;1132 JV;1132 AB;1132 BG;1132 BG;1131 BK;1131 DX;1131 DM;1131 KX;1131 RC;1135 JE;1135 GP;1135 BV;1135 VT;1132 MP;1474 MB;1475 JD;1471 CN;1472 GS;1473 PH;1474 HT;1132 JV;1132 JV;1135 BV;1135 BV;1474 MB;1474 MB
;opgeroepenen;;;29407;1373;1909;1921;1925;1978;1550;1649;1958;1633;1590;1448;1167;1709;2160;1401;564;827;580;667;1398;0;0;0;0;0;0
;geldige stempas;;;16197;658;1070;849;808;928;875;438;1153;828;576;931;744;662;864;391;263;444;316;377;695;578;750;247;298;212;242
;geldig volmachtbewijs;;;2687;117;218;189;138;173;145;68;236;138;64;104;77;96;172;60;34;74;52;58;97;127;156;24;30;17;23
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;18884;775;1288;1038;946;1101;1020;506;1389;966;640;1035;821;758;1036;451;297;518;368;435;792;705;906;271;328;229;265
;geldige stembiljetten;;;18820;773;1286;1037;944;1096;1017;505;1385;965;637;1030;813;756;1031;451;297;517;368;433;788;699;904;271;325;229;263
;blanco stembiljetten;;;29;0;1;1;2;2;1;1;2;0;1;3;7;1;3;0;0;0;0;2;0;1;1;0;0;0;0
;ongeldige stembiljetten;;;40;4;1;0;2;3;2;0;2;1;2;2;1;1;3;0;0;1;0;0;4;5;1;0;3;0;2
;aangetroffen stembiljetten;;;18889;777;1288;1038;948;1101;1020;506;1389;966;640;1035;821;758;1037;451;297;518;368;435;792;705;906;271;328;229;265
;meer stembiljetten dan toegelaten kiezers;;;5;2;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;4;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Lijst Kras;;;2023;128;234;180;176;197;186;75;182;143;10;20;7;17;201;1;2;4;1;1;4;123;124;0;3;0;4
;;1;Kras, L.T.;532;38;46;39;44;68;41;26;49;39;6;9;3;9;33;1;0;4;0;1;2;42;28;0;3;0;1
;;2;Veerman, J.H.;473;25;80;54;57;37;39;15;37;27;0;5;2;0;49;0;0;0;0;0;0;17;29;0;0;0;0
;;3;Bond, H.J.M.;107;4;8;8;10;8;3;3;23;8;1;2;0;0;5;0;0;0;0;0;0;13;11;0;0;0;0
;;4;de Boer, H.I.J.;345;21;30;28;28;39;58;9;13;28;1;1;0;1;61;0;2;0;0;0;0;17;7;0;0;0;1
;;5;Kras, W.T.;57;4;3;9;2;6;5;3;5;1;0;1;0;1;2;0;0;0;0;0;1;5;9;0;0;0;0
;;6;Kwakman, T.W.J.;170;13;18;20;16;11;10;5;14;9;0;0;0;2;27;0;0;0;0;0;1;8;16;0;0;0;0
;;7;Veerman, J.C.M.;163;13;21;5;10;17;22;2;17;14;0;1;2;2;13;0;0;0;1;0;0;12;11;0;0;0;0
;;8;Keijzer, C.J.M.;13;1;0;2;2;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;9;Tol, T.M.A.;27;2;0;4;2;2;2;4;1;3;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0
;;10;Kok, C.A.J.;22;0;6;1;2;0;0;0;4;0;0;1;0;0;2;0;0;0;0;0;0;1;5;0;0;0;0
;;11;Koning, C.J.M.;13;1;6;3;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Bond, P.I.R.;8;0;1;4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;13;Zwarthoed, M.M.;26;1;7;0;0;3;0;3;1;2;2;0;0;1;3;0;0;0;0;0;0;1;0;0;0;0;2
;;14;Pelk, J.M.;14;0;3;0;0;0;2;1;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Veerman, C.A.M.;7;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
;;16;Tol, K.J.T.;10;1;3;2;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Veerman, T.E.;5;3;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Molenaar, J.H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Kras, N.;6;1;0;0;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Steur, J.G.P.;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Smit, N.A.M.B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Koning, C.B.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Smit, H.E.P.;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;24;Mooijer, N.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Schilder, C.F.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Schokker, N.M.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Jonk, C.E.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Veerman, G.J.;9;0;1;0;0;0;1;0;2;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;29;Kras, R.H.;9;0;0;1;1;0;1;0;0;1;0;0;0;1;2;0;0;0;0;0;0;2;0;0;0;0;0
2;Volendam '80;;;4627;267;497;429;426;397;336;169;664;386;24;21;5;19;348;3;1;6;2;4;7;261;346;4;1;0;4
;;1;Bootsman-Tol, A.C.M.;2041;116;224;206;175;179;155;81;313;152;9;13;2;5;136;0;0;2;0;1;5;113;151;1;0;0;2
;;2;Visscher, W.J.M.;494;34;57;49;40;46;32;13;59;62;3;1;0;0;28;0;1;0;0;0;0;34;35;0;0;0;0
;;3;Tol, R.J.A.;173;3;12;14;22;18;15;3;26;18;0;1;0;1;16;0;0;0;0;0;1;20;3;0;0;0;0
;;4;Molenaar, J.M.B.;229;15;23;27;21;18;16;7;32;11;2;0;0;0;26;0;0;1;0;0;0;11;19;0;0;0;0
;;5;Bond, C.C.B.;87;7;8;7;8;9;14;3;6;5;0;0;0;0;4;0;0;0;0;0;0;4;11;1;0;0;0
;;6;Kes, A.C.;319;18;37;21;26;30;32;14;54;25;1;1;1;6;25;1;0;0;0;0;0;10;13;1;1;0;2
;;7;Posthumus, J.E.B.;109;7;23;10;15;10;4;2;17;5;0;1;0;0;1;0;0;0;0;0;0;7;7;0;0;0;0
