Verkiezing;;Gemeenteraad Heemskerk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Heemskerk;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0396;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Oude muziekschool Kerklaan 1 Linker ingang;Stembureau Gymzaal Bachstraat;Stembureau Sportzaal de Velst;Stembureau Brandweerkazerne;Stembureau De Vrijburcht;Stembureau Gemeentehuis Raadzaal;Stembureau Kantine Tennisvereniging de Hulstenaar;Stembureau Gymzaal de Visserstraat;Stembureau Buurtcentrum D'Evelaer;Stembureau Baptisten Gemeente Heemskerk;Stembureau Gymzaal Stijkelstraat;Stembureau Kantine voetbalvereniging Odin 59;Stembureau Gymzaal Duitslandlaan;Stembureau Gymzaal Marnestraat;Stembureau Gezondheidscentrum Broekpolder;Stembureau Apostolisch genootschap;Stembureau De Vrijburcht;Stembureau Gemeentehuis Raadzaal;Stembureau Kantine voetbalvereniging Odin 59;Stembureau Gezondheidscentrum Broekpolder;Stembureau Apostolisch Genootschap;Stembureau De Vrijburcht;Stembureau Gemeentehuis Raadzaal;Stembureau Kantine voetbalvereniging Odin 59;Stembureau Gezondheidscentrum Broekpolder;Stembureau Apostolisch Genootschap
Gebiednummer;;;;;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;106;107;113;116;118;206;207;213;216;218
Postcode;;;;;1961 GA;1962 AZ;1963 KL;1962 TG;1962 VA;1964 EZ;1964 HZ;1964 ST;1969 MV;1964 EC;1964 BS;1967 NE;1966 XA;1966 VT;1967 KD;1963 KP;1962 VA;1964 EZ;1967 NE;1967 KD;1963 KP;1962 VA;1964 EZ;1967 NE;1967 KD;1963 KP
;;7;Nijboer, R. C.;41;1;1;1;4;2;3;0;4;3;2;4;0;3;0;4;2;0;1;0;0;1;1;1;0;1;2
;;8;van Veen, Q. F. M.;28;1;0;1;3;0;1;0;3;1;0;3;1;2;0;1;3;0;1;1;1;1;0;1;0;0;3
;;9;van den Handel, M. C.;92;6;2;1;2;4;4;4;4;3;4;4;3;5;2;7;5;5;4;0;3;3;3;6;3;2;3
;;10;Bruin, F.;129;6;1;2;2;5;15;6;9;4;14;8;10;3;0;4;7;6;8;1;7;1;0;8;1;1;0
;;11;van der Lem, P.;61;2;4;4;3;1;6;2;0;3;2;4;3;3;1;4;8;0;4;1;0;0;0;6;0;0;0
;;12;Schweitzer, H.;38;4;1;1;0;0;2;4;1;0;4;1;1;2;1;5;2;0;1;0;0;0;1;3;0;2;2
;;13;Vessies, A. A. M.;38;1;1;2;1;1;4;4;1;4;0;0;0;4;0;2;4;0;1;0;0;3;0;3;0;0;2
;;14;Voortman, I. N.;28;1;2;2;0;0;2;3;1;0;0;0;4;4;0;2;1;0;1;2;0;0;0;1;0;1;1
;;15;Sevillano Pachon, C.;17;0;0;0;2;1;2;0;0;1;0;2;0;1;0;1;1;1;0;1;1;0;0;2;0;0;1
;;16;Keet, G. H.;12;0;0;0;0;0;1;0;0;2;1;1;0;0;0;0;0;0;2;0;0;0;0;2;0;0;3
;;17;Scholten, N. J. A.;7;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;18;Hoope, B. H.;9;1;0;0;2;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0
;;19;Mostert, R.;10;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;1;0;0;0
;;20;Tap, B. A.;11;0;0;3;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;2;2
;;21;Beentjes, C. A. M.;20;0;0;1;1;2;1;2;0;2;0;0;3;0;1;2;0;1;0;0;1;0;1;1;0;1;0
7;Partij van de Arbeid (P.v.d.A.);;;1273;60;61;63;57;56;79;58;44;30;44;58;43;82;44;59;90;17;45;15;16;28;19;109;28;17;51
;;1;Hes, E.;552;27;24;32;21;30;31;20;19;10;21;25;22;30;22;25;44;8;16;7;7;16;11;47;10;6;21
;;2;Drijfhout, J.;137;13;4;2;9;4;7;5;4;2;5;9;5;13;8;5;4;5;7;1;1;0;2;10;1;1;10
;;3;Mellema, D.;84;5;4;3;4;3;7;2;4;0;3;2;2;5;2;6;6;1;3;2;1;4;1;4;5;5;0
;;4;Mellema, S.;36;0;2;1;0;1;4;4;1;1;1;3;0;2;1;0;3;0;1;0;0;2;1;2;2;0;4
;;5;Fiege, R.;17;0;3;0;3;0;1;0;1;0;0;0;0;3;0;1;0;0;0;0;0;0;1;2;2;0;0
;;6;Kalverda-Commandeur, J.M.;288;6;18;17;15;12;25;13;10;10;9;14;10;16;4;15;22;1;15;3;3;5;1;32;4;1;7
;;7;Stam, C.J.M.;21;0;0;0;1;0;0;3;1;0;2;0;0;5;2;1;0;0;0;0;1;0;0;4;0;1;0
;;8;Aardenburg, R.;19;2;1;1;0;1;0;2;1;3;1;2;0;2;0;0;1;0;0;1;0;0;0;1;0;0;0
;;9;Both-Koster, M.;42;3;0;4;0;1;1;3;3;0;0;1;2;0;2;4;4;0;0;1;3;1;2;3;2;1;1
;;10;Joustra - van Doesburg, E.J.P.;33;1;0;1;4;3;2;0;0;2;1;1;0;5;2;2;4;0;1;0;0;0;0;1;1;1;1
;;11;Hornberg, B.A.M.;44;3;5;2;0;1;1;6;0;2;1;1;2;1;1;0;2;2;2;0;0;0;0;3;1;1;7
