Verkiezing;;Gemeenteraad Heiloo 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Heiloo;;;;;;;;;;;;;;;;;;
Nummer;;0399;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Heiloo;Cultureel centrum de Strandwal 1;Sporthal Het Vennewater 1;Bowling Heiloo;Cultureel centrum de Strandwal 2;Atletiekgebouw Trias;Bibliotheek Heiloo;Sporthal Het Vennewater 2;Theater de Beun;Sporthal Het Vennewater 3;Jongerencentrum Buk Buk;Willibrordushuis;Early vote Bibliotheek maandag;Early vote Theater de Beun maandag;Early vote Bibliotheek dinsdag;Early Vote Theater De Beun dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;107;109;207;209
Postcode;;;;;1851 JL;1851 VN;1852 JC;1851 ND;1851 VN;1852 RH;1852 AR;1852 JC;1851 HB;1852 JC;1852 EH;1852 AG;1852 AR;1851 HB;1852 AR;1851 HB
;;15;Wuijster-Schuddeboom, J.;27;2;4;2;1;5;3;1;0;2;1;0;0;1;2;2;1
3;D66;;;1651;176;88;77;151;97;104;151;60;127;50;83;46;120;66;152;103
;;1;van Dokkum, S.C.;917;98;53;50;79;63;46;82;27;64;26;37;30;66;40;88;68
;;2;Soonius, P.J.C.;55;7;4;1;2;2;2;9;0;3;2;5;3;2;3;6;4
;;3;Hopman, A.M.;50;4;3;2;5;5;5;6;5;4;1;0;1;3;0;4;2
;;4;Smit, T.J.N.;21;0;0;2;1;0;2;2;0;0;1;3;0;8;0;1;1
;;5;van Halem, H.;26;1;5;0;3;2;1;1;1;2;0;1;2;4;2;1;0
;;6;Pruijt, R.;8;0;2;0;1;0;2;0;0;2;0;0;0;0;0;0;1
;;7;de Vocht, S.R.G.;413;49;13;18;46;20;34;39;19;30;17;23;8;30;12;37;18
;;8;Wittebol, P.E.;109;13;6;4;10;2;8;9;7;9;1;11;2;3;6;11;7
;;9;Thijssen, E.A.;28;2;1;0;2;3;4;1;1;4;0;2;0;2;2;3;1
;;10;Kerssens, P.N.;24;2;1;0;2;0;0;2;0;9;2;1;0;2;1;1;1
4;CDA;;;1366;102;88;60;124;85;64;124;40;67;50;61;52;129;82;146;92
;;1;Brouwer de Koning, M.T.;949;72;61;45;78;61;46;83;30;47;33;37;35;91;63;104;63
;;2;Hiemstra, H.;61;2;5;1;2;9;5;8;0;2;2;1;0;5;6;7;6
;;3;Korthouwer, H.F.P.;40;3;3;2;6;2;0;4;1;1;1;3;2;7;2;2;1
;;4;Willemse, C.A.M.;121;9;11;4;12;6;8;13;5;5;5;5;6;12;1;10;9
;;5;van Dorsten, P.H.;25;3;0;1;2;2;0;2;0;4;3;0;0;3;1;1;3
;;6;Wijmenga, J.N.;12;0;2;0;6;0;0;0;0;0;0;3;1;0;0;0;0
;;7;Jorna, P.H.M.;40;5;1;3;7;3;2;2;2;1;0;5;2;3;0;1;3
;;8;Postma, P.G.D.;13;1;0;0;1;0;1;2;0;1;0;0;1;0;1;5;0
;;9;Korthouwer-Slaman, A.D.M.;8;0;0;0;2;0;1;1;0;0;1;0;0;0;0;2;1
;;10;Mulder, P.P.;7;0;3;1;0;1;0;0;0;0;0;0;0;1;0;1;0
;;11;Ligteringen, J.;4;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0
;;12;van Roon, P.J.;18;0;0;0;0;1;0;2;1;1;1;3;0;3;0;3;3
;;13;Kaan-Brink, J.A.M.;40;2;0;1;6;0;1;5;1;3;3;3;3;2;3;5;2
;;14;Mosselaar, K.;10;3;0;0;1;0;0;0;0;0;0;0;0;0;1;4;1
;;15;Schoutsen-Bolten, E.T.M.;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;16;Topman, D.J.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;17;Beens-Woudenberg, E.;14;1;1;2;0;0;0;0;0;1;1;1;2;2;3;0;0
5;Partij van de Arbeid (P.v.d.A.);;;2087;164;129;82;161;162;112;193;98;117;109;117;57;179;80;226;101
;;1;Nierop, A.;1549;126;94;60;122;111;83;136;64;87;82;76;45;136;65;178;84
;;2;Delpeut, K.H.;109;6;5;10;4;6;6;7;16;4;11;6;4;6;1;14;3
;;3;Bras, Y.E.;53;4;5;1;3;3;4;4;3;4;1;3;3;5;4;5;1
;;4;Burkels, M.C.;124;8;2;6;5;12;5;21;8;8;3;12;1;12;4;12;5
;;5;Croux, P.J.;17;0;1;1;1;0;1;3;0;1;0;7;0;1;0;1;0
;;6;den Hartog, H.M.;37;1;5;0;4;3;0;5;1;2;0;6;2;1;0;5;2
;;7;Conteh, J.;32;3;0;1;2;1;8;5;2;1;4;1;1;2;1;0;0
;;8;Meijer, N.J.;92;6;9;1;17;20;4;3;1;1;7;1;0;9;3;9;1
;;9;Benner, F.M.;41;7;6;2;1;3;0;6;3;5;0;4;1;2;0;0;1
;;10;Ouderkerken, J.;33;3;2;0;2;3;1;3;0;4;1;1;0;5;2;2;4
6;Gemeentebelangen Heiloo;;;1370;128;79;53;124;90;74;120;62;102;59;64;37;127;48;136;67
;;1;de Jong, E.W.;960;83;58;42;86;62;50;84;43;60;42;40;32;98;29;100;51
;;2;Rood, P.;90;13;4;1;5;8;8;6;2;10;3;5;1;6;5;9;4
;;3;van Beusekom, S.A.M.;58;7;6;2;8;2;4;4;2;6;0;5;0;4;3;4;1
;;4;Bolten, J.H.J.;84;4;4;3;8;4;6;10;3;8;4;6;2;6;7;7;2
;;5;de Boer, M.E;47;7;2;2;1;7;2;3;3;3;2;3;0;5;0;5;2
;;6;Kullik, M.;15;1;0;0;1;2;0;2;1;3;0;1;0;0;0;4;0
;;7;Kaandorp-Smit, C.A.;25;3;2;1;3;2;0;1;4;3;2;1;0;2;0;1;0
;;8;Kraakman, J.M.;91;10;3;2;12;3;4;10;4;9;6;3;2;6;4;6;7
7;Heiloo Lokaal;;;948;82;77;39;103;60;60;103;46;61;20;40;28;60;27;89;53
;;1;Beemsterboer, M.P.C.;593;53;52;27;65;34;42;65;28;30;13;23;21;37;19;48;36
;;2;Konijn, C.W.M.;96;10;10;0;13;5;3;8;3;10;2;2;4;7;3;9;7
;;3;Manshande-Groeneveld, A.C.C.;37;2;4;2;1;4;1;3;1;4;1;3;0;4;0;4;3
;;4;Hoogeland-Jimenez Figueroa, E.Y.;30;3;1;0;5;5;0;6;1;1;1;1;1;0;1;4;0
;;5;Valkering, T.A.P.H.;69;6;2;5;10;5;1;5;4;3;2;8;2;6;0;9;1
;;6;de Moel, M.;54;3;3;2;4;3;7;7;2;1;1;3;0;3;2;10;3
;;7;Eeltink, G.C.;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0
;;8;Schutzelaars, B.C.I.M.;23;1;0;3;3;2;3;2;1;5;0;0;0;0;1;1;1
;;9;Mantel-Koppen, M.;16;1;2;0;0;1;2;1;3;1;0;0;0;2;0;2;1
;;10;Boers, P.;27;3;3;0;1;1;1;6;2;6;0;0;0;1;1;1;1
