Verkiezing;;Gemeenteraad Uitgeest 2022;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;
Gebied;;Gemeente Uitgeest;;;;;;;;;;;;;
Nummer;;0450;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Sporthal de Zien;Gymzaal de Meet 1;Tent Huttenweek terrein (Binnenkruierstraat);Gemeentehuis;Tent parkeerterrein Marskramer;Tent parkeerterrein NS Station;Tent bij Kornak Waldijk;Early Vote Tent parkeerterrein NS station Maandag;Early Vote Gemeentehuis Maandag;Early Vote Tent parkeerterrein NS station Dinsdag;Early Vote Gemeentehuis Dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;103;104;203;204
Postcode;;;;;1911 TR;1911 GA;1911 XL;1911 EG;1911 GD;1911 KT;1911 LP;1911 KT;1911 EG;1911 KT;1911 EG
;opgeroepenen;;;10809;1251;1474;1428;1254;1725;1968;1709;0;0;0;0
;geldige stempas;;;5771;410;568;797;430;643;747;686;267;377;386;460
;geldig volmachtbewijs;;;555;45;42;66;44;64;87;72;32;31;27;45
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;6326;455;610;863;474;707;834;758;299;408;413;505
;geldige stembiljetten;;;6273;449;604;854;470;700;829;753;294;404;412;504
;blanco stembiljetten;;;31;2;5;6;0;7;2;4;2;3;0;0
;ongeldige stembiljetten;;;19;3;1;3;4;0;1;1;3;1;1;1
;aangetroffen stembiljetten;;;6323;454;610;863;474;707;832;758;299;408;413;505
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;3;1;0;0;0;0;2;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;1;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;2;0;0;0;0;0;2;0;0;0;0;0
1;Progressief Uitgeest-PU;;;1639;131;165;232;114;197;222;174;64;126;97;117
;;1;Schouten, J.N.;767;57;91;101;45;102;92;53;37;76;50;63
;;2;Meulie, M.;299;24;21;37;13;31;50;47;20;13;23;20
;;3;de Boer, P.R.;108;8;17;25;9;11;6;9;1;10;5;7
;;4;de Swart, A.S.;24;0;1;9;2;2;4;3;0;0;2;1
;;5;Schouten, T.P.;58;5;4;9;7;8;12;8;1;2;0;2
;;6;van Eerden, N.A.M.;172;18;5;15;17;18;39;33;0;7;12;8
;;7;Twaalfhoven, S.F.M.;46;7;3;9;4;4;6;4;1;1;1;6
;;8;de Ruijter, S.A.M.;43;5;2;1;5;10;8;7;2;0;1;2
;;9;van Son, A.T.J.;15;1;4;2;2;0;0;2;0;3;0;1
;;10;Boogert, A.;7;0;0;2;3;0;1;0;0;0;1;0
;;11;Schuddeboom, J.H.A.;15;1;2;5;2;2;0;1;0;0;1;1
;;12;Hourik, J.;11;1;3;4;0;1;0;1;0;1;0;0
;;13;Dubelaar, J.M.;74;4;12;13;5;8;4;6;2;13;1;6
2;Uitgeest Lokaal;;;818;63;78;116;60;98;102;90;42;52;56;61
;;1;van der Sluijs, D.J.;396;35;31;59;33;46;38;50;20;31;16;37
;;2;Weijers, A.M.M.;76;8;12;6;1;13;10;8;5;3;3;7
;;3;Lioe-A-Tjam, H.R;54;1;11;8;5;8;4;5;1;2;6;3
;;4;Hofman, V.M.;123;8;8;23;9;11;23;17;1;2;13;8
