Verkiezing;;Gemeenteraad Beverwijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Beverwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0375;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Kennemer Theater;Sporthal Waterwijk;Gymzaal Kuikensweg;De Moriaan;Kennemer Theater;Sporthal Waterwijk;Gymzaal Kuikensweg;De Moriaan;Buurthuis Wijk aan Duin;Kennemer Theater;Immanuelkerk;Brandweerkazerne Beverwijk-Oost;Gymzaal de Dreef;OBS het Kompas;Beverwijkse Harmonie Kapel;Fysiotherapie Europa;Speeltuin Jeugd en Vreugd;TTV Rapidity;Nieuw Akerendam;Gymzaal Kuikensweg;Sporthal Waterwijk;Sporthal Waterwijk;De Moriaan;Stadhuis Bijzonder Stembureau;Vredevorstkerk;Mobiel Stembureau
;;6;Brands, K.A.M.;67;4;1;0;1;2;4;2;2;3;5;1;3;3;1;7;0;0;0;5;4;7;0;6;0;6;0
;;7;van Popta, P.J.;21;3;0;0;0;1;0;1;0;4;2;0;2;1;4;2;0;0;0;0;0;1;0;0;0;0;0
;;8;van Tongeren, J.;17;1;0;0;0;1;1;0;0;2;0;0;0;4;1;0;0;1;0;0;2;0;0;0;0;4;0
;;9;Vroonhof, C.J.;32;0;0;1;7;2;0;0;2;0;1;1;0;1;2;1;0;0;0;0;1;0;0;13;0;0;0
;;10;Sluis, E.;24;0;0;0;0;0;0;1;1;0;3;3;1;2;1;1;1;0;1;1;2;1;3;1;0;1;0
;;11;Grapendaal, T.;58;4;0;1;0;8;1;2;1;2;6;5;1;2;6;3;2;0;2;1;2;3;0;1;0;4;1
;;12;Hopman, R.P.M.;105;5;1;5;2;6;2;7;3;5;7;2;7;5;1;7;2;1;3;6;13;3;2;2;2;6;0
3;D66;;;2015;72;30;45;47;95;66;77;49;113;141;32;74;187;32;173;29;26;39;100;185;120;40;133;40;65;5
;;1;van den Berg, B.G.P.;1232;54;17;34;21;66;42;52;21;71;80;22;45;125;18;116;22;14;24;64;105;75;25;43;25;47;4
;;2;Raad, A.S.;131;2;2;2;0;4;6;6;0;11;13;3;4;13;5;8;2;1;4;6;14;10;0;6;5;4;0
;;3;Weel, P.J.M.;117;1;1;0;13;1;0;5;17;0;2;0;5;2;1;4;0;0;1;2;8;2;0;45;2;5;0
;;4;Half, J.L.;140;4;3;1;5;8;2;4;1;11;12;4;6;14;3;15;1;0;2;9;8;6;5;9;4;3;0
;;5;Çoban, A.;69;1;3;0;0;2;5;2;0;4;12;0;8;0;0;0;4;4;5;0;1;11;5;0;0;1;1
;;6;Bouwmeester, B.S.;8;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0
;;7;de Boer, C.C.;38;0;0;0;4;1;2;0;6;2;0;0;0;2;0;2;0;0;0;1;6;1;0;11;0;0;0
;;8;Koopman, M.A.;24;0;2;0;0;0;4;0;0;1;1;1;0;1;0;2;0;1;0;0;0;6;4;0;0;1;0
;;9;in 't Veld, P.V.C.;30;2;1;3;1;2;0;0;1;4;2;0;1;2;0;2;0;0;0;2;5;1;0;1;0;0;0
;;10;Vessies, R.M.;47;1;0;1;0;2;0;0;0;3;2;1;1;8;0;7;0;1;0;12;6;1;0;1;0;0;0
;;11;Ochej, J.M.;13;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;1;1;2;0;0;1;0;0
;;12;Machielse, B.;6;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0
;;13;van der Heijden, W.H.M.G.;11;0;0;0;0;0;0;0;0;2;0;0;1;2;3;0;0;0;0;0;3;0;0;0;0;0;0
;;14;van der Meer, I.S.;31;0;0;1;0;1;0;2;0;2;2;0;1;3;0;5;0;0;0;0;10;3;0;0;1;0;0
;;15;van Luijk, G.;4;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
;;16;Bennink, F.S.;25;2;0;0;0;1;0;3;0;0;5;1;0;1;0;1;0;0;1;0;6;0;0;2;0;2;0
;;17;Makbouli, J.L.;30;0;1;0;0;2;0;0;2;1;4;0;1;2;1;1;0;1;1;2;4;0;0;7;0;0;0
;;18;Beijer, R.Q.V.;10;3;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0
;;19;de Vries, E.J.;7;0;0;0;0;1;1;0;0;0;0;0;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0
;;20;Stam, L.P.T.;10;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;0;3;0;0;1;1;0;0;0;0;0
;;21;van Vliet, M.;32;0;0;1;1;0;3;0;1;1;5;0;1;6;0;4;0;1;0;0;0;1;0;5;1;1;0
4;Partij van de Arbeid (P.v.d.A.);;;1370;83;56;42;14;98;40;68;19;67;98;42;94;47;57;56;60;33;43;43;63;59;26;47;24;84;7
;;1;Dorenbos-de Hen, J.W.J.;688;44;10;27;7;39;10;42;8;42;47;22;38;31;23;42;15;9;33;34;43;24;8;20;13;52;5
;;2;Gezer, B.;234;16;6;6;0;23;9;12;0;12;17;8;17;0;13;1;36;11;1;0;7;18;9;3;4;5;0
;;3;Ilhan, I.;224;12;35;5;0;23;20;3;0;4;15;9;24;0;10;2;4;12;1;0;4;16;9;0;4;11;1
;;4;Moelee, R.;20;1;0;0;0;0;0;0;0;0;2;0;2;2;4;0;3;1;1;0;0;0;0;0;1;3;0
;;5;Vos, K.;32;0;0;0;2;0;0;1;1;1;3;0;1;4;4;5;0;0;0;2;1;0;0;5;0;2;0
;;6;Gouma-Bervoets, A.E.M.;51;2;1;3;1;2;1;3;1;3;6;0;6;3;2;1;0;0;3;3;2;0;0;1;1;6;0
