Verkiezing;;Gemeenteraad Huizen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Huizen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Kruiskerk;Kerkgebouw De Engel;Nieuwe Kerk;Cool-spot b.v.;De Brassershoeve;Kerk Bakboord;Wijkcentrum Meentamorfose;Oosterlichtkerk;Wijkcentrum Holleblok;Wijkcentrum 't-Vuronger;Meentkerk;De Rustmaat;Atletiekvereniging;Wijkcentrum Draaikom;Goede Herderkerk;Hotel Newport;Kerkgebouw De Plecht;Gymzaal Ellertsveld;Honkbalvereniging Zuidvogels;Prinses Irene;Gemeentehuis maandag;Hotel Newport maandag;Meentkerk maandag;Goede Herderkerk maandag;Holleblok maandag;Gemeentehuis dinsdag;Hotel Newport dinsdag;Meentkerk dinsdag;Goede Herderkerk dinsdag;Holleblok dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
Postcode;;;;;1276 KB;1272 BP;1272 EC;1272 GS;1271 LW;1271 RP;1276 BL;1276 AS;1276 LJ;1273 EG;1271 SC;1274 RZ;1273 JS;1274 KZ;1274 NS;1272 JR;1271 DE;1276 HG;1274 KC;1277 AZ;1271 AA;1276 KB;1271 DE;1274 RZ;1272 JR;1273 EG;1276 KB;1271 DE;1274 RZ;1272 JR;1273 EG
;opgeroepenen;;;33144;1282;1363;904;1660;1802;1261;1540;1417;1214;2553;1146;2368;2226;1012;2185;1146;2553;1380;2042;2036;54;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;16392;1065;700;355;840;486;765;245;675;407;1127;170;1031;832;442;393;570;251;627;571;374;299;529;142;442;306;357;794;166;563;375;493
;geldig volmachtbewijs;;;1831;172;102;64;93;66;67;38;75;22;140;22;89;65;53;25;95;25;66;67;34;33;57;11;32;43;25;76;24;56;47;47
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;18223;1237;802;419;933;552;832;283;750;429;1267;192;1120;897;495;418;665;276;693;638;408;332;586;153;474;349;382;870;190;619;422;540
;geldige stembiljetten;;;18149;1230;799;420;933;549;830;283;750;424;1264;189;1116;891;493;413;662;276;683;638;408;330;580;153;472;347;380;867;190;619;421;539
;blanco stembiljetten;;;42;2;1;0;0;0;2;0;1;5;1;2;3;2;2;3;2;0;7;0;0;2;1;0;2;1;0;3;0;0;0;0
;ongeldige stembiljetten;;;29;3;0;0;0;3;0;0;0;0;2;1;1;4;0;2;1;0;3;0;0;1;4;0;0;1;2;0;0;0;0;1
