Verkiezing;;Gemeenteraad Schagen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Schagen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Schagen, Laan 19 Schagen;Basisschool De Ark, Jozef Israëlstraat 4 Schagen;Wijkgebouw De Groene Schakel, Iepenlaan 56 Schagen;Wijkgebouw De Groene Schakel 2, Iepenlaan 56, Schagen;Sporthal Waldervaart 2, Merelstraat 38 Schagen;Sporthal Waldervaart, Merelstraat 38 Schagen;Spartahal (handbalkantine), Zuiderweg 2A Schagen;Stemcontainer De Miede/Weideveld, De Miede Schagen;Nieuwe Nes, Schoenmakerspad 1 Schagen;Slot Hotel Schagen, Slotplein 4 Schagen;Het Oude Slot, Markt 21 Schagen;Sporthal Molentocht, P. Ottstraat 1 Schagerbrug;Dorpshuis De Uijtkijk, Maarten Breetstraat 1 Sint Maartensbrug;Sporthal Burgerbrug, Grote Sloot 75a Burgerbrug;Sporthal Multitreffer, Willem 't Hartplein 7 't Zand;Sportcomplex Oudesluis, Melchiorstraat 2 Oudesluis;Café De Branding, Ketelduinweg 2 Petten;De Princen Keet, Achterweg 2 Callantsoog;Dorpshuis Kolfweid, Jewelweg 7 Callantsoog;Dorpshuis Waarland, Kerkstraat 63 Waarland;Scoutinggebouw Magnusveste, Menisweg 6 Schagen;Dorpshuis Ahoj, Dorpsstraat 37 Tuitjenhorn;Bolletjescafé De Klok, Stationsstraat 24 Warmenhuizen;Dorpshuis Warmenhuizen, Dorpsstraat 126 Warmenhuizen;Biljart- en Eetcafé De Liefhebber, Oudewal 25 Warmenhuizen;De OndernemersCentrale, Oostwal 2 Tuitjenhorn;Dorpshuis Sint Maarten, Dorpsstraat 9c Sint Maarten;Brasserie De Kastanjeboom, Dorpsstraat 15 Dirkshorn;Wijkgebouw De Groene Schakel, Iepenlaan 56 Schagen;Wijkgebouw De Groene Schakel, Iepenlaan 56 Schagen;Spartahal (handbalkantine), Zuiderweg 2A Schagen;Spartahal (handbalkantine), Zuiderweg 2A Schagen;Sporthal Multitreffer, Willem 't Hartplein 7 't Zand;Sporthal Multitreffer, Willem 't Hartplein 7 't Zand;Dorpshuis Waarland, Kerkstraat 63 Waarland;Dorpshuis Waarland, Kerkstraat 63 Waarland;De OndernemersCentrale, Oostwal 2 Tuitjenhorn;De OndernemersCentrale, Oostwal 2 Tuitjenhorn
;;5;Zut, R.P.;104;2;2;0;1;0;0;0;1;2;1;1;1;2;0;0;0;3;0;1;2;0;27;3;5;8;14;2;5;0;0;0;0;0;0;0;3;8;10
;;6;Tesselaar, M.;635;35;25;16;13;27;15;34;58;23;11;23;16;9;4;8;9;13;1;20;19;24;21;5;21;12;31;16;21;6;27;14;27;0;3;0;1;6;21
;;7;Kröger, J.T.;32;1;0;0;0;0;0;1;0;3;0;5;6;6;2;2;1;0;0;0;0;0;1;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0
;;8;Rampen - van de Put, C.H.T.;99;1;1;1;1;1;0;1;1;0;0;3;29;3;1;3;2;3;0;30;0;2;0;0;1;2;0;2;3;2;0;2;1;0;0;0;0;0;3
;;9;de Vries, W.;83;1;2;0;1;0;1;0;1;2;0;0;0;0;1;1;0;0;1;0;1;0;13;8;24;4;9;0;4;0;0;2;0;0;0;0;0;1;6
;;10;van Egmond, D.;53;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;4;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Taams, P.D.;34;0;4;0;0;0;0;0;0;0;1;0;1;2;0;0;1;0;0;0;0;2;6;0;1;0;0;3;3;1;0;0;1;0;0;1;0;3;4
;;12;Haver, L.J.;38;3;0;0;1;0;0;0;0;1;0;1;0;0;0;3;0;0;0;0;17;0;0;0;0;0;1;0;5;0;0;0;0;0;2;3;1;0;0
;;13;van Emmerik, P.J.;10;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;14;Raap, A.;40;0;1;0;3;1;0;0;0;0;0;1;0;0;0;14;2;0;0;6;0;0;2;0;0;0;2;0;0;0;0;0;0;2;5;0;0;0;1
;;15;van der Salm, H.C.;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Rijs, H.;71;2;1;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;1;56;0;0;0;0;0;0;2;0;1;0
;;17;Kramer, I.W.A.;30;0;1;0;2;0;1;0;0;0;0;0;2;0;8;0;0;5;0;0;1;0;2;1;0;1;0;0;4;0;1;0;0;0;0;0;0;0;1
;;18;Zutt, K.P.;36;0;2;0;0;0;0;0;0;0;1;0;1;12;5;0;0;1;0;0;2;0;1;0;1;0;0;5;0;0;1;0;1;0;0;0;2;1;0
;;19;de Vries, J.J.;28;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;2;6;2;2;0;2;1;2;0;0;0;0;1;0;1;1
;;20;van Diepen - Rampen, M.M.;34;0;0;0;0;1;0;1;0;0;1;0;2;1;0;12;3;0;2;1;2;0;0;0;0;0;0;0;1;0;0;0;0;3;2;2;0;0;0
;;21;Helvrich, R.;5;0;2;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Kat, J.K.;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;24;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;3;0;0
;;23;Otto, S.M.T.J.;12;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Don, P.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;25;de Graaf, M.C.;9;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;26;van der Ham, W.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Nieman, J.G.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Kaandorp, S.;8;0;0;0;0;0;1;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;29;Raap - Zwart, C.;12;0;0;0;0;0;0;0;1;0;0;3;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2
;;30;Cappon, W.L.;10;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;3;0;0;0;0;1;0;0;0;0;0;0
5;Partij van de Arbeid (P.v.d.A.);;;2157;95;95;55;71;70;73;77;90;46;24;54;63;56;38;28;31;117;18;88;51;30;106;41;98;45;58;57;125;54;54;27;79;7;15;4;13;34;70
;;1;van Vuuren, V.C.;890;49;42;17;27;31;27;35;28;16;14;27;36;45;12;19;17;53;7;40;23;12;34;22;37;17;16;19;26;15;16;14;33;6;12;4;10;12;20
;;2;Muntjewerf, S.;159;2;14;7;7;11;10;8;11;7;0;4;3;4;0;4;7;4;1;3;3;2;2;2;0;3;5;3;5;10;4;3;6;0;0;0;1;0;3
;;3;van Musscher, M.G.;215;4;4;2;1;3;2;2;5;2;2;2;5;1;0;2;1;0;3;5;13;0;25;3;12;2;8;13;61;0;5;2;6;0;1;0;1;2;15
;;4;Wagemaker, A.H.;71;2;1;0;2;3;1;1;5;1;1;0;3;1;20;1;0;9;1;2;0;0;2;3;1;2;1;1;0;0;0;1;1;0;0;0;0;5;0
;;5;Heddes, J.J.;223;16;19;14;15;5;16;20;24;5;2;9;4;0;1;0;5;2;1;4;4;4;1;0;4;1;0;3;2;11;9;3;16;0;0;0;0;0;3
;;6;Piket, H.C.P.M.;56;2;0;2;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;17;3;1;0;11;0;0;2;0;0;0;0;0;0;0;3;8
;;7;Schrijver, J.C.;159;2;5;3;5;1;2;3;1;1;2;5;3;2;0;1;0;12;0;1;0;2;11;4;17;9;12;12;15;0;0;0;4;0;0;0;0;9;15
;;8;Juckenack, S.E.B.;30;0;1;0;1;0;1;0;4;2;0;0;0;0;0;0;0;15;0;0;0;1;1;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
;;9;Blonk, B.;22;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;11;0;1;0;2;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;1
;;10;Numan, R.;75;6;2;5;5;6;7;1;4;5;1;3;3;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;2;8;6;3;2;1;0;0;0;0;0
;;11;van der Jagt, M.C.;15;4;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;2;0;0;0;0;0;0
;;12;Talsma-Hoejenbos, K.M.;25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;13;van der Wal, P.;13;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;3;3;0;0;0;0;0;0;0;0
;;14;Janssen-de Koning, J.W.;12;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0
;;15;van der Zee, P.;41;2;2;1;3;3;1;3;1;1;0;0;3;0;0;0;0;3;0;1;1;0;2;0;0;0;0;3;6;2;2;0;0;0;0;0;1;0;0
;;16;de Groen, M.A.M.;10;1;1;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;17;Muntjewerf, J.;6;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;18;van Dijk, J.J.H.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;19;Mud, R.;20;0;0;3;1;2;2;4;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0
;;20;Paarlberg, J.;12;1;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;2;0;0;0;0;0;0;0;0;0
;;21;Klant, R.J.;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Mourik, M.G.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
;;23;Goudsmit, J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;24;Zoon, R.B.;10;2;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;;25;Moussault, M.A.J.;4;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van Vliet, F.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Leijen, M.A.;58;0;0;0;0;2;1;0;1;0;1;0;3;1;0;0;0;2;0;0;1;0;1;3;21;5;1;1;4;0;0;0;2;0;0;0;0;3;5
6;GROENLINKS;;;1204;52;45;32;34;34;57;25;51;15;8;19;67;18;11;22;16;79;29;96;36;13;36;21;67;30;42;49;38;21;20;19;43;2;6;2;11;11;27
;;1;Riteco, L.A.J.;390;17;15;13;13;15;27;12;28;4;2;4;9;5;3;5;7;24;6;15;13;5;13;8;18;12;13;10;15;9;7;11;14;1;1;2;6;2;6
;;2;Menkveld, J.W.;334;10;9;7;8;4;9;4;6;2;2;9;10;4;2;9;3;18;19;75;9;1;13;3;14;9;11;12;13;6;4;1;9;1;2;0;3;5;8
;;3;Sintenie, B.W.;112;3;4;4;3;2;3;1;4;3;2;3;44;7;2;2;2;2;1;1;2;1;1;0;5;0;1;1;0;0;2;3;2;0;0;0;0;0;1
;;4;Bijlsma, A.J.J.;11;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0
;;5;Groen, K.D.;107;8;7;4;4;6;8;5;3;2;1;0;4;2;2;4;2;5;3;2;7;2;2;1;1;0;1;1;2;3;1;0;11;0;1;0;1;0;1
;;6;Rot, G.;9;1;0;0;1;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Komen - de Leeuw, S.J.;68;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;1;3;6;24;4;12;0;1;0;0;0;0;0;0;0;0;2;7
;;8;Bart, J.;23;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;1;0;1;0;0;16;0;0;0;1;0;0;0;0;0;0;0
;;9;Brus, I.D.G.M.;26;1;0;0;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;1;4;6;0;0;0;0;0;0;0;0;1;2
;;10;Mazurel, M.J.;27;3;4;2;1;3;1;1;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;2;0;1;0;0;1;0
;;11;Ismael, M.;29;1;4;0;1;1;5;0;1;0;0;1;0;0;0;1;0;1;0;1;1;0;0;2;0;1;0;0;0;0;3;1;3;0;0;0;0;0;1
;;12;van der Geest - Donkers, J.E.B.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;4;0;0;0;0;1;0;1;0;0;0;0
;;13;Kleemans, A.H.M.;11;2;0;1;1;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;14;Maarschall, R.;34;2;0;0;1;0;0;0;1;1;0;0;0;0;0;0;2;26;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;15;Bakker, R.P.;14;1;0;1;0;0;0;1;2;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;2;0;0;0;0;1;0;1
7;D66;;;1064;46;31;28;29;37;29;48;69;42;9;25;35;26;25;20;11;44;8;40;27;45;31;14;52;16;22;31;37;18;45;21;33;6;9;0;12;12;31
;;1;Jansen, F.N.J.;458;22;14;12;12;11;11;21;31;20;8;16;15;8;4;7;7;20;5;18;16;19;13;6;15;3;6;7;11;13;21;13;15;4;7;0;9;4;14
;;2;Struijf, M.;287;15;4;9;2;14;10;11;19;10;1;6;13;9;10;4;3;8;1;15;3;12;11;3;15;8;8;9;9;3;11;5;10;2;1;0;3;2;8
;;3;Vogel, H.;54;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;4;0;3;3;18;4;5;2;1;0;0;0;0;0;0;0;0;4;6
;;4;Horn, J.G.;16;0;0;0;0;0;0;0;1;0;0;0;2;1;7;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;5;Toorenent-Jonker, J.A.;28;3;0;0;1;1;0;0;1;0;0;0;1;5;0;1;0;0;0;0;1;0;0;1;1;1;1;5;2;0;0;0;0;0;0;0;0;2;1
;;6;Frowijn-Druijven, M.M.A.;72;3;4;4;9;3;5;2;5;5;0;0;0;0;0;3;1;1;0;3;0;3;0;0;1;0;0;3;0;2;9;0;4;0;0;0;0;0;2
;;7;Vlietstra-Wouterse, E.M.M.;9;0;2;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
;;8;Veenvliet, C.;6;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;9;Jansen, J.C.;8;0;0;0;0;1;0;1;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;10;van Opbergen-Velthuizen, J.;25;1;1;0;1;5;1;0;1;2;0;0;1;0;0;1;0;0;0;3;2;2;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0
;;11;van Drimmelen, A.A.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
;;12;Meijer-van den Broek, M.S.;15;0;0;0;1;0;0;0;1;0;0;2;1;2;0;1;0;0;0;0;0;4;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0
;;13;de Winter, P.H.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Velt, N.A.;70;2;3;2;3;1;2;12;5;5;0;1;1;1;2;2;0;3;0;0;1;4;3;1;2;0;1;3;7;0;0;0;2;0;1;0;0;0;0
8;SP (Socialistische Partij);;;762;31;39;19;25;29;33;27;28;11;8;15;17;15;9;10;17;60;11;46;28;19;23;11;31;16;17;28;22;16;23;12;24;5;5;5;5;5;17
;;1;Rijnders, W.P.;383;7;19;9;16;14;15;10;11;5;4;11;7;8;2;6;8;35;9;41;9;9;7;2;15;5;5;17;12;3;18;7;16;4;3;2;2;4;6
;;2;Smit-Kiekebos, U.L.M.;158;6;5;3;2;7;7;9;5;3;2;1;2;2;4;1;4;15;1;3;18;0;2;2;8;6;8;6;7;2;1;1;4;1;0;3;3;1;3
;;3;van der Harst, G.L.;18;0;0;0;1;0;0;0;5;0;0;1;0;0;2;0;1;1;0;0;0;0;3;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0
;;4;Pouw, A.M.M.;40;0;2;2;0;1;1;4;0;3;0;1;6;2;0;1;2;3;0;2;0;1;3;0;0;0;2;2;0;0;1;1;0;0;0;0;0;0;0
;;5;de Boer, H.;40;6;3;1;4;2;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;6;0;0;0;2;2;0;0;5;2;1;2;0;0;0;0;0;0
;;6;Piket, G.P.;39;2;0;0;0;2;2;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;5;7;7;3;0;1;1;0;0;0;0;0;0;0;0;0;6
;;7;Rezelman, S.;10;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;8;Muntjewerf, J.J.P.;15;2;1;0;0;1;0;0;2;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;1;2;1;0;1;0;0;0;0;0;0
;;9;Komen-van Dijk, M.;28;4;6;2;2;1;4;1;0;0;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0
;;10;Rezelman, B.G.C.;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Loeve, C.P.;6;2;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;12;Komen, R.G.;6;0;2;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;13;Hoogeboom, W.G.;16;2;0;1;0;1;0;1;2;0;0;0;0;2;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1
9;Wens4U (wij en Schagen voor u);;;740;42;59;35;27;69;50;54;26;19;11;33;25;10;3;12;6;8;0;13;8;34;13;3;17;6;5;16;24;21;27;12;34;0;2;0;4;1;11
;;1;Bredewold, H.P.;527;19;46;24;18;50;38;40;23;16;9;25;16;8;1;6;3;6;0;11;8;25;9;3;15;4;4;8;16;14;16;9;25;0;1;0;4;1;6
;;2;Freijsen-Vacano, J.H.;42;4;4;2;0;7;2;3;0;0;0;1;3;0;1;2;0;1;0;1;0;1;0;0;0;0;0;3;1;2;0;0;3;0;1;0;0;0;0
;;3;Verloop, M.C.;28;5;4;2;1;4;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;4;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0
;;4;Steijger, L.;20;4;0;0;1;2;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;2;0;0;0;0;0;2;1;2;0;0;0;0;0;0
;;5;Steijger, S.;8;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;6;Hartman, F.;14;0;0;0;1;0;1;2;1;0;1;0;1;0;0;2;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;7;Visscher-Spakman, M.;14;1;2;2;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;8;Bloem-van der Wel, H.E.;15;2;1;2;0;0;1;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1
;;9;Sedney, R.D.;9;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0
;;10;Cornelisse, M.;7;0;0;0;2;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Melchers, M.I.P.;12;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;2;1;0;0;0;0;0;0;0
;;12;Hogenes, R.C.M.;6;0;0;1;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;13;Wit, P.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;14;Obradović, S.;7;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;0;0;0;0;0;0;0;0;0
;;15;Stam, G.M.;29;3;1;0;1;1;0;5;0;0;0;3;1;1;1;1;0;0;0;0;0;2;0;0;0;1;0;0;1;0;2;0;1;0;0;0;0;0;4
