Verkiezing;;Gemeenteraad Wijdemeren 2022;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Wijdemeren;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1696;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Hervormde Kerk;Cultureel Centrum De Blinker;Parochiezaal ’t Achterom;Sporthal De Fuik;Kantine A.S.V. sportcomplex;Gemeentehuis Wijdemeren;Gemeentelijke Sportzaal Eikenrode;Bibliotheek Gooi en Meer;Catamaran;Kantine VV Nederhorst;De Bergplaats;Sporthal De Blijk;Kasteel Nederhorst (bijzonder stembureau);Restaurant Brambergen (bijzonder stembureau);Cultureel Centrum De Blinker (maandag);Gemeentehuis Wijdemeren (maandag);Sporthal De Blijk (maandag);Cultureel Centrum De Blinker (dinsdag);Gemeentehuis Wijdemeren (dinsdag);Sporthal De Blijk (dinsdag)
;;5;den Hartog, F.;230;28;27;11;102;0;3;1;1;2;0;0;1;2;1;21;2;1;26;1;0
;;6;Roobol, P.;157;5;34;13;34;2;7;1;2;1;3;0;3;4;2;13;1;0;29;3;0
;;7;Goossen, D.J.W.;243;4;7;0;5;3;1;1;1;0;43;46;45;47;0;1;1;20;0;0;18
;;8;Steenkamp, H.;26;0;2;0;1;1;3;8;3;1;0;0;0;1;0;0;1;1;0;4;0
;;9;van Voorthuizen, W.F.;40;1;1;0;0;23;2;1;2;0;2;0;0;2;1;0;1;1;2;0;1
;;10;Snel, A.W.;199;2;4;1;1;3;1;1;0;2;28;31;28;44;1;0;2;18;1;0;31
;;11;Pronk - Ligthart, M.;95;1;1;1;1;0;10;8;15;39;0;0;0;1;0;1;8;0;1;8;0
;;12;Ritt, M.J.P.F.;27;1;0;0;1;0;2;0;0;0;0;6;5;3;0;0;0;5;0;0;4
;;13;de Graaf, A.P.;11;2;1;1;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;14;Senteur, F.J.;19;0;3;0;1;10;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2
;;15;Kieft, J.J.B.;49;0;0;0;0;0;8;3;21;1;0;0;0;0;0;0;2;0;0;14;0
;;16;Nuissl - Wendt, A.;28;11;2;4;2;0;2;0;0;1;2;0;0;0;1;3;0;0;0;0;0
;;17;Neuteboom, M.E.C.;42;0;1;0;0;1;1;0;0;0;11;8;5;7;0;0;0;4;0;0;4
;;18;Wijnen, R.C.M.;7;0;0;0;0;0;0;0;0;0;0;1;1;4;0;1;0;0;0;0;0
;;19;van de Bunt, G.G.;80;2;0;0;1;0;15;14;26;7;0;0;0;0;0;0;6;0;0;9;0
;;20;Rootinck, L.C.M.;7;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Dieperink, H.;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Knijff, M.H.;9;0;0;0;0;0;1;0;0;0;0;1;0;4;0;0;0;1;0;0;2
;;23;Nout, A.M.;3;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0
;;24;Prinsen, H.;6;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0
;;25;Born, F.;10;0;2;1;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Blokzijl, H.;9;0;0;0;0;0;1;1;0;6;0;0;0;0;0;0;0;0;0;1;0
;;27;Faber, W.A.;17;0;0;0;4;0;2;2;1;0;0;1;2;0;0;3;0;0;0;2;0
;;28;Zeldenrijk, C.;11;0;0;0;0;0;4;1;2;1;0;0;0;0;0;0;2;0;0;1;0
;;29;Rotteveel, H.P.;9;0;0;1;0;0;1;2;4;1;0;0;0;0;0;0;0;0;0;0;0
;;30;Schuuring - Hamming, M.M.;13;1;0;0;0;0;3;3;3;1;0;1;0;0;0;0;1;0;0;0;0
;;31;Wester, J.J.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;32;Knijff, P.J.C.;8;0;0;0;1;0;2;0;2;1;0;0;0;1;0;0;0;0;1;0;0
;;33;van der Lee, G.A.;18;0;1;0;0;7;1;0;0;0;0;0;0;3;0;2;0;0;4;0;0
;;34;Holtkamp, P.V.;11;0;0;0;0;0;1;4;4;2;0;0;0;0;0;0;0;0;0;0;0
;;35;van Roode, C.R.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;36;Heijdra, E.H.M.;6;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;1;0;0
;;37;Bakkers, J.;9;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;3;0
;;38;Bakker, J.M.;7;0;1;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Spaargaren, E.;4;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;40;van Ee, J.;4;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0
;;41;van Walderveen, P.J.;21;3;2;6;4;0;0;1;0;0;0;0;1;0;0;2;0;0;2;0;0
;;42;Davelaar, W.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;43;van der Wilt, E.M.;7;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;2;0;0;0;0
;;44;Zuidinga, J.M.;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;4;0;0
;;45;de Wit, A.;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Meijers, A.;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
;;47;de Graaf, B.;11;0;0;1;2;0;4;1;0;0;0;0;0;0;0;0;1;0;0;2;0
;;48;Hamming, H.;5;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0
;;49;Kulkens, M.;36;2;14;0;9;1;0;0;1;0;0;0;0;2;0;3;0;0;4;0;0
;;50;Rutten, W.;142;9;23;4;43;3;4;3;9;3;5;0;0;4;2;3;4;1;18;4;0
2;CDA;;;1863;88;219;75;285;257;99;56;60;40;74;90;47;60;15;86;37;29;128;69;49
;;1;van Rijn, R.M.;820;33;102;32;123;93;54;34;28;16;29;29;16;29;7;42;23;18;52;42;18
;;2;Heeren, P.G.;91;0;0;2;4;1;4;0;0;0;16;24;10;13;0;1;1;0;1;2;12
;;3;Nienhuis, J.W.B.;56;2;16;4;9;7;0;0;0;4;0;0;0;0;1;4;0;0;6;3;0
;;4;Rooimans, B.;38;0;0;0;0;1;13;4;11;3;0;0;0;0;0;0;3;1;0;2;0
;;5;Korpershoek, H.J.;25;0;1;3;0;14;0;2;0;0;1;0;0;0;0;1;0;0;2;1;0
;;6;Visee, S.;101;4;13;6;10;37;0;1;4;0;2;1;4;4;0;4;0;0;9;0;2
;;7;Kastelein-Beaujon, C.H.;37;1;0;2;0;3;8;4;6;5;0;0;0;0;1;0;2;0;0;5;0
;;8;van Enk, D.A.;66;9;10;2;16;3;4;1;0;1;3;1;0;3;1;1;1;0;10;0;0
;;9;van Ruitenbeek, F.H.J.;15;0;2;0;0;9;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1
;;10;Kers, S.D.L.;20;2;4;1;3;1;0;0;0;0;0;0;0;0;0;4;1;0;4;0;0
;;11;Torsing, E.P.J.;127;3;10;3;12;64;2;0;0;1;7;2;1;3;1;5;0;1;7;5;0
;;12;Verbruggen, J.;115;8;20;4;30;5;0;2;1;0;1;2;3;2;0;15;2;1;14;5;0
;;13;Klijn, C.;8;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
;;14;van Hattum, K.J.;4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0
;;15;van Enk, B.C.;22;2;0;3;8;0;3;0;0;0;1;0;1;0;0;0;0;0;4;0;0
;;16;van 't Riet-Meijer, Y.E.;10;0;0;1;1;0;1;0;1;0;0;0;0;2;0;0;0;0;4;0;0
;;17;Dijkman, J.;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0
;;18;Leurs, G.A.;26;0;0;0;6;2;1;0;0;1;3;5;4;0;0;1;0;2;1;0;0
;;19;de Haan-Luijer, E.F.M.;21;0;4;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;20;Kemp, W.J.B.;15;3;5;1;2;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;21;Veldhuisen, H.J.;9;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;2;0
;;22;van Weeghel-Luijer, A.E.;20;1;6;2;4;2;0;0;2;0;1;0;0;0;0;0;0;0;2;0;0
;;23;Nienhuis, B.M.A.;5;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0
;;24;Skinner, B.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Aalberts, J.;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Boshuizen, R.I.;19;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;1;0;0;10
;;27;Korpershoek, S.;5;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Baartman, B.M.;7;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;29;Hennipman, T.;3;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Pieneman, J.;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Verbruggen-van Corteveen, J.E.;14;4;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;32;Daalhuizen, B.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;33;Torsing, H.J.;4;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
;;34;Mur, M.H.H.;14;0;0;0;2;0;4;0;0;5;1;2;0;0;0;0;0;0;0;0;0
;;35;de Groot, E.E.J.;10;1;0;0;0;0;4;2;1;0;0;0;0;0;0;1;1;0;0;0;0
;;36;Luijer, H.J.;5;0;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;;37;Vermeulen, W.A.;6;0;1;1;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;38;Torsing, M.C.;14;0;1;0;7;2;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0
;;39;Wever, R.J.T.;3;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;40;Steenvoorden, N.P.W.J.;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Verweij, D.;6;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;1;0;0;0
;;42;Visser, F.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Goedemans, R.J.;30;2;9;1;10;0;0;0;0;3;2;1;0;0;0;2;0;0;0;0;0
;;44;Galesloot, H.J.;5;1;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0
;;45;Nienhuis, B.S.S.E.;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;46;van Essen, D.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van den Broeck, J.;8;2;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
;;48;Verbruggen, T.;25;6;5;0;5;0;0;4;0;0;0;0;1;0;0;1;1;0;0;0;2
;;49;Spoor, P.A.;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Haverkamp, M.C.;15;0;0;0;0;0;0;0;1;0;1;7;1;0;0;0;0;3;0;0;2
3;DorpsBelangen;;;1419;39;100;20;116;40;151;64;125;154;124;58;72;68;3;45;36;34;51;69;50
;;1;De Kloet, J.J.;532;25;55;10;82;16;42;17;40;56;38;13;17;26;0;18;9;6;30;16;16
;;2;IJsbrandij, P.C.M.;210;3;6;0;6;4;61;27;23;34;6;1;5;1;1;3;8;0;2;18;1
;;3;Voigt, R.H.J.;52;0;18;2;8;1;1;1;2;0;2;0;0;1;0;8;1;0;3;4;0
;;4;Van der Schot-Schröder, P.M.L.;55;3;4;3;4;4;4;4;6;3;2;1;2;0;0;4;3;1;2;4;1
;;5;Duikersloot, R.H.;169;0;1;1;2;4;4;1;13;0;47;19;25;22;0;2;1;18;0;0;9
;;6;Van der Meulen, R.M.;51;0;0;0;0;3;10;1;5;21;1;0;0;0;0;2;4;1;0;3;0
;;7;Hennis-Steijn, M.J.;65;1;1;0;1;0;1;2;1;1;13;6;11;13;2;0;0;2;1;2;7
;;8;Doets, J.;67;0;0;1;1;0;17;4;21;7;0;0;0;0;0;0;2;0;0;14;0
;;9;Van Waveren, J.C.;55;0;0;0;0;0;9;1;7;29;0;0;2;0;0;0;4;0;1;2;0
;;10;Portengen, D.J.J.;13;0;0;0;1;0;1;3;2;0;0;0;0;0;0;0;1;0;1;4;0
;;11;Spaan, K.C.;19;2;4;2;3;0;1;1;1;1;1;0;0;0;0;0;0;0;2;1;0
;;12;Korver, H.;21;0;0;0;0;1;0;0;0;0;2;5;5;1;0;0;1;0;0;0;6
;;13;Gleusteen, S.E.;7;0;0;0;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0;1
;;14;Hooijer, T.;35;0;0;0;2;1;0;0;0;0;9;9;2;2;0;0;0;6;1;0;3
;;15;Van der Meer, M.B.A.;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
;;16;Glijn, J.L.;8;0;1;0;2;0;0;0;1;0;0;0;0;0;0;2;0;0;2;0;0
;;17;De Kloet, J.;11;1;2;0;1;2;0;2;0;1;0;0;0;0;0;0;2;0;0;0;0
;;18;Riebroek-Berkhout, P.C.;12;1;2;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;4;1;0
;;19;Schley-de Bruin, J.E.;4;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;20;Vesters-van den Hoek, B.A.;15;1;0;0;2;3;0;0;1;0;0;1;1;0;0;0;0;0;0;0;6
;;21;Van den Brink, W.G.;16;1;5;0;0;0;0;0;1;1;1;0;1;2;0;2;0;0;2;0;0
4;VVD;;;1183;69;59;20;81;53;128;56;97;99;76;34;52;76;3;40;40;25;53;74;48
;;1;de Kruijff, B.C.;543;32;29;7;34;31;53;24;33;36;42;23;34;43;1;21;16;12;20;29;23
;;2;Hidding, S.E.;135;7;3;2;3;9;12;5;4;10;20;6;8;19;1;3;1;4;2;5;11
;;3;van Balen, M.V.;100;0;0;0;2;0;19;10;21;13;1;2;0;1;1;0;10;0;4;13;3
;;4;van der Ree, J.R.;145;14;24;9;37;1;8;0;2;12;0;0;2;5;0;11;0;2;14;3;1
;;5;van der Heijden-Kemp, C.J.A.;44;13;0;1;3;7;1;0;0;2;0;0;1;1;0;3;1;2;8;1;0
;;6;Steman, W.J.;69;0;0;0;0;2;19;9;21;8;0;0;0;0;0;0;3;0;0;7;0
;;7;Kea, J.H.J.;21;0;0;0;0;0;4;3;6;4;0;0;0;0;0;0;3;1;0;0;0
;;8;Lorjé, W.;13;0;1;1;0;2;1;0;1;1;2;0;1;0;0;0;0;0;0;0;3
;;9;Huisman-Bakker, M.C.A.;8;1;0;0;0;0;0;0;1;1;0;1;2;1;0;0;0;1;0;0;0
;;10;Klink-Kemp, I.;45;0;1;0;0;0;10;4;6;10;1;0;0;0;0;0;3;0;3;7;0
;;11;Klink, J.J.;8;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;3;0
;;12;Vermeulen-Franssen, S.;52;2;1;0;1;1;0;0;1;2;10;2;4;6;0;2;2;3;2;6;7
5;Partij van de Arbeid (P.v.d.A.) / GROENLINKS;;;1192;77;129;34;109;76;114;69;70;38;49;37;41;44;5;66;32;27;70;50;55
;;1;Poels, S.;450;28;65;12;50;32;29;20;22;15;13;13;8;14;2;36;8;13;36;16;18
;;2;Wind, W.;288;21;41;12;37;24;21;11;7;4;10;5;10;16;1;17;10;5;21;5;10
;;3;Lipschitz, C.;169;8;9;0;1;11;40;23;15;14;4;0;6;1;1;3;9;0;8;15;1
;;4;Stoll, D.J.;57;2;1;1;0;0;0;0;3;0;5;11;11;4;1;0;0;2;0;0;16
;;5;Abrahamse, H.M.;75;14;11;7;16;4;5;0;5;0;2;0;0;1;0;7;0;0;3;0;0
;;6;Lachman, R.;27;1;0;0;1;1;6;5;3;2;0;0;0;0;0;1;0;0;1;6;0
;;7;Degenhart, N.M.;41;2;2;1;0;2;10;2;5;3;3;1;0;1;0;1;2;0;1;2;3
;;8;Bosdijk, C.W.F.;19;0;0;0;0;1;1;0;0;0;4;2;2;6;0;0;0;1;0;0;2
;;9;Moote, C.S.A.J.;31;1;0;1;3;0;1;7;9;0;2;0;0;0;0;1;3;1;0;2;0
;;10;Blase, K.L.;5;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0
;;11;Boersma, IJ.G.;6;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2
;;12;Ambachtsheer, P.;24;0;0;0;0;0;0;0;0;0;6;5;4;1;0;0;0;5;0;0;3
6;D66;;;986;47;53;17;67;46;132;64;101;49;68;31;56;56;9;22;33;16;35;49;35
;;1;Roosenschoon, N.W.M.;388;15;23;4;28;28;49;19;49;30;17;11;22;10;2;15;13;4;16;20;13
;;2;Kooij-Heijmerink, M.C.M.;219;2;9;3;12;8;50;24;23;13;9;5;6;9;2;3;9;2;7;19;4
;;3;Wouters, M.J.H.;49;10;4;4;11;2;4;0;1;0;1;0;0;2;0;3;2;0;5;0;0
;;4;Alphonse, M.R.;51;1;5;0;1;1;11;12;12;0;0;0;0;1;1;0;2;0;0;3;1
;;5;Koedijker, G.R.;48;0;0;0;0;0;0;2;0;0;13;5;12;7;0;0;0;5;0;0;4
;;6;Başli, H.;31;2;0;1;0;0;4;4;7;4;1;0;1;0;0;0;3;0;0;3;1
;;7;Betsema, M.J.J.H.;75;4;2;0;2;3;2;1;1;1;19;6;8;19;0;0;2;2;0;2;1
;;8;van der Schagt, M.C.;6;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Rienks, N.F.;23;6;4;1;4;0;0;0;0;0;1;0;0;0;3;1;0;0;3;0;0
;;10;Bimbergen, T.;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;11;van Oudheusden, W.;14;0;1;0;5;0;3;0;2;0;0;0;0;0;0;0;1;0;0;2;0
;;12;Bijl, P.A.;11;4;2;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;13;Vermeulen, M.C.;3;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;14;van Leuveren, T.;4;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Gulick, G.;5;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0
;;16;de Bruin, N.D.;55;1;3;4;0;2;1;0;1;0;7;4;7;8;1;0;1;3;1;0;11
7;ChristenUnie;;;758;49;97;41;80;9;74;40;60;31;23;17;12;27;7;44;25;7;74;34;7
;;1;Kaper-Hartenberg, E.T.;620;42;78;33;70;9;62;30;43;23;21;15;9;26;7;36;18;7;57;28;6
;;2;Brand, E.F.;59;1;5;1;1;0;9;10;12;5;0;0;0;0;0;1;3;0;4;6;1
;;3;Bruinius, N.R.;7;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;1;0;0
;;4;Hopman-van Zaanen, U.;9;0;4;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;0;0
;;5;van den Broeck-Bolt, E.H.;11;3;1;0;4;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0
;;6;ter Stege, L.;17;3;1;2;4;0;0;0;1;0;1;0;0;0;0;1;2;0;2;0;0
;;7;Grasmeijer-Bronsema, R.;9;0;1;3;0;0;0;0;1;0;0;2;1;0;0;1;0;0;0;0;0
;;8;Luijer-van Rooijen, E.;18;0;5;2;0;0;1;0;0;2;0;0;1;1;0;1;0;0;5;0;0
;;9;Grasmeijer, P.P.;8;0;0;0;1;0;0;0;2;1;0;0;1;0;0;0;2;0;1;0;0
