Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Woon en zorgcentrum Huis ter Hagen;RKVV Velsen;Engelmunduskerk Oud Velsen;gem. zaal Roos en Beek appartementencomlex;Cafe Zaal De Wildeman;Bosbeekschool, ingang schoolplein;'t Brederode Huys;Basisschool Floriant;Brederode Daltonschool;COB Hofstede;Jongerencentrum de Koe;Basisschool De Westbroek;Basisschool De Hoeksteen;Sporthal Het Polderhuis;Sporthal IJmuiden-Oost;Stichting OIG-IHD;Willemsbeekzaal;Buurthuis De Spil;Verpleeghuis Velserduin;CBS de Kompas;Woon-en zorgcentrum W.F. Visserhuis;IJmuider Zee en Havenmuseum;Buurthuis De Brulboei;Woonzorgcentrum De Moerberg;Sporthal Zeewijk;Basisschool De Origon;Buurtcentrum de Dwarsligger;Dienstencentrum Zeewijk;Wijkcentrum De Stek;Voetbalvereniging F.C. Velsenoord;Gemeentehuis maandag;gem. zaal Roos en Beek appartementencomlex maandag;'t Brederode Huys maandag;Sporthal Het Polderhuis maandag;Sporthal Zeewijk maandag;Wijkcentrum De Stek maandag;Gemeentehuis dinsdag;gem. zaal Roos en Beek appartementencomlex dinsdag;'t Brederode Huys dinsdag;Sporthal Het Polderhuis dinsdag;Sporthal Zeewijk dinsdag;Wijkcentrum De Stek dinsdag
Gebiednummer;;;;;1;2;3;4;10;11;13;14;15;16;17;18;19;20;22;32;33;35;36;41;42;44;46;48;50;53;55;56;57;81;83;101;110;114;122;153;181;201;210;214;222;253;281
Postcode;;;;;1971 EN;1985 CV;1985 HT;1981 BH;2071 SM;2071 EL;2071 AW;2082 GE;1991 BZ;2082 BD;1991 PT;1991 JE;1991 NN;1991 ET;1991 RK;1971 HN;1971 NL;1971 GZ;1971 VZ;1972 TL;1972 RR;1972 EE;1973 AK;1975 BJ;1973 XM;1973 BE;1974 TV;1974 BP;1974 PC;1951 CD;1951 HH;1971 EN;2071 SM;2082 GE;1991 RK;1973 BE;1951 CD;1971 EN;2071 SM;2082 GE;1991 RK;1973 BE;1951 CD
;;10;Todirijo, P.;18;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;3;0;0;5;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;11;Kappen, F.H.;37;2;5;4;0;1;3;0;1;1;0;0;0;0;1;0;0;0;0;0;2;1;0;9;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0
;;12;Bart, S.;137;10;0;1;4;5;5;1;2;2;0;4;0;5;0;4;5;1;6;12;3;6;12;0;5;3;7;4;6;6;0;1;3;0;0;0;2;0;6;0;0;3;3;0
;;13;Folkerts, J.P.A.;38;1;0;0;2;1;3;0;0;0;0;1;2;4;1;2;0;2;2;0;1;3;3;0;1;0;0;3;1;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0
5;CDA;;;1950;53;87;66;60;70;143;86;116;59;20;79;75;83;45;88;35;44;36;24;25;38;39;27;27;41;15;47;25;33;24;2;22;44;26;39;16;5;31;48;21;73;11;2
;;1;Nijemanting, G.J.T.;643;19;51;42;21;20;31;18;21;20;5;35;25;25;10;33;11;16;11;9;7;10;9;9;11;12;8;13;6;15;13;0;12;17;7;11;6;4;4;16;3;23;3;1
;;2;Sintenie, C.M.;297;1;8;7;6;22;49;26;30;2;5;6;9;5;6;10;3;4;5;1;1;2;4;2;1;3;1;2;2;2;2;0;1;15;7;4;0;0;7;14;10;10;1;1
;;3;Blokland, F.;97;3;2;0;4;9;27;15;2;2;1;3;1;2;1;3;3;1;0;0;1;2;1;1;1;0;0;1;0;1;2;0;0;0;0;0;1;0;0;2;1;4;0;0
;;4;Eggermont, A.C.;295;17;13;6;7;7;3;5;4;6;0;5;6;14;5;7;9;9;7;8;10;19;19;8;8;15;6;14;9;8;2;2;3;3;1;6;4;0;12;1;2;1;4;0
;;5;Staats, J.W.M.;224;3;3;5;4;2;6;4;4;18;0;23;21;28;8;26;1;1;2;2;1;2;1;2;1;2;0;0;4;3;0;0;2;3;0;8;0;1;2;3;0;28;0;0
;;6;te Beest, R.G.;89;4;3;0;5;0;2;0;1;0;0;4;1;0;1;2;3;4;6;1;0;3;3;3;3;5;0;13;3;2;1;0;1;1;0;3;5;0;3;0;0;1;2;0
;;7;Salverda, J.C.;5;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;8;de Jong-Huizinga, H.M.C.;22;0;3;0;8;0;0;0;1;1;0;1;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Paap, H.H.;20;2;0;1;0;0;7;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;1;0;0
;;10;Castien-van Eijk, M.J.P.;40;2;1;0;0;2;10;5;3;0;0;0;4;0;0;2;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;2;0;1;0;0;0;3;0;0;1;0
;;11;Koopman, P.A.G.M.;16;1;0;0;1;0;0;1;1;0;0;0;0;0;0;2;2;0;1;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0
;;12;Wesseling, G.F.;24;0;1;0;0;0;0;0;0;3;0;1;2;5;7;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;13;Hartendorf, C.W.;178;1;1;5;4;8;8;9;49;7;9;1;4;4;7;2;3;5;2;2;3;0;0;2;1;2;0;1;0;0;2;0;2;3;11;4;0;0;2;6;5;3;0;0
6;Forza! IJmond;;;1791;99;23;16;35;16;40;25;26;22;7;28;25;51;43;51;60;60;48;49;58;85;110;86;87;75;68;72;73;61;22;9;41;4;6;19;31;6;56;6;2;32;51;7
;;1;Scholts, S.;670;39;12;8;18;10;14;18;10;10;2;13;18;25;21;26;20;24;19;23;23;27;28;15;32;25;20;27;18;31;4;2;17;4;4;4;9;0;22;1;2;10;14;1
;;2;Post, H.M.;180;10;4;0;4;1;2;6;9;2;3;2;3;8;3;8;7;8;5;2;3;5;8;5;6;2;3;3;3;5;14;7;3;0;2;1;3;4;5;2;0;5;0;4
;;3;Levasier, F.C.;375;14;2;7;2;0;0;0;2;3;2;3;0;4;1;0;15;13;7;13;13;14;34;14;13;32;26;20;37;15;1;0;12;0;0;2;10;0;13;0;0;2;27;2
;;4;Demmers, H.C.;174;14;0;0;7;2;9;0;2;3;0;2;1;7;7;2;6;8;3;1;4;8;6;10;17;4;6;6;8;4;1;0;6;0;0;2;1;0;6;2;0;7;2;0
;;5;Kraaijeveld, J.D.;67;2;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;3;2;2;0;2;10;25;1;1;3;7;0;0;0;0;0;0;0;0;2;0;0;0;0;2;1;0
;;6;Broekman, J.J.M.;90;5;2;0;0;2;4;0;0;0;0;4;1;0;3;9;1;3;3;1;6;4;9;7;1;5;2;0;1;3;0;0;0;0;0;2;4;0;1;1;0;4;2;0
;;7;Demmers, C.;17;1;0;0;2;0;1;0;0;0;0;1;0;0;0;2;2;0;1;0;0;2;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;8;Teske, E.;10;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;2;0;0;0;0;1;0
;;9;Keur, J.H.;36;4;1;0;0;0;1;0;0;2;0;0;0;1;2;0;1;0;1;0;3;13;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0
;;10;Kruijer, M.;50;0;1;0;2;0;1;0;0;0;0;1;2;1;1;3;4;1;1;1;0;5;4;2;7;0;0;1;2;3;0;0;0;0;0;2;1;0;3;0;0;0;1;0
;;11;El Gharbawy, G.;26;1;0;0;0;1;2;0;2;1;0;0;0;0;0;1;0;0;2;2;1;1;7;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;12;Visser, J.C.;96;9;1;1;0;0;4;0;0;1;0;1;0;4;5;0;3;0;4;4;5;4;4;4;6;5;8;8;1;0;1;0;3;0;0;2;1;0;4;0;0;1;2;0
7;GROENLINKS;;;2686;82;131;131;71;137;143;116;169;49;62;73;93;152;70;150;51;45;34;38;37;47;43;56;53;31;21;49;35;34;38;14;27;38;32;49;16;9;55;66;41;76;19;3
;;1;Sitompul, I.H.J.;806;31;38;45;22;47;56;43;46;11;17;29;28;39;21;32;11;11;8;8;7;12;17;10;23;6;4;17;9;9;15;6;8;12;8;9;2;5;14;24;9;31;6;0
;;2;Hoekstra, M.J.;268;6;34;28;17;9;17;12;9;5;5;5;5;12;4;8;5;4;1;2;3;4;3;4;3;3;1;2;2;4;3;1;9;5;3;1;1;0;12;10;4;2;0;0
;;3;van Turnhout-Stoelman, I.C.;702;26;15;21;11;33;29;28;30;19;18;12;16;38;19;49;17;19;13;10;17;19;13;24;14;14;10;19;13;11;9;3;2;10;4;10;9;3;19;19;12;18;5;2
;;4;Pander, I.;279;5;25;29;7;25;18;13;15;5;6;9;7;16;3;20;5;1;3;4;1;2;3;4;3;2;0;3;4;4;5;1;5;5;0;8;0;1;2;6;1;3;0;0
;;5;van den Berghe, C.A.M.;52;4;0;1;1;5;4;2;1;0;1;0;2;1;2;3;2;4;2;1;2;0;2;1;0;0;0;0;1;2;0;0;0;1;0;1;1;0;1;0;0;1;3;0
;;6;de Wit, T.S.;184;4;10;2;11;8;12;10;11;5;4;4;6;5;1;7;6;4;2;5;1;4;4;8;5;4;3;2;1;1;4;2;2;2;2;5;2;0;4;2;2;3;4;0
;;7;van Mourik, B.A.;159;3;1;1;1;1;0;1;3;4;1;9;20;39;15;25;0;0;3;2;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;12;0;0;0;0;1;14;0;0
;;8;Kootstra, C.J.;26;1;2;2;0;1;2;0;1;0;0;2;1;1;0;2;0;1;0;2;1;0;0;0;1;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;9;Bekkering, M.H.;14;1;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;2;0;0
;;10;Tijman, J.W.R.;12;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;3;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
;;11;Mooi, H.D.;132;0;2;0;1;4;3;7;48;0;10;2;5;0;3;3;0;0;0;1;0;1;1;3;1;0;1;0;1;1;0;0;0;2;15;0;0;0;1;2;12;1;1;0
;;12;Robben, J.B.;17;0;1;0;0;0;1;0;1;0;0;0;2;0;0;1;3;0;0;2;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0
;;13;Dinjens, S.Y.;35;1;3;2;0;3;1;0;1;0;0;0;0;1;1;0;2;1;0;0;1;3;0;1;0;0;1;6;0;1;0;0;1;1;0;1;1;0;0;1;0;1;0;0
8;Partij van de Arbeid (P.v.d.A.);;;2661;90;66;39;65;74;113;77;67;56;23;82;87;108;70;113;34;53;55;61;87;53;62;115;82;68;73;57;46;87;33;22;43;31;22;54;39;19;72;60;31;79;63;30
;;1;Steijn, M.;1511;39;51;26;35;39;62;49;32;38;14;59;69;72;62;89;23;18;28;34;34;15;27;44;50;43;26;32;21;47;12;10;31;18;11;45;17;8;34;35;18;61;21;12
;;2;Karateke, E.;503;21;3;4;2;6;3;1;0;3;2;5;4;11;4;10;4;19;11;10;33;22;17;55;11;17;36;16;14;24;17;8;4;0;1;4;13;8;20;0;3;5;35;17
;;3;Pinkus, O.;108;2;0;1;5;7;5;6;15;0;4;5;4;1;0;3;1;0;2;1;1;1;1;4;1;0;2;0;1;0;0;0;3;2;6;0;0;1;3;7;8;2;2;1
;;4;Gemser, M.;125;13;2;1;4;2;2;1;2;2;0;2;4;5;1;1;2;4;3;7;7;5;11;3;1;2;4;3;3;11;1;2;2;1;0;1;2;0;2;0;0;4;2;0
;;5;Krid, A.;49;1;2;1;0;4;4;1;0;0;0;0;0;3;0;1;3;1;1;0;1;1;3;1;8;1;2;2;1;0;0;0;0;0;2;0;0;0;0;2;0;2;1;0
;;6;Duijn, A.E.M.;36;2;0;2;8;0;0;3;3;2;0;0;0;3;0;2;1;0;0;0;0;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;1;0;0
;;7;van Steenbergen, J.H.;17;3;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;2;0;0;1;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;8;Poen, J.M.;64;1;0;0;1;7;21;10;0;1;1;0;0;4;1;1;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;1;4;0;0;0;0;2;2;1;0;0;0
;;9;Metten, A.;12;0;4;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0
;;10;van den Noort-Mink, V.E.J.;22;0;0;1;1;0;0;0;0;4;0;1;2;6;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;3;0;1;0;0
;;11;Schut, J.W.;6;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;12;van Wijngaarden, A.;19;0;0;0;0;0;0;1;11;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
;;13;Blok, A.;37;1;0;0;2;0;1;1;0;1;0;1;0;1;0;1;0;2;1;0;1;0;0;3;0;1;0;1;3;2;3;0;0;2;1;0;0;0;2;4;0;2;0;0
;;14;Montijn-Duin, S.;41;2;0;0;1;0;2;0;1;0;0;0;1;0;2;1;0;7;7;0;0;4;3;0;3;0;0;0;0;1;0;0;0;0;0;0;2;0;2;1;0;0;1;0
;;15;Porck, R.E.;46;2;2;0;0;4;7;0;2;2;1;0;2;2;0;1;0;1;0;1;0;4;0;2;3;0;0;0;0;1;0;0;1;3;0;1;1;0;1;2;0;0;0;0
;;16;Wittenberg, B.J.M.;6;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;17;Ockeloen, C.;31;2;1;0;1;0;1;0;0;0;0;6;0;0;0;1;0;1;1;2;4;0;0;0;2;1;1;0;1;1;0;1;0;0;0;1;2;0;1;0;0;0;0;0
;;18;Korf, A.M.;28;1;1;0;1;3;3;2;0;1;0;2;1;0;0;1;0;0;0;0;3;0;0;0;0;1;0;2;0;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0
9;ChristenUnie;;;1204;53;33;28;52;45;30;31;55;54;12;48;51;92;34;51;19;24;19;24;21;17;25;26;25;26;18;47;20;36;8;5;14;12;8;21;16;0;12;28;16;32;14;2
;;1;Cornet, F.;483;14;14;15;31;19;7;13;34;21;8;23;21;39;8;16;8;9;4;6;5;8;7;10;5;11;8;10;7;15;1;2;5;5;8;8;4;0;3;17;15;11;7;1
;;2;Waljaard, E.H.;284;12;8;8;5;4;9;8;8;6;3;8;14;19;6;12;4;8;6;11;10;2;4;8;9;4;1;21;9;8;3;1;5;1;0;4;10;0;5;4;1;10;5;0
;;3;Barth, A.A.;91;8;3;1;4;7;7;3;6;7;0;0;1;4;2;3;1;3;4;1;2;2;4;1;3;1;0;1;1;4;0;2;2;0;0;1;0;0;1;0;0;1;0;0
;;4;Korf, F.J.;47;2;1;2;7;1;0;0;1;2;0;1;1;1;2;1;2;0;0;4;0;0;4;0;4;2;0;0;1;2;2;0;1;0;0;0;0;0;1;1;0;1;0;0
;;5;de Winter, L.;63;5;2;2;2;4;0;1;0;4;0;2;0;2;4;1;4;0;2;0;1;2;2;4;2;5;0;0;2;2;1;0;1;2;0;2;0;0;0;0;0;1;1;0
;;6;Pel, B.J.;21;0;0;0;0;0;0;0;1;0;0;1;1;0;4;0;0;1;0;0;0;0;1;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;7;Tromp, R.;61;3;5;0;2;1;2;0;1;8;0;3;1;5;4;4;0;0;1;0;1;2;2;2;1;1;8;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0
;;8;Kooij, R.J.;41;4;0;0;1;7;3;5;1;0;0;2;1;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;5;0;3;0;1
;;9;de Kogel, M.P.;46;3;0;0;0;1;2;1;3;1;1;4;2;14;1;4;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;2;0;0;0;0;0;1;0;0
;;10;Karreman, T.C.;22;0;0;0;0;0;0;0;0;0;0;1;7;5;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
;;11;de Kogel, M.;5;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;12;Knol, K.J.;16;0;0;0;0;1;0;0;0;4;0;2;2;1;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;13;Kroon, P.A.;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Verhagen, A.;13;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
10;Forum voor Democratie;;;1444;77;17;20;29;38;40;29;15;42;16;34;47;69;36;76;46;55;43;54;48;41;69;64;50;31;40;58;40;38;55;15;13;3;4;16;3;3;15;12;2;26;8;7
;;1;Panis, T.;800;45;8;13;23;24;18;13;8;14;5;13;14;33;19;26;26;46;24;31;32;27;36;47;25;24;25;39;20;21;27;12;8;2;3;12;2;0;9;3;2;10;6;5
;;2;Vonk, M.A.;284;4;2;3;4;3;1;5;2;22;5;19;30;34;17;39;7;0;1;2;1;5;10;9;7;2;4;5;5;5;7;0;1;0;0;4;0;2;1;0;0;13;2;1
;;3;Kalló, N.;115;13;0;1;0;0;1;3;0;1;0;0;2;1;0;5;7;6;6;12;5;5;8;3;6;2;4;2;7;4;5;1;0;0;0;0;0;0;3;0;0;2;0;0
;;4;Beringen, S.;76;0;7;2;0;11;19;7;4;0;4;1;0;1;0;2;1;0;0;0;3;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;8;0;1;0;0
;;5;Reijmers, L.;42;5;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;2;2;4;2;5;2;3;1;1;1;4;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0
;;6;Lambrechts, G.J.;23;1;0;0;0;0;0;1;0;2;1;0;0;0;0;0;2;0;1;1;1;0;0;1;3;0;0;4;2;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
;;7;Vermeule, J.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;2;1;0;2;1;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Pollack, R.H.M.;18;0;0;0;1;0;0;0;0;2;1;1;0;0;0;0;0;2;3;1;2;0;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Nijman, M.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;2;0;1;6;1;1;0;0;0;0;0;0;0;0;0;0;0
;;10;Duiker, A.J.P.;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
;;11;de Jong, R.;21;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;4;0;1;3;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;de Ruijter, E.R.;29;3;0;1;0;0;0;0;1;0;0;0;0;0;0;2;1;0;5;1;0;0;0;0;3;1;0;4;0;3;0;0;1;0;0;0;0;0;2;1;0;0;0;0
