Verkiezing;;Gemeenteraad Opmeer 2022;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;
Gebied;;Gemeente Opmeer;;;;;;;;;;;;
Nummer;;0432;;;;;;;;;;;;
;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;'t Kerkhuys;Eetcafé Vroeg of Laat;De Hooghe Heeren;Cafe De Stompe Toren;Stichting Theresiahuis;Sportcentrum de Weyver;Brandweerkazerne Opmeer;Gemeentehuis 14 maart 2022;Gemeentehuis 15 maart 2022
;;13;Herbeck, C.M.;8;2;0;0;3;0;0;3;0;0;0
;;14;Hakvoort-Koopman, A.M.;9;2;1;0;4;0;0;0;1;0;1
;;15;Hoogland, J.N.;4;0;0;0;3;0;0;0;0;0;1
;;16;Vlaar-Keuning, C.M.;3;2;0;1;0;0;0;0;0;0;0
;;17;op 't Veld, N.C.J.M.;6;0;1;0;3;0;1;1;0;0;0
2;Gemeentebelangen Opmeer;;;994;114;101;66;211;118;74;116;46;45;103
;;1;Pelt, R.G.J.;423;42;44;33;105;32;11;70;24;17;45
;;2;Berkhout, A.M.;130;9;12;3;25;13;29;18;7;4;10
;;3;Stam, J.T.M.;68;5;8;8;5;0;25;2;2;5;8
;;4;Korver-Bellis, D.;61;8;11;10;7;3;1;2;7;8;4
;;5;Herder, A.E.;21;8;4;1;1;1;0;0;1;0;5
;;6;Keijser-Rogge, A.;59;20;12;5;8;1;0;3;1;2;7
;;7;Bos, J.J.;72;2;2;0;15;49;0;0;0;2;2
;;8;Haring, M.;25;6;1;2;0;0;1;3;0;3;9
;;9;Maas-Siepe, M.H.G.;27;2;2;0;10;0;0;6;0;3;4
;;10;van Hunnik, W.;7;3;0;0;2;0;0;0;1;0;1
;;11;Nieuweboer, M.;12;0;0;0;2;6;0;1;0;1;2
;;12;Wiersma-de Faria, R.M.;9;2;0;0;4;1;0;1;0;0;1
;;13;Stroet, W.G.M.;17;2;1;0;12;0;0;1;0;0;1
;;14;Deutekom-Muntjewerff, E.;63;5;4;4;15;12;7;9;3;0;4
3;DOOR SAMENWERKING VOORUIT (DSV);;;685;112;99;82;95;36;32;65;30;74;60
;;1;Anink, C.A.M.;259;45;43;26;41;10;11;19;15;23;26
;;2;Hagens, D.C.;82;19;3;10;9;1;6;4;5;20;5
;;3;de Maijer, W.P.;103;17;17;16;10;4;3;9;4;9;14
;;4;Appelman, M.P.J.;58;4;7;7;11;2;4;15;1;3;4
;;5;Bruin, S.A.N.;18;2;1;0;4;0;0;0;0;9;2
;;6;van Duin, A.J.;29;7;7;2;2;2;4;0;1;2;2
;;7;Leegwater, J.A.;27;3;9;5;1;0;2;3;1;0;3
;;8;Bos, R.F.;9;1;1;0;3;3;0;1;0;0;0
;;9;Menting, P.A.;11;2;0;3;4;0;0;0;0;1;1
;;10;Kalthoff, A.H.M.;33;1;6;6;2;4;0;6;0;5;3
;;11;Anink, M.;35;10;3;6;6;0;2;4;2;2;0
;;12;Zeilstra-Spies, C.H.H.J.;21;1;2;1;2;10;0;4;1;0;0
4;VVD;;;846;90;147;131;148;20;28;59;77;42;104
;;1;Buis, V.B.;381;38;52;40;83;10;24;23;38;20;53
;;2;Hoek, P.J.;127;7;30;23;22;2;1;15;5;10;12
;;3;Schipper, C.J.M.;80;12;21;24;2;0;0;3;9;0;9
;;4;Frankfort, J.;116;10;18;11;26;6;2;14;10;2;17
;;5;Ligthart, H.C.P.;38;11;2;7;4;0;1;2;6;1;4
;;6;Vriend, N.J.A.;64;8;11;15;8;2;0;2;8;7;3
;;7;Scholten, N.A.;40;4;13;11;3;0;0;0;1;2;6
5;Partij van de Arbeid (P.v.d.A.) / GROENLINKS;;;841;108;99;88;181;60;54;87;48;50;66
;;1;ter Veen, H.P.J.M.;371;37;39;39;83;25;16;49;22;23;38
;;2;Appelman, J.C.;149;28;28;20;20;11;7;10;7;10;8
;;3;van Lieshout, J.A.M.;19;2;4;0;6;0;0;4;1;2;0
;;4;Martherus, A.;26;3;1;0;9;2;0;8;0;0;3
;;5;Groenland, B.C.;101;12;17;10;21;6;3;9;9;5;9
;;6;de Groot, N.A.M.;20;4;2;2;5;0;0;3;0;2;2
;;7;Knobbe, B.K.;22;2;0;0;12;3;0;1;0;1;3
;;8;de Bruin - van de Graaf, A.A.;65;8;5;3;15;6;21;2;4;1;0
;;9;Goedhart, M.G.;19;0;0;4;0;6;7;0;1;0;1
;;10;Loos, C.G.;35;9;2;10;7;1;0;0;2;3;1
;;11;Heijtink, R.A.H.P.;10;3;1;0;2;0;0;0;0;3;1
;;12;de Bood, J.;4;0;0;0;1;0;0;1;2;0;0
6;Lokale Partij Opmeer;;;620;75;70;78;108;21;64;74;39;38;53
;;1;Bosch, N.J.J.M.;266;42;31;37;40;5;11;40;17;22;21
;;2;Schilder, L.J.J.;101;4;3;8;27;8;26;9;4;3;9
;;3;Hensing, H.A.A.M.;83;19;11;12;13;3;1;7;5;7;5
;;4;Boonstra, G.T.;40;2;0;4;11;1;0;13;3;0;6
;;5;Schilder, J.P.M.;52;2;8;4;3;2;26;0;1;1;5
;;6;Groenland, P.H.;28;1;5;0;11;0;0;5;1;1;4
;;7;Wittenberg, H.N.J.;28;3;6;10;2;2;0;0;1;4;0
;;8;Posthouwer, C.;22;2;6;3;1;0;0;0;7;0;3
