Verkiezing;;Gemeenteraad Laren 2022;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;
Gebied;;Gemeente Laren;;;;;;;;;;;
Nummer;;0417;;;;;;;;;;;
;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Brinkhuis;Johanneskerk;Klaas Bouthal;Verenigingsgebouw De Blokhut;SV Laren 99;Oude Rabobank;Oude Rabobank (Vervroegd stemmen 14-03-2022);Oude Rabobank (Vervroegd stemmen 15-03-2022);Mobiel stembureau met bep toegang (15-03-2022)
;;22;Holshuijsen, S.;8;2;1;0;0;3;1;0;0;1
;;23;van den Wall Bake, J.F.;12;3;1;1;1;0;2;2;2;0
;;24;Hessing, F.A.;6;1;0;1;2;1;0;1;0;0
;;25;Bogaers, S.W.G.A.M.;33;7;3;7;6;4;1;2;3;0
;;26;Calis-Vos, H.A.G.;2;0;0;0;1;0;1;0;0;0
;;27;de Boer, A.H.F.;7;0;0;0;4;0;2;0;1;0
;;28;Wikkerman, H.J.;20;4;0;3;6;1;0;2;4;0
;;29;Schouten, L.;4;3;0;0;0;0;0;1;0;0
;;30;Wegman, F.D.;3;1;0;1;0;0;0;1;0;0
;;31;Hilhorst, J.H.C.;13;1;0;1;0;1;0;5;3;2
;;32;Smit, T.A.B.;13;3;1;0;0;1;1;3;3;1
;;33;Janssen, L.J.M.;19;4;3;0;3;3;2;1;3;0
;;34;Calis, P.A.M.;20;3;2;3;2;1;2;3;3;1
2;Liberaal Laren;;;796;112;88;115;144;53;65;88;122;9
;;1;Timmerman, J.;407;54;53;56;69;31;29;45;65;5
;;2;Klingenberg-Klinkhamer, M.S.M.;209;37;13;34;42;12;19;21;29;2
;;3;de Jong, E.J.;23;1;0;4;4;1;2;5;6;0
;;4;Oomkens, B.A.;26;4;8;1;1;2;2;4;4;0
;;5;Snoek, H.B.;16;1;2;2;1;0;7;1;2;0
;;6;Sakkers, D.J.;6;0;1;1;0;2;0;0;2;0
;;7;Le Buhan, A. J.;35;7;4;6;6;3;2;1;6;0
;;8;Visser, A.;13;2;3;1;2;0;1;0;4;0
;;9;Lommel, J.J.E.;21;2;3;4;4;0;0;7;0;1
;;10;van Dalen, S.M.;5;0;0;0;4;1;0;0;0;0
;;11;Spijker, C.M.G.;6;1;0;1;0;0;0;2;2;0
;;12;Veldkamp-Koks, A.A.M.;4;2;1;0;1;0;0;0;0;0
;;13;van Esterik, J.A.W.P.;5;0;0;2;2;1;0;0;0;0
;;14;van Wijngaarden, J.H.T.;13;1;0;1;7;0;0;1;2;1
;;15;Timmerman, H.;7;0;0;2;1;0;3;1;0;0
3;VVD;;;1397;218;152;153;120;173;180;176;208;17
;;1;van Midden, J.G.;778;112;66;75;81;103;114;94;121;12
;;2;Niekus, D.J.G.;229;43;27;30;20;22;14;25;46;2
;;3;Koldenhof, E.;60;2;2;3;0;13;18;13;9;0
;;4;Merckx, S.J.J.A.;26;4;0;3;3;8;5;2;0;1
;;5;Westendorp, N.O.;17;4;5;2;0;5;1;0;0;0
;;6;Havenga-Hillen, F.E.M.;138;25;24;19;10;13;9;18;18;2
;;7;De Brouwers, E.J.;18;4;0;4;2;2;1;3;2;0
;;8;Barkmeijer, B.E.;9;0;9;0;0;0;0;0;0;0
;;9;Faas, J.H.;25;4;8;4;0;0;1;5;3;0
;;10;de Bondt, J.;14;0;2;2;0;2;4;1;3;0
;;11;Stam, A.H.M.;83;20;9;11;4;5;13;15;6;0
4;CDA;;;396;54;34;54;64;35;12;46;76;21
;;1;van den Berg, H.J.W.;233;28;21;30;42;13;6;28;49;16
;;2;van der Pols, L.C.;41;8;3;4;5;8;2;4;7;0
;;3;Mulder-Hillen, M.E.;34;5;3;9;8;1;0;5;1;2
;;4;Lobregt, J.S.;25;7;2;4;3;4;2;2;1;0
;;5;ten Duis-Koning, C.J.M.;13;0;2;3;1;1;0;3;3;0
;;6;Bon, S.J.R.;25;5;0;4;4;2;0;3;5;2
;;7;Krapels- Klapwijk, C.A.M.;6;0;0;0;0;2;1;1;2;0
;;8;van de Pas, E.C.H.M.;6;0;0;0;0;3;0;0;3;0
;;9;Graafsma, J.C.M.;2;0;1;0;0;0;0;0;1;0
;;10;Soetekouw, A.A.;11;1;2;0;1;1;1;0;4;1
5;D66;;;591;112;54;67;65;57;54;65;95;22
;;1;de Groot, F.K.;232;36;19;27;28;24;24;23;34;17
;;2;van Dorst-Brakel, E.;229;49;14;28;23;26;14;29;41;5
;;3;Berghorst, Y.H.;36;2;4;8;6;0;4;8;4;0
;;4;Fontaine, F.A.;28;7;7;2;5;5;0;1;1;0
;;5;Schutte, A.;17;4;0;1;1;0;6;1;4;0
;;6;Spaan, R.F.;11;2;2;1;1;0;1;0;4;0
;;7;van der Maas, W.C.P.;10;5;1;0;1;0;0;1;2;0
;;8;Juffermans, J.M.A.;3;1;1;0;0;1;0;0;0;0
;;9;Everts, G.J.;2;1;0;0;0;0;1;0;0;0
;;10;Kamp, J.J.;12;4;2;0;0;1;1;2;2;0
;;11;Wegter, N.G.M.;11;1;4;0;0;0;3;0;3;0
6;Groen Laren;;;673;112;73;77;178;43;40;90;47;13
;;1;Vos, L.B.J.;327;55;32;41;76;17;20;56;21;9
;;2;Grunwald, A.W.;35;5;4;4;10;2;0;5;5;0
;;3;de Schouwer, R.W.;98;16;11;11;36;7;5;6;6;0
;;4;Wichers Schreur, B.G.J.;8;0;1;0;2;0;0;3;2;0
;;5;Schimmel, S.F.M.;129;24;16;15;31;15;6;12;7;3
;;6;Daams, B.J.;29;3;4;1;9;0;8;3;1;0
;;7;Jansen, J.A.A.;26;7;4;1;5;1;0;4;4;0
;;8;Meulenkamp-van Dijk, J.C.M.J.;21;2;1;4;9;1;1;1;1;1
