Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bethelkerk;Bethelkerk;Buurthuis Centrum;School 7 Bibliotheek;De Jutter;Buurthuis de Viskom;Odensehuis;Buurtvereniging 't Kraaiennest;Triade;Hortus Overzee;Brede school de Poolster;Buurtvereniging Elto;Dorpshuis Huisduinen;ATV Texelstroom;M.F.C. 't Wijkhuis;'t Tuselantschool;Winnubst;M.F.C. de Boerderij;M.F.C. de Boerderij;Baptistenkerk Het Lichtbaken;Sporthal de Brug;Sporthal de Brug;RK Willibrordkerk;Gymzaal Vogelzand;Gymzaal Vogelzand;RK Basisschool De Hofstee;RK Basisschool De Hofstee;De Verbinding;De Verbinding;De Vredeskerk;De Vredeskerk;De Vredeskerk;De Kampanje/Stadshal;De Kampanje/Stadshal;De Kampanje/Stadshal;De Draaikolk;De Draaikolk;De Draaikolk;M.F.C. 't Dorpshuis;M.F.C. 't Dorpshuis;M.F.C. 't Dorpshuis;De Albatros
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42
Postcode;;;;;1781 KA;1782 KA;1781 LC;1781 BB;1781 CC;1781 TR;1781 WS;1782 XA;1782 BG;1782 SM;1782 JD;1782 AS;1789 AH;1784 EA;1784 EA;1783 GK;1783 HX;1785 JP;1785 JP;1785 SB;1785 BC;1785 BC;1786 AC;1788 MJ;1788 MJ;1788 VA;1788 VA;1788 WS;1788 WS;1785 BA;1785 BA;1785 BA;1781 AS;1781 AS;1781 AS;1784 BJ;1784 BJ;1784 BJ;1788 ES;1788 ES;1788 ES;1781 ZZ
;aangetroffen stembiljetten;;;20369;490;524;407;563;395;528;479;650;558;586;292;553;379;417;778;819;758;424;437;541;278;255;628;606;527;481;432;435;494;440;562;683;303;345;168;372;474;343;487;730;693;55
;meer stembiljetten dan toegelaten kiezers;;;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;andere verklaring;;;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Beter voor Den Helder;;;2358;35;55;46;77;52;57;70;76;81;58;38;41;45;46;112;94;89;57;54;65;48;46;58;79;55;57;67;52;65;30;49;86;31;37;16;26;59;56;48;75;59;11
;;1;Assorgia, G.;1102;24;31;16;37;31;26;40;39;47;25;18;19;24;23;53;27;42;25;26;35;37;27;24;30;23;22;27;20;25;13;25;42;13;16;7;17;24;37;23;21;18;3
;;2;Pater, D. E.;166;3;7;3;3;6;6;6;7;3;5;2;2;0;2;9;3;1;3;4;9;4;0;6;8;1;7;7;4;3;1;3;12;3;3;1;3;1;1;5;3;5;1
;;3;Hough-de Boer, L. R.;168;0;1;3;3;1;0;1;2;3;3;1;3;6;2;6;8;5;2;1;1;0;0;8;15;6;4;10;10;16;1;3;1;1;1;0;2;3;3;7;11;13;1
;;4;Niggendijker, B.;172;3;1;1;7;4;8;5;7;8;5;5;12;3;3;9;14;6;11;6;4;3;4;2;2;3;5;0;0;1;7;0;1;1;6;2;1;3;6;0;0;2;1
;;5;Vorstman, J. E;151;0;2;8;8;4;10;6;5;5;0;2;1;1;1;9;7;9;4;3;1;0;5;7;3;2;0;4;3;3;1;1;8;1;1;1;1;3;2;1;12;5;1
;;6;Saliha, E.C.;51;0;0;0;6;1;1;0;0;5;4;1;0;1;1;0;2;3;0;0;1;0;0;1;4;2;0;0;1;0;0;1;3;2;0;0;0;5;3;2;1;0;0
;;7;Houben, P. W. H.;169;3;0;1;3;0;3;6;7;7;6;4;1;6;5;9;7;6;3;5;7;1;6;2;5;6;7;4;1;6;6;7;5;3;2;0;2;6;2;1;8;0;0
;;8;van Dalen, V. M.;116;0;5;6;6;3;0;0;5;1;5;2;1;3;5;3;15;9;6;1;0;1;1;0;2;3;1;4;1;2;0;0;5;1;1;2;0;7;0;0;7;2;0
;;9;Evers, M.;19;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;4;2;0;0;0;0;0;0;0;4;0;0
;;10;Schutte, J.;89;1;0;4;0;1;0;1;2;2;0;1;0;0;3;5;8;4;3;6;5;2;2;3;1;2;0;3;3;0;0;2;3;4;0;3;0;4;1;1;3;6;0
;;11;Medemblik, T.;64;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;5;8;3;8;7;6;6;0;0;0;0;2;0;0;0;0;7;2;4;0
;;12;Angevare, B. M. H.;29;0;3;0;0;0;0;2;2;0;2;0;1;0;0;3;1;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;1;3;0;0;2;0;1;0;1;1
;;13;Dielemans, F. P.;33;1;3;0;3;0;2;2;0;0;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;2;2;0;2;1;0;1;0;0;1;0;0;0;0;0;1;3;3
;;14;Pronk, A.;29;0;2;3;1;0;1;0;0;0;1;1;0;0;0;3;0;2;0;0;1;0;0;0;0;0;0;1;0;2;1;2;2;1;1;0;0;1;1;0;2;0;0
2;CDA;;;1915;46;39;22;53;20;26;51;51;49;59;12;39;40;35;61;90;86;30;27;42;24;19;161;76;54;53;40;54;49;33;59;67;28;22;12;20;43;26;47;77;66;7
;;1;Krul, H.M.;959;24;26;12;28;10;16;27;34;34;34;7;19;28;22;30;50;49;24;16;26;14;10;35;34;25;13;15;27;23;18;23;47;17;16;7;13;25;8;26;27;16;4
;;2;Krijns, E.M.;87;3;2;2;4;3;4;3;0;3;0;0;5;3;2;5;5;6;1;2;2;0;2;6;3;2;1;2;2;2;0;3;1;0;2;0;1;2;0;0;0;2;1
