Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bethelkerk;Bethelkerk;Buurthuis Centrum;School 7 Bibliotheek;De Jutter;Buurthuis de Viskom;Odensehuis;Buurtvereniging 't Kraaiennest;Triade;Hortus Overzee;Brede school de Poolster;Buurtvereniging Elto;Dorpshuis Huisduinen;ATV Texelstroom;M.F.C. 't Wijkhuis;'t Tuselantschool;Winnubst;M.F.C. de Boerderij;M.F.C. de Boerderij;Baptistenkerk Het Lichtbaken;Sporthal de Brug;Sporthal de Brug;RK Willibrordkerk;Gymzaal Vogelzand;Gymzaal Vogelzand;RK Basisschool De Hofstee;RK Basisschool De Hofstee;De Verbinding;De Verbinding;De Vredeskerk;De Vredeskerk;De Vredeskerk;De Kampanje/Stadshal;De Kampanje/Stadshal;De Kampanje/Stadshal;De Draaikolk;De Draaikolk;De Draaikolk;M.F.C. 't Dorpshuis;M.F.C. 't Dorpshuis;M.F.C. 't Dorpshuis;De Albatros
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42
Postcode;;;;;1781 KA;1782 KA;1781 LC;1781 BB;1781 CC;1781 TR;1781 WS;1782 XA;1782 BG;1782 SM;1782 JD;1782 AS;1789 AH;1784 EA;1784 EA;1783 GK;1783 HX;1785 JP;1785 JP;1785 SB;1785 BC;1785 BC;1786 AC;1788 MJ;1788 MJ;1788 VA;1788 VA;1788 WS;1788 WS;1785 BA;1785 BA;1785 BA;1781 AS;1781 AS;1781 AS;1784 BJ;1784 BJ;1784 BJ;1788 ES;1788 ES;1788 ES;1781 ZZ
;;5;Altena, M.;53;1;1;0;2;0;2;1;5;3;3;3;0;0;1;0;6;0;2;1;3;1;3;1;0;2;0;1;1;1;0;0;1;2;3;1;0;0;0;0;0;2;0
;;6;Kikkert, S.;115;2;1;1;5;0;5;2;2;3;2;0;4;2;1;8;8;4;2;3;1;0;2;3;1;3;3;2;0;7;3;7;2;1;2;5;2;2;3;1;5;5;0
;;7;Mosk, H.S.;116;2;2;1;2;0;0;4;4;1;4;1;2;1;4;5;7;12;1;5;3;0;3;1;3;6;1;1;4;1;6;0;1;5;4;2;1;1;5;5;5;0;0
;;8;de Vries - Schong, G.;37;3;1;0;0;0;0;0;2;2;0;2;1;1;1;1;1;1;2;0;1;2;0;0;0;0;0;0;0;0;3;1;7;0;0;0;2;2;1;0;0;0;0
;;9;Papo, C.J.;64;1;2;0;5;0;2;1;1;2;6;0;1;3;1;5;3;2;0;0;3;0;0;1;1;3;0;1;4;4;0;2;0;1;2;1;0;2;1;1;1;1;0
;;10;Kalf, E.;6;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
;;11;Schuurman, J.P.;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;12;Wegman, S.R.J.;37;2;2;0;1;0;0;1;0;0;7;0;3;0;0;0;5;1;1;0;0;0;0;1;2;1;0;0;0;1;2;1;0;0;1;0;0;1;1;0;0;3;0
;;13;Dop, J.;67;2;1;1;1;2;2;2;2;3;3;0;2;21;1;1;2;2;1;0;0;1;3;0;0;1;0;0;0;1;0;2;1;1;0;2;2;2;1;0;1;0;0
6;Seniorenpartij;;;1105;20;24;20;13;21;17;15;26;22;5;16;21;13;20;26;40;30;40;41;42;14;15;76;39;34;30;38;23;28;17;44;35;13;11;6;16;16;24;41;58;54;1
;;1;List, N.;469;15;12;9;9;11;9;7;17;13;3;6;8;9;7;10;25;12;20;16;26;9;10;8;18;9;3;8;7;9;8;34;18;6;5;4;8;11;14;14;9;13;0
;;2;Bazen, C. M.;235;2;4;4;1;4;1;3;2;4;1;2;1;3;3;1;5;5;6;3;7;1;2;22;9;12;16;13;6;11;2;2;4;2;2;0;4;1;5;10;27;21;1
;;3;Janssen-Dikmans, S.;70;0;3;4;2;1;2;1;3;0;1;1;3;0;1;3;1;2;1;1;2;1;1;2;5;1;4;3;0;0;1;1;6;3;0;1;1;0;1;2;5;0;0
;;4;Zuiddam, M. L.;16;1;0;0;0;3;0;0;0;0;0;0;0;0;2;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;2;0;0;0;0
;;5;Apan Vega, M. C.;28;0;0;1;1;0;1;0;1;3;0;0;5;1;2;0;0;0;0;4;3;0;0;0;1;3;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;6;Kisteman, M.;131;2;0;0;0;0;0;2;0;0;0;1;3;0;2;3;2;1;3;1;3;2;1;34;2;6;2;8;9;5;4;1;2;0;0;0;0;1;1;9;8;13;0
;;7;Wilkens, B. E.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;6;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;2;0;0
;;8;de Boer, S.;28;0;2;1;0;2;1;1;0;0;0;1;0;0;1;1;2;0;3;3;0;0;0;0;0;1;0;0;0;0;2;2;0;0;1;0;2;0;0;0;1;1;0
;;9;Kaandorp, G. N.;27;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;3;0;0;0;4;2;0;5;3;0;0;0;0;1;1;0;0;0;0;0;2;2;0;0
;;10;Koenen, A. A. H.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;1;4;4;0
;;11;Kriele, M. F.;23;0;1;0;0;0;1;1;1;1;0;1;0;0;2;1;0;1;4;4;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0
;;12;Langedijk, J. H.;19;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;3;1;0;0;0;0;0;1;2;0;0;1;1;1;0;0;0;0;0;0;0;1;0;3;0;1;0
;;13;Renssen, H.;19;0;1;1;0;0;1;0;0;1;0;3;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;1;0;0;0;1;0
7;Stadspartij Den Helder;;;1289;36;48;53;64;38;55;40;44;28;36;18;34;9;30;35;41;36;30;36;48;15;23;15;26;26;37;27;19;27;37;51;42;20;31;12;15;22;22;9;20;31;3
;;1;Kos, P.J.R.;614;14;21;31;41;19;31;20;33;18;16;13;17;5;11;18;22;24;7;11;12;9;6;8;19;14;20;11;9;12;9;19;14;6;15;5;7;7;9;4;13;13;1
;;2;van Dongen, H;87;1;5;1;6;4;5;0;2;0;5;2;3;0;5;0;1;0;1;3;2;2;2;0;0;2;3;4;2;0;0;9;4;2;0;2;0;7;1;0;1;0;0
;;3;Loman, F;85;6;9;8;4;4;3;1;0;0;0;0;9;0;5;0;3;3;14;0;0;0;1;1;0;0;2;2;0;0;3;0;1;2;1;1;0;1;0;0;0;1;0
;;4;Gatowinas, A.J.;217;8;3;7;4;2;3;6;5;3;7;0;2;0;2;7;3;5;0;14;17;3;6;2;4;4;4;1;0;6;22;21;16;4;2;2;4;3;5;0;4;5;1
;;5;Salverda, D.S.;16;0;1;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;2;0;0;0;0;1;0
;;6;van der Kraan, J;39;0;1;0;2;2;0;1;0;0;3;0;1;0;0;1;2;0;1;0;0;0;0;0;0;1;2;0;5;5;0;0;0;0;0;0;0;0;2;4;2;4;0
;;7;Gatowinas-Blomberg, J.J.;31;1;0;1;1;0;0;0;0;0;1;1;0;0;2;0;1;0;3;1;2;0;2;0;1;3;1;3;1;1;2;1;1;0;1;0;0;0;0;0;0;0;0
;;8;MacDonald, D.W.N.G.;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;9;Wegman, R.G.T.;6;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0
;;10;Gatowinas, K;22;0;1;2;1;0;1;0;0;3;1;0;0;0;0;0;1;2;3;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0
;;11;Nanning, N.C.;33;4;1;1;0;0;0;0;0;1;0;2;0;3;0;1;0;0;1;0;7;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;2;2;2;1;0;1;0
;;12;Zijlstra, R;30;0;0;0;0;0;1;6;0;0;0;0;0;0;3;0;2;2;0;1;2;0;2;0;0;0;0;2;0;1;0;0;2;2;3;0;0;0;1;0;0;0;0
;;13;Groen, R.A.;12;0;0;1;2;0;0;2;0;3;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Verhoef, D.S.;27;0;0;0;1;0;3;0;2;0;0;0;0;0;2;3;1;0;0;2;1;1;1;0;0;2;2;1;0;0;1;0;1;0;2;1;0;0;0;0;0;0;0
;;15;Riekwel, A;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
;;16;van Putten, A.R.;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;2;2;0;0;0;1;0;0;1;0
;;17;Riedeman, F;12;0;5;1;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;18;van Dongen, J.C.;24;1;0;0;1;2;5;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;1;4;0;0;0;0;0;0;1;0
;;19;van Delft, N;9;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;2;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
8;ChristenUnie;;;997;23;33;21;21;13;40;23;32;32;24;25;24;12;17;77;35;53;20;19;25;10;6;17;26;27;23;19;27;19;22;25;17;13;19;7;12;42;20;24;19;30;4
;;1;Polonius-Padmore, T.C.;527;14;17;16;11;6;17;11;19;16;17;16;16;7;7;44;19;32;12;4;12;7;4;8;11;16;12;8;11;9;10;12;4;10;11;5;9;21;12;10;9;14;1
;;2;Pavlotzky, S.T.;117;4;6;2;1;2;8;1;1;4;2;2;2;0;2;8;0;8;0;4;7;0;1;3;2;1;3;2;7;4;0;1;7;1;3;0;1;5;2;1;3;5;1
;;3;van Dam, L.;133;3;3;2;2;3;6;4;4;5;2;0;1;3;3;11;9;6;2;1;2;1;0;1;7;3;2;0;4;2;4;4;4;1;3;0;1;5;2;8;5;3;1
;;4;van Dam - van der Sterre, J.M.;60;1;0;0;2;0;2;4;4;2;0;3;1;0;1;5;4;1;1;0;1;0;0;1;1;3;0;1;0;1;4;3;2;1;1;0;1;1;0;1;1;5;1
;;5;Bras, P.F.;22;0;1;0;0;1;0;0;1;1;0;1;1;0;2;0;0;3;0;3;1;0;1;0;0;0;0;3;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
;;6;Haboldt, W.C.J.;71;0;2;0;1;1;2;1;2;2;1;2;3;2;0;4;1;3;5;5;0;2;0;3;1;0;3;4;4;3;2;2;0;0;0;1;0;3;2;0;1;3;0
;;7;Hamerslag - Cecilia, N.G.A.;23;1;1;1;1;0;0;0;1;0;1;1;0;0;1;3;1;0;0;0;1;0;0;1;2;0;1;0;0;0;0;1;0;0;0;0;0;4;0;1;0;0;0
;;8;van Strijen, P.;44;0;3;0;3;0;5;2;0;2;1;0;0;0;1;2;1;0;0;2;1;0;0;0;2;4;2;1;1;0;1;1;0;0;1;1;0;2;2;3;0;0;0
9;Partij van de Arbeid (P.v.d.A.);;;1048;24;34;24;26;14;21;21;28;29;31;16;46;18;15;43;49;32;21;36;41;17;8;21;29;31;17;20;21;19;21;33;40;22;20;3;20;19;21;29;38;30;0
;;1;de Vrij, P.;434;7;9;10;11;11;7;8;10;12;11;2;18;3;6;15;27;12;11;18;27;7;1;12;10;11;5;9;10;6;12;21;19;6;8;0;8;5;8;11;16;14;0
;;2;de Leeuw, J.P.;89;2;4;2;0;1;2;2;3;3;1;5;13;0;1;6;6;1;1;1;2;3;0;0;0;1;1;2;1;0;4;2;3;0;4;2;1;2;2;2;2;1;0
;;3;Spandaw, B.P.;55;3;3;1;1;0;1;2;1;1;0;0;0;0;0;0;0;2;0;2;0;0;1;3;6;6;3;0;0;8;0;0;1;0;0;0;0;0;0;2;2;6;0
;;4;Anthonijsz-Keizer, M.;207;4;8;7;8;2;7;3;5;7;11;7;6;6;5;13;11;12;2;7;5;2;2;3;3;8;4;4;3;1;2;2;5;10;2;1;0;4;1;5;3;6;0
;;5;Blank, P.;68;3;2;1;4;0;1;3;3;3;4;0;1;6;0;2;2;1;0;1;1;0;1;0;2;1;1;2;1;0;1;1;2;1;4;0;3;4;2;0;3;1;0
;;6;Regtop, H.J.;14;2;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
;;7;Fuchs, U.N.;14;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;2;1;0
;;8;van Groning, S.;18;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;3;0;0;0;1;1;0;0;0;0;0;3;0;0;0;0;0;0;5;0;0;0;0
;;9;Jellema, A.A.J.;50;1;2;1;1;0;1;2;1;2;3;1;1;0;0;2;2;2;2;1;0;3;1;0;3;0;0;1;1;0;0;0;2;2;0;0;5;3;0;2;2;0;0
;;10;Benzerti, M.N.;35;1;4;0;0;0;1;1;0;0;0;0;1;1;1;2;0;0;2;5;0;0;0;0;1;0;1;0;1;0;0;3;4;1;0;0;1;1;3;0;0;0;0
;;11;de Jong, M.;26;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;1;2;2;2;2;0;1;0;2;0;0;0;0;0;0;3;3;1;0
;;12;Kasander, J.M.;7;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0
;;13;Bleekemolen, H.W.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0
;;14;van Herwijnen-Oostendorp, A.C.;13;1;0;1;0;0;0;0;0;0;1;0;0;2;2;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
;;15;Spee, J.A.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0
;;16;Smit, J.H.;12;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;1;0;0
10;GROENLINKS;;;1382;42;33;28;52;23;28;17;62;30;42;28;44;28;28;60;84;54;17;21;23;12;12;34;29;39;31;30;27;20;37;23;24;37;22;18;34;24;19;53;62;50;1
;;1;Boessenkool, M.;836;23;17;12;30;7;20;11;33;20;24;15;23;17;17;41;42;27;8;8;16;9;12;15;18;25;20;19;18;18;24;19;15;21;17;10;26;19;10;35;37;38;0
;;2;Timmers, M.C.;143;6;1;8;11;6;2;2;7;3;6;2;7;1;2;5;13;10;4;1;3;1;0;2;0;1;1;3;2;1;3;0;4;4;2;3;3;4;4;1;0;3;1
;;3;de Graaf, R.J.;31;1;1;0;0;2;1;0;0;0;2;0;3;1;0;0;3;0;0;0;0;1;0;1;0;0;3;1;0;0;1;1;0;1;0;0;2;1;0;3;2;0;0
;;4;van Vliet, F.;69;2;2;5;2;1;0;2;5;0;3;1;0;1;2;4;8;4;1;1;1;0;0;3;0;1;0;1;2;0;5;1;1;1;1;0;0;0;2;0;4;2;0
;;5;Dol, C.J.;47;5;1;0;2;4;1;0;2;4;1;1;3;3;1;1;3;0;1;0;0;0;0;0;1;1;0;0;2;0;1;1;1;3;0;0;0;0;1;1;1;1;0
;;6;van Beveren, J.W.H.;32;2;0;0;0;0;0;0;0;0;0;1;3;0;3;1;2;5;1;1;1;0;0;0;0;2;1;2;0;0;0;0;1;1;0;1;0;0;1;2;0;1;0
;;7;Derks, N.;14;1;1;1;3;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
;;8;van der Burg - van Eijk, F.J.;34;0;1;0;2;0;0;0;2;0;0;1;1;0;0;1;3;2;2;0;0;0;0;0;3;3;2;3;1;1;0;0;0;0;1;0;0;0;0;2;2;1;0
;;9;van de Poel, C.M.;60;0;1;1;2;0;1;0;0;1;1;1;0;0;0;2;0;0;0;1;0;0;0;11;4;6;1;1;0;0;0;0;1;0;0;0;2;0;0;7;14;2;0
;;10;van Hulzen, J.;12;0;0;0;0;0;0;0;3;0;0;0;0;4;0;0;0;1;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Bais, F.;10;1;3;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0
;;12;Möhlmann, B.B.;11;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;13;Bakker, C.J.;10;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;14;de Jong, M.R.;11;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;15;Augustijn, T.;20;0;1;1;0;0;1;0;4;1;1;1;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
;;16;Hoekmeijer, G.;42;1;3;0;0;3;1;0;4;1;1;3;4;0;1;3;0;3;0;5;0;0;0;1;0;0;0;0;0;0;2;0;1;2;1;2;0;0;0;0;0;0;0
11;BEHOORLIJK BESTUUR;;;3812;107;121;83;102;98;125;93;148;108;92;55;154;37;89;135;156;164;87;73;103;51;35;74;98;84;81;75;50;67;99;101;142;51;68;22;75;106;51;76;141;132;3
;;1;Hamerslag, S.;1263;30;35;11;36;30;46;31;59;37;22;13;59;11;30;39;39;51;28;30;42;20;12;19;35;25;30;26;20;20;41;38;53;15;20;3;36;37;14;25;48;46;1
;;2;van Esdonk, L.G.J.M.;217;5;8;5;7;2;2;6;8;5;12;7;6;2;5;3;2;20;4;7;4;2;3;1;8;4;3;7;6;6;11;4;7;1;9;1;1;4;2;4;8;5;0
;;3;Dijk, M.E.;108;2;4;3;2;6;5;4;5;9;2;2;10;1;4;3;6;2;1;0;2;2;0;1;1;2;0;1;3;0;1;2;4;3;2;0;1;6;2;0;1;3;0
;;4;Pastoor, M.;180;1;1;4;0;0;1;3;3;4;3;2;2;0;1;4;0;4;0;1;1;0;0;24;7;12;18;8;2;8;3;1;5;2;1;0;0;2;0;11;20;21;0
;;5;Karhof, M.W.B.;150;5;3;1;1;2;4;7;9;4;4;2;4;0;5;3;13;9;6;2;3;0;2;1;1;4;1;3;2;6;7;7;7;0;1;0;3;5;2;4;3;4;0
;;6;Oudijk, G.J.S.;505;18;32;14;14;15;17;5;15;17;23;3;9;8;12;22;15;9;15;15;13;10;4;4;14;4;14;8;7;7;11;11;18;12;18;5;13;11;6;5;19;13;0
;;7;van Wamel, R.M.L.;47;1;2;3;3;0;2;0;2;0;0;0;1;2;0;2;4;3;3;0;0;0;0;0;0;3;0;0;0;0;0;4;1;2;0;5;1;0;1;1;1;0;0
;;8;Hogendoorn, A.;41;1;0;0;0;0;0;0;1;0;0;0;2;0;1;0;1;0;1;0;1;0;0;4;3;3;2;2;0;2;0;0;0;1;0;0;1;3;0;1;5;6;0
;;9;Kolsteeg, A.V.;19;1;0;1;1;1;0;0;0;2;0;2;3;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0
;;10;Kooij, G.;301;6;5;5;8;4;5;15;3;10;9;7;12;3;13;18;19;29;8;5;12;4;3;3;5;10;3;3;2;5;7;7;12;1;0;2;2;11;5;8;7;5;0
;;11;Buurmeester, C.;47;3;1;0;1;1;2;0;2;1;0;2;2;0;0;3;3;2;2;3;2;1;0;0;1;0;3;1;1;1;1;0;4;1;0;0;0;0;0;1;1;1;0
;;12;Aksoy, T.;16;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;4;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;1;0
;;13;Hamerslag, M.M.;74;2;6;3;2;1;0;1;4;0;0;1;6;0;4;1;0;0;0;0;2;0;3;1;3;0;0;2;0;2;2;0;2;4;3;0;5;8;1;2;3;0;0
;;14;Tot, E.;28;0;1;1;0;3;6;0;0;0;1;2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;3;2;0;1;0;0;0;0;0;1;0;0
;;15;Posthumus, H.;113;4;4;6;7;8;7;5;5;8;3;0;2;0;4;1;3;1;3;3;2;2;2;0;1;1;1;0;5;1;1;0;6;1;3;1;3;1;2;1;2;3;0
;;16;van Wolferen, R.;31;1;3;3;6;0;1;0;1;1;1;0;0;0;0;2;1;1;3;0;0;0;0;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0
;;17;de Haan, N;4;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Schotman, T.N.E.;150;6;5;8;0;13;8;5;7;2;3;3;21;1;4;7;12;8;2;1;7;5;2;0;1;0;1;0;0;0;0;2;0;1;3;0;3;4;5;0;0;0;0
;;19;Does, F.;13;0;0;1;0;0;3;2;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;20;Jonas, P.J.;67;5;4;3;0;1;2;0;2;1;0;2;1;0;1;2;3;2;0;0;1;3;0;5;1;0;0;0;1;0;0;6;4;3;4;3;0;0;1;1;0;5;0
;;21;Hemelrijk, P.;36;1;0;2;0;0;5;1;1;2;0;2;2;0;0;1;3;5;0;0;0;1;0;0;0;0;0;2;0;0;0;1;1;2;1;0;2;0;0;0;1;0;0
;;22;van den Berg, W.C.N.;10;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0
;;23;Snip, J.;5;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Coers, M.B.G.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
;;25;Beets, M.N.H.;11;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0
;;26;Bierens, J.L.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;1;0;0;0;0;0;0;0;1;4;1;0
;;27;Brian, C.;8;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;28;Heres, A.S.;11;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;2;1;2
;;29;Duijzer, M.J.C.;49;4;1;0;1;1;2;1;0;3;1;1;3;0;1;9;3;5;0;0;3;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;3;2;0
;;30;van Esdonk-Deutekom, I.C.M.;11;0;0;0;2;0;0;1;2;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
;;31;Kuijpers, J.F.J.;4;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;32;van Gimst, R.J.M.M.;22;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;1;0;2;0;3;0;0;0;0;0;0;0;1;1;3;2;2;0
;;33;Selie, K.H.;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Koster, E.R.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;35;Koopman, P.;9;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Alhers, S;32;1;0;6;1;2;0;0;2;0;2;1;2;0;0;1;4;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0
;;37;Dekker, G.M.;14;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;2;2;1;0;0;0;0;0;0;0;2;0
;;38;Bos, W.W.;17;0;1;0;1;1;1;3;6;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Duijvelshoff, A.;12;0;1;0;0;2;0;1;0;1;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0
;;40;Reitsma, D.;14;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;0;0
;;41;Groot, D.;66;1;0;0;0;0;3;1;4;0;0;0;1;7;0;4;4;3;4;2;3;0;1;5;2;3;0;0;0;1;3;3;6;0;0;0;0;1;2;0;2;0;0
;;42;Vermeer-Lagerveld, L.C.;45;2;2;0;7;0;0;0;2;1;0;1;0;1;0;1;1;1;0;1;1;0;0;2;1;1;1;1;0;0;2;7;2;1;0;0;0;4;0;1;0;1;0
;;43;Fritzsche, B.;24;0;0;0;0;1;0;1;0;0;0;0;0;0;2;1;1;3;1;0;0;0;0;1;1;1;0;2;0;0;0;1;0;0;1;1;1;1;0;1;0;3;0
