Verkiezing;;Gemeenteraad Stede Broec 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Stede Broec;;;;;;;;;;;;;;;;;;
Nummer;;0532;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Café De Paus;Dorpshuis De Stek;Happy Days;Hét Postkantoor;Vereenigingsgebouw de Tuf;Gymzaal De Helt;Sporthal De Flint, nr. 1;Sporthal De Flint, nr. 2;Sporthal De Kloet, nr. 1;Sporthal De Kloet, nr. 2;Happy Days (maandag);Happy Days (dinsdag);Hét Postkantoor (maandag);Hét Postkantoor (dinsdag);Café De Paus (maandag);Café De Paus (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Postcode;;;;;1614 LH;1613 LA;1613 KV;1611 AA;1611 AM;1611 ZL;1611 WS;1611 WS;1613 KR;1613 KR;1613 KV;1613 KV;1611 AA;1611 AA;1614 LH;1614 LH
;opgeroepenen;;;17572;2060;2161;1651;1953;1827;1596;1268;1825;1603;1628;0;0;0;0;0;0
;geldige stempas;;;7631;612;880;421;1078;775;632;353;272;144;396;223;307;487;674;159;218
;geldig volmachtbewijs;;;798;70;96;49;119;92;65;45;30;17;41;18;26;33;65;15;17
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;8429;682;976;470;1197;867;697;398;302;161;437;241;333;520;739;174;235
;geldige stembiljetten;;;8402;679;972;470;1195;865;693;397;301;160;434;240;332;520;737;172;235
;blanco stembiljetten;;;16;2;2;0;1;2;4;1;0;1;2;0;0;0;0;1;0
;ongeldige stembiljetten;;;11;1;2;0;1;0;0;0;1;0;1;1;1;0;2;1;0
;aangetroffen stembiljetten;;;8429;682;976;470;1197;867;697;398;302;161;437;241;333;520;739;174;235
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
