Verkiezing;;Gemeenteraad Bergen (NH) 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Bergen (NH);;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0373;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Europahal;Tent bij Frankenstate;'t Oude Raethuys;Gymzaal Jan Hogervorst;Tent voormalig T&O buurthuis;Tent bij De Marke;Hotel Victoria;Hotel Merlet;Dorpscentrum De Blinkerd;Gymzaal Gruttoweg;SBB Schoorlse Duinen;Abdijwinkel;Dorpshuis De Schulp;Boswaidschool;Dorpshuis Hanswijk;O.K. Verenigingsgebouw;Hotel Zuiderduin;Sporthal De Watertoren;'t Oude Raethuys maandag 14 maart 2022;De Blinkerd maandag 14 maart 2022;Hotel Zuiderduin maandag 14 maart 2022;'t Oude Raethuys dinsdag 15 maart 2022;De Blinkerd dinsdag 15 maart 2022;Hotel Zuiderduin dinsdag 15 maart 2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;103;109;117;203;209;217
Postcode;;;;;1862 BC;1861 HD;1861 KS;1861 LN;;1862 JA;1865 AB;1871 AC;1871 EM;1873 JC;1871 HA;1935 AR;1935 EB;1934 GN;1934 CP;1931 CA;1931 VL;1931 BA;1861 KS;1871 EM;1931 VL;1861 KS;1871 EM;1931 VL
;opgeroepenen;;;25223;1765;1814;1829;1888;1577;1645;300;1228;1103;1541;1418;1085;1178;1459;1393;1351;1307;1342;0;0;0;0;0;0
;geldige stempas;;;13954;697;776;799;744;731;842;190;588;558;685;502;519;738;738;747;642;369;399;669;311;240;787;388;295
;geldig volmachtbewijs;;;1618;72;109;122;19;99;103;31;53;44;69;68;64;109;105;74;76;49;46;74;30;24;104;34;40
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;15572;769;885;921;763;830;945;221;641;602;754;570;583;847;843;821;718;418;445;743;341;264;891;422;335
;geldige stembiljetten;;;15495;767;885;916;761;824;941;220;631;602;752;564;583;845;841;815;713;414;437;737;339;263;889;422;334
;blanco stembiljetten;;;43;1;0;2;0;3;1;1;3;0;2;4;0;4;3;4;1;3;6;3;0;1;0;0;1
;ongeldige stembiljetten;;;36;2;0;2;2;3;3;0;7;0;1;2;0;0;0;2;3;1;2;3;2;0;1;0;0
