Verkiezing;;Gemeenteraad Enkhuizen 2022;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;
Gebied;;Gemeente Enkhuizen;;;;;;;;;;;;;;;
Nummer;;0388;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Drommedaris;De Nieuwe Doelen;De Westerkerk;Franciscus Xaverius parochie, RK kerk;Buurthuis IJsselzand;Wijkcentrum de Bonte Veer;Sporthal De Drecht, nr. 1;Het Apostolisch Genootschap;sporthal De Drecht, nr. 2;Wijkcentrum de Bonte Veer (maandag);Wijkcentrum de Bonte Veer (dinsdag);De Drommedaris (maandag);De Drommedaris (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13
Postcode;;;;;1601 GD;1601 GG;1601 AN;1601 AS;1602 XZ;1602 PV;1602 DK;1602 JA;1602 DK;1602 PV;1602 PV;1601 GD;1601 GD
;;10;Galama, J.A.A.;13;0;1;5;0;1;0;0;1;0;1;1;0;3
;;11;Boland, C.H.;12;0;1;1;0;1;1;0;4;0;0;1;2;1
5;Nieuw Enkhuizen;;;601;48;38;62;48;27;158;26;49;8;36;65;17;19
;;1;Mazereeuw, P.C.;323;25;19;31;29;11;92;11;29;5;19;35;7;10
;;2;Mazereeuw, G.;46;1;4;3;5;1;9;1;5;1;2;8;2;4
;;3;de Jong-van den Biggelaar, A.J.G.M.;106;4;9;17;6;3;26;6;9;1;10;9;4;2
;;4;Hogaarts, J.;16;2;0;0;0;4;4;2;1;0;2;1;0;0
;;5;Heide, K.;6;0;0;0;1;0;4;0;1;0;0;0;0;0
;;6;Klaassen, W.;31;5;0;2;3;3;12;2;0;0;1;1;2;0
;;7;Meester, L.L.;20;5;1;6;0;0;2;2;0;0;0;2;1;1
;;8;Rood, D.D.M;34;3;4;1;2;1;8;2;3;1;1;5;1;2
;;9;Weyers, D.L.;6;2;0;0;0;2;0;0;0;0;0;2;0;0
;;10;Wijchers-de Reus, W.N.;13;1;1;2;2;2;1;0;1;0;1;2;0;0
6;Partij van de Arbeid (P.v.d.A.);;;649;64;42;105;47;18;112;21;41;12;45;64;33;45
;;1;Sandstra, J.C.;253;19;13;35;23;4;48;8;25;3;18;19;15;23
;;2;Mazloumian, A.K.;221;24;18;40;16;11;35;6;7;4;17;27;9;7
;;3;van Dok, A.M.;93;12;9;16;4;2;16;3;4;0;3;12;5;7
;;4;Struving, J.;9;1;0;1;1;0;2;1;1;0;0;1;0;1
;;5;Vos, P.E.;18;4;0;1;2;1;2;1;0;1;1;0;0;5
;;6;Mei, R.Q.;7;1;0;2;0;0;0;0;1;0;0;0;1;2
;;7;Daems, N.;12;2;0;1;1;0;4;0;0;4;0;0;0;0
;;8;Kunst, K.A.;36;1;2;9;0;0;5;2;3;0;6;5;3;0
7;Het Enkhuizer Alternatief;;;606;42;45;102;50;18;100;27;55;12;39;52;27;37
;;1;Jans, F.C.;169;15;13;27;17;3;36;7;5;7;10;17;8;4
;;2;Aukes-van der Weiden, J.A.;123;9;6;20;8;2;25;7;12;3;9;10;8;4
;;3;Colombijn, E.J.W.;26;6;0;5;0;0;1;1;0;0;1;0;1;11
;;4;Veen, M.;209;9;20;43;22;4;27;5;17;0;13;23;9;17
;;5;Laan, F.L.M.;3;0;0;1;0;0;0;0;2;0;0;0;0;0
;;6;Sweerts, S.;11;0;0;2;0;0;0;0;9;0;0;0;0;0
;;7;Mahieu, M.H.J.;11;1;2;1;1;0;4;1;1;0;0;0;0;0
;;8;den Hartog, R.;3;0;0;0;0;0;0;2;0;0;0;1;0;0
;;9;de Jong, S.;22;1;2;3;1;2;1;0;6;0;3;1;1;1
;;10;Sweerts, M.E.;6;0;0;0;1;4;1;0;0;0;0;0;0;0
;;11;Raven, J.S.H.;7;0;0;0;0;0;0;3;2;0;2;0;0;0
;;12;Boukhoudmi, I.;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;13;Limin, S.;15;1;2;0;0;3;4;1;1;2;1;0;0;0
8;ChristenUnie-SGP;;;326;8;3;41;19;11;100;8;48;16;17;37;8;10
;;1;Hotting, A.;189;4;1;28;11;9;52;5;32;9;10;18;4;6
;;2;van der Wal, B.P.;17;0;0;1;1;0;3;0;6;0;1;4;1;0
;;3;Hogendoorn, H.J.;7;0;0;1;0;0;2;0;2;1;0;1;0;0
;;4;Compaan-Wisselink, H.;40;2;2;6;2;1;12;1;2;2;4;3;2;1
;;5;Niewenhuijse, J.G.;4;0;0;0;0;0;4;0;0;0;0;0;0;0
;;6;Kuijsten-Bouma, J.A.;7;0;0;2;0;0;2;0;1;1;0;0;1;0
;;7;van der Blonk, E.;3;0;0;0;0;1;0;0;0;1;0;1;0;0
;;8;de Lange, A.;9;1;0;0;2;0;4;0;0;1;0;0;0;1
;;9;van Dalfsen, J.M.;2;0;0;0;0;0;1;0;0;1;0;0;0;0
;;10;de Geus, T.;23;0;0;0;0;0;13;2;1;0;0;5;0;2
;;11;Schuitemaker, P.;9;0;0;0;1;0;4;0;3;0;0;1;0;0
;;12;Kooiman, K.;9;0;0;1;2;0;2;0;0;0;2;2;0;0
;;13;Boeder, C.J.;4;1;0;0;0;0;1;0;1;0;0;1;0;0
;;14;Coumou, H.;3;0;0;2;0;0;0;0;0;0;0;1;0;0
9;Enkhuizen Vooruit!;;;1184;124;70;194;89;15;213;43;120;21;65;92;53;85
;;1;van Gangelen, P.P.F.;439;34;28;83;33;8;93;22;53;4;8;36;13;24
;;2;de Jong, M.H.R.;64;5;1;4;2;2;19;1;12;3;9;1;1;4
;;3;van der Steeg-Stechmann, J.R.;78;4;5;13;6;0;11;2;13;3;7;7;3;4
;;4;Zeegerman, R.;22;3;1;2;7;0;3;2;0;1;0;3;0;0
;;5;Franx, R.C.M.;71;4;11;7;4;2;13;6;5;0;6;7;1;5
;;6;de Munnik, J.;21;7;0;2;1;0;2;1;2;0;0;0;2;4
;;7;van Dam, N.;37;1;2;5;1;0;10;1;4;1;2;1;4;5
;;8;Jonkman, B.;9;0;0;3;0;0;2;0;2;0;0;0;1;1
;;9;Roodenrijs, E.M.;20;4;0;3;1;0;5;0;1;1;1;1;0;3
;;10;Kamping, W.C.;7;0;0;4;0;0;0;0;0;1;0;0;2;0
;;11;van Oostende, J.;38;5;1;2;7;0;2;3;4;0;3;7;3;1
;;12;Franx, J.;378;57;21;66;27;3;53;5;24;7;29;29;23;34
10;Blanco (Segerius, C.H.);;;716;52;64;99;54;42;108;23;53;8;65;68;31;49
;;1;Segerius, C.H.;716;52;64;99;54;42;108;23;53;8;65;68;31;49
11;Piratenpartij;;;380;36;18;53;19;13;90;9;24;6;32;48;11;21
;;1;Sikkema, G.B.;221;21;10;33;13;8;48;2;17;5;20;26;8;10
;;2;Visser, D.;53;7;4;10;3;1;5;0;2;0;7;5;2;7
;;3;Peerdeman, R.;15;1;1;3;1;0;4;1;3;0;0;1;0;0
;;4;van Treuren, M.A.;7;1;0;0;0;0;1;1;0;1;1;2;0;0
;;5;Appelman, D.;27;2;1;5;1;1;5;1;2;0;4;3;0;2
;;6;Boogaard, R.;57;4;2;2;1;3;27;4;0;0;0;11;1;2
