Verkiezing;;Gemeenteraad Oostzaan 2022;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;
Gebied;;Gemeente Oostzaan;;;;;;;;;;;;
Nummer;;0431;;;;;;;;;;;;
;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis (De KunstGreep);Unit bij basisschool De Rietkraag;Clubgebouw muziekvereniging Excelsior;Unit bij basisschool De Kweekvijver;Drive-through gemeentewerf;De Lishof;Gemeentehuis (De KunstGreep);Gemeentehuis (De KunstGreep);Drive-through gemeentewerf;Drive-through gemeentewerf
;;5;Stroo, H.;93;13;35;8;14;3;0;7;10;0;3
;;6;Ronner, A.F.B.;27;5;5;1;8;1;0;3;4;0;0
;;7;van der Pol - Gase, M.H.J.;62;30;10;8;6;1;0;2;4;0;1
;;8;van Duijnhoven, V.J.W.;12;4;1;2;1;0;0;2;0;0;2
;;9;van Dansik, N.;34;5;9;4;4;0;0;3;8;1;0
;;10;Boerma, H.C.;3;0;0;0;2;0;0;1;0;0;0
;;11;Wegman, A.W.G.;16;2;5;2;3;0;0;3;1;0;0
;;12;van den Wall Bake, B.E.;13;5;4;1;1;1;0;0;1;0;0
;;13;Tiecken, F.;9;4;3;0;1;1;0;0;0;0;0
;;14;van der Pol, R.;7;0;3;2;0;1;0;0;1;0;0
;;15;Jongert, A.C.;23;6;3;2;4;1;1;3;3;0;0
;;16;Taams, T.;8;1;2;3;0;1;0;0;1;0;0
;;17;Selie, A.H.A.M.;8;0;1;0;3;1;0;0;2;0;1
;;18;Stroo, J.;2;0;1;0;1;0;0;0;0;0;0
;;19;Brouwers, J.A.;3;1;0;2;0;0;0;0;0;0;0
;;20;Bakker, J.;17;6;3;0;3;2;0;2;1;0;0
3;CDA;;;627;162;95;63;113;42;2;60;63;8;19
;;1;Visser, A.M.;325;70;82;20;49;27;2;24;33;5;13
;;2;Boshoven, L.;72;18;3;9;11;4;0;14;13;0;0
;;3;Brink, M.J.H.;37;15;0;2;17;1;0;1;1;0;0
;;4;Flens, T.;68;24;2;3;16;0;0;11;8;0;4
;;5;Ras, J.;30;11;0;12;2;0;0;3;1;1;0
;;6;Flens, M.;23;9;0;6;5;0;0;2;1;0;0
;;7;van Dorst, M.P.;3;0;1;0;2;0;0;0;0;0;0
;;8;Algera, I.R.;4;0;1;1;1;0;0;1;0;0;0
;;9;Ras, M.A.;23;4;0;4;7;4;0;0;2;1;1
;;10;de Dood, J.C.;13;4;1;1;1;1;0;3;2;0;0
;;11;Bruning, G.;6;1;0;1;0;3;0;0;0;1;0
;;12;Flens, P.;6;4;0;0;1;0;0;0;1;0;0
;;13;Schaft, G.;12;1;4;4;0;1;0;1;1;0;0
;;14;van Tol, A.C.;5;1;1;0;1;1;0;0;0;0;1
4;D66;;;383;73;88;39;56;26;4;44;36;3;14
;;1;Ruijter, A.;171;37;40;17;17;9;1;18;23;1;8
;;2;van der Blom, J.C.;89;20;18;9;14;4;1;12;7;2;2
;;3;Julius, S.G.R;29;2;4;3;14;2;0;3;1;0;0
;;4;Cellatoğlu, S.;22;0;7;0;4;6;0;4;1;0;0
;;5;Metternich, M.J;12;0;2;0;2;3;0;3;0;0;2
;;6;Moerland, W.;23;7;4;8;0;1;0;1;1;0;1
;;7;Lo-Fo-Wong, N.E.;14;3;6;1;1;1;0;1;0;0;1
;;8;van Weene, R.L;12;2;2;1;2;0;0;2;3;0;0
;;9;Klarenbeek, P.;11;2;5;0;2;0;2;0;0;0;0
5;Partij van de Arbeid (P.v.d.A.);;;619;141;91;56;123;27;5;55;86;8;27
;;1;Taams, E.J.;378;91;52;38;67;13;3;41;55;3;15
;;2;Gunzel, L.H.;113;31;17;7;26;7;0;5;14;1;5
;;3;Aan, F.;23;5;5;1;4;0;0;3;5;0;0
;;4;de Wit, P.G.M.;25;6;4;1;5;1;0;0;3;2;3
;;5;Oosterbaan-van Randeraat, G.;19;1;4;3;7;0;1;1;1;0;1
;;6;Buijs, J.J.;12;1;2;3;3;1;0;0;2;0;0
;;7;Boom-Kopper, M.;21;1;5;1;3;3;0;2;3;1;2
;;8;Beudeker, P.;28;5;2;2;8;2;1;3;3;1;1
