Verkiezing;;Gemeenteraad Hollands Kroon 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hollands Kroon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;MFA;Café Wapen van Holland;Bar Bistro de Brug;Parochie St. Jan Breezand;Dorpshuis De Oude School;De Cultuurschuur;Brandweerkazerne;De Meerbaak;MFC De Doorbraak;Verenigingsgebouw De Schakel;Dorpshuis 't Skrale End;Tree (vm. Ankerkerk);Vikingschip;Rijvereniging Bucephalus;Vzv 't Veld;Dorpshuis De Nieuwe Horn;Cultuurhuis de Kolk;Café Beentjes;Dorpshuis Prins Maurits;MFA;Dorpshuis Prins Maurits;De Cultuurschuur;Tree (vm. Ankerkerk);MFA;Dorpshuis Prins Maurits;De Cultuurschuur;Tree (vm. Ankerkerk)
Gebiednummer;;;;;3;4;5;6;7;12;13;14;15;18;20;23;24;30;31;32;33;34;35;101;102;103;104;201;202;203;204
Postcode;;;;;1761 VM;1761 EB;1761 JR;1764 GL;1766 JD;1771 CE;1771 SC;1775 BH;1773 AK;1774 AJ;1778 KM;1777 EC;1779 BJ;1768 BL;1735 GG;1767 CJ;1732 LL;1731 RJ;1733 AE;1761 VM;1733 AE;1771 CE;1777 EC;1761 VM;1733 AE;1771 CE;1777 EC
;opgeroepenen;;;39522;4150;2624;476;2702;1865;3311;1849;2942;738;1505;966;4013;2012;856;2320;1019;528;2595;3051;0;0;0;0;0;0;0;0
;geldige stempas;;;16334;1143;630;310;1049;656;687;364;1182;212;586;349;898;683;395;732;361;305;779;763;593;440;491;425;704;555;553;489
;geldig volmachtbewijs;;;1823;0;88;35;77;91;88;46;151;27;87;37;120;120;44;115;47;28;82;118;50;45;60;35;79;54;38;61
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;18157;1143;718;345;1126;747;775;410;1333;239;673;386;1018;803;439;847;408;333;861;881;643;485;551;460;783;609;591;550
;geldige stembiljetten;;;18059;1137;711;344;1116;744;771;408;1331;239;668;385;1005;800;439;846;407;331;855;873;636;485;551;456;777;606;589;549
;blanco stembiljetten;;;54;2;4;0;6;2;4;1;2;0;1;1;10;2;0;0;0;2;4;4;1;0;0;2;3;1;2;0
;ongeldige stembiljetten;;;43;3;3;1;4;1;0;1;0;0;4;0;3;1;0;1;1;0;2;4;6;0;0;2;3;2;0;1
