Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wapen van Medemblik;Sint Pieter;Sporthal De Muiter;kantine voetbalvereniging FC Medemblik;Grand Cafe de Post;Wijksteunpunt Woudrust;Dorpshuis  De Werf;Dorpshuis De Vang;Dorpshuis De Nieuwe Haven;Dorpshuis Twisk;Dorpshuis De Torenschouw;Gemeentehuis  Medemblik;Voetbalkantine Spartanen;Sporthal De Dres;De Wildebras;De Bloesem;Dorpshuis Centrum;Dorpshuis Sarto;Sporthal De Klamp;Eetcafe Cultura;De Schoof;De Dars;Cafe Van Rooijen;Dorpshuis De Onderdijk;Dorpshuis Zwaagdijk;Sportkantine De Westrand;Grand Cafe de Post;Kantine voetbalvereniging ALC Abbekerk;Brandweerkazerne Nibbixwoud;Ontmoetingsruimte Hieronymuskerk;kantine voetbalvereniging FC Medemblik;kantine voetbalvereniging FC Medemblik;Voetbalkantine Spartanen;Voetbalkantine Spartanen;Dorpshuis Centrum;Dorpshuis Centrum;Sportkantine De Westrand;Sportkantine De Westrand;Kantine voetbalvereniging ALC Abbekerk;Kantine voetbalvereniging ALC Abbekerk
Gebiednummer;;;;;1;2;4;5;6;7;8;9;10;11;12;13;14;15;17;18;20;21;22;23;25;26;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45
Postcode;;;;;1671 AA;1671 CS;1671 JA;1671 ND;1679 GJ;1678 GA;1691 EC;1654 KB;1657 AH;1676 GG;1674 NE;1687 CD;1687 BP;1688 BE;1685 PN;1687 RA;1619 XE;1619 GJ;1619 DL;1619 CH;1693 EH;1693 GV;1693 AA;1693 CZ;1682 NP;1693 MA;1679 GJ;1657 EB;1688 CW;1687 PJ;1671 ND;1671 ND;1687 BP;1687 BP;1619 XE;1619 XE;1693 MA;1693 MA;1657 EB;1657 EB
;;3;Braaksma, R.;379;82;86;47;36;3;3;1;0;3;18;17;0;4;0;0;1;1;4;1;2;0;0;11;2;0;2;0;1;2;0;21;27;0;3;0;0;0;0;0;1
;;4;Mosch, P.W.;328;1;5;2;1;1;4;0;1;2;1;5;1;0;1;1;1;0;2;1;0;15;20;0;229;1;9;0;0;0;2;0;3;0;1;0;3;6;9;0;0
;;5;Gringhuis, G.J.;402;0;1;0;1;4;0;7;2;7;0;0;1;1;3;4;0;2;0;1;1;1;9;5;7;329;0;1;1;1;1;0;0;0;0;0;0;5;4;2;1
;;6;Buwalda, Y.E.;162;27;16;6;17;3;2;3;7;4;3;11;7;1;4;2;2;2;7;0;3;1;7;0;3;2;1;2;2;3;1;2;5;1;1;0;1;0;2;1;0
;;7;Fit, J.A.M.;68;13;9;5;6;1;4;0;2;1;6;2;1;1;4;0;0;1;0;0;0;0;1;0;4;0;1;2;0;0;0;1;0;1;0;0;0;1;1;0;0
;;8;Diergaarde, F.W.J.B.;84;0;0;0;0;0;1;0;1;0;0;0;7;12;3;2;24;0;0;0;0;0;0;0;0;0;0;0;0;2;11;0;0;9;12;0;0;0;0;0;0
;;9;van IJzerloo, J.H;28;0;1;0;0;0;0;0;18;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0
;;10;Otten, P.N.M.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3;1;0;3;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;11;Groen, E.;68;0;0;0;0;2;1;44;0;0;3;0;0;0;1;1;0;1;0;0;0;1;1;0;1;3;1;0;0;7;0;0;0;0;0;0;1;0;0;0;0
;;12;van Dijk, F.M.;57;1;0;0;0;17;14;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;van Diepen, T.;29;0;0;0;0;1;2;0;0;0;0;1;0;1;0;0;3;0;2;0;0;0;0;2;2;13;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;14;Pronk, I.;12;0;4;2;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;15;Plekker, A.;26;0;0;0;0;2;0;1;0;0;0;4;1;0;0;0;0;2;0;0;0;2;8;4;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;16;Pronk, J.;11;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
;;17;Joosten, W.P.J.M.;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;18;Posma, J.;4;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Huijser van Reenen, G.;31;0;0;0;0;15;6;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;1;1;0;0;0;0;0
;;20;Kay, V.C.;55;0;0;1;0;0;0;2;3;1;40;2;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
4;MORGEN!;;;2456;148;91;93;31;86;56;34;230;35;47;36;65;52;37;75;85;59;75;50;63;104;121;99;49;34;49;52;22;34;65;30;45;66;54;32;42;39;48;5;18
;;1;Beuker, T.T.;571;22;9;14;5;22;10;7;148;2;12;11;28;15;14;4;32;15;8;6;4;6;11;8;7;7;7;4;6;9;32;4;6;25;25;10;6;4;2;0;4
;;2;Zeilemaker, S.P.;332;75;40;27;8;7;14;5;7;2;7;10;2;0;4;9;2;4;9;4;5;3;9;5;6;1;3;6;1;5;6;16;9;7;1;3;2;4;3;0;1
;;3;van der Geest, A.M.N.M.;506;5;4;13;1;9;7;5;7;2;9;6;5;1;4;3;5;7;15;5;9;79;83;68;25;5;30;9;0;1;1;2;5;4;2;2;7;25;36;0;0
;;4;Blauw, R.;164;1;5;2;2;1;1;4;9;0;1;1;13;15;5;3;27;2;2;2;2;2;1;3;3;0;2;2;1;7;12;2;1;17;11;1;1;0;0;0;0
;;5;de Jong, B.H.;32;6;7;5;4;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;2;0;0;0;0;0;0
;;6;Neefjes, C.A.;47;0;0;0;0;1;1;0;1;0;1;0;0;1;0;1;2;1;0;0;0;3;6;5;3;15;1;0;0;0;0;0;0;0;0;0;0;2;3;0;0
;;7;Schermer, M.;55;11;5;10;2;0;2;0;4;0;2;1;0;0;1;2;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0;1;6;0;0;2;0;0;0;0;0
;;8;Smit, W.P.;49;0;0;0;1;0;0;0;18;0;0;0;7;9;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;1;2;2;0;0;0;0;0;0
;;9;Visser, S.J.M.;128;4;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;16;26;18;31;0;2;0;2;0;0;0;0;0;0;0;0;1;0;7;15;0;2;0;0
;;10;Meester, M.C.;73;1;0;0;0;1;0;0;1;20;1;0;1;3;3;0;0;0;0;0;0;0;2;0;0;0;0;3;10;5;1;1;0;2;0;0;0;1;0;5;12
;;11;Oostrom, T.E.;14;0;0;1;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;12;Burggraaf, B.M.;57;0;1;0;0;28;2;0;1;1;3;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;2;15;0;0;0;0;0;0;1;0;0;0;0;0;0
;;13;Beuker, A.M.T.;12;0;0;0;0;2;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;14;Kramer, M.;58;2;0;0;1;0;0;0;0;0;0;0;0;0;1;48;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;15;Burger, J.;26;0;2;0;0;1;3;8;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;2;0;4;0;0;0;0;1;0;0;0;0;0;0
;;16;Neefjes, C.E.M.;38;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;8;2;5;2;1;6;2;0;0;0;0;0;0;0;0;0;1;4;3;0;1;0;0
;;17;Koning, S.P.P.;24;0;0;0;0;1;0;0;0;0;0;0;1;5;2;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;3;1;0;0;0;0;0;0
;;18;Kuipers, L.G.A.;29;9;10;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;1;0;0;0;0
;;19;Steenbergen, G.B.M.;8;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1
;;20;van Leeuwen, W.M.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;21;Haakman-Dekker, J.A.D.;18;0;1;7;1;0;1;1;0;1;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;22;Visser, T.G.M.;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;7;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;23;Groeneveld-de Jong, F.J.;27;0;0;0;0;8;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11;0;0;0;0;0;0;0;0;0;1;0;0;0
;;24;Aker, M.M.G.;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;25;Koning, A.;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Kalloe, J.;8;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
;;27;Verlaat, J.C.S.M.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;de Jong-Varwijk, M.;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Bouman, C.;14;1;0;0;0;2;3;0;1;3;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Koning-de Visser, S.C.;6;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0
;;31;van Belleghem, IJ.V.;10;1;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;32;van IJperen, J.M.;25;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0
;;33;Wijnker, D.A.;22;0;0;4;0;0;0;0;1;0;0;0;4;2;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0
;;34;Hassink, W.M.;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Kuipers, T.G.M.;31;8;3;3;5;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0
;;36;Streumer, A.F.T.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;2;1;0;0;0;0;0;0;0;1;0;0;2;0;1;2;4;0;0;0;0
5;D66;;;1644;42;34;46;15;50;23;36;53;13;53;35;88;92;56;8;123;44;49;30;7;58;48;48;44;23;45;30;16;42;115;12;33;56;90;9;24;16;26;4;8
;;1;Rood, S.E.M.;939;34;16;27;12;38;7;16;37;12;26;20;57;68;34;5;68;28;23;16;3;26;13;17;23;18;10;22;10;24;64;10;24;30;47;7;16;12;10;4;5
;;2;Mos, G.;68;4;9;13;0;9;7;0;2;0;1;2;0;0;3;0;1;2;1;1;0;0;0;1;0;0;0;2;0;2;0;0;4;1;0;1;1;1;0;0;0
;;3;Louissen, H.B.;196;0;0;0;1;0;0;0;2;0;5;4;19;16;1;3;38;0;3;2;1;4;0;4;4;3;3;2;1;1;36;0;0;19;19;0;1;0;2;0;2
;;4;Tensen, S.J.;113;1;2;1;1;0;2;0;0;0;0;2;1;0;1;0;0;5;9;0;1;19;18;16;4;0;14;0;0;0;3;0;0;1;1;1;2;1;7;0;0
;;5;Langedijk, F.J.M.;59;0;0;0;0;0;2;0;7;0;0;2;9;7;0;0;7;0;0;1;0;0;0;0;0;0;0;0;2;0;6;0;2;2;10;0;0;1;0;0;1
;;6;Swart, D.P.A.;68;0;2;1;0;2;1;1;0;0;0;0;1;0;2;0;0;0;4;0;0;8;8;8;10;1;11;0;0;2;0;0;0;0;0;0;0;0;6;0;0
;;7;Langver, G.J.;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;8;Vlaar, C.J.;24;0;0;0;0;1;4;10;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;1;0;0
;;9;van der Tooren, S.;30;1;4;3;1;0;0;4;0;0;2;3;0;0;0;0;0;1;0;0;2;1;0;0;0;0;1;0;3;0;0;2;2;0;0;0;0;0;0;0;0
;;10;van Hulsen, T.J.;6;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;11;Veeken, M.P.T.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;2;2;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;12;Bes, G.J.;30;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;5;10;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;13;Nijsingh, Y.W.;32;1;0;0;0;0;0;3;2;0;1;0;0;1;0;0;7;1;0;0;0;0;1;0;0;0;1;0;0;2;3;0;0;1;8;0;0;0;0;0;0
;;14;Tigges, J.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;1;0;0;0;1;0;0;0;0;0;0
;;15;Laseur, P.J.H.;21;0;0;0;0;0;0;0;0;0;17;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;16;Kapitein, A.C.;17;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;2;1;0;0;0;0;1;0;0;1;1;0;0;2;2;0;0;1;3;0;0;0;0;0;0
6;GROENLINKS;;;983;20;21;27;13;43;39;23;38;18;36;50;30;20;35;9;33;59;51;45;26;17;15;17;25;12;17;47;17;26;34;11;18;17;27;15;15;5;3;1;8
;;1;Huisman, B.K.;555;8;11;14;5;20;21;13;25;10;22;15;26;18;17;6;24;32;22;22;11;12;9;10;14;7;7;22;12;12;27;6;11;13;25;9;8;2;2;1;4
;;2;Kool - van den Berg, J.M.J.;148;3;2;7;4;6;6;5;5;5;7;22;3;2;1;0;5;7;4;6;4;1;1;1;6;3;2;9;2;6;2;1;2;3;1;0;4;0;0;0;0
;;3;van Keulen, J.G.;20;0;0;1;0;1;1;0;0;0;0;9;0;0;0;0;0;0;2;0;0;0;0;1;2;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0
;;4;Vlaanderen - Hamming, T.I.W.;53;1;0;0;1;2;2;2;4;1;0;0;1;0;15;1;3;0;3;0;0;0;1;0;0;0;0;1;3;5;2;0;0;1;1;0;0;1;0;0;2
;;5;van de Wiel, P.N.R.J.;4;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Vlaar, M.M.;72;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;12;13;9;9;1;3;3;1;0;6;0;0;0;2;0;1;0;0;4;2;2;1;0;0
;;7;Bozelie, C.;49;8;8;5;2;0;4;1;1;2;2;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;4;4;0;0;1;0;0;0;0;1
;;8;Schouw - Pelt, J.A.M.;36;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;7;7;7;2;1;1;0;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;9;Beydals, G.;37;0;0;0;0;12;5;0;2;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;13;0;1;0;0;0;0;0;0;0;0;0;0;0
;;10;Vlaanderen, G.A.;9;0;0;0;0;2;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
7;ChristenUnie;;;682;5;10;31;4;13;11;6;9;6;18;114;7;6;6;1;3;111;24;68;36;12;10;7;25;3;3;12;5;14;9;1;9;3;5;26;37;9;3;0;0
;;1;Visser-van Eijk, S.H.;390;3;6;8;2;4;9;2;8;2;3;81;7;4;4;1;2;61;12;37;14;9;6;4;5;1;3;9;3;9;9;1;5;3;5;22;19;4;3;0;0
;;2;Gorter, E.J.;58;0;0;2;0;1;0;0;1;1;0;12;0;0;0;0;0;17;1;6;9;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;3;0;0;0;0
;;3;Groot, J.;37;0;3;0;1;0;0;3;0;0;3;1;0;0;0;0;0;8;3;5;4;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0
;;4;van Vliet, J.M.P.;47;1;0;10;0;0;0;0;0;0;0;7;0;0;0;0;0;2;4;0;0;2;3;1;13;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0
;;5;Groot, K.P.;24;0;0;1;0;4;0;0;0;1;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Peereboom, A.N.;42;1;0;4;0;3;2;1;0;0;1;3;0;0;2;0;1;3;1;1;3;1;0;1;4;0;0;0;0;4;0;0;0;0;0;0;5;1;0;0;0
;;7;Zwagerman, P.A.;16;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;5;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Winter, H.R.;7;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;9;Verbruggen, M.T.;16;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;2;0;0;0
;;10;Vriend, F.B.;9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;11;Bos, J.;9;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Visser-Staat, M.G.;27;0;1;1;1;1;0;0;0;0;1;1;0;2;0;0;0;9;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
8;Hart voor Medemblik;;;3735;245;186;228;133;100;125;52;82;32;87;147;42;36;68;66;76;196;150;186;105;98;120;104;127;40;106;93;27;88;61;67;122;29;53;55;92;21;54;9;27
;;1;Berlijn, T.F.G.;1613;189;137;144;92;39;20;17;57;11;58;32;19;22;20;30;50;38;52;39;14;31;32;31;40;13;30;23;14;32;36;46;87;15;36;12;11;5;21;5;13
;;2;Hoogewerf, M.;427;4;8;8;2;4;5;0;1;1;2;0;1;2;0;0;3;81;55;73;51;0;10;7;5;2;2;1;0;0;8;1;4;0;3;26;53;1;2;0;1
;;3;de Waal, N.;190;0;0;2;0;34;82;1;2;0;2;0;0;1;2;0;0;1;1;0;0;0;0;0;3;0;0;50;1;1;0;1;0;3;2;0;0;0;0;0;1
;;4;Mensink, R.H.W.;110;1;2;4;3;2;2;0;0;1;3;85;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;2;0;0;1
;;5;van Eekelen, L.A.;235;17;19;24;7;9;8;5;8;2;10;7;3;6;2;2;10;4;5;2;2;2;2;4;5;6;1;8;1;5;8;5;17;6;5;1;4;2;0;0;1
;;6;Venema, D.;241;2;4;4;1;1;1;0;0;0;0;1;5;0;1;0;1;6;4;1;6;36;42;34;14;7;43;1;0;2;1;0;0;0;0;3;0;5;14;0;1
;;7;Arends, L.G.;83;0;0;1;0;2;3;0;0;0;0;2;2;0;0;0;0;26;3;17;6;0;5;1;1;0;0;0;0;0;0;0;1;0;0;5;8;0;0;0;0
;;8;Wit, J.D.;61;0;2;12;5;0;0;2;3;1;2;2;1;0;2;5;0;2;1;0;2;0;1;0;4;1;1;1;0;0;1;2;2;2;2;0;0;1;0;1;0
;;9;Verschoor, J.;35;4;3;6;7;0;0;0;1;0;1;5;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0
;;10;Lourens, R.F.;31;0;0;0;0;0;0;0;0;0;0;0;0;1;0;26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0
;;11;Otter, M.W.;33;0;0;0;0;1;1;19;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;2;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0
;;12;Ruiter-Koning, A.M.C.;41;1;0;3;0;0;0;0;1;9;0;2;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;1;10;0;0;0;1;0;0;0;2;0;0;0;7
;;13;Borst, M.F.;43;0;0;0;1;0;1;0;1;3;0;0;0;0;0;0;0;11;6;6;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
;;14;Kramer, C.;90;0;0;1;1;2;0;1;1;0;4;4;0;0;2;0;0;0;0;0;0;9;5;9;34;0;8;3;0;0;0;3;0;0;0;0;0;0;3;0;0
;;15;Vertelman, B.;67;2;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;7;13;11;4;0;11;1;0;0;0;0;1;0;0;0;0;1;10;0;0
;;16;Hendricks, D.G.;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Rijkes, T.;7;2;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;18;Berkhout-Kooiman, J.;95;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;14;14;30;10;0;2;0;6;0;1;0;0;1;1;0;0;0;0;3;9;0;1;0;0
;;19;Ursem, M.P.N.;18;0;0;0;0;0;0;6;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;20;Meendering, T.H.J.;125;0;0;3;0;1;0;0;2;0;2;1;7;1;38;0;6;0;0;0;1;2;0;0;0;1;3;1;0;40;3;0;0;2;5;0;0;0;1;3;2
;;21;Mantel, I.J.M.;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Adelaar, R.;37;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;10;4;12;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0
;;23;Wijbenga, J.J.;18;4;1;2;3;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;;24;Brijde, C.;7;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Willemse, B.;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;26;Tiben, N.G.M.;33;1;2;1;1;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;4;1;2;8;0;2;0;0;0;0;0;0;0;0;0;2;3;2;0;0
;;27;Lin, P.F.;14;6;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;de Ruiter, C.;8;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
;;29;Braaksma, A.;6;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;30;Hoogewerf, B.L.M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Berlijn, F.C.;12;2;2;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
;;32;Tiben, H.P.B.;39;3;1;2;7;0;0;0;2;0;0;3;2;0;0;1;1;1;2;0;1;1;2;1;1;0;1;0;0;2;1;2;1;0;0;0;0;1;0;0;0
