Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wapen van Medemblik;Sint Pieter;Sporthal De Muiter;kantine voetbalvereniging FC Medemblik;Grand Cafe de Post;Wijksteunpunt Woudrust;Dorpshuis  De Werf;Dorpshuis De Vang;Dorpshuis De Nieuwe Haven;Dorpshuis Twisk;Dorpshuis De Torenschouw;Gemeentehuis  Medemblik;Voetbalkantine Spartanen;Sporthal De Dres;De Wildebras;De Bloesem;Dorpshuis Centrum;Dorpshuis Sarto;Sporthal De Klamp;Eetcafe Cultura;De Schoof;De Dars;Cafe Van Rooijen;Dorpshuis De Onderdijk;Dorpshuis Zwaagdijk;Sportkantine De Westrand;Grand Cafe de Post;Kantine voetbalvereniging ALC Abbekerk;Brandweerkazerne Nibbixwoud;Ontmoetingsruimte Hieronymuskerk;kantine voetbalvereniging FC Medemblik;kantine voetbalvereniging FC Medemblik;Voetbalkantine Spartanen;Voetbalkantine Spartanen;Dorpshuis Centrum;Dorpshuis Centrum;Sportkantine De Westrand;Sportkantine De Westrand;Kantine voetbalvereniging ALC Abbekerk;Kantine voetbalvereniging ALC Abbekerk
Gebiednummer;;;;;1;2;4;5;6;7;8;9;10;11;12;13;14;15;17;18;20;21;22;23;25;26;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45
Postcode;;;;;1671 AA;1671 CS;1671 JA;1671 ND;1679 GJ;1678 GA;1691 EC;1654 KB;1657 AH;1676 GG;1674 NE;1687 CD;1687 BP;1688 BE;1685 PN;1687 RA;1619 XE;1619 GJ;1619 DL;1619 CH;1693 EH;1693 GV;1693 AA;1693 CZ;1682 NP;1693 MA;1679 GJ;1657 EB;1688 CW;1687 PJ;1671 ND;1671 ND;1687 BP;1687 BP;1619 XE;1619 XE;1693 MA;1693 MA;1657 EB;1657 EB
;;22;Mol, D.P.M.;37;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;9;5;3;3;0;8;0;0;0;0;0;0;0;0;0;0;0;5;0;0
;;23;Ameerun, R.F.;27;0;0;0;0;16;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Kistemaker, M.K.;10;0;0;0;0;0;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1
;;25;Roozendaal, A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0
;;26;Schouten, J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Stam-Sjerps, D.;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0
;;28;Mol, D.J.M.;15;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Vriend, P.A.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;1;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0
;;30;Steltenpool, T.H.;25;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;6;3;3;0;3;1;0;0;1;0;1;0;0;0;1;0;1;2;0;0
2;CDA;;;3186;48;87;43;19;54;21;44;88;19;31;253;153;117;265;50;119;145;104;123;54;135;108;117;44;32;87;37;11;218;102;10;36;61;104;40;75;53;59;7;13
;;1;Schouten - Spijkerman, S.;1088;11;24;14;6;27;10;27;47;5;9;31;28;29;229;31;32;34;20;22;7;24;17;27;12;18;12;21;5;193;19;6;8;17;31;7;9;8;8;2;1
;;2;Nederpelt, H.P.F.;362;4;9;3;1;4;1;3;6;2;12;4;60;37;17;8;38;0;5;1;2;6;1;0;2;0;2;1;0;13;42;0;4;26;38;1;0;3;4;2;0
;;3;van den Bosch - Swagerman, E.;276;0;0;17;0;0;0;1;2;0;0;1;1;1;0;0;5;70;19;65;20;1;5;1;1;2;1;0;0;1;1;0;0;0;2;22;35;2;0;0;0
;;4;Selders - Kroezen, M.;328;22;44;0;5;2;0;1;1;2;5;196;6;1;1;0;2;0;4;1;0;0;0;0;2;1;1;1;1;4;1;3;18;0;1;0;0;0;1;0;1
