Verkiezing;;Gemeenteraad Castricum 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Castricum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Tuin van Kapitein Rommel;Gymzaal Eerste Groenelaan;De Kern;Pastorie RK kerk;Gymzaal Walingstuin;Gymzaal Rooseveltlaan;Sportcentrum De Bloemen;Buurt- en Biljartcentrum Castricum;Gymzaal Vondelstraat;De Oude Keuken;FASE FIER;'t Kruispunt;Sportcentrum De Lelie;De Storey Club;Gymzaal Het Kleurenorkest;Vredeburg;Sportcentrum De  Enterij;mobiel stembureau;Gemeentehuis maandag;Tuin van Kapitein Rommel maandag;Gemeentehuis dinsdag;Tuin van Kapitein Rommel dinsdag;'t Kruispunt  maandag;'t Kruispunt dinsdag;Vredeburg maandag;Vredeburg dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;100;150;200;250;300;400;500;600
Postcode;;;;;1902 CA;1901 DZ;1901 TD;1901 EW;1901 EK;1902 BC;1902 DH;1902 GT;1901 XB;1901 HT;1901 ZZ;1901 KA;1921 XC;1921 EK;1921 CV;1906 CC;1906 AL;1906 AP;1489 NB;1902 CA;1901 DZ;1902 CA;1901 DZ;1921 XC;1921 XC;1906 AL;1906 AL
;;15;van Diermen, L.;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;3;3;0;0;0;0;0;0;1;0;2
;;16;van Eunen, W.A.;9;1;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0
;;17;van Zanten, J.;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;18;Meijer, A.H.M.;33;2;4;4;1;1;0;1;0;2;1;0;1;0;0;1;1;4;1;1;2;0;1;2;0;0;1;2
;;19;Sluiter, F.H.M.;5;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;20;Voorwalt, T.F.;30;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;5;10;4;0;0;0;0;0;0;0;3;6
;;21;van Oosterom, E.J.;19;2;1;0;0;0;1;4;2;0;0;1;1;0;0;0;1;0;0;0;1;0;4;0;0;0;1;0
;;22;van Hofwegen, B.;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0
;;23;Visser, A.B.;17;3;1;3;0;1;1;0;3;0;0;1;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0
;;24;Kuijs, M.P.N.;46;3;1;2;2;7;6;2;0;5;0;0;2;0;0;0;3;0;0;0;2;0;4;5;0;0;1;1
;;25;Weda, J.F.A.;13;0;0;1;1;0;0;1;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0
;;26;Scheerman, J.;10;1;0;0;0;0;3;2;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0
;;27;Batelaan, M.C.;15;2;0;0;0;0;2;1;3;3;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0
;;28;Griffioen, L.M.C.;9;3;0;1;0;0;0;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;de Ruijter, C.;13;0;3;1;1;0;0;1;0;1;0;0;1;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0
;;30;Schijf, R.C.A.;33;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;13;10;0;0;1;0;0;0;0;0;5;1
;;31;Veldt, W.G.M.;66;1;0;1;0;0;1;0;1;0;0;0;2;12;15;9;6;4;0;0;0;0;1;0;6;6;1;0
2;VVD;;;3163;139;73;81;114;61;95;75;101;102;27;68;126;308;284;111;193;243;72;31;120;30;130;69;140;168;94;108
;;1;Dekker, R.B.;1836;56;17;38;35;23;36;29;39;42;9;23;63;298;271;108;64;110;27;11;55;14;57;28;135;165;39;44
;;2;Krouwel, G.;209;22;10;10;20;5;8;10;18;13;2;11;18;2;2;1;7;0;0;1;19;2;21;7;0;0;0;0
;;3;Slot, J.M.;180;3;2;1;0;1;0;1;3;3;1;0;0;0;1;0;55;43;16;3;0;0;1;2;0;1;14;29
;;4;Coenen, M.J.J.;104;8;4;4;7;2;4;5;3;20;1;8;4;0;0;0;2;2;0;2;16;2;6;2;0;0;2;0
;;5;de Bree, T.;346;25;13;17;25;15;21;18;19;12;7;14;23;4;5;0;22;18;5;4;15;6;22;16;3;0;12;5
;;6;Hespe, D.P.;59;8;2;2;4;1;14;1;4;1;1;1;2;0;0;0;0;4;0;2;5;1;3;1;1;0;0;1
;;7;van der Wel, V.D.A.;46;2;4;1;5;5;1;0;2;2;1;4;2;0;1;0;2;2;0;0;0;4;0;5;0;0;2;1
;;8;de Rooij, A.;28;1;4;3;1;0;7;0;0;1;3;1;1;1;0;0;0;0;0;0;2;0;1;2;0;0;0;0
;;9;Thijssen, R.J.;69;2;3;0;2;0;1;1;1;2;0;1;2;1;0;0;17;20;3;1;0;0;1;0;0;0;8;3
;;10;Wellink, A.F.H.;28;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9;9;0;2;0;1;0;1;0;1;1
;;11;Burgering, R.;11;2;0;0;1;2;0;2;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;12;Bijvoet, M.E.;21;3;3;1;0;1;1;1;1;1;1;0;3;0;0;0;1;2;0;0;1;0;1;0;0;0;0;0
;;13;de Haan, F.R.;11;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;5;1;0;0;0;1;0;0;0;1;1
;;14;Haga, M.K.;18;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;4;4;1;0;0;0;2;0;0;0;2;1
;;15;van Ikelen, A.M.;19;0;3;3;2;1;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0
;;16;Kroone, C.G.;81;0;0;1;3;0;1;0;0;2;0;0;2;1;0;0;9;19;7;0;0;0;1;2;0;0;12;21
;;17;Nowee, J.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;1;0;0;1;0;0;0;0;1
;;18;Portegies, C.;69;5;3;0;8;5;1;3;4;3;1;3;5;0;4;1;1;1;3;6;2;1;3;4;0;1;1;0
;;19;Schrijver, J.;14;1;0;0;0;0;0;0;2;0;0;1;0;1;0;0;3;0;0;0;1;0;4;0;0;1;0;0
;;20;Lamme, A.H.;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
3;CDA;;;1584;101;31;45;38;53;47;57;81;78;14;33;79;79;50;21;94;139;30;19;77;43;87;55;48;63;60;62
;;1;Bon, E.;686;56;18;23;27;35;31;38;41;41;8;16;40;6;4;3;25;43;8;15;51;23;53;32;6;7;17;19
;;2;van Leeuwen, M.;77;7;1;2;3;4;3;3;11;1;2;6;4;0;0;1;0;4;1;0;7;3;8;6;0;0;0;0
;;3;Veldt, T. A.;286;2;2;5;1;5;2;0;4;8;0;2;9;64;37;14;12;10;0;1;6;0;5;4;36;50;1;6
;;4;van Donselaar, I.;58;6;2;3;3;2;1;7;2;9;1;0;5;1;0;0;3;0;2;1;2;2;2;2;0;0;1;1
;;5;Wilms, F.F.J.;50;12;0;2;3;1;2;0;2;0;0;5;4;0;0;1;5;0;0;0;2;6;1;3;0;0;1;0
;;6;Cornelis, J.S.A.;14;1;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;2;1;3
;;7;Welboren, J.A.;188;2;0;1;1;2;2;2;1;1;0;1;5;0;2;1;37;58;15;0;1;2;2;1;0;0;28;23
;;8;de Groot, P.A.M.;46;1;0;1;0;0;1;0;1;0;0;1;1;0;0;0;6;20;3;0;0;0;1;0;0;1;2;7
;;9;Damen, L.F.;77;7;7;1;0;1;4;2;17;13;0;0;4;2;0;0;1;0;0;1;3;5;5;2;0;0;2;0
;;10;Swart-Kruyshaar, A.E.M.M.;16;0;0;0;0;0;0;0;0;0;0;0;0;4;5;0;0;0;0;0;0;0;0;0;5;1;1;0
;;11;Kleinherenbrink, G.H.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;1;0;0;0;0;0;0;0
;;12;Geijsel, B.R.M.;4;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Hummel, J.;13;0;0;1;0;0;0;0;1;0;0;0;5;0;0;0;1;0;0;0;0;0;4;1;0;0;0;0
;;14;Overtoom, M.T.;9;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;1;1;2;0;0
;;15;Valk, N.K.;16;4;0;2;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;4;1;0;0;0;0
;;16;de Boer, J.T.M.;14;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;2;0;0;0;5;3
;;17;van Gosliga, IJ.J.;17;0;0;2;0;3;1;1;0;1;1;0;1;0;0;0;0;0;0;1;2;2;0;1;0;0;1;0
;;18;Ritzema, M.;8;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
4;GROENLINKS;;;2916;281;221;161;106;84;139;164;157;144;71;113;237;55;41;14;103;73;28;45;129;88;206;154;16;26;31;29
;;1;Brinkman, G.;882;81;57;52;4;27;40;38;46;42;23;32;75;17;17;1;35;32;9;16;43;30;86;44;0;2;17;16
;;2;Lutke Schipholt, J.R.L.;796;71;60;37;35;22;39;47;46;45;22;37;53;10;5;4;32;18;7;6;43;30;56;49;1;7;5;9
;;3;Brouwer, V.P.;152;19;6;10;5;4;15;11;10;8;3;4;13;1;2;0;2;0;1;0;8;5;16;8;0;0;0;1
;;4;Kooter, M.;343;34;37;20;29;9;15;17;22;21;8;14;23;6;0;2;13;12;4;4;14;5;16;11;1;3;2;1
;;5;Waterman, H.A.;27;4;1;0;1;3;2;0;0;0;2;1;0;0;0;0;1;0;0;0;4;3;3;1;0;0;1;0
;;6;Puhl, F.A.;21;4;2;2;1;1;2;0;6;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
;;7;Parigger, E.M.;106;7;15;9;5;2;5;13;2;5;3;1;10;2;1;0;2;3;0;1;5;4;6;2;1;0;1;1
;;8;Drillenburg ook genaamd Lelijveld, S.M.;42;7;1;3;5;2;0;2;2;1;2;1;3;0;2;0;0;1;0;0;1;1;3;3;0;1;1;0
;;9;Vlek, F.J.M.;6;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
;;10;Zuurbier, E.;102;10;9;6;3;3;4;16;5;4;1;4;10;0;1;0;2;2;3;1;2;1;4;5;0;2;3;1
;;11;Mulder, D.T.;12;2;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0
;;12;Heijdra, F.;81;7;5;3;8;4;5;2;8;6;0;2;11;1;1;0;4;0;3;4;0;1;3;3;0;0;0;0
;;13;Brinkman, H.;23;4;6;1;0;1;2;0;0;0;0;1;3;2;0;0;1;0;0;0;0;0;1;1;0;0;0;0
;;14;Warmerdam, J.A.M.;13;1;2;0;0;0;0;3;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;0;0;0;0
;;15;Dijkstra, A.T.;11;2;2;1;0;0;0;0;0;1;0;0;2;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;16;Heeremans, P.H.;34;1;0;0;0;0;0;0;0;0;0;1;0;8;5;5;0;0;0;0;1;0;0;0;8;5;0;0
;;17;Van der Vlist, W.J.;28;1;3;0;2;0;0;1;0;3;0;0;13;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0
;;18;Heeman, M.M.;30;4;5;5;1;1;1;6;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0
;;19;Hommes, H.Z.;16;3;0;1;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;2;4;1;0;0;0;0
;;20;Van Vliet, P.M.;21;2;1;1;0;0;1;0;2;0;2;2;5;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0
;;21;Hekelaar, J.C.;13;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;1;0;0;0;0;0;0;0;2;3;0;0
;;22;Van Reenen, S.G.M.;17;3;0;4;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;5;0;0;0;0
;;23;Möhlmann, T.;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
;;24;Crouwel, K.L.;11;2;0;1;0;2;0;3;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;25;Bours, J.D.M.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;26;Faber, K.F.;18;0;3;1;1;0;1;0;2;0;0;1;4;0;0;0;0;0;0;1;1;2;0;1;0;0;0;0
;;27;Bakker, R.;17;3;1;1;1;0;2;2;0;0;0;1;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0
;;28;De Wit, A.J.M.;10;0;2;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0
;;29;Looye-Hegge, H.M.;22;2;2;0;0;0;0;0;0;1;3;6;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;30;Wesker, T.A.J.;26;2;0;2;0;1;2;0;1;2;0;0;0;2;2;0;1;1;0;1;0;0;0;4;3;2;0;0
;;31;Husslage, M.A.;29;4;0;1;2;0;1;2;1;3;0;1;0;0;1;0;2;3;1;1;3;0;1;2;0;0;0;0
