Verkiezing;;Gemeenteraad Texel 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Texel;;;;;;;;;;;;;;;;;;
Nummer;;0448;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Bibliotheek Texel;De Buureton;Eierlandsche Huis;Verenigingshuis Bethel;Dorpshuis De Waldhorn;Dorpshuis De Hof;Dorpshuis De Bijenkorf;Dorpshuis 't Skiltje;Dorpshuis De Wielewaal;Teso;Schietcentrum Odysseus;Gemeentehuis (dinsdag);Teso (dinsdag);Gemeentehuis (maandag);Teso (maandag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;101;104;201;204
Postcode;;;;;1791 AT;1791 VC;1791 EX;1795 AL;1795 KB;1797 AH;1796 BE;1794 AA;1792 AK;1793 AJ;1797 SN;1791 AT;1791 AT;1797 SN;1791 AT;1797 SN
;opgeroepenen;;;11442;906;2292;1980;694;273;576;1164;1081;1083;350;160;583;100;50;100;50
;geldige stempas;;;6561;663;967;796;374;186;362;536;599;590;215;159;133;497;69;365;50
;geldig volmachtbewijs;;;927;98;124;103;41;28;60;90;86;78;25;24;30;77;7;52;4
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;7488;761;1091;899;415;214;422;626;685;668;240;183;163;574;76;417;54
;geldige stembiljetten;;;7415;752;1086;891;414;208;423;621;677;656;237;180;160;567;76;413;54
;blanco stembiljetten;;;49;5;4;7;1;5;0;1;7;3;2;2;2;7;0;3;0
;ongeldige stembiljetten;;;23;4;1;1;0;1;0;4;1;7;1;1;1;0;0;1;0
;aangetroffen stembiljetten;;;7487;761;1091;899;415;214;423;626;685;666;240;183;163;574;76;417;54
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;andere verklaring;;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1;Texels Belang;;;1553;126;215;159;88;75;106;120;166;187;57;28;34;104;13;68;7
;;1;van der Werf, M.E.;481;26;67;43;24;20;22;51;58;82;9;5;15;31;3;24;1
;;2;Hoogerheide, C.;112;16;30;7;2;1;3;5;11;6;6;0;2;9;3;11;0
;;3;Oosterhof, F.;96;6;20;15;12;8;3;2;8;3;4;4;1;5;1;4;0
;;4;Hooijschuur, C.J.;96;15;9;10;10;7;1;4;9;12;6;0;1;4;0;8;0
;;5;Witte, W.J.;107;15;13;7;2;4;13;10;8;13;2;1;3;12;1;3;0
;;6;Schultinga-Kiers, S.;45;6;10;7;0;3;1;4;3;5;0;0;3;3;0;0;0
;;7;Kuip, A.C.;88;3;8;2;4;3;17;10;5;3;9;6;1;13;0;4;0
;;8;van der Werve, J.A.;20;3;1;8;1;0;0;1;1;0;1;3;0;0;0;0;1
;;9;Groeskamp, J.;66;3;3;9;0;3;36;1;0;1;1;2;1;3;1;2;0
;;10;de Boer, A.C.;63;4;6;12;11;0;3;4;5;5;0;1;2;3;4;0;3
;;11;Duinker, R.;75;1;11;6;1;6;0;2;27;15;4;1;0;0;0;1;0
;;12;Heijne, M.;55;8;2;6;3;5;3;8;1;4;3;2;0;6;0;4;0
;;13;Bosscha, G.J.;25;4;6;1;3;1;1;5;0;1;0;0;0;2;0;1;0
;;14;van Heerwaarden, J.;54;4;12;6;1;3;1;1;9;9;3;0;1;1;0;1;2
;;15;Hooijschuur, E.W.;50;1;5;6;7;7;0;3;5;7;2;2;0;2;0;3;0
;;16;van der Wal, H.W.;27;1;2;3;2;0;2;2;2;5;0;0;4;4;0;0;0
;;17;Dros, W.J.;68;7;9;9;2;2;0;6;9;13;7;1;0;2;0;1;0
;;18;Timmer, J.H.M.;11;0;0;1;2;0;0;0;3;3;0;0;0;1;0;1;0
;;19;Joosten, S.;14;3;1;1;1;2;0;1;2;0;0;0;0;3;0;0;0
2;VVD;;;1247;161;161;117;75;52;64;133;84;120;43;21;39;108;10;57;2
;;1;Ran, N.C.B.;411;45;66;45;27;13;14;40;35;28;17;8;16;36;1;20;0
;;2;Huisman, A.;113;18;9;7;8;8;15;10;8;9;3;2;3;7;3;3;0
;;3;Schuiringa, J.J.;90;10;10;7;5;2;12;10;1;9;3;4;1;11;0;5;0
;;4;Koenen, P.R.;31;9;2;3;2;1;2;2;1;4;1;0;0;4;0;0;0
;;5;Boschma-van der Star, I.M.;113;12;11;6;8;9;6;10;22;14;3;0;2;4;2;4;0
;;6;Albers, N.;61;7;0;7;13;0;4;8;3;6;1;1;5;4;1;0;1
;;7;Eelman, J.A.;40;3;8;2;2;4;0;4;4;6;2;1;0;4;0;0;0
;;8;van der Werff, C.I.;40;4;1;3;0;1;0;18;0;2;1;0;2;8;0;0;0
;;9;Kaak, P.;44;4;1;4;0;0;2;1;1;22;1;0;1;3;1;3;0
;;10;Boekel, I.M.;20;1;6;3;1;0;0;1;0;2;0;0;0;3;1;2;0
;;11;Bakker, J.J.;161;31;26;19;3;9;6;16;6;9;4;4;5;10;1;11;1
;;12;van der Kooi, D.G.C.;20;7;2;1;1;4;1;1;1;0;0;0;0;0;0;2;0
;;13;Huisman, A.;14;1;3;0;0;0;0;2;0;5;0;0;0;3;0;0;0
;;14;van Wijk, J.K.;65;6;13;7;4;1;2;7;0;3;6;1;4;6;0;5;0
;;15;Rosman, M.;7;0;3;2;0;0;0;0;0;0;0;0;0;2;0;0;0
;;16;de Winter, G.V.;17;3;0;1;1;0;0;3;2;1;1;0;0;3;0;2;0
3;Partij van de Arbeid (P.v.d.A.);;;1451;168;258;213;61;21;85;73;89;110;47;42;23;121;15;111;14
;;1;van de Belt, R.;590;74;108;102;28;6;42;29;34;32;16;18;5;44;4;44;4
;;2;Visser-Veltkamp, A.P.;518;49;108;68;11;9;26;26;29;52;19;19;6;45;11;36;4
;;3;Hercules, E.;67;5;7;11;6;1;5;2;2;6;1;1;2;10;0;6;2
;;4;Lelij, N.;56;7;7;7;2;1;1;6;4;3;2;1;5;3;0;7;0
;;5;Kiljan, L.C.;40;2;4;3;4;1;2;1;11;1;0;0;1;5;0;5;0
;;6;Legierse-Daalder, Y.;40;8;7;6;2;0;1;4;0;3;1;0;0;3;0;5;0
;;7;Breedveld, D.C.;18;2;5;6;0;0;0;1;0;0;0;0;1;2;0;1;0
;;8;Komdeur, C.;32;3;3;2;5;1;2;0;1;6;1;1;2;3;0;2;0
;;9;van der Heide, S.;9;0;0;2;3;0;0;0;0;0;1;0;0;2;0;1;0
;;10;Oosterbaan, A.F.F.;11;0;0;2;0;2;0;0;0;0;3;0;0;2;0;2;0
;;11;van Hardeveld-Swart, A.E.;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;12;Gonzalez-Lira, I.;15;4;2;0;0;0;1;1;2;1;3;1;0;0;0;0;0
;;13;van Bruggen, A.;27;12;5;2;0;0;2;1;3;0;0;0;1;1;0;0;0
;;14;van Dijk, G.J.;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;15;Hilstra, H.;5;1;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0
;;16;Ridderinkhof, H.;7;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;4
;;17;Schaatsenberg, A.;11;0;1;1;0;0;0;0;1;6;0;1;0;0;0;1;0
4;GROENLINKS;;;1275;132;181;149;61;20;96;76;130;88;39;54;23;116;19;74;17
;;1;Kieft, H.;394;42;46;47;19;8;35;23;30;23;13;20;10;33;7;32;6
;;2;Zegel, F.;152;19;35;18;6;2;4;9;20;11;1;3;3;8;1;9;3
;;3;Soijer, H.J.F.M.;51;9;6;6;2;0;2;2;11;2;3;3;1;2;0;2;0
;;4;Dros, J.;461;39;58;56;24;8;39;24;53;29;14;13;9;56;9;26;4
;;5;Berger, G.W.;29;3;7;3;0;0;5;0;0;2;1;1;0;6;1;0;0
;;6;Roeper-Bouw, G.M.;45;2;10;5;3;1;0;1;2;4;3;6;0;5;0;0;3
;;7;Festen, H.G.M.;18;1;6;3;0;0;2;3;0;1;0;1;0;0;0;1;0
;;8;Hin, A.C.;36;0;3;3;2;0;3;1;9;10;1;1;0;1;0;1;1
;;9;Vlaming, J.;13;2;1;2;0;0;0;5;0;0;1;1;0;0;0;1;0
;;10;Bakker, P.;7;4;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
;;11;Visser, T.;9;1;1;0;0;0;2;0;1;2;2;0;0;0;0;0;0
;;12;Kompier, T.L.D.;3;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
;;13;Bohnen, N.;8;1;1;2;1;0;0;0;1;0;0;0;0;1;0;1;0
;;14;Stam, B.B.M.;49;8;7;4;4;1;3;8;2;2;0;5;0;3;1;1;0
5;CDA;;;799;53;116;120;60;27;38;40;119;62;21;20;18;60;6;34;5
;;1;Rutten, C.J.;442;31;56;66;50;18;20;14;77;27;11;12;9;29;3;17;2
;;2;Koot, V.C.;102;5;11;17;6;2;2;15;6;12;5;1;2;10;0;6;2
