Verkiezing;;Gemeenteraad Blaricum 2022;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;
Gebied;;Gemeente Blaricum;;;;;;;;;;;;
Nummer;;0376;;;;;;;;;;;;
;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Dorpshuis de Blaercom;Het Vitusgebouw;OBS Bijvanck;Wijkcentrum De Malbak;Experience Centre De Blaricummermeent;LTV de Bijvanck;Gemeentehuis;Gemeentehuis;Mobiel stembureau met bep. toegang (15-03-2022)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10
Postcode;;;;;1261 JB;1261 EV;1261 JB;1261 MX;1261 NK;1261 ZM;1261 TA;1261 JB;1261 JB;1261 GD
;;8;Jager, H.;69;0;0;0;7;3;17;39;0;3;0
;;9;Begeer, C.R.B.;45;8;20;7;0;2;1;1;4;2;0
;;10;Blijdenstein, S.H.;34;4;10;3;1;1;1;3;4;6;1
;;11;Hötte, H.J.;7;0;3;1;0;0;0;0;3;0;0
;;12;Borg, J.M.;4;2;0;0;0;1;1;0;0;0;0
;;13;Bölger-Schoenmakers, C.;23;2;9;2;3;0;1;1;1;4;0
;;14;Verkooijen, C.J.;5;0;0;0;3;2;0;0;0;0;0
;;15;Uijldert, R.;8;2;3;0;2;1;0;0;0;0;0
;;16;Eggermont, J.J.;17;1;9;3;1;1;0;1;1;0;0
;;17;Snoijink, E.A.V.;30;6;6;3;2;2;1;3;1;6;0
;;18;Pastor, P.H.;9;2;0;0;0;3;1;1;1;1;0
;;19;Stops, P.T.M.;4;0;2;0;0;2;0;0;0;0;0
;;20;Gerrets, C.M.H.;4;0;3;0;0;0;0;0;0;1;0
;;21;Boot-Buter, G.;2;0;0;0;1;0;0;1;0;0;0
;;22;Onderstal, J.M.;25;5;8;0;2;2;2;4;0;2;0
;;23;de Vrieze-Greebe, C.M.;7;2;1;1;0;2;0;0;0;1;0
;;24;Crielaers, H.R.M.;26;1;12;4;0;2;0;5;1;1;0
2;VVD;;;1107;128;294;88;58;100;104;70;150;111;4
;;1;Wiegel, R.;617;60;173;49;34;54;55;39;89;60;4
;;2;Dobber-Spruijt, A.L.C.;271;25;55;18;20;37;41;24;26;25;0
;;3;Oyens, P.H.;41;11;5;7;0;3;0;3;8;4;0
;;4;Cornelis, F.C.;21;0;11;2;0;0;2;0;4;2;0
;;5;Hoijtink, H.J.;31;6;11;2;0;2;1;0;8;1;0
;;6;Cool, A.J.;23;4;9;3;0;1;1;2;1;2;0
;;7;van Dalen, D.M.;36;14;7;3;0;0;3;2;3;4;0
;;8;Smit, P.M.;35;6;11;3;4;3;1;0;2;5;0
;;9;Croockewit, P.L.;32;2;12;1;0;0;0;0;9;8;0
3;De Blaricumse Partij;;;620;61;34;16;125;144;74;74;43;47;2
;;1;Boersen-de Jong, E.J.M.;273;34;17;4;50;67;29;24;28;18;2
;;2;Kemperman, R.J.H.;61;4;1;2;20;17;2;9;0;6;0
;;3;Hammouti, K;113;2;2;1;21;25;32;25;4;1;0
;;4;Bon, R;18;2;0;2;6;4;1;1;1;1;0
;;5;Boersen, R.G.M.;62;7;3;1;7;9;6;9;8;12;0
;;6;Baar-van 't Klooster, J.W.;5;0;0;0;2;0;3;0;0;0;0
;;7;Baay, H;6;2;0;0;0;2;0;1;1;0;0
;;8;Calis-Vos, B.H.G.;4;0;1;0;1;1;0;1;0;0;0
;;9;Limburg, T.C.;10;5;2;0;0;2;0;0;0;1;0
;;10;Speerstra-Wolffenbuttel, A.M.I.P.;10;2;2;1;0;5;0;0;0;0;0
;;11;Thiel, H.J.;7;0;0;0;2;4;0;0;0;1;0
;;12;van der Wardt-Rigter, J.M.G.L.;10;1;0;4;1;1;1;1;0;1;0
;;13;Hoefnagels-Brinks, A.H.;20;0;1;0;14;4;0;0;0;1;0
;;14;Vos, J.G.M.;21;2;5;1;1;3;0;3;1;5;0
4;D66;;;636;93;125;32;62;75;41;55;63;88;2
;;1;Lanphen, J.M.G.;485;75;101;22;43;58;23;33;54;74;2
;;2;van der Veen, M.;37;4;1;2;3;5;8;8;2;4;0
;;3;Uitendaal, P.M.;12;0;1;0;4;2;0;4;0;1;0
;;4;Meijer, H.J.;11;0;0;0;7;2;0;1;1;0;0
;;5;Meijer - ten Haaf, W.;17;0;2;0;0;2;5;4;2;2;0
;;6;Abels, A.G.;1;0;0;0;1;0;0;0;0;0;0
;;7;Bijl, A.H.A.;1;0;0;0;0;0;0;0;0;1;0
;;8;Elshove, M.M.;16;2;10;1;0;2;0;0;0;1;0
;;9;Francken, C.;23;3;3;4;0;1;3;2;3;4;0
;;10;Haarsma, J.F.M.;1;0;0;0;0;0;0;1;0;0;0
;;11;Koch, M.F.C.;2;1;0;0;0;1;0;0;0;0;0
;;12;van Lierop, A.T.F.M.;4;0;0;0;2;1;0;1;0;0;0
;;13;Loudon, E.A.S.;9;4;3;1;0;0;0;0;1;0;0
;;14;Ruisendaal, C.G.M.;2;0;2;0;0;0;0;0;0;0;0
;;15;Ruijs, W.;3;2;0;0;0;0;0;0;0;1;0
;;16;Snoek, T.E.M.;6;1;0;1;2;1;0;1;0;0;0
;;17;Visch, M.W.;6;1;2;1;0;0;2;0;0;0;0
;;18;Willems, T.L.J.M.;0;0;0;0;0;0;0;0;0;0;0
5;CDA;;;438;78;64;33;43;52;33;25;42;63;5
;;1;Claushuis-Rademaker, P.L.M.;297;51;47;13;30;34;25;18;34;40;5
;;2;Meijer, M.;22;3;2;2;3;3;2;1;2;4;0
;;3;Knoop, G.C.;14;2;2;0;0;5;2;1;0;2;0
;;4;de Jong, N.J.J.;50;18;5;13;4;3;0;0;2;5;0
;;5;Panorios, N.;6;3;0;2;0;1;0;0;0;0;0
;;6;Knevel, G.M.;9;0;2;0;1;0;1;0;0;5;0
;;7;Poolman Simons-Vos, P.A.M.;14;1;0;3;2;2;0;2;1;3;0
;;8;Roest, S.R.;5;0;0;0;0;4;0;0;0;1;0
;;9;Vlak, F.F.L.;7;0;0;0;3;0;3;1;0;0;0
;;10;Walch, J.E.;14;0;6;0;0;0;0;2;3;3;0
6;Partij van de Arbeid (P.v.d.A.)/GROENLINKS;;;450;38;39;15;84;131;28;40;43;30;2
;;1;Kukupessy, G.R.;281;23;22;8;45;84;16;30;33;18;2
;;2;Rokebrand, D.J.J.;69;3;9;2;20;18;4;5;4;4;0
;;3;Veldhuis, M.;23;5;2;0;6;4;1;2;2;1;0
;;4;van de Wouw, E.J.;6;0;3;0;1;2;0;0;0;0;0
;;5;Jorritsma, J.G.;18;0;2;0;4;9;1;0;2;0;0
;;6;Kukupessy, L.T.A.;24;5;1;0;1;7;5;1;1;3;0
;;7;van Buuren, C.;11;1;0;1;3;3;0;0;1;2;0
;;8;Schinkel, E.;3;0;0;0;2;0;0;0;0;1;0
;;9;Bruggeman, A.S.M.;15;1;0;4;2;4;1;2;0;1;0
